"plh0206i05","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Male","262","0.102779826568747","0.0909725642028535","0.11458708893464","1"
"1 Strongly disagree","2005","16-34 y.","Female","372","0.138545269170053","0.125679958231248","0.151410580108858","1"
"1 Strongly disagree","2005","35-65 y.","Male","888","0.154813732460428","0.145352359390282","0.164275105530574","1"
"1 Strongly disagree","2005","35-65 y.","Female","1383","0.236095242018512","0.22531984459291","0.246870639444115","1"
"1 Strongly disagree","2005","66 and older","Male","417","0.263207083185518","0.242425671373355","0.28398849499768","1"
"1 Strongly disagree","2005","66 and older","Female","619","0.310752884905881","0.29067482934308","0.330830940468682","1"
"2 on scale 1-7 ","2005","35-65 y.","Male","1231","0.202886498039986","0.192367851383811","0.213405144696161","2"
"2 on scale 1-7 ","2005","16-34 y.","Male","412","0.172444786421355","0.157756562578178","0.187133010264532","2"
"2 on scale 1-7 ","2005","66 and older","Female","400","0.186759530029274","0.169852105162431","0.203666954896118","2"
"2 on scale 1-7 ","2005","16-34 y.","Female","591","0.20808865558267","0.19297147883292","0.22320583233242","2"
"2 on scale 1-7 ","2005","35-65 y.","Female","1389","0.216476657312848","0.206027011307207","0.226926303318489","2"
"2 on scale 1-7 ","2005","66 and older","Male","334","0.180743877050686","0.162584740842402","0.19890301325897","2"
"3 on scale 1-7 ","2005","66 and older","Male","284","0.155577712632369","0.138473342890588","0.17268208237415","3"
"3 on scale 1-7 ","2005","16-34 y.","Male","430","0.155532556287458","0.141441359854924","0.169623752719992","3"
"3 on scale 1-7 ","2005","35-65 y.","Female","1001","0.164796831286049","0.155383560170037","0.174210102402061","3"
"3 on scale 1-7 ","2005","35-65 y.","Male","1047","0.178939768608167","0.168914081304071","0.188965455912264","3"
"3 on scale 1-7 ","2005","16-34 y.","Female","513","0.177172631211334","0.162953898563537","0.191391363859131","3"
"3 on scale 1-7 ","2005","66 and older","Female","332","0.161474999847986","0.145511164391132","0.17743883530484","3"
"4 on scale 1-7","2005","66 and older","Female","309","0.151679027892064","0.136116882845405","0.167241172938723","4"
"4 on scale 1-7","2005","16-34 y.","Female","586","0.211622570716883","0.196411622408366","0.2268335190254","4"
"4 on scale 1-7","2005","35-65 y.","Male","1130","0.210401952084117","0.19974087395348","0.221063030214754","4"
"4 on scale 1-7","2005","66 and older","Male","317","0.184033513173169","0.165746694411823","0.202320331934516","4"
"4 on scale 1-7","2005","16-34 y.","Male","580","0.232365767930696","0.215944412570014","0.248787123291379","4"
"4 on scale 1-7","2005","35-65 y.","Female","1031","0.176893290738549","0.167211541644987","0.18657503983211","4"
"5 on scale 1-7","2005","66 and older","Female","177","0.0852704727610683","0.0731541098421048","0.0973868356800318","5"
"5 on scale 1-7","2005","35-65 y.","Female","614","0.103353382885213","0.095629368439321","0.111077397331105","5"
"5 on scale 1-7","2005","66 and older","Male","176","0.101049414093096","0.0868265077226468","0.115272320463546","5"
"5 on scale 1-7","2005","16-34 y.","Male","393","0.147961991829253","0.134156549463204","0.161767434195302","5"
"5 on scale 1-7","2005","16-34 y.","Female","316","0.114801029227582","0.102929639917297","0.126672418537866","5"
"5 on scale 1-7","2005","35-65 y.","Male","665","0.112075552716221","0.103824361301366","0.120326744131075","5"
"6 on scale 1-7","2005","66 and older","Female","121","0.0577291566459091","0.0476107513398711","0.0678475619519472","6"
"6 on scale 1-7","2005","35-65 y.","Male","372","0.0814159641754064","0.0742629770613335","0.0885689512894794","6"
"6 on scale 1-7","2005","66 and older","Male","108","0.0658802319680086","0.0541735887515728","0.0775868751844445","6"
"6 on scale 1-7","2005","16-34 y.","Male","257","0.1022260289578","0.0904469859159793","0.11400507199962","6"
"6 on scale 1-7","2005","35-65 y.","Female","311","0.059410140722647","0.0534122229340666","0.0654080585112274","6"
"6 on scale 1-7","2005","16-34 y.","Female","226","0.0822504635223151","0.0720189597089972","0.092481967335633","6"
"7 Strongly agree","2005","66 and older","Female","83","0.0463339279178169","0.0372143589063193","0.0554534969293145","7"
"7 Strongly agree","2005","66 and older","Male","89","0.0495081678971532","0.0392713220501099","0.0597450137441966","7"
"7 Strongly agree","2005","35-65 y.","Male","282","0.0594665319156751","0.0532807209600786","0.0656523428712717","7"
"7 Strongly agree","2005","35-65 y.","Female","238","0.0429744550361814","0.0378288431469542","0.0481200669254086","7"
"7 Strongly agree","2005","16-34 y.","Male","207","0.0866890420046913","0.0757485413993978","0.0976295426099847","7"
"7 Strongly agree","2005","16-34 y.","Female","166","0.0675193805691622","0.0581751759875868","0.0768635851507376","7"
"1 Strongly disagree","2006","16-34 y.","Female","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Male","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Female","","","","","1"
"1 Strongly disagree","2006","66 and older","Male","","","","","1"
"1 Strongly disagree","2006","66 and older","Female","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Male","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","Male","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Male","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Female","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Female","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Female","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Male","","","","","2"
"3 on scale 1-7 ","2006","66 and older","Female","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Male","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Female","","","","","3"
