"plh0206i05","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","Male","1296","0.157765529923705","0.149953504551836","0.165577555295574","1"
"1 Strongly disagree","2005","no migration background","Female","2000","0.231976781287257","0.223308715995414","0.2406448465791","1"
"1 Strongly disagree","2005","direct migration background","Male","223","0.191906596080015","0.16879199570529","0.21502119645474","1"
"1 Strongly disagree","2005","direct migration background","Female","320","0.254643616130169","0.230434090206818","0.278853142053521","1"
"1 Strongly disagree","2005","indirect migration background","Male","48","0.140306282017471","0.10635583481334","0.174256729221601","1"
"1 Strongly disagree","2005","indirect migration background","Female","54","0.118688046877384","0.0879396875369202","0.149436406217847","1"
"2 on scale 1-7 ","2005","direct migration background","Male","180","0.169765604540541","0.147729446911315","0.191801762169766","2"
"2 on scale 1-7 ","2005","no migration background","Male","1736","0.196217778048535","0.187706800324763","0.204728755772307","2"
"2 on scale 1-7 ","2005","indirect migration background","Female","97","0.265044767512888","0.223083974574611","0.307005560451166","2"
"2 on scale 1-7 ","2005","no migration background","Female","2060","0.211333456102597","0.202949604612627","0.219717307592566","2"
"2 on scale 1-7 ","2005","direct migration background","Female","223","0.164915026957873","0.144292905028934","0.185537148886812","2"
"2 on scale 1-7 ","2005","indirect migration background","Male","61","0.139161436173941","0.105327278204688","0.172995594143193","2"
"3 on scale 1-7 ","2005","indirect migration background","Male","71","0.159240173967173","0.123471951175006","0.195008396759341","3"
"3 on scale 1-7 ","2005","no migration background","Male","1509","0.171420774755866","0.163343965514111","0.179497583997621","3"
"3 on scale 1-7 ","2005","direct migration background","Female","205","0.15534287916123","0.135213805005946","0.175471953316514","3"
"3 on scale 1-7 ","2005","direct migration background","Male","181","0.150727652804255","0.129727105310504","0.171728200298005","3"
"3 on scale 1-7 ","2005","no migration background","Female","1573","0.168341385256065","0.16065750243007","0.176025268082059","3"
"3 on scale 1-7 ","2005","indirect migration background","Female","68","0.178803319526659","0.142372829982243","0.215233809071076","3"
"4 on scale 1-7","2005","indirect migration background","Female","89","0.178765293883161","0.14233783497376","0.215192752792562","4"
"4 on scale 1-7","2005","no migration background","Female","1619","0.178040915762257","0.170184983148812","0.185896848375702","4"
"4 on scale 1-7","2005","direct migration background","Male","216","0.199838618851006","0.176367209894087","0.223310027807926","4"
"4 on scale 1-7","2005","indirect migration background","Male","87","0.199504335850276","0.160439075250014","0.238569596450539","4"
"4 on scale 1-7","2005","no migration background","Male","1724","0.213570240803033","0.204787270441267","0.2223532111648","4"
"4 on scale 1-7","2005","direct migration background","Female","218","0.185884426669763","0.164267077611555","0.20750177572797","4"
"5 on scale 1-7","2005","indirect migration background","Female","54","0.124600179167084","0.0932011524687356","0.155999205865432","5"
"5 on scale 1-7","2005","direct migration background","Female","128","0.115312158277554","0.0975632975878461","0.133061018967262","5"
"5 on scale 1-7","2005","indirect migration background","Male","55","0.131566671311653","0.0985239163918672","0.16460942623144","5"
"5 on scale 1-7","2005","no migration background","Male","1019","0.113373811432128","0.106579151428881","0.120168471435376","5"
"5 on scale 1-7","2005","no migration background","Female","925","0.0984326400764814","0.0923150355731148","0.104550244579848","5"
"5 on scale 1-7","2005","direct migration background","Male","160","0.156016770241322","0.134717574367004","0.17731596611564","5"
"6 on scale 1-7","2005","indirect migration background","Female","36","0.0860524172445173","0.0593902279526762","0.112714606536358","6"
"6 on scale 1-7","2005","direct migration background","Male","77","0.067132404703541","0.0524435896376327","0.0818212197694493","6"
"6 on scale 1-7","2005","indirect migration background","Male","44","0.116474508691535","0.0851156642920778","0.147833353090991","6"
"6 on scale 1-7","2005","no migration background","Male","616","0.085087085741668","0.0791076144865666","0.0910665569967695","6"
"6 on scale 1-7","2005","direct migration background","Female","64","0.0541902086020309","0.0416096415990874","0.0667707756049743","6"
"6 on scale 1-7","2005","no migration background","Female","558","0.0652581990317893","0.0601862355929485","0.07033016247063","6"
"7 Strongly agree","2005","indirect migration background","Female","27","","","","7"
"7 Strongly agree","2005","indirect migration background","Male","36","0.113746591987951","0.0827093429950252","0.144783840980876","7"
"7 Strongly agree","2005","direct migration background","Male","78","0.0646123527793205","0.0501824219166028","0.0790422836420381","7"
"7 Strongly agree","2005","direct migration background","Female","86","0.0697116842013802","0.0555602820890158","0.0838630863137446","7"
"7 Strongly agree","2005","no migration background","Male","464","0.0625647792950645","0.0573746680020627","0.0677548905880662","7"
"7 Strongly agree","2005","no migration background","Female","374","0.0466166224835542","0.0422873299742619","0.0509459149928464","7"
"1 Strongly disagree","2006","no migration background","Female","","","","","1"
"1 Strongly disagree","2006","direct migration background","Male","","","","","1"
