"plh0206i05","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","West Germany","2379","0.203154432047381","0.195975387273111","0.210333476821652","1"
"1 Strongly disagree","2005","Urban Area","East Germany","383","0.242170802567494","0.222179303640424","0.262162301494563","1"
"1 Strongly disagree","2005","Rural Area","West Germany","633","0.177948225588479","0.165359692034064","0.190536759142894","1"
"1 Strongly disagree","2005","Rural Area","East Germany","546","0.171595675470821","0.158698726019377","0.184492624922266","1"
"2 on scale 1-7 ","2005","Urban Area","East Germany","370","0.184815827345396","0.166702582801337","0.202929071889456","2"
"2 on scale 1-7 ","2005","Rural Area","West Germany","686","0.196416984955911","0.183340722769144","0.209493247142678","2"
"2 on scale 1-7 ","2005","Rural Area","East Germany","713","0.204371023620682","0.190577424327561","0.218164622913804","2"
"2 on scale 1-7 ","2005","Urban Area","West Germany","2588","0.200454563492062","0.193311311371104","0.20759781561302","2"
"3 on scale 1-7 ","2005","Urban Area","East Germany","322","0.166682152145809","0.149290185572272","0.184074118719346","3"
"3 on scale 1-7 ","2005","Rural Area","West Germany","593","0.157633072461357","0.145639376110543","0.169626768812171","3"
"3 on scale 1-7 ","2005","Rural Area","East Germany","541","0.161091012665936","0.148516078240853","0.173665947091019","3"
"3 on scale 1-7 ","2005","Urban Area","West Germany","2151","0.17205759142691","0.165323121555942","0.178792061297879","3"
"4 on scale 1-7","2005","Rural Area","East Germany","640","0.197443104728806","0.183826414720142","0.21105979473747","4"
"4 on scale 1-7","2005","Urban Area","East Germany","317","0.18362162363036","0.165553774365962","0.201689472894758","4"
"4 on scale 1-7","2005","Rural Area","West Germany","752","0.216196005545701","0.202647035132399","0.229744975959002","4"
"4 on scale 1-7","2005","Urban Area","West Germany","2244","0.188749809807137","0.18176769319888","0.195731926415394","4"
"5 on scale 1-7","2005","Rural Area","West Germany","437","0.114053162293899","0.103590644197769","0.12451568039003","5"
"5 on scale 1-7","2005","Urban Area","East Germany","168","0.100366482245947","0.0863439655482398","0.114388998943655","5"
"5 on scale 1-7","2005","Urban Area","West Germany","1311","0.108378589581936","0.10283196946729","0.113925209696583","5"
"5 on scale 1-7","2005","Rural Area","East Germany","425","0.12018437048162","0.109061100395535","0.131307640567705","5"
"6 on scale 1-7","2005","Rural Area","West Germany","259","0.0754330326421832","0.0667408529482765","0.0841252123360899","6"
"6 on scale 1-7","2005","Rural Area","East Germany","236","0.074040389013704","0.0650837923471418","0.0829969856802662","6"
"6 on scale 1-7","2005","Urban Area","East Germany","120","0.0716463860845514","0.0596112041087449","0.0836815680603579","6"
"6 on scale 1-7","2005","Urban Area","West Germany","780","0.0737894686542575","0.069124824923473","0.078454112385042","6"
"7 Strongly agree","2005","Rural Area","East Germany","182","0.0712744240184306","0.0624736025581193","0.0800752454787418","7"
"7 Strongly agree","2005","Urban Area","East Germany","84","0.0506967259804425","0.0404592888758581","0.0609341630850269","7"
"7 Strongly agree","2005","Rural Area","West Germany","186","0.0623195165124702","0.0543630873324372","0.0702759456925032","7"
"7 Strongly agree","2005","Urban Area","West Germany","613","0.0534155449903156","0.0494033692604957","0.0574277207201355","7"
"1 Strongly disagree","2006","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2006","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2006","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2006","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2006","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","East Germany","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","West Germany","","","","","2"
"3 on scale 1-7 ","2006","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2006","Rural Area","East Germany","","","","","3"
"3 on scale 1-7 ","2006","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2006","Rural Area","West Germany","","","","","3"
"4 on scale 1-7","2006","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2006","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2006","Rural Area","East Germany","","","","","4"
"4 on scale 1-7","2006","Urban Area","West Germany","","","","","4"
"5 on scale 1-7","2006","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2006","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2006","Rural Area","East Germany","","","","","5"
"5 on scale 1-7","2006","Urban Area","West Germany","","","","","5"
"6 on scale 1-7","2006","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2006","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2006","Rural Area","East Germany","","","","","6"
"6 on scale 1-7","2006","Urban Area","West Germany","","","","","6"
"7 Strongly agree","2006","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2006","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2006","Rural Area","East Germany","","","","","7"
"7 Strongly agree","2006","Urban Area","West Germany","","","","","7"
"1 Strongly disagree","2007","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2007","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2007","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2007","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2007","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2007","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2007","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2007","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2007","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2007","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","West Germany","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","East Germany","","","","","3"
"4 on scale 1-7","2007","Urban Area","West Germany","","","","","4"
"4 on scale 1-7","2007","Urban Area","East Germany","","","","","4"
