"plh0206i05","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","West Germany","2387","0.1949782861677","0.18805016270867","0.201906409626731","1"
"1 Strongly disagree","2005","no migration background","East Germany","909","0.19914804527365","0.187978711532356","0.210317379014944","1"
"1 Strongly disagree","2005","direct migration background","West Germany","525","0.228100493070052","0.210793181340557","0.245407804799547","1"
"1 Strongly disagree","2005","direct migration background","East Germany","18","","","","1"
"1 Strongly disagree","2005","indirect migration background","West Germany","100","0.131688289208916","0.108137964080817","0.155238614337015","1"
"1 Strongly disagree","2005","indirect migration background","East Germany","2","","","","1"
"2 on scale 1-7 ","2005","direct migration background","West Germany","388","0.167818693783723","0.152404696847731","0.183232690719715","2"
"2 on scale 1-7 ","2005","no migration background","West Germany","2735","0.205464376931197","0.198398864724518","0.212529889137875","2"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","7","","","","2"
"2 on scale 1-7 ","2005","no migration background","East Germany","1061","0.198606660064631","0.18744874907979","0.209764571049472","2"
"2 on scale 1-7 ","2005","direct migration background","East Germany","15","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","West Germany","151","0.202372655911096","0.174391771792896","0.230353540029296","2"
"3 on scale 1-7 ","2005","indirect migration background","West Germany","134","0.167332301923064","0.141336019192964","0.193328584653164","3"
"3 on scale 1-7 ","2005","no migration background","West Germany","2247","0.172150449371585","0.165548860327789","0.17875203841538","3"
"3 on scale 1-7 ","2005","direct migration background","East Germany","23","","","","3"
"3 on scale 1-7 ","2005","direct migration background","West Germany","363","0.150980984167658","0.136213518939406","0.16574844939591","3"
"3 on scale 1-7 ","2005","no migration background","East Germany","835","0.161464525821079","0.151173411450444","0.171755640191714","3"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","5","","","","3"
"4 on scale 1-7","2005","indirect migration background","East Germany","9","","","","4"
"4 on scale 1-7","2005","no migration background","East Germany","933","0.193050757695194","0.182011954559359","0.20408956083103","4"
"4 on scale 1-7","2005","direct migration background","West Germany","419","0.193629927858678","0.177331730799812","0.209928124917543","4"
