"plh0206i05","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","West Germany","1339","0.244361584575199","0.233244178748882","0.255478990401517"
"1 Strongly disagree","2005","Not Employed","East Germany","424","0.230728923854502","0.212727123316299","0.248730724392706"
"1 Strongly disagree","2005","Employed","West Germany","1673","0.166997087274761","0.159640079234321","0.174354095315202"
"1 Strongly disagree","2005","Employed","East Germany","505","0.168358818918615","0.154839995716227","0.181877642121004"
"2 on scale 1-7 ","2005","Not Employed","West Germany","1086","0.179929169976496","0.16999099934388","0.189867340609111"
"2 on scale 1-7 ","2005","Not Employed","East Germany","397","0.177399382815424","0.161076540279618","0.193722225351229"
"2 on scale 1-7 ","2005","Employed","West Germany","2188","0.212047150251735","0.203984276532749","0.220110023970722"
"2 on scale 1-7 ","2005","Employed","East Germany","686","0.214204507917398","0.19938198844219","0.229027027392606"
"3 on scale 1-7 ","2005","Not Employed","West Germany","957","0.157308464942241","0.147888694030498","0.166728235853984"
"3 on scale 1-7 ","2005","Not Employed","East Germany","343","0.151554691392718","0.136232466167141","0.166876916618295"
"3 on scale 1-7 ","2005","Employed","West Germany","1787","0.175931053294405","0.168420420168143","0.183441686420668"
"3 on scale 1-7 ","2005","Employed","East Germany","520","0.172838918813006","0.15917835021341","0.186499487412602"
"4 on scale 1-7","2005","Not Employed","West Germany","1025","0.177163578845608","0.167285466655181","0.187041691036035"
"4 on scale 1-7","2005","Not Employed","East Germany","386","0.189132752946835","0.172399380615782","0.205866125277887"
"4 on scale 1-7","2005","Employed","West Germany","1971","0.206790251690366","0.198801432814191","0.214779070566541"
"4 on scale 1-7","2005","Employed","East Germany","571","0.195316426654791","0.180993396278512","0.20963945703107"
"5 on scale 1-7","2005","Not Employed","West Germany","626","0.110639159509435","0.102523507547213","0.118754811471657"
"5 on scale 1-7","2005","Not Employed","East Germany","258","0.112490957434521","0.0989898179790827","0.12599209688996"
"5 on scale 1-7","2005","Employed","West Germany","1122","0.109124559718119","0.102974302661321","0.115274816774916"
"5 on scale 1-7","2005","Employed","East Germany","335","0.113570831326215","0.102107565024164","0.125034097628267"
"6 on scale 1-7","2005","Not Employed","West Germany","392","0.0733412650460157","0.0665965425013419","0.0800859875906895"
"6 on scale 1-7","2005","Not Employed","East Germany","174","0.0776838548633101","0.0662463705116896","0.0891213392149307"
"6 on scale 1-7","2005","Employed","West Germany","647","0.0747123779952077","0.0695260715016419","0.0798986844887736"
"6 on scale 1-7","2005","Employed","East Germany","182","0.0693814218749698","0.0602010469729174","0.0785617967770222"
"7 Strongly agree","2005","Not Employed","West Germany","314","0.0572567771050058","0.0512458683220777","0.063267685887934"
"7 Strongly agree","2005","Not Employed","East Germany","122","0.0610094366926895","0.0507822933107143","0.0712365800746646"
"7 Strongly agree","2005","Employed","West Germany","485","0.0543975197754055","0.0499238144637211","0.0588712250870899"
"7 Strongly agree","2005","Employed","East Germany","144","0.0663290744950045","0.0573382018433681","0.0753199471466408"
"1 Strongly disagree","2006","Not Employed","West Germany","","","",""
"1 Strongly disagree","2006","Not Employed","East Germany","","","",""
"1 Strongly disagree","2006","Employed","West Germany","","","",""
"1 Strongly disagree","2006","Employed","East Germany","","","",""
"2 on scale 1-7 ","2006","Not Employed","West Germany","","","",""
"2 on scale 1-7 ","2006","Not Employed","East Germany","","","",""
"2 on scale 1-7 ","2006","Employed","West Germany","","","",""
"2 on scale 1-7 ","2006","Employed","East Germany","","","",""
"3 on scale 1-7 ","2006","Not Employed","West Germany","","","",""
"3 on scale 1-7 ","2006","Not Employed","East Germany","","","",""
"3 on scale 1-7 ","2006","Employed","West Germany","","","",""
"3 on scale 1-7 ","2006","Employed","East Germany","","","",""
"4 on scale 1-7","2006","Not Employed","West Germany","","","",""
"4 on scale 1-7","2006","Not Employed","East Germany","","","",""
"4 on scale 1-7","2006","Employed","West Germany","","","",""
"4 on scale 1-7","2006","Employed","East Germany","","","",""
"5 on scale 1-7","2006","Not Employed","West Germany","","","",""
"5 on scale 1-7","2006","Not Employed","East Germany","","","",""
"5 on scale 1-7","2006","Employed","West Germany","","","",""
"5 on scale 1-7","2006","Employed","East Germany","","","",""
"6 on scale 1-7","2006","Not Employed","West Germany","","","",""
"6 on scale 1-7","2006","Not Employed","East Germany","","","",""
"6 on scale 1-7","2006","Employed","West Germany","","","",""
"6 on scale 1-7","2006","Employed","East Germany","","","",""
"7 Strongly agree","2006","Not Employed","West Germany","","","",""
"7 Strongly agree","2006","Not Employed","East Germany","","","",""
"7 Strongly agree","2006","Employed","West Germany","","","",""
"7 Strongly agree","2006","Employed","East Germany","","","",""
"1 Strongly disagree","2007","Not Employed","West Germany","","","",""
"1 Strongly disagree","2007","Not Employed","East Germany","","","",""
"1 Strongly disagree","2007","Employed","West Germany","","","",""
"1 Strongly disagree","2007","Employed","East Germany","","","",""
"2 on scale 1-7 ","2007","Not Employed","West Germany","","","",""
"2 on scale 1-7 ","2007","Not Employed","East Germany","","","",""
"2 on scale 1-7 ","2007","Employed","West Germany","","","",""
"2 on scale 1-7 ","2007","Employed","East Germany","","","",""
"3 on scale 1-7 ","2007","Not Employed","West Germany","","","",""
