"plh0206i05","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","Male","779","0.139152967933785","0.129869134057127","0.148436801810442","1"
"1 Strongly disagree","2005","Full Time","Female","556","0.201909178238618","0.186685649346381","0.217132707130854","1"
"1 Strongly disagree","2005","Part Time","Male","186","0.131074742822059","0.11330120339173","0.148848282252389","1"
"1 Strongly disagree","2005","Part Time","Female","657","0.204008153565206","0.190504551663233","0.217511755467178","1"
"1 Strongly disagree","2005","Not Working","Male","602","0.210683346599012","0.196458370768866","0.224908322429157","1"
"1 Strongly disagree","2005","Not Working","Female","1161","0.26163402098968","0.249049696858928","0.274218345120431","1"
"2 on scale 1-7 ","2005","Part Time","Male","286","0.212525942174124","0.19098090205334","0.234070982294908","2"
"2 on scale 1-7 ","2005","Full Time","Male","1141","0.203574767410859","0.192774049841792","0.214375484979925","2"
"2 on scale 1-7 ","2005","Not Working","Female","933","0.192079036773165","0.180800016637729","0.2033580569086","2"
"2 on scale 1-7 ","2005","Full Time","Female","618","0.224128096600473","0.20831363864319","0.239942554557755","2"
"2 on scale 1-7 ","2005","Part Time","Female","829","0.217830738640494","0.203998849221555","0.231662628059432","2"
"2 on scale 1-7 ","2005","Not Working","Male","550","0.160011558910262","0.147222955099887","0.172800162720637","2"
"3 on scale 1-7 ","2005","Not Working","Male","519","0.151545002962751","0.139036768416568","0.164053237508934","3"
"3 on scale 1-7 ","2005","Full Time","Male","1018","0.186147869731962","0.175707402896662","0.196588336567261","3"
"3 on scale 1-7 ","2005","Part Time","Female","585","0.173701062384763","0.161005808559581","0.186396316209945","3"
"3 on scale 1-7 ","2005","Part Time","Male","224","0.143170416861984","0.124724634703676","0.161616199020292","3"
"3 on scale 1-7 ","2005","Full Time","Female","480","0.174600239082518","0.160203446974694","0.188997031190343","3"
"3 on scale 1-7 ","2005","Not Working","Female","781","0.159068099091769","0.14859635770068","0.169539840482858","3"
"4 on scale 1-7","2005","Not Working","Female","787","0.170172701367602","0.159413358330944","0.180932044404261","4"
"4 on scale 1-7","2005","Full Time","Female","487","0.188718962538648","0.17387996442064","0.203557960656655","4"
"4 on scale 1-7","2005","Part Time","Male","306","0.216838355831875","0.19513549618332","0.23854121548043","4"
"4 on scale 1-7","2005","Not Working","Male","624","0.194242022622091","0.18044184415365","0.208042201090531","4"
"4 on scale 1-7","2005","Full Time","Male","1097","0.220398552040761","0.209279729019103","0.231517375062418","4"
"4 on scale 1-7","2005","Part Time","Female","652","0.185925225918318","0.172888370127163","0.198962081709473","4"
"5 on scale 1-7","2005","Not Working","Female","479","0.101635132762051","0.0929835561483972","0.110286709375704","5"
"5 on scale 1-7","2005","Part Time","Female","366","0.109347188913692","0.0988896476533352","0.119804730174049","5"
"5 on scale 1-7","2005","Not Working","Male","405","0.125387429988471","0.11383573647144","0.136939123505502","5"
"5 on scale 1-7","2005","Full Time","Male","662","0.114972229273287","0.106415790325425","0.123528668221148","5"
"5 on scale 1-7","2005","Full Time","Female","262","0.0920185457463699","0.0810566083182996","0.10298048317444","5"
"5 on scale 1-7","2005","Part Time","Male","167","0.122568668916123","0.105297588424918","0.139839749407327","5"
"6 on scale 1-7","2005","Not Working","Female","317","0.0667696527746833","0.0596225350739883","0.0739167704753783","6"
"6 on scale 1-7","2005","Part Time","Male","113","0.0891751039827695","0.0741657340059702","0.104184473959569","6"
"6 on scale 1-7","2005","Not Working","Male","249","0.0857036478253171","0.0759390592960121","0.0954682363546221","6"
"6 on scale 1-7","2005","Full Time","Male","375","0.0814599202773892","0.0741225712809178","0.0887972692738605","6"
"6 on scale 1-7","2005","Part Time","Female","194","0.0622975976025021","0.054198442465109","0.0703967527398952","6"
"6 on scale 1-7","2005","Full Time","Female","147","0.0628864374757549","0.0536801240764995","0.0720927508750103","6"
"7 Strongly agree","2005","Not Working","Female","228","0.04864135624105","0.0424821900753256","0.0548005224067743","7"
"7 Strongly agree","2005","Not Working","Male","208","0.0724269910920967","0.0633856037951476","0.0814683783890459","7"
"7 Strongly agree","2005","Part Time","Male","103","0.0846467694110654","0.0699871479049897","0.0993063909171411","7"
"7 Strongly agree","2005","Part Time","Female","138","0.0468900329750246","0.0398059550698215","0.0539741108802278","7"
"7 Strongly agree","2005","Full Time","Male","267","0.0542936933319586","0.0482155495969075","0.0603718370670097","7"
"7 Strongly agree","2005","Full Time","Female","121","0.055738540317619","0.0470382233559868","0.0644388572792513","7"
"1 Strongly disagree","2006","Full Time","Female","","","","","1"
"1 Strongly disagree","2006","Part Time","Male","","","","","1"
"1 Strongly disagree","2006","Part Time","Female","","","","","1"
"1 Strongly disagree","2006","Not Working","Male","","","","","1"
"1 Strongly disagree","2006","Not Working","Female","","","","","1"
"1 Strongly disagree","2006","Full Time","Male","","","","","1"
"2 on scale 1-7 ","2006","Full Time","Male","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Male","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Female","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Female","","","","","2"
"2 on scale 1-7 ","2006","Full Time","Female","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Male","","","","","2"
"3 on scale 1-7 ","2006","Not Working","Female","","","","","3"
"3 on scale 1-7 ","2006","Not Working","Male","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Female","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Male","","","","","3"
"3 on scale 1-7 ","2006","Full Time","Female","","","","","3"
"3 on scale 1-7 ","2006","Full Time","Male","","","","","3"
"4 on scale 1-7","2006","Full Time","Female","","","","","4"
"4 on scale 1-7","2006","Full Time","Male","","","","","4"
"4 on scale 1-7","2006","Not Working","Female","","","","","4"
"4 on scale 1-7","2006","Not Working","Male","","","","","4"
"4 on scale 1-7","2006","Part Time","Female","","","","","4"
"4 on scale 1-7","2006","Part Time","Male","","","","","4"
"5 on scale 1-7","2006","Not Working","Female","","","","","5"
"5 on scale 1-7","2006","Not Working","Male","","","","","5"
"5 on scale 1-7","2006","Part Time","Male","","","","","5"
"5 on scale 1-7","2006","Part Time","Female","","","","","5"
"5 on scale 1-7","2006","Full Time","Male","","","","","5"
"5 on scale 1-7","2006","Full Time","Female","","","","","5"
"6 on scale 1-7","2006","Not Working","Female","","","","","6"
"6 on scale 1-7","2006","Part Time","Male","","","","","6"
"6 on scale 1-7","2006","Not Working","Male","","","","","6"
"6 on scale 1-7","2006","Part Time","Female","","","","","6"
"6 on scale 1-7","2006","Full Time","Female","","","","","6"
"6 on scale 1-7","2006","Full Time","Male","","","","","6"
"7 Strongly agree","2006","Not Working","Female","","","","","7"
"7 Strongly agree","2006","Part Time","Male","","","","","7"
"7 Strongly agree","2006","Part Time","Female","","","","","7"
"7 Strongly agree","2006","Not Working","Male","","","","","7"
"7 Strongly agree","2006","Full Time","Male","","","","","7"
"7 Strongly agree","2006","Full Time","Female","","","","","7"
"1 Strongly disagree","2007","Full Time","Male","","","","","1"
"1 Strongly disagree","2007","Full Time","Female","","","","","1"
"1 Strongly disagree","2007","Part Time","Male","","","","","1"
"1 Strongly disagree","2007","Part Time","Female","","","","","1"
"1 Strongly disagree","2007","Not Working","Male","","","","","1"
"1 Strongly disagree","2007","Not Working","Female","","","","","1"
