"plh0206i05","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","3012","0.197213204966912","0.190971734421912","0.203454675511912"
"1 Strongly disagree","2005","East Germany","929","0.196907989355243","0.185937000846327","0.207878977864159"
"2 on scale 1-7 ","2005","West Germany","3274","0.199502886333597","0.19323424681072","0.205771525856473"
"2 on scale 1-7 ","2005","East Germany","1083","0.197357401590452","0.186376974046109","0.208337829134795"
"3 on scale 1-7 ","2005","West Germany","2744","0.168657661221601","0.162783960614403","0.174531361828799"
"3 on scale 1-7 ","2005","East Germany","863","0.163096317981111","0.152903570704567","0.173289065257655"
"4 on scale 1-7","2005","West Germany","2996","0.19521901339966","0.189001471363","0.20143655543632"
"4 on scale 1-7","2005","East Germany","957","0.192485923887569","0.181609002809873","0.203362844965266"
"5 on scale 1-7","2005","West Germany","1748","0.109716114334873","0.104813606626196","0.114618622043549"
"5 on scale 1-7","2005","East Germany","593","0.11307653195289","0.104339563812817","0.121813500092963"
"6 on scale 1-7","2005","West Germany","1039","0.0741768647858201","0.0700661525961531","0.0782875769754871"
"6 on scale 1-7","2005","East Germany","356","0.0731817613912566","0.0659967054545193","0.080366817327994"
"7 Strongly agree","2005","West Germany","799","0.0555142549575374","0.0519224000811341","0.0591061098339407"
"7 Strongly agree","2005","East Germany","266","0.0638940738414777","0.0571468638680549","0.0706412838149005"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
"1 Strongly disagree","2007","East Germany","","","",""
"2 on scale 1-7 ","2007","West Germany","","","",""
