"plh0206i05","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","Male","1097","0.170905148793498","0.161822309756264","0.179987987830731","1"
"1 Strongly disagree","2005","Urban Area","Female","1665","0.240918807601955","0.231062860807628","0.250774754396281","1"
"1 Strongly disagree","2005","Rural Area","Male","470","0.140472662861339","0.128586589560582","0.152358736162095","1"
"1 Strongly disagree","2005","Rural Area","Female","709","0.208399912317013","0.195031482260947","0.22176834237308","1"
"2 on scale 1-7 ","2005","Urban Area","Female","1614","0.209757637243202","0.200374286999504","0.219140987486901","2"
"2 on scale 1-7 ","2005","Rural Area","Male","633","0.197557082410382","0.183937429948015","0.211176734872749","2"
"2 on scale 1-7 ","2005","Rural Area","Female","766","0.201261651526725","0.188065068045407","0.214458235008044","2"
"2 on scale 1-7 ","2005","Urban Area","Male","1344","0.187468214073657","0.178050924253906","0.196885503893407","2"
"3 on scale 1-7 ","2005","Urban Area","Female","1273","0.171945078806802","0.163248602284871","0.180641555328733","3"
"3 on scale 1-7 ","2005","Rural Area","Male","561","0.1620702553169","0.149464522106914","0.174675988526885","3"
"3 on scale 1-7 ","2005","Rural Area","Female","573","0.156039610552753","0.144095407270422","0.167983813835084","3"
"3 on scale 1-7 ","2005","Urban Area","Male","1200","0.171103531833344","0.162016510093609","0.180190553573079","3"
"4 on scale 1-7","2005","Rural Area","Female","680","0.197607363160898","0.184501254802844","0.210713471518952","4"
"4 on scale 1-7","2005","Urban Area","Female","1246","0.170749514519108","0.162077070836511","0.179421958201704","4"
"4 on scale 1-7","2005","Rural Area","Male","712","0.22114321522258","0.206946814059706","0.235339616385454","4"
"4 on scale 1-7","2005","Urban Area","Male","1315","0.206810774406014","0.19703802148315","0.216583527328879","4"
"5 on scale 1-7","2005","Rural Area","Male","452","0.123915173819125","0.112644549493019","0.135185798145231","5"
"5 on scale 1-7","2005","Urban Area","Female","697","0.0982014770144702","0.0913429215975827","0.105060032431358","5"
"5 on scale 1-7","2005","Urban Area","Male","782","0.117569114132","0.10979718362759","0.12534104463641","5"
"5 on scale 1-7","2005","Rural Area","Female","410","0.109355708341832","0.0990837890412935","0.11962762764237","5"
"6 on scale 1-7","2005","Rural Area","Male","257","0.0807593728439862","0.0714392052108015","0.0900795404771709","6"
"6 on scale 1-7","2005","Rural Area","Female","238","0.0693979858804571","0.0610335982216573","0.0777623735392569","6"
"6 on scale 1-7","2005","Urban Area","Female","420","0.0623542339343823","0.0567814621949462","0.0679270056738185","6"
"6 on scale 1-7","2005","Urban Area","Male","480","0.0854858361180083","0.0787392474052678","0.0922324248307487","6"
"7 Strongly agree","2005","Rural Area","Female","170","0.0579377682203213","0.050248245175259","0.0656272912653836","7"
"7 Strongly agree","2005","Urban Area","Female","317","0.0460732508800805","0.0412415412785825","0.0509049604815785","7"
"7 Strongly agree","2005","Rural Area","Male","198","0.074082237525689","0.0651233124840426","0.0830411625673353","7"
"7 Strongly agree","2005","Urban Area","Male","380","0.060657380643479","0.0548977348600556","0.0664170264269023","7"
"1 Strongly disagree","2006","Urban Area","Male","","","","","1"
"1 Strongly disagree","2006","Urban Area","Female","","","","","1"
"1 Strongly disagree","2006","Rural Area","Male","","","","","1"
"1 Strongly disagree","2006","Rural Area","Female","","","","","1"
"2 on scale 1-7 ","2006","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","Female","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","Male","","","","","2"
