"plh0206i05","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","Urban Area","515","0.256320962815818","0.237553495028467","0.275088430603169"
"1 Strongly disagree","2005","1-pers.-HH","Rural Area","163","0.177369844429965","0.152074637106844","0.202665051753086"
"1 Strongly disagree","2005","(Married) couple without C. ","Urban Area","1058","0.226292903402013","0.214398511060725","0.2381872957433"
"1 Strongly disagree","2005","(Married) couple without C. ","Rural Area","459","0.209182255457503","0.192402604023188","0.225961906891817"
"1 Strongly disagree","2005","Single parent ","Urban Area","154","0.210969445653689","0.180895176960151","0.241043714347228"
"1 Strongly disagree","2005","Single parent ","Rural Area","65","0.146739870835607","0.111531411560333","0.18194833011088"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Urban Area","409","0.146705061105","0.13295365701677","0.160456465193231"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Rural Area","177","0.153633617354676","0.132891441506716","0.174375793202636"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Urban Area","353","0.148599130880014","0.134021391288245","0.163176870471784"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Rural Area","193","0.144792302733206","0.126035090892763","0.163549514573649"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Urban Area","205","0.19322839895541","0.170011626741082","0.216445171169737"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Rural Area","95","0.177020264981467","0.1461957318467","0.207844798116234"
"2 on scale 1-7 ","2005","1-pers.-HH","Urban Area","453","0.206378892860611","0.188982464602614","0.223775321118608"
"2 on scale 1-7 ","2005","1-pers.-HH","Rural Area","167","0.201547905425457","0.174982917994725","0.22811289285619"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","1074","0.204348967515509","0.19288681873043","0.215811116300589"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","462","0.202580736373513","0.18599920085036","0.219162271896666"
"2 on scale 1-7 ","2005","Single parent ","Urban Area","124","0.178164757674511","0.149958747038344","0.206370768310677"
"2 on scale 1-7 ","2005","Single parent ","Rural Area","77","0.19238270599264","0.153161761498923","0.231603650486356"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","572","0.208091031680029","0.192313494099644","0.223868569260415"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Rural Area","250","0.208300388404461","0.184941227567643","0.231659549241279"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Urban Area","464","0.187751049791584","0.171746230495234","0.203755869087934"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Rural Area","283","0.196365224681305","0.175190323346849","0.21754012601576"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","202","0.16510844783312","0.143276587605585","0.186940308060655"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Rural Area","121","0.171359432870307","0.140927639449637","0.201791226290976"
"3 on scale 1-7 ","2005","1-pers.-HH","Urban Area","370","0.177412551072615","0.160991382623713","0.193833719521517"
"3 on scale 1-7 ","2005","1-pers.-HH","Rural Area","140","0.151704840621785","0.127949062977023","0.175460618266546"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","831","0.168479743898668","0.157840059010915","0.179119428786421"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","392","0.153184001293529","0.138325207919985","0.168042794667073"
"3 on scale 1-7 ","2005","Single parent ","Urban Area","104","0.143502149926185","0.117659875948315","0.169344423904055"
"3 on scale 1-7 ","2005","Single parent ","Rural Area","53","0.134821554194947","0.100838317645692","0.168804790744203"
