"plh0206i05","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","3296","0.195880155293714","0.189995514440777","0.201764796146652"
"1 Strongly disagree","2005","direct migration background","543","0.224975193899931","0.208124831737485","0.241825556062376"
"1 Strongly disagree","2005","indirect migration background","102","0.129411937782545","0.106535475703957","0.152288399861132"
"2 on scale 1-7 ","2005","no migration background","3796","0.203981134623967","0.198006366787872","0.209955902460061"
"2 on scale 1-7 ","2005","direct migration background","403","0.167208871703257","0.152150367873229","0.182267375533286"
"2 on scale 1-7 ","2005","indirect migration background","158","0.202599378085428","0.175205553200376","0.22999320297048"
"3 on scale 1-7 ","2005","no migration background","3082","0.169839211650586","0.164271657582554","0.175406765718617"
"3 on scale 1-7 ","2005","direct migration background","386","0.153160332331026","0.138627245541275","0.167693419120778"
"3 on scale 1-7 ","2005","indirect migration background","139","0.16909887152791","0.14355184462581","0.194645898430009"
"4 on scale 1-7","2005","no migration background","3343","0.195322510321513","0.189444214641823","0.201200806001203"
"4 on scale 1-7","2005","direct migration background","434","0.192483383158038","0.176573885163651","0.208392881152425"
"4 on scale 1-7","2005","indirect migration background","176","0.189053054289676","0.162367058908691","0.21573904967066"
"5 on scale 1-7","2005","no migration background","1944","0.10570008085427","0.101141353614193","0.110258808094348"
"5 on scale 1-7","2005","direct migration background","288","0.134561424715355","0.120790518090722","0.148332331339989"
"5 on scale 1-7","2005","indirect migration background","109","0.128055960884042","0.105281949028056","0.150829972740029"
"6 on scale 1-7","2005","no migration background","1174","0.0749030425600087","0.0709999602641083","0.078806124855909"
"6 on scale 1-7","2005","direct migration background","141","0.0603105907658504","0.050703916220165","0.0699172653115359"
"6 on scale 1-7","2005","indirect migration background","80","0.101143528413888","0.0805936355966126","0.121693421231164"
"7 Strongly agree","2005","no migration background","838","0.0543738646959418","0.0510116984249111","0.0577360309669724"
"7 Strongly agree","2005","direct migration background","164","0.0673002034265419","0.0571899218734677","0.0774104849796161"
"7 Strongly agree","2005","indirect migration background","63","0.0806372690165114","0.0620803151154759","0.099194222917547"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
"7 Strongly agree","2006","direct migration background","","","",""
"7 Strongly agree","2006","indirect migration background","","","",""
"1 Strongly disagree","2007","no migration background","","","",""
"1 Strongly disagree","2007","direct migration background","","","",""
"1 Strongly disagree","2007","indirect migration background","","","",""
"2 on scale 1-7 ","2007","no migration background","","","",""
"2 on scale 1-7 ","2007","direct migration background","","","",""
"2 on scale 1-7 ","2007","indirect migration background","","","",""
"3 on scale 1-7 ","2007","no migration background","","","",""
"3 on scale 1-7 ","2007","direct migration background","","","",""
"3 on scale 1-7 ","2007","indirect migration background","","","",""
"4 on scale 1-7","2007","no migration background","","","",""
"4 on scale 1-7","2007","direct migration background","","","",""
"4 on scale 1-7","2007","indirect migration background","","","",""
"5 on scale 1-7","2007","no migration background","","","",""
"5 on scale 1-7","2007","direct migration background","","","",""
"5 on scale 1-7","2007","indirect migration background","","","",""
"6 on scale 1-7","2007","no migration background","","","",""
"6 on scale 1-7","2007","direct migration background","","","",""
"6 on scale 1-7","2007","indirect migration background","","","",""
"7 Strongly agree","2007","no migration background","","","",""
"7 Strongly agree","2007","direct migration background","","","",""
"7 Strongly agree","2007","indirect migration background","","","",""
"1 Strongly disagree","2008","no migration background","","","",""
"1 Strongly disagree","2008","direct migration background","","","",""
"1 Strongly disagree","2008","indirect migration background","","","",""
"2 on scale 1-7 ","2008","no migration background","","","",""
"2 on scale 1-7 ","2008","direct migration background","","","",""
"2 on scale 1-7 ","2008","indirect migration background","","","",""
"3 on scale 1-7 ","2008","no migration background","","","",""
"3 on scale 1-7 ","2008","direct migration background","","","",""
"3 on scale 1-7 ","2008","indirect migration background","","","",""
"4 on scale 1-7","2008","no migration background","","","",""
"4 on scale 1-7","2008","direct migration background","","","",""
"4 on scale 1-7","2008","indirect migration background","","","",""
"5 on scale 1-7","2008","no migration background","","","",""
"5 on scale 1-7","2008","direct migration background","","","",""
"5 on scale 1-7","2008","indirect migration background","","","",""
"6 on scale 1-7","2008","no migration background","","","",""
"6 on scale 1-7","2008","direct migration background","","","",""
"6 on scale 1-7","2008","indirect migration background","","","",""
"7 Strongly agree","2008","no migration background","","","",""
"7 Strongly agree","2008","direct migration background","","","",""
"7 Strongly agree","2008","indirect migration background","","","",""
"1 Strongly disagree","2009","no migration background","","","",""
"1 Strongly disagree","2009","direct migration background","","","",""
"1 Strongly disagree","2009","indirect migration background","","","",""
"2 on scale 1-7 ","2009","no migration background","","","",""
"2 on scale 1-7 ","2009","direct migration background","","","",""
"2 on scale 1-7 ","2009","indirect migration background","","","",""
"3 on scale 1-7 ","2009","no migration background","","","",""
"3 on scale 1-7 ","2009","direct migration background","","","",""
"3 on scale 1-7 ","2009","indirect migration background","","","",""
"4 on scale 1-7","2009","no migration background","","","",""
"4 on scale 1-7","2009","direct migration background","","","",""
"4 on scale 1-7","2009","indirect migration background","","","",""
"5 on scale 1-7","2009","no migration background","","","",""
