"plh0206i05","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","in school","65","0.142229474965184","0.113012026840506","0.171446923089861"
"1 Strongly disagree","2005","Not Employed","inadequately","45","0.373573760177591","0.294835241077031","0.452312279278151"
"1 Strongly disagree","2005","Not Employed","general elemantary","297","0.228040082333002","0.205608938157409","0.250471226508595"
"1 Strongly disagree","2005","Not Employed","middle vocational","904","0.249630879967905","0.236094445945775","0.263167313990035"
"1 Strongly disagree","2005","Not Employed","vocational + Abi","57","0.218682326428873","0.170523539371801","0.266841113485945"
"1 Strongly disagree","2005","Not Employed","higher vocational","118","0.270784750470966","0.229999264423102","0.311570236518829"
"1 Strongly disagree","2005","Not Employed","higher education","256","0.261820231804383","0.234586088221648","0.289054375387119"
"1 Strongly disagree","2005","Employed","in school","9","","",""
"1 Strongly disagree","2005","Employed","inadequately","12","","",""
"1 Strongly disagree","2005","Employed","general elemantary","162","0.14603459748969","0.124705036221891","0.167364158757489"
"1 Strongly disagree","2005","Employed","middle vocational","1032","0.160538366815766","0.151479119939732","0.1695976136918"
"1 Strongly disagree","2005","Employed","vocational + Abi","141","0.189820727894136","0.163441831202649","0.216199624585624"
"1 Strongly disagree","2005","Employed","higher vocational","202","0.193274393958434","0.169939715036492","0.216609072880375"
"1 Strongly disagree","2005","Employed","higher education","601","0.186830180638295","0.173240204558438","0.200420156718152"
"2 on scale 1-7 ","2005","Not Employed","in school","83","0.139647473548612","0.110652903074992","0.168642044022231"
"2 on scale 1-7 ","2005","Not Employed","inadequately","13","","",""
"2 on scale 1-7 ","2005","Not Employed","general elemantary","220","0.168049715115052","0.14805956597118","0.188039864258924"
"2 on scale 1-7 ","2005","Not Employed","middle vocational","737","0.176298760249624","0.164380108526812","0.188217411972435"
"2 on scale 1-7 ","2005","Not Employed","vocational + Abi","57","0.18062831735318","0.135806623308312","0.225450011398049"
"2 on scale 1-7 ","2005","Not Employed","higher vocational","119","0.23529033593592","0.196357503203282","0.274223168668558"
"2 on scale 1-7 ","2005","Not Employed","higher education","239","0.218833198813985","0.19322025212177","0.244446145506201"
"2 on scale 1-7 ","2005","Employed","in school","21","","",""
"2 on scale 1-7 ","2005","Employed","inadequately","18","","",""
"2 on scale 1-7 ","2005","Employed","general elemantary","172","0.160618820344918","0.138441363895633","0.182796276794203"
"2 on scale 1-7 ","2005","Employed","middle vocational","1275","0.200182352327427","0.190307954189941","0.210056750464913"
"2 on scale 1-7 ","2005","Employed","vocational + Abi","210","0.22951753023202","0.201230747293744","0.257804313170296"
"2 on scale 1-7 ","2005","Employed","higher vocational","251","0.215214532252091","0.190928139087382","0.239500925416801"
"2 on scale 1-7 ","2005","Employed","higher education","896","0.264342194352785","0.248966819283613","0.279717569421957"
"3 on scale 1-7 ","2005","Not Employed","in school","85","0.135315481079806","0.106702408036729","0.163928554122883"
"3 on scale 1-7 ","2005","Not Employed","inadequately","23","","",""
"3 on scale 1-7 ","2005","Not Employed","general elemantary","215","0.151815330158445","0.132630786186535","0.170999874130355"
"3 on scale 1-7 ","2005","Not Employed","middle vocational","646","0.148534758279146","0.137411932127874","0.159657584430418"
"3 on scale 1-7 ","2005","Not Employed","vocational + Abi","56","0.203009190903196","0.156145188135498","0.249873193670894"
"3 on scale 1-7 ","2005","Not Employed","higher vocational","66","0.158161306918184","0.124670143545422","0.191652470290947"
