"plh0206i05","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","1-pers.-HH","412","0.294047409764251","0.270399934746277","0.317694884782225","1"
"1 Strongly disagree","2005","Not Employed","(Married) couple without C. ","867","0.261979808370735","0.247383184012672","0.276576432728798","1"
"1 Strongly disagree","2005","Not Employed","Single parent ","81","0.202564850278515","0.162573878343884","0.242555822213147","1"
"1 Strongly disagree","2005","Not Employed","Couple + C. LE 16 ","113","0.161524598716859","0.133575006570134","0.189474190863583","1"
"1 Strongly disagree","2005","Not Employed","Couple + C. GT 16 ","163","0.155028771346135","0.133393070286231","0.176664472406039","1"
"1 Strongly disagree","2005","Not Employed","Couple + C. LE and GT 16","83","0.151371264061131","0.121225328822717","0.181517199299546","1"
"1 Strongly disagree","2005","Employed","1-pers.-HH","266","0.177169753991298","0.158031854780753","0.196307653201843","1"
"1 Strongly disagree","2005","Employed","(Married) couple without C. ","650","0.176325951692494","0.163745265198566","0.188906638186422","1"
"1 Strongly disagree","2005","Employed","Single parent ","138","0.185834250361894","0.157162270798698","0.21450622992509","1"
"1 Strongly disagree","2005","Employed","Couple + C. LE 16 ","473","0.145900680718291","0.133347983505749","0.158453377930833","1"
"1 Strongly disagree","2005","Employed","Couple + C. GT 16 ","383","0.143922532465673","0.130335956859274","0.157509108072072","1"
"1 Strongly disagree","2005","Employed","Couple + C. LE and GT 16","217","0.204262977568411","0.18103234568364","0.227493609453181","1"
"2 on scale 1-7 ","2005","Not Employed","Single parent ","66","0.17945088467786","0.141269003580154","0.217632765775567","2"
"2 on scale 1-7 ","2005","Employed","1-pers.-HH","354","0.230547195172734","0.209435881267212","0.251658509078255","2"
"2 on scale 1-7 ","2005","Employed","Couple + C. GT 16 ","548","0.198274951870437","0.182842471495757","0.213707432245118","2"
"2 on scale 1-7 ","2005","Not Employed","(Married) couple without C. ","702","0.186162205442392","0.173241117433103","0.199083293451682","2"
"2 on scale 1-7 ","2005","Not Employed","Couple + C. LE and GT 16","79","0.128935176344996","0.100747509914054","0.157122842775939","2"
"2 on scale 1-7 ","2005","Employed","Couple + C. LE and GT 16","244","0.184815431067041","0.162449936745528","0.207180925388554","2"
"2 on scale 1-7 ","2005","Not Employed","Couple + C. LE 16 ","118","0.172181402297873","0.143508497931423","0.200854306664323","2"
"2 on scale 1-7 ","2005","Not Employed","1-pers.-HH","266","0.178977459369597","0.159081493009021","0.198873425730172","2"
"2 on scale 1-7 ","2005","Not Employed","Couple + C. GT 16 ","199","0.173337682223663","0.150709252262445","0.195966112184881","2"
"2 on scale 1-7 ","2005","Employed","(Married) couple without C. ","834","0.222877147863319","0.209138432020763","0.236615863705874","2"
"2 on scale 1-7 ","2005","Employed","Single parent ","135","0.184034251990599","0.15546994587686","0.212598558104339","2"
"2 on scale 1-7 ","2005","Employed","Couple + C. LE 16 ","704","0.21631783609713","0.201676849181624","0.230958823012635","2"
"3 on scale 1-7 ","2005","Not Employed","(Married) couple without C. ","565","0.145873240048489","0.134155782774278","0.157590697322701","3"
"3 on scale 1-7 ","2005","Not Employed","Single parent ","52","0.125231354766929","0.0922980455641873","0.15816466396967","3"
"3 on scale 1-7 ","2005","Not Employed","Couple + C. LE 16 ","130","0.178583326386259","0.14949537152692","0.207671281245598","3"
"3 on scale 1-7 ","2005","Not Employed","Couple + C. GT 16 ","167","0.143533556859514","0.122574305875559","0.164492807843469","3"
"3 on scale 1-7 ","2005","Not Employed","Couple + C. LE and GT 16","94","0.15987186186541","0.129046586993418","0.190697136737402","3"
"3 on scale 1-7 ","2005","Employed","1-pers.-HH","265","0.165340497607431","0.146720113327708","0.183960881887153","3"
"3 on scale 1-7 ","2005","Employed","(Married) couple without C. ","658","0.182848865596751","0.170088419435896","0.195609311757606","3"
"3 on scale 1-7 ","2005","Employed","Single parent ","105","0.149220648463918","0.122956621468846","0.17548467545899","3"
"3 on scale 1-7 ","2005","Employed","Couple + C. LE 16 ","528","0.173689389026744","0.160217995750538","0.187160782302951","3"
"3 on scale 1-7 ","2005","Employed","Couple + C. GT 16 ","501","0.191988464070261","0.176743183258036","0.207233744882486","3"
"3 on scale 1-7 ","2005","Employed","Couple + C. LE and GT 16","199","0.16954131699123","0.147920196208225","0.191162437774235","3"
"3 on scale 1-7 ","2005","Not Employed","1-pers.-HH","245","0.175666252330768","0.155915482117929","0.195417022543608","3"
"4 on scale 1-7","2005","Not Employed","Couple + C. LE and GT 16","121","0.224787602326734","0.189676480273798","0.25989872437967","4"
"4 on scale 1-7","2005","Employed","Couple + C. GT 16 ","556","0.228693932456943","0.212437330368272","0.244950534545615","4"
"4 on scale 1-7","2005","Not Employed","(Married) couple without C. ","562","0.169987514041208","0.157518410715745","0.18245661736667","4"
"4 on scale 1-7","2005","Employed","1-pers.-HH","294","0.19748332290824","0.177529018439983","0.217437627376498","4"
"4 on scale 1-7","2005","Not Employed","Couple + C. GT 16 ","245","0.237689378626183","0.212243659328114","0.263135097924252","4"
"4 on scale 1-7","2005","Employed","(Married) couple without C. ","646","0.19801473629285","0.184859444654046","0.211170027931654","4"
"4 on scale 1-7","2005","Employed","Single parent ","157","0.217813708657535","0.187388323194007","0.248239094121062","4"
"4 on scale 1-7","2005","Not Employed","1-pers.-HH","235","0.159123577227687","0.140138092806817","0.178109061648556","4"
"4 on scale 1-7","2005","Not Employed","Single parent ","75","0.180466133624473","0.142200092164475","0.218732175084471","4"
"4 on scale 1-7","2005","Not Employed","Couple + C. LE 16 ","126","0.194963707114924","0.164875549642715","0.225051864587134","4"
"4 on scale 1-7","2005","Employed","Couple + C. LE 16 ","596","0.204931639444919","0.190578035818069","0.219285243071769","4"
"4 on scale 1-7","2005","Employed","Couple + C. LE and GT 16","220","0.177842003826931","0.15580887236953","0.199875135284331","4"
"5 on scale 1-7","2005","Employed","1-pers.-HH","165","0.102326761760119","0.0871353511443356","0.117518172375902","5"
"5 on scale 1-7","2005","Not Employed","Single parent ","52","0.11934347732152","0.0870856695062613","0.151601285136779","5"
"5 on scale 1-7","2005","Not Employed","Couple + C. LE 16 ","86","0.15213953466973","0.124862684961764","0.179416384377697","5"
"5 on scale 1-7","2005","Employed","(Married) couple without C. ","361","0.0944004758537424","0.0847483335780629","0.104052618129422","5"
"5 on scale 1-7","2005","Not Employed","Couple + C. LE and GT 16","65","0.127767207858115","0.0996886962178284","0.155845719498401","5"
"5 on scale 1-7","2005","Not Employed","(Married) couple without C. ","394","0.115330489037023","0.104727043831079","0.125933934242967","5"
"5 on scale 1-7","2005","Not Employed","1-pers.-HH","113","0.0861466020565474","0.0715837757470356","0.100709428366059","5"
"5 on scale 1-7","2005","Not Employed","Couple + C. GT 16 ","143","0.119567923837074","0.100172506392554","0.138963341281595","5"
"5 on scale 1-7","2005","Employed","Single parent ","72","0.103376933973326","0.0809352645158729","0.12581860343078","5"
"5 on scale 1-7","2005","Employed","Couple + C. LE 16 ","389","0.124860209555103","0.113105688146679","0.136614730963527","5"
"5 on scale 1-7","2005","Employed","Couple + C. GT 16 ","294","0.117280626471276","0.104826492064797","0.129734760877756","5"
"5 on scale 1-7","2005","Employed","Couple + C. LE and GT 16","140","0.12344284723997","0.104488689278076","0.142397005201863","5"
"6 on scale 1-7","2005","Employed","Couple + C. GT 16 ","150","0.0617519602071796","0.0524350204472248","0.0710688999671344","6"
"6 on scale 1-7","2005","Employed","Couple + C. LE and GT 16","81","0.0787289246281212","0.0632106908800389","0.0942471583762036","6"
