"plh0206i05","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","1-pers.-HH","187","0.168972326299919","0.146445656480695","0.191498996119144","1"
"1 Strongly disagree","2005","Full Time","(Married) couple without C. ","422","0.16821429261176","0.153100470683832","0.183328114539688","1"
"1 Strongly disagree","2005","Full Time","Single parent ","67","0.1661610073386","0.127165037384424","0.205156977292775","1"
"1 Strongly disagree","2005","Full Time","Couple + C. LE 16 ","266","0.133868980681628","0.118280685067619","0.149457276295636","1"
"1 Strongly disagree","2005","Full Time","Couple + C. GT 16 ","244","0.14508738631831","0.12773254918232","0.1624422234543","1"
"1 Strongly disagree","2005","Full Time","Couple + C. LE and GT 16","117","0.20263435165702","0.171709256896799","0.233559446417241","1"
"1 Strongly disagree","2005","Part Time","1-pers.-HH","79","0.197413788651159","0.161273657737148","0.23355391956517","1"
"1 Strongly disagree","2005","Part Time","(Married) couple without C. ","228","0.190526730417517","0.168043252166055","0.213010208668979","1"
"1 Strongly disagree","2005","Part Time","Single parent ","71","0.205027863583785","0.163148856186159","0.246906870981411","1"
"1 Strongly disagree","2005","Part Time","Couple + C. LE 16 ","207","0.165783435382704","0.144786082861677","0.186780787903731","1"
"1 Strongly disagree","2005","Part Time","Couple + C. GT 16 ","139","0.142211497870767","0.120366610353206","0.164056385388327","1"
"1 Strongly disagree","2005","Part Time","Couple + C. LE and GT 16","100","0.206194575946676","0.171013275858975","0.241375876034376","1"
"1 Strongly disagree","2005","Not Working","1-pers.-HH","412","0.294047409764251","0.270399934746277","0.317694884782225","1"
"1 Strongly disagree","2005","Not Working","(Married) couple without C. ","867","0.261979808370735","0.247383184012672","0.276576432728798","1"
"1 Strongly disagree","2005","Not Working","Single parent ","81","0.202564850278515","0.162573878343884","0.242555822213147","1"
"1 Strongly disagree","2005","Not Working","Couple + C. LE 16 ","113","0.161524598716859","0.133575006570134","0.189474190863583","1"
"1 Strongly disagree","2005","Not Working","Couple + C. GT 16 ","163","0.155028771346135","0.133393070286231","0.176664472406039","1"
"1 Strongly disagree","2005","Not Working","Couple + C. LE and GT 16","83","0.151371264061131","0.121225328822717","0.181517199299546","1"
"2 on scale 1-7 ","2005","Not Working","Single parent ","66","0.17945088467786","0.141269003580154","0.217632765775567","2"
"2 on scale 1-7 ","2005","Full Time","1-pers.-HH","260","0.241304581112047","0.215582981530402","0.267026180693691","2"
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","133","0.183313688816171","0.153545608473976","0.213081769158366","2"
"2 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","547","0.215690722082764","0.199072041681599","0.232309402483929","2"
"2 on scale 1-7 ","2005","Full Time","Single parent ","73","0.20635628223215","0.163959225551413","0.248753338912887","2"
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","395","0.204842599637275","0.186366786953284","0.223318412321265","2"
"2 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","316","0.188175575303277","0.168915519797392","0.207435630809163","2"
"2 on scale 1-7 ","2005","Part Time","1-pers.-HH","94","0.203981191542838","0.16739545020552","0.240566932880157","2"
"2 on scale 1-7 ","2005","Part Time","(Married) couple without C. ","287","0.235458155190888","0.211167357118175","0.259748953263602","2"
"2 on scale 1-7 ","2005","Part Time","Single parent ","62","0.162256428462656","0.124011796053141","0.200501060872171","2"
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE 16 ","309","0.23528101757208","0.211331379881054","0.259230655263106","2"
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE 16 ","118","0.172181402297873","0.143508497931423","0.200854306664323","2"
"2 on scale 1-7 ","2005","Not Working","Couple + C. GT 16 ","199","0.173337682223663","0.150709252262445","0.195966112184881","2"
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE and GT 16","79","0.128935176344996","0.100747509914054","0.157122842775939","2"
"2 on scale 1-7 ","2005","Part Time","Couple + C. GT 16 ","232","0.213109759390948","0.187497311017727","0.23872220776417","2"
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE and GT 16","111","0.186596541680635","0.152718286310186","0.220474797051085","2"
"2 on scale 1-7 ","2005","Not Working","1-pers.-HH","266","0.178977459369597","0.159081493009021","0.198873425730172","2"
"2 on scale 1-7 ","2005","Not Working","(Married) couple without C. ","702","0.186162205442392","0.173241117433103","0.199083293451682","2"
"3 on scale 1-7 ","2005","Full Time","1-pers.-HH","186","0.172927989393054","0.150193470573445","0.195662508212664","3"
"3 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","458","0.1886879536429","0.172878998146004","0.204496909139797","3"
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","114","0.161797153212063","0.133464597829011","0.190129708595116","3"
"3 on scale 1-7 ","2005","Not Working","Couple + C. LE 16 ","130","0.178583326386259","0.14949537152692","0.207671281245598","3"
"3 on scale 1-7 ","2005","Not Working","Couple + C. GT 16 ","167","0.143533556859514","0.122574305875559","0.164492807843469","3"
"3 on scale 1-7 ","2005","Not Working","Couple + C. LE and GT 16","94","0.15987186186541","0.129046586993418","0.190697136737402","3"
"3 on scale 1-7 ","2005","Full Time","Single parent ","47","0.140658186788646","0.104234865216801","0.177081508360491","3"
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","343","0.182580102684431","0.164894649844452","0.200265555524411","3"
"3 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","317","0.206990430870633","0.187025895856071","0.226954965885194","3"
"3 on scale 1-7 ","2005","Not Working","Single parent ","52","0.125231354766929","0.0922980455641873","0.15816466396967","3"
"3 on scale 1-7 ","2005","Part Time","Single parent ","58","0.157574359005075","0.119780386215495","0.195368331794655","3"
"3 on scale 1-7 ","2005","Part Time","Couple + C. LE 16 ","185","0.158997211037877","0.13835063505493","0.179643787020824","3"
"3 on scale 1-7 ","2005","Not Working","1-pers.-HH","245","0.175666252330768","0.155915482117929","0.195417022543608","3"
"3 on scale 1-7 ","2005","Not Working","(Married) couple without C. ","565","0.145873240048489","0.134155782774278","0.157590697322701","3"
"3 on scale 1-7 ","2005","Part Time","Couple + C. LE and GT 16","85","0.1787261236999","0.145410015999171","0.212042231400628","3"
"3 on scale 1-7 ","2005","Part Time","1-pers.-HH","79","0.146602735900654","0.114488189415402","0.178717282385906","3"
"3 on scale 1-7 ","2005","Part Time","(Married) couple without C. ","200","0.172626592141467","0.15098999728998","0.194263186992954","3"
"3 on scale 1-7 ","2005","Part Time","Couple + C. GT 16 ","184","0.169952322687409","0.146461002810612","0.193443642564206","3"
"4 on scale 1-7","2005","Not Working","Couple + C. GT 16 ","245","0.237689378626183","0.212243659328114","0.263135097924252","4"
"4 on scale 1-7","2005","Not Working","Couple + C. LE and GT 16","121","0.224787602326734","0.189676480273798","0.25989872437967","4"
"4 on scale 1-7","2005","Part Time","Couple + C. GT 16 ","218","0.239014047905267","0.21233978787427","0.265688307936264","4"
"4 on scale 1-7","2005","Part Time","Couple + C. LE and GT 16","98","0.156865309859029","0.12524048202221","0.188490137695847","4"
"4 on scale 1-7","2005","Not Working","Single parent ","75","0.180466133624473","0.142200092164475","0.218732175084471","4"
"4 on scale 1-7","2005","Not Working","Couple + C. LE 16 ","126","0.194963707114924","0.164875549642715","0.225051864587134","4"
"4 on scale 1-7","2005","Full Time","1-pers.-HH","208","0.202748371446946","0.178579417536365","0.226917325357527","4"
"4 on scale 1-7","2005","Full Time","(Married) couple without C. ","429","0.206912284455569","0.190544463085078","0.223280105826059","4"
"4 on scale 1-7","2005","Full Time","Couple + C. GT 16 ","338","0.221668109440023","0.201199946166688","0.242136272713358","4"
"4 on scale 1-7","2005","Full Time","Couple + C. LE and GT 16","122","0.195528489649169","0.165015405994523","0.226041573303815","4"
