"plh0206i05","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","in school","","","","","1"
"1 Strongly disagree","2005","Full Time","inadequately","6","","","","1"
"1 Strongly disagree","2005","Full Time","general elemantary","84","0.144612072821603","0.11535132419225","0.173872821450956","1"
"1 Strongly disagree","2005","Full Time","middle vocational","611","0.153662638397769","0.14220416766046","0.165121109135078","1"
"1 Strongly disagree","2005","Full Time","vocational + Abi","81","0.143956475924951","0.114041835886469","0.173871115963432","1"
"1 Strongly disagree","2005","Full Time","higher vocational","126","0.17326967257141","0.146484551047908","0.200054794094913","1"
"1 Strongly disagree","2005","Full Time","higher education","418","0.184702650649567","0.168603773915952","0.200801527383181","1"
"1 Strongly disagree","2005","Part Time","in school","9","","","","1"
"1 Strongly disagree","2005","Part Time","inadequately","6","","","","1"
"1 Strongly disagree","2005","Part Time","general elemantary","78","0.147487858104203","0.116344758086772","0.178630958121634","1"
"1 Strongly disagree","2005","Part Time","middle vocational","421","0.171932967399539","0.157151076488035","0.186714858311042","1"
"1 Strongly disagree","2005","Part Time","vocational + Abi","60","0.25934078988609","0.211321279200271","0.307360300571908","1"
"1 Strongly disagree","2005","Part Time","higher vocational","76","0.245058017469547","0.198860650794574","0.291255384144519","1"
"1 Strongly disagree","2005","Part Time","higher education","183","0.1913602621542","0.166051114397152","0.216669409911249","1"
"1 Strongly disagree","2005","Not Working","in school","65","0.142229474965184","0.113012026840506","0.171446923089861","1"
"1 Strongly disagree","2005","Not Working","inadequately","45","0.373573760177591","0.294835241077031","0.452312279278151","1"
"1 Strongly disagree","2005","Not Working","general elemantary","297","0.228040082333002","0.205608938157409","0.250471226508595","1"
"1 Strongly disagree","2005","Not Working","middle vocational","904","0.249630879967905","0.236094445945775","0.263167313990035","1"
"1 Strongly disagree","2005","Not Working","vocational + Abi","57","0.218682326428873","0.170523539371801","0.266841113485945","1"
"1 Strongly disagree","2005","Not Working","higher vocational","118","0.270784750470966","0.229999264423102","0.311570236518829","1"
"1 Strongly disagree","2005","Not Working","higher education","256","0.261820231804383","0.234586088221648","0.289054375387119","1"
"2 on scale 1-7 ","2005","Not Working","inadequately","13","","","","2"
"2 on scale 1-7 ","2005","Not Working","in school","83","0.139647473548612","0.110652903074992","0.168642044022231","2"
"2 on scale 1-7 ","2005","Not Working","middle vocational","737","0.176298760249624","0.164380108526812","0.188217411972435","2"
"2 on scale 1-7 ","2005","Not Working","general elemantary","220","0.168049715115052","0.14805956597118","0.188039864258924","2"
"2 on scale 1-7 ","2005","Not Working","higher education","239","0.218833198813985","0.19322025212177","0.244446145506201","2"
"2 on scale 1-7 ","2005","Not Working","vocational + Abi","57","0.18062831735318","0.135806623308312","0.225450011398049","2"
"2 on scale 1-7 ","2005","Not Working","higher vocational","119","0.23529033593592","0.196357503203282","0.274223168668558","2"
"2 on scale 1-7 ","2005","Part Time","in school","21","","","","2"
"2 on scale 1-7 ","2005","Part Time","inadequately","7","","","","2"
"2 on scale 1-7 ","2005","Part Time","general elemantary","93","0.172874982331483","0.139663743752223","0.206086220910742","2"
"2 on scale 1-7 ","2005","Part Time","middle vocational","529","0.203478689914715","0.187707087069168","0.219250292760262","2"
"2 on scale 1-7 ","2005","Part Time","vocational + Abi","88","0.236800100132334","0.190221847180963","0.283378353083704","2"
"2 on scale 1-7 ","2005","Full Time","in school","","","","","2"
"2 on scale 1-7 ","2005","Full Time","inadequately","11","","","","2"
"2 on scale 1-7 ","2005","Full Time","general elemantary","79","0.148621871836267","0.119027835184003","0.178215908488531","2"
"2 on scale 1-7 ","2005","Part Time","higher vocational","73","0.1866027871731","0.144758480402083","0.228447093944117","2"
"2 on scale 1-7 ","2005","Part Time","higher education","281","0.290894629291158","0.261673476722791","0.320115781859524","2"
"2 on scale 1-7 ","2005","Full Time","vocational + Abi","122","0.224713023283654","0.189144517524873","0.260281529042435","2"
"2 on scale 1-7 ","2005","Full Time","higher vocational","178","0.226267640356412","0.196656371788466","0.255878908924358","2"
"2 on scale 1-7 ","2005","Full Time","higher education","615","0.251871976894927","0.233863421227837","0.269880532562018","2"
"2 on scale 1-7 ","2005","Full Time","middle vocational","746","0.19819327672468","0.185526968086958","0.210859585362402","2"
"3 on scale 1-7 ","2005","Not Working","in school","85","0.135315481079806","0.106702408036729","0.163928554122883","3"
"3 on scale 1-7 ","2005","Not Working","general elemantary","215","0.151815330158445","0.132630786186535","0.170999874130355","3"
"3 on scale 1-7 ","2005","Not Working","inadequately","23","","","","3"
"3 on scale 1-7 ","2005","Not Working","middle vocational","646","0.148534758279146","0.137411932127874","0.159657584430418","3"
"3 on scale 1-7 ","2005","Part Time","in school","23","","","","3"
"3 on scale 1-7 ","2005","Part Time","inadequately","4","","","","3"
"3 on scale 1-7 ","2005","Part Time","general elemantary","80","0.164738865146747","0.132159501927188","0.197318228366307","3"
"3 on scale 1-7 ","2005","Part Time","higher education","159","0.169836574540085","0.145677988526045","0.193995160554125","3"
"3 on scale 1-7 ","2005","Not Working","vocational + Abi","56","0.203009190903196","0.156145188135498","0.249873193670894","3"
"3 on scale 1-7 ","2005","Not Working","higher vocational","66","0.158161306918184","0.124670143545422","0.191652470290947","3"
"3 on scale 1-7 ","2005","Not Working","higher education","189","0.190523107933203","0.166195068630239","0.214851147236167","3"
"3 on scale 1-7 ","2005","Part Time","middle vocational","427","0.166939088114837","0.152329597850446","0.181548578379229","3"
"3 on scale 1-7 ","2005","Part Time","vocational + Abi","47","0.133707088704049","0.0964179202653447","0.170996257142753","3"
"3 on scale 1-7 ","2005","Part Time","higher vocational","55","0.158814069798611","0.119557128201149","0.198071011396073","3"
"3 on scale 1-7 ","2005","Full Time","in school","1","","","","3"
"3 on scale 1-7 ","2005","Full Time","inadequately","11","","","","3"
"3 on scale 1-7 ","2005","Full Time","general elemantary","90","0.165706429121523","0.134772810473236","0.196640047769809","3"
"3 on scale 1-7 ","2005","Full Time","middle vocational","647","0.167797313301744","0.15592383894467","0.179670787658818","3"
"3 on scale 1-7 ","2005","Full Time","vocational + Abi","109","0.181411180053493","0.148572538469786","0.2142498216372","3"
"3 on scale 1-7 ","2005","Full Time","higher vocational","153","0.186453322962524","0.158890308645755","0.214016337279292","3"
"3 on scale 1-7 ","2005","Full Time","higher education","475","0.222261558043031","0.205013112734853","0.239510003351209","3"
"4 on scale 1-7","2005","Full Time","inadequately","9","","","","4"
"4 on scale 1-7","2005","Not Working","in school","131","0.222665973434924","0.187864896310154","0.257467050559693","4"
"4 on scale 1-7","2005","Full Time","in school","","","","","4"
"4 on scale 1-7","2005","Part Time","higher education","180","0.199298767846352","0.173597079200579","0.225000456492124","4"
"4 on scale 1-7","2005","Full Time","general elemantary","134","0.219326119922587","0.184900513306756","0.253751726538418","4"
"4 on scale 1-7","2005","Part Time","in school","21","","","","4"
