"plh0206i05","year","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","2762","0.206935840325669","0.20018420432485","0.213687476326488"
"1 Strongly disagree","2005","Rural Area","1179","0.175511505356881","0.166489260069507","0.184533750644255"
"2 on scale 1-7 ","2005","Urban Area","2958","0.198938880573876","0.192285694612227","0.205592066535524"
"2 on scale 1-7 ","2005","Rural Area","1399","0.199468006447813","0.189990469090818","0.208945543804807"
"3 on scale 1-7 ","2005","Urban Area","2473","0.171536611891243","0.165253828670699","0.177819395111787"
"3 on scale 1-7 ","2005","Rural Area","1134","0.158959474095361","0.150287435445377","0.167631512745345"
"4 on scale 1-7","2005","Urban Area","2561","0.188252793672551","0.18173773820981","0.194767849135293"
"4 on scale 1-7","2005","Rural Area","1392","0.209002741112469","0.19935927819254","0.218646204032397"
"5 on scale 1-7","2005","Urban Area","1479","0.107602068121766","0.102437588265424","0.112766547978107"
"5 on scale 1-7","2005","Rural Area","862","0.116404979872422","0.108798531104667","0.124011428640178"
"6 on scale 1-7","2005","Urban Area","900","0.073581764296776","0.0692303979663655","0.0779331306271865"
"6 on scale 1-7","2005","Rural Area","495","0.0748988404135398","0.068655720245828","0.0811419605812515"
"7 Strongly agree","2005","Urban Area","697","0.0531520411181192","0.0494131992444362","0.0568908829918021"
"7 Strongly agree","2005","Rural Area","368","0.0657544527015142","0.0598760052997163","0.0716329001033121"
"1 Strongly disagree","2006","Urban Area","","","",""
"1 Strongly disagree","2006","Rural Area","","","",""
"2 on scale 1-7 ","2006","Urban Area","","","",""
"2 on scale 1-7 ","2006","Rural Area","","","",""
"3 on scale 1-7 ","2006","Urban Area","","","",""
"3 on scale 1-7 ","2006","Rural Area","","","",""
"4 on scale 1-7","2006","Urban Area","","","",""
"4 on scale 1-7","2006","Rural Area","","","",""
"5 on scale 1-7","2006","Urban Area","","","",""
"5 on scale 1-7","2006","Rural Area","","","",""
"6 on scale 1-7","2006","Urban Area","","","",""
"6 on scale 1-7","2006","Rural Area","","","",""
"7 Strongly agree","2006","Urban Area","","","",""
"7 Strongly agree","2006","Rural Area","","","",""
"1 Strongly disagree","2007","Urban Area","","","",""
"1 Strongly disagree","2007","Rural Area","","","",""
"2 on scale 1-7 ","2007","Urban Area","","","",""
"2 on scale 1-7 ","2007","Rural Area","","","",""
"3 on scale 1-7 ","2007","Urban Area","","","",""
"3 on scale 1-7 ","2007","Rural Area","","","",""
"4 on scale 1-7","2007","Urban Area","","","",""
"4 on scale 1-7","2007","Rural Area","","","",""
