"plh0206i05","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","Urban Area","1252","0.25332010343506","0.241495848348064","0.265144358522056","1"
"1 Strongly disagree","2005","Not Employed","Rural Area","511","0.2153368497496","0.199674606037891","0.230999093461308","1"
"1 Strongly disagree","2005","Employed","Urban Area","1510","0.175654402423524","0.167627436828505","0.183681368018543","1"
"1 Strongly disagree","2005","Employed","Rural Area","668","0.148545484747273","0.137768069585424","0.159322899909122","1"
"2 on scale 1-7 ","2005","Not Employed","Rural Area","480","0.169419501044353","0.155126423978247","0.183712578110459","2"
"2 on scale 1-7 ","2005","Employed","Urban Area","1955","0.209072945114458","0.200494978437045","0.217650911791871","2"
"2 on scale 1-7 ","2005","Employed","Rural Area","919","0.219814060659105","0.207264429759905","0.232363691558304","2"
"2 on scale 1-7 ","2005","Not Employed","Urban Area","1003","0.183912042054228","0.173379206574627","0.194444877533829","2"
"3 on scale 1-7 ","2005","Not Employed","Rural Area","425","0.152733667141298","0.139027042000611","0.166440292281985","3"
"3 on scale 1-7 ","2005","Employed","Urban Area","1598","0.180926419871975","0.172805977770971","0.18904686197298","3"
"3 on scale 1-7 ","2005","Employed","Rural Area","709","0.163175011743427","0.151976809542563","0.17437321394429","3"
"3 on scale 1-7 ","2005","Not Employed","Urban Area","875","0.157613360495722","0.147706775224309","0.167519945767135","3"
"4 on scale 1-7","2005","Employed","Rural Area","862","0.210691151074784","0.198333077044604","0.223049225104964","4"
"4 on scale 1-7","2005","Not Employed","Rural Area","530","0.206509176741264","0.191085290869854","0.221933062612674","4"
"4 on scale 1-7","2005","Employed","Urban Area","1680","0.20221546539422","0.193742855496851","0.210688075291589","4"
"4 on scale 1-7","2005","Not Employed","Urban Area","881","0.167548878434579","0.157395235975188","0.17770252089397","4"
"5 on scale 1-7","2005","Employed","Urban Area","919","0.104789367364096","0.0983285354031718","0.111250199325019","5"
"5 on scale 1-7","2005","Not Employed","Rural Area","324","0.109391853599425","0.0974989200198013","0.121284787179049","5"
"5 on scale 1-7","2005","Not Employed","Urban Area","560","0.111772754021815","0.103206286869359","0.120339221174271","5"
"5 on scale 1-7","2005","Employed","Rural Area","538","0.121153616965188","0.111265152989715","0.13104208094066","5"
"6 on scale 1-7","2005","Employed","Urban Area","548","0.0744913151003061","0.0689525838790952","0.0800300463215169","6"
"6 on scale 1-7","2005","Employed","Rural Area","281","0.0723028183711544","0.0644543503952083","0.0801512863471004","6"
"6 on scale 1-7","2005","Not Employed","Rural Area","214","0.078732831100777","0.0684710226803312","0.0889946395212228","6"
"6 on scale 1-7","2005","Not Employed","Urban Area","352","0.0722330780914208","0.0651949164665865","0.0792712397162551","6"
"7 Strongly agree","2005","Employed","Rural Area","206","0.0643178564390695","0.0568836586664472","0.0717520542116918","7"
"7 Strongly agree","2005","Not Employed","Rural Area","162","0.0678761206232827","0.0582920833408886","0.0774601579056767","7"
"7 Strongly agree","2005","Employed","Urban Area","423","0.0528500847314213","0.0481305473869318","0.0575696220759108","7"
