"plh0206i05","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","West Germany","1120","0.199163292957342","0.188776325011093","0.209550260903591"
"1 Strongly disagree","2005","lower secondary degree","East Germany","270","0.215405029597457","0.193793208161204","0.23701685103371"
"1 Strongly disagree","2005","secondary school degree","West Germany","715","0.190102946911913","0.177604181405911","0.202601712417916"
"1 Strongly disagree","2005","secondary school degree","East Germany","392","0.185142764745987","0.16899648416646","0.201289045325513"
"1 Strongly disagree","2005","college entrance qualification","West Germany","745","0.193943073679639","0.181775076173736","0.206111071185543"
"1 Strongly disagree","2005","college entrance qualification","East Germany","227","0.20781141943055","0.184123052247187","0.231499786613914"
"1 Strongly disagree","2005","Other degree","West Germany","265","0.226970446851979","0.20189588208888","0.252045011615078"
"1 Strongly disagree","2005","Other degree","East Germany","14","","",""
"1 Strongly disagree","2005","no degree/no degree yet","West Germany","121","0.198233057117875","0.169233464764188","0.227232649471563"
"1 Strongly disagree","2005","no degree/no degree yet","East Germany","20","","",""
"2 on scale 1-7 ","2005","lower secondary degree","West Germany","1062","0.183835190720474","0.173760878313325","0.193909503127623"
"2 on scale 1-7 ","2005","lower secondary degree","East Germany","249","0.166716663996616","0.147122508732673","0.186310819260559"
"2 on scale 1-7 ","2005","secondary school degree","West Germany","804","0.211526549333307","0.198517853303291","0.224535245363323"
"2 on scale 1-7 ","2005","secondary school degree","East Germany","482","0.20125399462997","0.184587089478548","0.217920899781392"
"2 on scale 1-7 ","2005","college entrance qualification","West Germany","1078","0.237766992883361","0.224665560613685","0.250868425153036"
"2 on scale 1-7 ","2005","college entrance qualification","East Germany","293","0.244764965534783","0.219663341263177","0.269866589806388"
"2 on scale 1-7 ","2005","Other degree","West Germany","172","0.165934547454416","0.14366460102241","0.188204493886422"
"2 on scale 1-7 ","2005","Other degree","East Germany","10","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","West Germany","104","0.148906028951247","0.123010506428285","0.17480155147421"
"2 on scale 1-7 ","2005","no degree/no degree yet","East Germany","35","0.185983620512321","0.126971152744616","0.244996088280025"
"3 on scale 1-7 ","2005","lower secondary degree","West Germany","933","0.155842643714001","0.146409270542732","0.16527601688527"
"3 on scale 1-7 ","2005","lower secondary degree","East Germany","239","0.157808839254032","0.138643712625458","0.176973965882607"
"3 on scale 1-7 ","2005","secondary school degree","West Germany","682","0.174731855255846","0.162635866592026","0.186827843919666"
"3 on scale 1-7 ","2005","secondary school degree","East Germany","363","0.158918606521029","0.143720665787276","0.174116547254783"
"3 on scale 1-7 ","2005","college entrance qualification","West Germany","790","0.19581775339869","0.18360531488169","0.208030191915689"
"3 on scale 1-7 ","2005","college entrance qualification","East Germany","208","0.183903095123545","0.161285234805455","0.206520955441635"
"3 on scale 1-7 ","2005","Other degree","West Germany","169","0.1526949294912","0.131163001987886","0.174226856994514"
"3 on scale 1-7 ","2005","Other degree","East Germany","10","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","West Germany","125","0.158501566508023","0.131935747101813","0.185067385914233"
"3 on scale 1-7 ","2005","no degree/no degree yet","East Germany","28","","",""
"4 on scale 1-7","2005","lower secondary degree","West Germany","1110","0.19808044657828","0.187714753118783","0.208446140037777"
