"plh0206i05","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Urban Area","2222","0.20902389994258","0.201475607036905","0.216572192848255"
"1 Strongly disagree","2005","no migration background","Rural Area","1074","0.17054369913158","0.161275441619407","0.179811956643754"
"1 Strongly disagree","2005","direct migration background","Urban Area","448","0.217476154391076","0.199213047203937","0.235739261578216"
"1 Strongly disagree","2005","direct migration background","Rural Area","95","0.261666281792549","0.218538027857778","0.30479453572732"
"1 Strongly disagree","2005","indirect migration background","Urban Area","92","0.137511560267718","0.112408585551988","0.162614534983447"
"1 Strongly disagree","2005","indirect migration background","Rural Area","10","","",""
"2 on scale 1-7 ","2005","no migration background","Urban Area","2475","0.202969176286663","0.195502596784693","0.210435755788632"
"2 on scale 1-7 ","2005","no migration background","Rural Area","1321","0.205931829706377","0.1959669025049","0.215896756907855"
"2 on scale 1-7 ","2005","direct migration background","Urban Area","337","0.170787617541431","0.154127382089481","0.187447852993381"
"2 on scale 1-7 ","2005","direct migration background","Rural Area","66","0.14969888553253","0.114691691565282","0.184706079499778"
"2 on scale 1-7 ","2005","indirect migration background","Urban Area","146","0.225093758038731","0.194650912233653","0.25553660384381"
"2 on scale 1-7 ","2005","indirect migration background","Rural Area","12","","",""
"3 on scale 1-7 ","2005","no migration background","Urban Area","2038","0.176040803511306","0.168970653733076","0.183110953289537"
"3 on scale 1-7 ","2005","no migration background","Rural Area","1044","0.157884752361227","0.148899312169291","0.166870192553163"
"3 on scale 1-7 ","2005","direct migration background","Urban Area","311","0.15392637805851","0.137949914315095","0.169902841801926"
"3 on scale 1-7 ","2005","direct migration background","Rural Area","75","0.149412245514884","0.114432688709355","0.184391802320413"
"3 on scale 1-7 ","2005","indirect migration background","Urban Area","124","0.155024094659855","0.128642520442343","0.181405668877368"
"3 on scale 1-7 ","2005","indirect migration background","Rural Area","15","","",""
"4 on scale 1-7","2005","no migration background","Urban Area","2059","0.188210073247357","0.180953821338833","0.195466325155882"
"4 on scale 1-7","2005","no migration background","Rural Area","1284","0.209032754620181","0.19901270392568","0.219052805314682"
"4 on scale 1-7","2005","direct migration background","Urban Area","360","0.190888018267941","0.173489442201732","0.20828659433415"
"4 on scale 1-7","2005","direct migration background","Rural Area","74","0.200289139259769","0.161019506457959","0.239558772061578"
"4 on scale 1-7","2005","indirect migration background","Urban Area","142","0.180258297957703","0.152238494156419","0.208278101758987"
"4 on scale 1-7","2005","indirect migration background","Rural Area","34","0.244374871305682","0.161787643116318","0.326962099495046"
"5 on scale 1-7","2005","no migration background","Urban Area","1146","0.10174713352395","0.0961349807123125","0.107359286335588"
"5 on scale 1-7","2005","no migration background","Rural Area","798","0.113319954750293","0.10550871152825","0.121131197972335"
"5 on scale 1-7","2005","direct migration background","Urban Area","242","0.134224360787417","0.119132652277723","0.149316069297111"
"5 on scale 1-7","2005","direct migration background","Rural Area","46","0.136210601545377","0.102553940160234","0.169867262930519"
"5 on scale 1-7","2005","indirect migration background","Urban Area","91","0.116745001179263","0.093338249846376","0.140151752512149"
"5 on scale 1-7","2005","indirect migration background","Rural Area","18","","",""
"6 on scale 1-7","2005","no migration background","Urban Area","710","0.0740986725263511","0.069236205629941","0.0789611394227612"
"6 on scale 1-7","2005","no migration background","Rural Area","464","0.0764535813630931","0.0699055345051443","0.0830016282210419"
"6 on scale 1-7","2005","direct migration background","Urban Area","118","0.0601470898817841","0.0496212366434893","0.070672943120079"
"6 on scale 1-7","2005","direct migration background","Rural Area","23","","",""
"6 on scale 1-7","2005","indirect migration background","Urban Area","72","0.109379955704923","0.0866292932742024","0.132130618135645"
"6 on scale 1-7","2005","indirect migration background","Rural Area","8","","",""
"7 Strongly agree","2005","no migration background","Urban Area","497","0.047910240961792","0.0439454324696102","0.0518750494539739"
"7 Strongly agree","2005","no migration background","Rural Area","341","0.0668334280672482","0.0606793931981016","0.0729874629363947"
"7 Strongly agree","2005","direct migration background","Urban Area","144","0.0725503810718406","0.0610665956794724","0.0840341664642088"
"7 Strongly agree","2005","direct migration background","Rural Area","20","","",""
"7 Strongly agree","2005","indirect migration background","Urban Area","56","0.0759873321918065","0.0566726083239673","0.0953020560596457"
"7 Strongly agree","2005","indirect migration background","Rural Area","7","","",""
"1 Strongly disagree","2006","no migration background","Urban Area","","","",""
"1 Strongly disagree","2006","no migration background","Rural Area","","","",""
"1 Strongly disagree","2006","direct migration background","Urban Area","","","",""
"1 Strongly disagree","2006","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2006","indirect migration background","Urban Area","","","",""
"1 Strongly disagree","2006","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2006","no migration background","Urban Area","","","",""
"2 on scale 1-7 ","2006","no migration background","Rural Area","","","",""
"2 on scale 1-7 ","2006","direct migration background","Urban Area","","","",""
"2 on scale 1-7 ","2006","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2006","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2006","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2006","no migration background","Urban Area","","","",""
"3 on scale 1-7 ","2006","no migration background","Rural Area","","","",""
"3 on scale 1-7 ","2006","direct migration background","Urban Area","","","",""
"3 on scale 1-7 ","2006","direct migration background","Rural Area","","","",""
"3 on scale 1-7 ","2006","indirect migration background","Urban Area","","","",""
"3 on scale 1-7 ","2006","indirect migration background","Rural Area","","","",""
"4 on scale 1-7","2006","no migration background","Urban Area","","","",""
"4 on scale 1-7","2006","no migration background","Rural Area","","","",""
"4 on scale 1-7","2006","direct migration background","Urban Area","","","",""
"4 on scale 1-7","2006","direct migration background","Rural Area","","","",""
"4 on scale 1-7","2006","indirect migration background","Urban Area","","","",""
"4 on scale 1-7","2006","indirect migration background","Rural Area","","","",""
"5 on scale 1-7","2006","no migration background","Urban Area","","","",""
"5 on scale 1-7","2006","no migration background","Rural Area","","","",""
"5 on scale 1-7","2006","direct migration background","Urban Area","","","",""
"5 on scale 1-7","2006","direct migration background","Rural Area","","","",""
"5 on scale 1-7","2006","indirect migration background","Urban Area","","","",""
"5 on scale 1-7","2006","indirect migration background","Rural Area","","","",""
"6 on scale 1-7","2006","no migration background","Urban Area","","","",""
"6 on scale 1-7","2006","no migration background","Rural Area","","","",""
"6 on scale 1-7","2006","direct migration background","Urban Area","","","",""
"6 on scale 1-7","2006","direct migration background","Rural Area","","","",""
"6 on scale 1-7","2006","indirect migration background","Urban Area","","","",""
"6 on scale 1-7","2006","indirect migration background","Rural Area","","","",""
"7 Strongly agree","2006","no migration background","Urban Area","","","",""
"7 Strongly agree","2006","no migration background","Rural Area","","","",""
"7 Strongly agree","2006","direct migration background","Urban Area","","","",""
"7 Strongly agree","2006","direct migration background","Rural Area","","","",""
"7 Strongly agree","2006","indirect migration background","Urban Area","","","",""
"7 Strongly agree","2006","indirect migration background","Rural Area","","","",""
"1 Strongly disagree","2007","no migration background","Urban Area","","","",""
"1 Strongly disagree","2007","no migration background","Rural Area","","","",""
"1 Strongly disagree","2007","direct migration background","Urban Area","","","",""
"1 Strongly disagree","2007","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2007","indirect migration background","Urban Area","","","",""
"1 Strongly disagree","2007","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2007","no migration background","Urban Area","","","",""
"2 on scale 1-7 ","2007","no migration background","Rural Area","","","",""
"2 on scale 1-7 ","2007","direct migration background","Urban Area","","","",""
"2 on scale 1-7 ","2007","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2007","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2007","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2007","no migration background","Urban Area","","","",""
"3 on scale 1-7 ","2007","no migration background","Rural Area","","","",""
"3 on scale 1-7 ","2007","direct migration background","Urban Area","","","",""
"3 on scale 1-7 ","2007","direct migration background","Rural Area","","","",""
"3 on scale 1-7 ","2007","indirect migration background","Urban Area","","","",""
"3 on scale 1-7 ","2007","indirect migration background","Rural Area","","","",""
"4 on scale 1-7","2007","no migration background","Urban Area","","","",""
"4 on scale 1-7","2007","no migration background","Rural Area","","","",""
"4 on scale 1-7","2007","direct migration background","Urban Area","","","",""
"4 on scale 1-7","2007","direct migration background","Rural Area","","","",""
"4 on scale 1-7","2007","indirect migration background","Urban Area","","","",""
"4 on scale 1-7","2007","indirect migration background","Rural Area","","","",""
"5 on scale 1-7","2007","no migration background","Urban Area","","","",""
"5 on scale 1-7","2007","no migration background","Rural Area","","","",""
"5 on scale 1-7","2007","direct migration background","Urban Area","","","",""
"5 on scale 1-7","2007","direct migration background","Rural Area","","","",""
"5 on scale 1-7","2007","indirect migration background","Urban Area","","","",""
"5 on scale 1-7","2007","indirect migration background","Rural Area","","","",""
"6 on scale 1-7","2007","no migration background","Urban Area","","","",""
"6 on scale 1-7","2007","no migration background","Rural Area","","","",""
"6 on scale 1-7","2007","direct migration background","Urban Area","","","",""
"6 on scale 1-7","2007","direct migration background","Rural Area","","","",""
"6 on scale 1-7","2007","indirect migration background","Urban Area","","","",""
"6 on scale 1-7","2007","indirect migration background","Rural Area","","","",""
