"plh0206i05","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","1-pers.-HH","80","0.117247622658397","0.0933122702287027","0.141182975088092"
"1 Strongly disagree","2005","16-34 y.","(Married) couple without C. ","105","0.107053849236473","0.0873307176440726","0.126776980828873"
"1 Strongly disagree","2005","16-34 y.","Single parent ","65","0.124550824013685","0.094473003235742","0.154628644791627"
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE 16 ","162","0.146458110214029","0.125497344530233","0.167418875897825"
"1 Strongly disagree","2005","16-34 y.","Couple + C. GT 16 ","129","0.0917254199854941","0.0762653577864683","0.10718548218452"
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE and GT 16","81","0.144512988049625","0.11712208273234","0.171903893366909"
"1 Strongly disagree","2005","35-65 y.","1-pers.-HH","258","0.214310572055685","0.190966856427712","0.237654287683657"
"1 Strongly disagree","2005","35-65 y.","(Married) couple without C. ","798","0.210462354323527","0.197373540237048","0.223551168410005"
"1 Strongly disagree","2005","35-65 y.","Single parent ","134","0.242948902257176","0.207803368453741","0.278094436060611"
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE 16 ","423","0.149746948834064","0.136049784507466","0.163444113160661"
"1 Strongly disagree","2005","35-65 y.","Couple + C. GT 16 ","381","0.174896529601485","0.158782878561837","0.191010180641133"
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE and GT 16","217","0.214410805253128","0.189750504908884","0.239071105597373"
"1 Strongly disagree","2005","66 and older","1-pers.-HH","340","0.323054878190748","0.29508691537758","0.351022841003916"
"1 Strongly disagree","2005","66 and older","(Married) couple without C. ","614","0.275564706856111","0.257465523431671","0.293663890280552"
"1 Strongly disagree","2005","66 and older","Single parent ","20","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. LE 16 ","1","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. GT 16 ","36","0.250717585237759","0.184584118815278","0.316851051660241"
"1 Strongly disagree","2005","66 and older","Couple + C. LE and GT 16","2","","",""
"2 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","150","0.22585981022699","0.194749979895029","0.256969640558951"
"2 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","215","0.235987829081901","0.208901070627588","0.263074587536214"
"2 on scale 1-7 ","2005","16-34 y.","Single parent ","63","0.146138914374962","0.113962759438189","0.178315069311734"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","222","0.197164272169177","0.173577665455586","0.220750878882767"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","236","0.163424379943763","0.143619654438333","0.183229105449193"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","100","0.15057420107737","0.12271400019956","0.17843440195518"
"2 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","271","0.224747218619878","0.201001158612347","0.248493278627409"
"2 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","851","0.205631592042841","0.192654345165484","0.218608838920199"
"2 on scale 1-7 ","2005","35-65 y.","Single parent ","125","0.210581403282423","0.177168534829746","0.2439942717351"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","600","0.213680008253064","0.197945282418107","0.229414734088021"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","487","0.21267130111369","0.195314022428662","0.230028579798718"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","223","0.178315788355168","0.155315957234967","0.201315619475368"
"2 on scale 1-7 ","2005","66 and older","1-pers.-HH","199","0.172629072216505","0.15002675078306","0.195231393649951"
"2 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","470","0.189831734543715","0.173945557214436","0.205717911872994"
"2 on scale 1-7 ","2005","66 and older","Single parent ","13","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","24","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","132","0.163176712387401","0.135684206673123","0.190669218101679"
"3 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","193","0.20297674789654","0.177318869965772","0.228634625827308"
"3 on scale 1-7 ","2005","16-34 y.","Single parent ","69","0.152716227377242","0.119950890813404","0.185481563941079"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","185","0.149407646234658","0.128273478049371","0.170541814419944"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","239","0.175887267296582","0.155494868516792","0.196279666076373"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","96","0.145380841466341","0.11792175166747","0.172839931265213"
"3 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","199","0.16759561774226","0.146347462055734","0.188843773428785"
"3 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","649","0.166010348809648","0.154062916528763","0.177957781090533"
"3 on scale 1-7 ","2005","35-65 y.","Single parent ","82","0.131399260698591","0.103713488903647","0.159085032493536"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","471","0.185768714477086","0.170839472541699","0.200697956412474"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","402","0.181590745141917","0.1652383537765","0.197943136507334"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","197","0.180384037651719","0.157280337852293","0.203487737451145"
"3 on scale 1-7 ","2005","66 and older","1-pers.-HH","179","0.177539750980492","0.154686330411171","0.200393171549813"
"3 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","381","0.14638356466182","0.13206416114144","0.1607029681822"
"3 on scale 1-7 ","2005","66 and older","Single parent ","6","","",""
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","2","","",""
"3 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","27","","",""
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2005","16-34 y.","1-pers.-HH","136","0.197413873965899","0.16779946870073","0.227028279231068"
"4 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","190","0.228802031028645","0.202005722467208","0.255598339590081"
"4 on scale 1-7","2005","16-34 y.","Single parent ","109","0.227505696089392","0.189319941624422","0.265691450554363"
"4 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","213","0.198632040123084","0.174979453104828","0.22228462714134"
"4 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","330","0.262255446845669","0.238695567238202","0.285815326453135"
"4 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","149","0.202382347724266","0.171083386125342","0.233681309323191"
"4 on scale 1-7","2005","35-65 y.","1-pers.-HH","225","0.192193283171157","0.169777931109902","0.214608635232413"
"4 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","641","0.183500777927051","0.171072140801873","0.195929415052229"
"4 on scale 1-7","2005","35-65 y.","Single parent ","112","0.184772478038808","0.152966545405163","0.216578410672453"
"4 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","508","0.205249656059934","0.189745998875773","0.220753313244096"
"4 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","422","0.207675442751501","0.190468913300445","0.224881972202558"
"4 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","192","0.186831731451093","0.163411412352537","0.21025205054965"
"4 on scale 1-7","2005","66 and older","1-pers.-HH","168","0.153496997945272","0.131938914694956","0.175055081195588"
"4 on scale 1-7","2005","66 and older","(Married) couple without C. ","377","0.16730198196356","0.152182333541474","0.182421630385645"
"4 on scale 1-7","2005","66 and older","Single parent ","11","","",""
"4 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","1","","",""
"4 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","49","0.264182549589073","0.196909173349615","0.331455925828531"
"4 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","","","",""
"5 on scale 1-7","2005","16-34 y.","1-pers.-HH","93","0.152597563960767","0.125843669458304","0.179351458463231"
"5 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","105","0.0933907275882205","0.0748287582223038","0.111952696954137"
"5 on scale 1-7","2005","16-34 y.","Single parent ","63","0.121953481688863","0.0921468116530372","0.151760151724689"
"5 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","143","0.134157149036284","0.113951888350193","0.154362409722374"
"5 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","193","0.13616125079097","0.117791599624528","0.154530901957413"
"5 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","83","0.131330003099143","0.1050178962499","0.157642109948387"
"5 on scale 1-7","2005","35-65 y.","1-pers.-HH","101","0.0787040843354178","0.0633854185962899","0.0940227500745456"
"5 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","413","0.109832617679745","0.0997927457868466","0.119872489572643"
"5 on scale 1-7","2005","35-65 y.","Single parent ","55","0.0998519218400061","0.0752830468836527","0.12442079679636"
"5 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","332","0.128116605727632","0.115287112831275","0.140946098623989"
"5 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","229","0.108370580733533","0.095185067272389","0.121556094194676"
"5 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","122","0.120953461658307","0.101360848569745","0.140546074746869"
"5 on scale 1-7","2005","66 and older","1-pers.-HH","84","0.0778524927525939","0.0618280694047672","0.0938769161004207"
"5 on scale 1-7","2005","66 and older","(Married) couple without C. ","237","0.103187334080693","0.0908644759968877","0.115510192164498"
"5 on scale 1-7","2005","66 and older","Single parent ","6","","",""
"5 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","","","",""
"5 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","15","","",""
"5 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","","","",""
"6 on scale 1-7","2005","16-34 y.","1-pers.-HH","58","0.0815660165169815","0.0612027730065399","0.101929260027423"
"6 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","90","0.088681841448717","0.0705469710139337","0.1068167118835"
"6 on scale 1-7","2005","16-34 y.","Single parent ","50","0.121888820356147","0.09208895610726","0.151688684605034"
"6 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","91","0.0813686335424237","0.0651603451090596","0.0975769219757878"
"6 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","125","0.109674927760986","0.092937613026634","0.126412242495338"
"6 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","59","0.0907717731909125","0.0683918753065529","0.113151671075272"
"6 on scale 1-7","2005","35-65 y.","1-pers.-HH","84","0.0757433461885764","0.0606914481355767","0.0907952442415761"
"6 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","210","0.073024547675539","0.0646705332608662","0.0813785620902118"
"6 on scale 1-7","2005","35-65 y.","Single parent ","31","0.0622384076702982","0.0424402155705299","0.0820365997700664"
"6 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","151","0.0714477378560253","0.0615604997488929","0.0813349759631578"
"6 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","116","0.0570623832179695","0.0472230518915095","0.0669017145444294"
"6 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","69","0.0674364283255862","0.0523681448922718","0.0825047117589006"
"6 on scale 1-7","2005","66 and older","1-pers.-HH","56","0.0493514778217857","0.0363974143673352","0.0623055412762362"
"6 on scale 1-7","2005","66 and older","(Married) couple without C. ","153","0.0685243494380805","0.0582901094201021","0.078758589456059"
"6 on scale 1-7","2005","66 and older","Single parent ","3","","",""
"6 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","","","",""
"6 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","6","","",""
"6 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","1","","",""
"7 Strongly agree","2005","16-34 y.","1-pers.-HH","45","0.0621384002835643","0.0441779273981475","0.0800988731689811"
"7 Strongly agree","2005","16-34 y.","(Married) couple without C. ","46","0.0431069737195035","0.0301510746521429","0.0560628727868642"
"7 Strongly agree","2005","16-34 y.","Single parent ","44","0.105246036099709","0.0772940748870837","0.133197997312335"
"7 Strongly agree","2005","16-34 y.","Couple + C. LE 16 ","77","0.0928121486803459","0.0756097488973356","0.110014548463356"
"7 Strongly agree","2005","16-34 y.","Couple + C. GT 16 ","87","0.0608713073765356","0.0480649188948158","0.0736776958582555"
"7 Strongly agree","2005","16-34 y.","Couple + C. LE and GT 16","65","0.135047845392342","0.108423060464923","0.16167263031976"
"7 Strongly agree","2005","35-65 y.","1-pers.-HH","49","0.0467058778870259","0.0347019892168021","0.0587097665572497"
"7 Strongly agree","2005","35-65 y.","(Married) couple without C. ","164","0.0515377615416489","0.0444387241442459","0.0586367989390518"
"7 Strongly agree","2005","35-65 y.","Single parent ","33","0.0682076262126969","0.0475478258722989","0.0888674265530948"
"7 Strongly agree","2005","35-65 y.","Couple + C. LE 16 ","122","0.045990328792194","0.0379497516802588","0.0540309059041292"
"7 Strongly agree","2005","35-65 y.","Couple + C. GT 16 ","98","0.0577330174399047","0.0478395559771815","0.0676264789026279"
"7 Strongly agree","2005","35-65 y.","Couple + C. LE and GT 16","44","0.0516677473049981","0.0383672677162242","0.0649682268937719"
"7 Strongly agree","2005","66 and older","1-pers.-HH","48","0.0460753300926024","0.033537071627529","0.0586135885576759"
"7 Strongly agree","2005","66 and older","(Married) couple without C. ","109","0.0492063284560208","0.040444373705846","0.0579682832061957"
"7 Strongly agree","2005","66 and older","Single parent ","1","","",""
"7 Strongly agree","2005","66 and older","Couple + C. LE 16 ","","","",""
"7 Strongly agree","2005","66 and older","Couple + C. GT 16 ","8","","",""
"7 Strongly agree","2005","66 and older","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2006","16-34 y.","1-pers.-HH","","","",""
"1 Strongly disagree","2006","16-34 y.","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","16-34 y.","Single parent ","","","",""
"1 Strongly disagree","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2006","35-65 y.","1-pers.-HH","","","",""
"1 Strongly disagree","2006","35-65 y.","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","35-65 y.","Single parent ","","","",""
"1 Strongly disagree","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2006","66 and older","1-pers.-HH","","","",""
"1 Strongly disagree","2006","66 and older","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","66 and older","Single parent ","","","",""
"1 Strongly disagree","2006","66 and older","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","66 and older","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","66 and older","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","16-34 y.","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Single parent ","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","35-65 y.","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Single parent ","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","66 and older","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","66 and older","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","66 and older","Single parent ","","","",""
"2 on scale 1-7 ","2006","66 and older","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","66 and older","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","66 and older","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","16-34 y.","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Single parent ","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","35-65 y.","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Single parent ","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","66 and older","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","66 and older","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","66 and older","Single parent ","","","",""
"3 on scale 1-7 ","2006","66 and older","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","66 and older","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","66 and older","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2006","16-34 y.","1-pers.-HH","","","",""
"4 on scale 1-7","2006","16-34 y.","(Married) couple without C. ","","","",""
"4 on scale 1-7","2006","16-34 y.","Single parent ","","","",""
"4 on scale 1-7","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"4 on scale 1-7","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"4 on scale 1-7","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2006","35-65 y.","1-pers.-HH","","","",""
"4 on scale 1-7","2006","35-65 y.","(Married) couple without C. ","","","",""
"4 on scale 1-7","2006","35-65 y.","Single parent ","","","",""
"4 on scale 1-7","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"4 on scale 1-7","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"4 on scale 1-7","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2006","66 and older","1-pers.-HH","","","",""
"4 on scale 1-7","2006","66 and older","(Married) couple without C. ","","","",""
"4 on scale 1-7","2006","66 and older","Single parent ","","","",""
"4 on scale 1-7","2006","66 and older","Couple + C. LE 16 ","","","",""
"4 on scale 1-7","2006","66 and older","Couple + C. GT 16 ","","","",""
"4 on scale 1-7","2006","66 and older","Couple + C. LE and GT 16","","","",""
"5 on scale 1-7","2006","16-34 y.","1-pers.-HH","","","",""
"5 on scale 1-7","2006","16-34 y.","(Married) couple without C. ","","","",""
"5 on scale 1-7","2006","16-34 y.","Single parent ","","","",""
"5 on scale 1-7","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"5 on scale 1-7","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"5 on scale 1-7","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"5 on scale 1-7","2006","35-65 y.","1-pers.-HH","","","",""
"5 on scale 1-7","2006","35-65 y.","(Married) couple without C. ","","","",""
"5 on scale 1-7","2006","35-65 y.","Single parent ","","","",""
"5 on scale 1-7","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"5 on scale 1-7","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"5 on scale 1-7","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"5 on scale 1-7","2006","66 and older","1-pers.-HH","","","",""
"5 on scale 1-7","2006","66 and older","(Married) couple without C. ","","","",""
"5 on scale 1-7","2006","66 and older","Single parent ","","","",""
"5 on scale 1-7","2006","66 and older","Couple + C. LE 16 ","","","",""
"5 on scale 1-7","2006","66 and older","Couple + C. GT 16 ","","","",""
"5 on scale 1-7","2006","66 and older","Couple + C. LE and GT 16","","","",""
"6 on scale 1-7","2006","16-34 y.","1-pers.-HH","","","",""
"6 on scale 1-7","2006","16-34 y.","(Married) couple without C. ","","","",""
"6 on scale 1-7","2006","16-34 y.","Single parent ","","","",""
"6 on scale 1-7","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"6 on scale 1-7","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"6 on scale 1-7","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"6 on scale 1-7","2006","35-65 y.","1-pers.-HH","","","",""
"6 on scale 1-7","2006","35-65 y.","(Married) couple without C. ","","","",""
"6 on scale 1-7","2006","35-65 y.","Single parent ","","","",""
"6 on scale 1-7","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"6 on scale 1-7","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"6 on scale 1-7","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
"6 on scale 1-7","2006","66 and older","1-pers.-HH","","","",""
"6 on scale 1-7","2006","66 and older","(Married) couple without C. ","","","",""
"6 on scale 1-7","2006","66 and older","Single parent ","","","",""
"6 on scale 1-7","2006","66 and older","Couple + C. LE 16 ","","","",""
"6 on scale 1-7","2006","66 and older","Couple + C. GT 16 ","","","",""
"6 on scale 1-7","2006","66 and older","Couple + C. LE and GT 16","","","",""
"7 Strongly agree","2006","16-34 y.","1-pers.-HH","","","",""
"7 Strongly agree","2006","16-34 y.","(Married) couple without C. ","","","",""
"7 Strongly agree","2006","16-34 y.","Single parent ","","","",""
"7 Strongly agree","2006","16-34 y.","Couple + C. LE 16 ","","","",""
"7 Strongly agree","2006","16-34 y.","Couple + C. GT 16 ","","","",""
"7 Strongly agree","2006","16-34 y.","Couple + C. LE and GT 16","","","",""
"7 Strongly agree","2006","35-65 y.","1-pers.-HH","","","",""
"7 Strongly agree","2006","35-65 y.","(Married) couple without C. ","","","",""
"7 Strongly agree","2006","35-65 y.","Single parent ","","","",""
"7 Strongly agree","2006","35-65 y.","Couple + C. LE 16 ","","","",""
"7 Strongly agree","2006","35-65 y.","Couple + C. GT 16 ","","","",""
"7 Strongly agree","2006","35-65 y.","Couple + C. LE and GT 16","","","",""
