"plh0206i05","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","678","0.234913576336778","0.219628111352812","0.250199041320744","1"
"1 Strongly disagree","2005","(Married) couple without C. ","1517","0.220860761965869","0.211150634551266","0.230570889380473","1"
"1 Strongly disagree","2005","Single parent ","219","0.191643981431343","0.168331421698668","0.214956541164017","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","586","0.148790591108442","0.137329695828899","0.160251486387985","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","546","0.147263340335041","0.135749721339855","0.158776959330228","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","300","0.187647293456412","0.169087758132212","0.206206828780612","1"
"2 on scale 1-7 ","2005","Single parent ","201","0.182442669404666","0.159567551094781","0.205317787714551","2"
"2 on scale 1-7 ","2005","1-pers.-HH","620","0.205068983422795","0.190511575260658","0.219626391584933","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","323","0.167260910727447","0.149520023530228","0.185001797924667","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","1536","0.203787604691245","0.194358695416523","0.213216513965968","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","822","0.208154049098737","0.195079540234159","0.221228557963315","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","747","0.190773706167622","0.178007809801912","0.203539602533333","2"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","668","0.177413004541477","0.165001034795662","0.189824974287293","3"
"3 on scale 1-7 ","2005","1-pers.-HH","510","0.170441973525853","0.156884429906684","0.183999517145023","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","658","0.17459460629845","0.162369246069424","0.186819966527475","3"
"3 on scale 1-7 ","2005","Single parent ","157","0.140890322855745","0.120283742872643","0.161496902838848","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","1223","0.163623783009786","0.154964495499188","0.172283070520385","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","293","0.166503702944492","0.148794972965755","0.184212432923228","3"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","341","0.192589743754359","0.173844661999615","0.211334825509104","4"
"4 on scale 1-7","2005","(Married) couple without C. ","1208","0.183442280668868","0.174382842350244","0.192501718987492","4"
"4 on scale 1-7","2005","Single parent ","232","0.204844695704056","0.180940211732622","0.22874917967549","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","801","0.231399804145292","0.217697651475222","0.245101956815361","4"
"4 on scale 1-7","2005","1-pers.-HH","529","0.178531553854122","0.16472382392397","0.192339283784275","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","722","0.203087900172132","0.190132231373143","0.21604356897112","4"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","205","0.124801324877636","0.109090949790224","0.140511699965047","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","475","0.12990598649097","0.119078933186461","0.14073303979548","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","437","0.117968656066308","0.107488146748888","0.128449165383727","5"
"5 on scale 1-7","2005","1-pers.-HH","278","0.0943328961981716","0.0837942401835066","0.104871552212837","5"
"5 on scale 1-7","2005","(Married) couple without C. ","755","0.105282813232176","0.0980985913328708","0.112467035131482","5"
"5 on scale 1-7","2005","Single parent ","124","0.108921345017998","0.0904688307608401","0.127373859275156","5"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","129","0.0772018798352316","0.0645139456097903","0.0898898140606729","6"
"6 on scale 1-7","2005","Single parent ","84","0.0884058807176582","0.0715914423225938","0.105220319112723","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","247","0.0775633603378802","0.0688726826441145","0.086254038031646","6"
"6 on scale 1-7","2005","1-pers.-HH","198","0.0669140993174593","0.0579048422262361","0.0759233564086825","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","242","0.074542698476682","0.0660841985420677","0.0830011984112964","6"
"6 on scale 1-7","2005","(Married) couple without C. ","453","0.0734052543999333","0.067300522468942","0.0795099863309245","6"
"7 Strongly agree","2005","Couple + C. LE and GT 16","109","0.083995144404422","0.0708095531492969","0.0971807356595471","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","193","0.0576181284063793","0.0500471832824024","0.0651890735303562","7"
"7 Strongly agree","2005","Single parent ","78","0.0828511048685342","0.0665239652249311","0.0991782445121373","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","199","0.0609241683545879","0.0532212066534348","0.068627130055741","7"
"7 Strongly agree","2005","1-pers.-HH","142","0.0497969173448199","0.0419539791013407","0.0576398555882992","7"
"7 Strongly agree","2005","(Married) couple without C. ","319","0.0495975020321217","0.0445154185600432","0.0546795855042002","7"
"1 Strongly disagree","2006","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2006","Single parent ","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","","","","","1"
"2 on scale 1-7 ","2006","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2006","Single parent ","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2006","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","","","","","2"
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2006","Single parent ","","","","","3"
"3 on scale 1-7 ","2006","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2006","1-pers.-HH","","","","","3"
"4 on scale 1-7","2006","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2006","1-pers.-HH","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2006","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2006","Single parent ","","","","","4"
"5 on scale 1-7","2006","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2006","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2006","Single parent ","","","","","5"
"5 on scale 1-7","2006","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2006","1-pers.-HH","","","","","5"
"5 on scale 1-7","2006","(Married) couple without C. ","","","","","5"
"6 on scale 1-7","2006","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2006","Single parent ","","","","","6"
"6 on scale 1-7","2006","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2006","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2006","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2006","1-pers.-HH","","","","","6"
"7 Strongly agree","2006","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2006","Single parent ","","","","","7"
"7 Strongly agree","2006","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2006","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2006","1-pers.-HH","","","","","7"
"7 Strongly agree","2006","(Married) couple without C. ","","","","","7"
"1 Strongly disagree","2007","1-pers.-HH","","","","","1"
"1 Strongly disagree","2007","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2007","Single parent ","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2007","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE and GT 16","","","","","1"
"2 on scale 1-7 ","2007","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2007","Single parent ","","","","","2"
