"plh0206i05","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","1763","0.241479993347913","0.23200822471003","0.250951761985796","1"
"1 Strongly disagree","2005","Employed","2178","0.167227334006072","0.160766498176855","0.173688169835288","1"
"2 on scale 1-7 ","2005","Employed","2874","0.212411924436889","0.205330659316915","0.219493189556864","2"
"2 on scale 1-7 ","2005","Not Employed","1483","0.179394438522409","0.170903050260612","0.187885826784206","2"
"3 on scale 1-7 ","2005","Not Employed","1300","0.156092266305468","0.148059869402386","0.16412466320855","3"
"3 on scale 1-7 ","2005","Employed","2307","0.175408223513423","0.168823821843286","0.181992625183559","3"
"4 on scale 1-7","2005","Employed","2542","0.204850214002332","0.19786283137372","0.211837596630945","4"
"4 on scale 1-7","2005","Not Employed","1411","0.17969355210575","0.171196636728996","0.188190467482504","4"
"5 on scale 1-7","2005","Not Employed","884","0.111030581607069","0.104077590060224","0.117983573153915","5"
"5 on scale 1-7","2005","Employed","1457","0.109876352120757","0.104461967200954","0.11529073704056","5"
"6 on scale 1-7","2005","Employed","829","0.0738109997926946","0.0692842947706458","0.0783377048147434","6"
"6 on scale 1-7","2005","Not Employed","566","0.074259176008343","0.0684565209502542","0.0800618310664319","6"
"7 Strongly agree","2005","Employed","629","0.0564149521278329","0.0524204792302569","0.060409425025409","7"
"7 Strongly agree","2005","Not Employed","436","0.0580499921030467","0.0528748534130923","0.0632251307930011","7"
"1 Strongly disagree","2006","Not Employed","","","","","1"
"1 Strongly disagree","2006","Employed","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","Employed","","","","","2"
"3 on scale 1-7 ","2006","Employed","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","","","","","3"
"4 on scale 1-7","2006","Not Employed","","","","","4"
"4 on scale 1-7","2006","Employed","","","","","4"
"5 on scale 1-7","2006","Employed","","","","","5"
"5 on scale 1-7","2006","Not Employed","","","","","5"
"6 on scale 1-7","2006","Employed","","","","","6"
"6 on scale 1-7","2006","Not Employed","","","","","6"
"7 Strongly agree","2006","Employed","","","","","7"
"7 Strongly agree","2006","Not Employed","","","","","7"
"1 Strongly disagree","2007","Not Employed","","","","","1"
"1 Strongly disagree","2007","Employed","","","","","1"
"2 on scale 1-7 ","2007","Employed","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","","","","","3"
