"plh0206i05","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","West Germany","981","0.154637977524316","0.145545334429538","0.163730620619094"
"1 Strongly disagree","2005","Full Time","East Germany","354","0.181690027852802","0.164514112856788","0.198865942848816"
"1 Strongly disagree","2005","Part Time","West Germany","692","0.187194651489776","0.174790889087967","0.199598413891586"
"1 Strongly disagree","2005","Part Time","East Germany","151","0.144992352658862","0.123245775819972","0.166738929497751"
"1 Strongly disagree","2005","Not Working","West Germany","1339","0.244361584575199","0.233244178748882","0.255478990401517"
"1 Strongly disagree","2005","Not Working","East Germany","424","0.230728923854502","0.212727123316299","0.248730724392706"
"2 on scale 1-7 ","2005","Full Time","West Germany","1312","0.210949039316831","0.200688929725189","0.221209148908473"
"2 on scale 1-7 ","2005","Full Time","East Germany","447","0.206480322899401","0.188449580857982","0.224511064940819"
"2 on scale 1-7 ","2005","Part Time","West Germany","876","0.21384171042401","0.20080360005503","0.226879820792991"
"2 on scale 1-7 ","2005","Part Time","East Germany","239","0.227743183179196","0.201840966963","0.253645399395392"
"2 on scale 1-7 ","2005","Not Working","West Germany","1086","0.179929169976496","0.16999099934388","0.189867340609111"
"2 on scale 1-7 ","2005","Not Working","East Germany","397","0.177399382815424","0.161076540279618","0.193722225351229"
"3 on scale 1-7 ","2005","Full Time","West Germany","1143","0.182264867024878","0.172556001019784","0.191973733029972"
"3 on scale 1-7 ","2005","Full Time","East Germany","355","0.183269855070014","0.166036087735449","0.200503622404579"
"3 on scale 1-7 ","2005","Part Time","West Germany","644","0.165580177533103","0.15376038312609","0.177399971940116"
"3 on scale 1-7 ","2005","Part Time","East Germany","165","0.154555946780215","0.13222954928745","0.176882344272981"
"3 on scale 1-7 ","2005","Not Working","West Germany","957","0.157308464942241","0.147888694030498","0.166728235853984"
"3 on scale 1-7 ","2005","Not Working","East Germany","343","0.151554691392718","0.136232466167141","0.166876916618295"
"4 on scale 1-7","2005","Full Time","West Germany","1229","0.216472101026079","0.206114983703006","0.226829218349151"
"4 on scale 1-7","2005","Full Time","East Germany","355","0.180297981129938","0.163173443712732","0.197422518547144"
"4 on scale 1-7","2005","Part Time","West Germany","742","0.190967932961372","0.178468896476012","0.203466969446732"
"4 on scale 1-7","2005","Part Time","East Germany","216","0.221640220870521","0.195986649390629","0.247293792350413"
"4 on scale 1-7","2005","Not Working","West Germany","1025","0.177163578845608","0.167285466655181","0.187041691036035"
"4 on scale 1-7","2005","Not Working","East Germany","386","0.189132752946835","0.172399380615782","0.205866125277887"
"5 on scale 1-7","2005","Full Time","West Germany","699","0.104123773152811","0.0964429166411379","0.111804629664484"
"5 on scale 1-7","2005","Full Time","East Germany","225","0.124238395568784","0.109545199227241","0.138931591910327"
"5 on scale 1-7","2005","Part Time","West Germany","423","0.117296969367183","0.10706488414423","0.127529054590137"
"5 on scale 1-7","2005","Part Time","East Germany","110","0.0948731062227908","0.076773894920704","0.112972317524878"
"5 on scale 1-7","2005","Not Working","West Germany","626","0.110639159509435","0.102523507547213","0.118754811471657"
"5 on scale 1-7","2005","Not Working","East Germany","258","0.112490957434521","0.0989898179790827","0.12599209688996"
"6 on scale 1-7","2005","Full Time","West Germany","408","0.0768342928632088","0.0701365560462632","0.0835320296801544"
"6 on scale 1-7","2005","Full Time","East Germany","114","0.0690747377372706","0.0577790560677604","0.0803704194067808"
"6 on scale 1-7","2005","Part Time","West Germany","239","0.0712446919991593","0.0630649358797603","0.0794244481185584"
"6 on scale 1-7","2005","Part Time","East Germany","68","0.0699189668636747","0.0541685790747403","0.0856693546526092"
"6 on scale 1-7","2005","Not Working","West Germany","392","0.0733412650460157","0.0665965425013419","0.0800859875906895"
"6 on scale 1-7","2005","Not Working","East Germany","174","0.0776838548633101","0.0662463705116896","0.0891213392149307"
"7 Strongly agree","2005","Full Time","West Germany","302","0.0547179490918764","0.0489984722151914","0.0604374259685613"
"7 Strongly agree","2005","Full Time","East Germany","86","0.0549486797417908","0.0447978453568905","0.065099514126691"
"7 Strongly agree","2005","Part Time","West Germany","183","0.0538738662253947","0.0466946499729712","0.0610530824778183"
"7 Strongly agree","2005","Part Time","East Germany","58","0.0862762234247403","0.0689347345343066","0.103617712315174"
"7 Strongly agree","2005","Not Working","West Germany","314","0.0572567771050058","0.0512458683220777","0.063267685887934"
"7 Strongly agree","2005","Not Working","East Germany","122","0.0610094366926895","0.0507822933107143","0.0712365800746646"
"1 Strongly disagree","2006","Full Time","West Germany","","","",""
"1 Strongly disagree","2006","Full Time","East Germany","","","",""
"1 Strongly disagree","2006","Part Time","West Germany","","","",""
"1 Strongly disagree","2006","Part Time","East Germany","","","",""
"1 Strongly disagree","2006","Not Working","West Germany","","","",""
"1 Strongly disagree","2006","Not Working","East Germany","","","",""
"2 on scale 1-7 ","2006","Full Time","West Germany","","","",""
"2 on scale 1-7 ","2006","Full Time","East Germany","","","",""
"2 on scale 1-7 ","2006","Part Time","West Germany","","","",""
"2 on scale 1-7 ","2006","Part Time","East Germany","","","",""
"2 on scale 1-7 ","2006","Not Working","West Germany","","","",""
"2 on scale 1-7 ","2006","Not Working","East Germany","","","",""
"3 on scale 1-7 ","2006","Full Time","West Germany","","","",""
"3 on scale 1-7 ","2006","Full Time","East Germany","","","",""
"3 on scale 1-7 ","2006","Part Time","West Germany","","","",""
"3 on scale 1-7 ","2006","Part Time","East Germany","","","",""
"3 on scale 1-7 ","2006","Not Working","West Germany","","","",""
"3 on scale 1-7 ","2006","Not Working","East Germany","","","",""
"4 on scale 1-7","2006","Full Time","West Germany","","","",""
"4 on scale 1-7","2006","Full Time","East Germany","","","",""
"4 on scale 1-7","2006","Part Time","West Germany","","","",""
"4 on scale 1-7","2006","Part Time","East Germany","","","",""
"4 on scale 1-7","2006","Not Working","West Germany","","","",""
"4 on scale 1-7","2006","Not Working","East Germany","","","",""
"5 on scale 1-7","2006","Full Time","West Germany","","","",""
"5 on scale 1-7","2006","Full Time","East Germany","","","",""
"5 on scale 1-7","2006","Part Time","West Germany","","","",""
"5 on scale 1-7","2006","Part Time","East Germany","","","",""
"5 on scale 1-7","2006","Not Working","West Germany","","","",""
"5 on scale 1-7","2006","Not Working","East Germany","","","",""
"6 on scale 1-7","2006","Full Time","West Germany","","","",""
"6 on scale 1-7","2006","Full Time","East Germany","","","",""
"6 on scale 1-7","2006","Part Time","West Germany","","","",""
"6 on scale 1-7","2006","Part Time","East Germany","","","",""
"6 on scale 1-7","2006","Not Working","West Germany","","","",""
"6 on scale 1-7","2006","Not Working","East Germany","","","",""
"7 Strongly agree","2006","Full Time","West Germany","","","",""
"7 Strongly agree","2006","Full Time","East Germany","","","",""
"7 Strongly agree","2006","Part Time","West Germany","","","",""
"7 Strongly agree","2006","Part Time","East Germany","","","",""
"7 Strongly agree","2006","Not Working","West Germany","","","",""
"7 Strongly agree","2006","Not Working","East Germany","","","",""
"1 Strongly disagree","2007","Full Time","West Germany","","","",""
"1 Strongly disagree","2007","Full Time","East Germany","","","",""
"1 Strongly disagree","2007","Part Time","West Germany","","","",""
"1 Strongly disagree","2007","Part Time","East Germany","","","",""
"1 Strongly disagree","2007","Not Working","West Germany","","","",""
"1 Strongly disagree","2007","Not Working","East Germany","","","",""
"2 on scale 1-7 ","2007","Full Time","West Germany","","","",""
"2 on scale 1-7 ","2007","Full Time","East Germany","","","",""
"2 on scale 1-7 ","2007","Part Time","West Germany","","","",""
"2 on scale 1-7 ","2007","Part Time","East Germany","","","",""
"2 on scale 1-7 ","2007","Not Working","West Germany","","","",""
"2 on scale 1-7 ","2007","Not Working","East Germany","","","",""
"3 on scale 1-7 ","2007","Full Time","West Germany","","","",""
"3 on scale 1-7 ","2007","Full Time","East Germany","","","",""
"3 on scale 1-7 ","2007","Part Time","West Germany","","","",""
"3 on scale 1-7 ","2007","Part Time","East Germany","","","",""
"3 on scale 1-7 ","2007","Not Working","West Germany","","","",""
"3 on scale 1-7 ","2007","Not Working","East Germany","","","",""
"4 on scale 1-7","2007","Full Time","West Germany","","","",""
"4 on scale 1-7","2007","Full Time","East Germany","","","",""
"4 on scale 1-7","2007","Part Time","West Germany","","","",""
"4 on scale 1-7","2007","Part Time","East Germany","","","",""
"4 on scale 1-7","2007","Not Working","West Germany","","","",""
"4 on scale 1-7","2007","Not Working","East Germany","","","",""
"5 on scale 1-7","2007","Full Time","West Germany","","","",""
"5 on scale 1-7","2007","Full Time","East Germany","","","",""
"5 on scale 1-7","2007","Part Time","West Germany","","","",""
"5 on scale 1-7","2007","Part Time","East Germany","","","",""
"5 on scale 1-7","2007","Not Working","West Germany","","","",""
"5 on scale 1-7","2007","Not Working","East Germany","","","",""
"6 on scale 1-7","2007","Full Time","West Germany","","","",""
"6 on scale 1-7","2007","Full Time","East Germany","","","",""
"6 on scale 1-7","2007","Part Time","West Germany","","","",""
"6 on scale 1-7","2007","Part Time","East Germany","","","",""
"6 on scale 1-7","2007","Not Working","West Germany","","","",""
"6 on scale 1-7","2007","Not Working","East Germany","","","",""
"7 Strongly agree","2007","Full Time","West Germany","","","",""
"7 Strongly agree","2007","Full Time","East Germany","","","",""
"7 Strongly agree","2007","Part Time","West Germany","","","",""
"7 Strongly agree","2007","Part Time","East Germany","","","",""
"7 Strongly agree","2007","Not Working","West Germany","","","",""
"7 Strongly agree","2007","Not Working","East Germany","","","",""
"1 Strongly disagree","2008","Full Time","West Germany","","","",""
"1 Strongly disagree","2008","Full Time","East Germany","","","",""
"1 Strongly disagree","2008","Part Time","West Germany","","","",""
"1 Strongly disagree","2008","Part Time","East Germany","","","",""
"1 Strongly disagree","2008","Not Working","West Germany","","","",""
"1 Strongly disagree","2008","Not Working","East Germany","","","",""
"2 on scale 1-7 ","2008","Full Time","West Germany","","","",""
"2 on scale 1-7 ","2008","Full Time","East Germany","","","",""
"2 on scale 1-7 ","2008","Part Time","West Germany","","","",""
"2 on scale 1-7 ","2008","Part Time","East Germany","","","",""
"2 on scale 1-7 ","2008","Not Working","West Germany","","","",""
"2 on scale 1-7 ","2008","Not Working","East Germany","","","",""
"3 on scale 1-7 ","2008","Full Time","West Germany","","","",""
"3 on scale 1-7 ","2008","Full Time","East Germany","","","",""
"3 on scale 1-7 ","2008","Part Time","West Germany","","","",""
"3 on scale 1-7 ","2008","Part Time","East Germany","","","",""
"3 on scale 1-7 ","2008","Not Working","West Germany","","","",""
"3 on scale 1-7 ","2008","Not Working","East Germany","","","",""
"4 on scale 1-7","2008","Full Time","West Germany","","","",""
"4 on scale 1-7","2008","Full Time","East Germany","","","",""
"4 on scale 1-7","2008","Part Time","West Germany","","","",""
"4 on scale 1-7","2008","Part Time","East Germany","","","",""
"4 on scale 1-7","2008","Not Working","West Germany","","","",""
"4 on scale 1-7","2008","Not Working","East Germany","","","",""
"5 on scale 1-7","2008","Full Time","West Germany","","","",""
"5 on scale 1-7","2008","Full Time","East Germany","","","",""
"5 on scale 1-7","2008","Part Time","West Germany","","","",""
"5 on scale 1-7","2008","Part Time","East Germany","","","",""
"5 on scale 1-7","2008","Not Working","West Germany","","","",""
"5 on scale 1-7","2008","Not Working","East Germany","","","",""
"6 on scale 1-7","2008","Full Time","West Germany","","","",""
"6 on scale 1-7","2008","Full Time","East Germany","","","",""
"6 on scale 1-7","2008","Part Time","West Germany","","","",""
"6 on scale 1-7","2008","Part Time","East Germany","","","",""
"6 on scale 1-7","2008","Not Working","West Germany","","","",""
"6 on scale 1-7","2008","Not Working","East Germany","","","",""
"7 Strongly agree","2008","Full Time","West Germany","","","",""
"7 Strongly agree","2008","Full Time","East Germany","","","",""
"7 Strongly agree","2008","Part Time","West Germany","","","",""
"7 Strongly agree","2008","Part Time","East Germany","","","",""
"7 Strongly agree","2008","Not Working","West Germany","","","",""
"7 Strongly agree","2008","Not Working","East Germany","","","",""
"1 Strongly disagree","2009","Full Time","West Germany","","","",""
"1 Strongly disagree","2009","Full Time","East Germany","","","",""
"1 Strongly disagree","2009","Part Time","West Germany","","","",""
"1 Strongly disagree","2009","Part Time","East Germany","","","",""
"1 Strongly disagree","2009","Not Working","West Germany","","","",""
"1 Strongly disagree","2009","Not Working","East Germany","","","",""
"2 on scale 1-7 ","2009","Full Time","West Germany","","","",""
"2 on scale 1-7 ","2009","Full Time","East Germany","","","",""
"2 on scale 1-7 ","2009","Part Time","West Germany","","","",""
"2 on scale 1-7 ","2009","Part Time","East Germany","","","",""
"2 on scale 1-7 ","2009","Not Working","West Germany","","","",""
"2 on scale 1-7 ","2009","Not Working","East Germany","","","",""
"3 on scale 1-7 ","2009","Full Time","West Germany","","","",""
"3 on scale 1-7 ","2009","Full Time","East Germany","","","",""
"3 on scale 1-7 ","2009","Part Time","West Germany","","","",""
"3 on scale 1-7 ","2009","Part Time","East Germany","","","",""
"3 on scale 1-7 ","2009","Not Working","West Germany","","","",""
"3 on scale 1-7 ","2009","Not Working","East Germany","","","",""
"4 on scale 1-7","2009","Full Time","West Germany","","","",""
"4 on scale 1-7","2009","Full Time","East Germany","","","",""
"4 on scale 1-7","2009","Part Time","West Germany","","","",""
"4 on scale 1-7","2009","Part Time","East Germany","","","",""
"4 on scale 1-7","2009","Not Working","West Germany","","","",""
"4 on scale 1-7","2009","Not Working","East Germany","","","",""
"5 on scale 1-7","2009","Full Time","West Germany","","","",""
"5 on scale 1-7","2009","Full Time","East Germany","","","",""
"5 on scale 1-7","2009","Part Time","West Germany","","","",""
"5 on scale 1-7","2009","Part Time","East Germany","","","",""
"5 on scale 1-7","2009","Not Working","West Germany","","","",""
"5 on scale 1-7","2009","Not Working","East Germany","","","",""
"6 on scale 1-7","2009","Full Time","West Germany","","","",""
"6 on scale 1-7","2009","Full Time","East Germany","","","",""
"6 on scale 1-7","2009","Part Time","West Germany","","","",""
"6 on scale 1-7","2009","Part Time","East Germany","","","",""
"6 on scale 1-7","2009","Not Working","West Germany","","","",""
"6 on scale 1-7","2009","Not Working","East Germany","","","",""
"7 Strongly agree","2009","Full Time","West Germany","","","",""
"7 Strongly agree","2009","Full Time","East Germany","","","",""
"7 Strongly agree","2009","Part Time","West Germany","","","",""
"7 Strongly agree","2009","Part Time","East Germany","","","",""
"7 Strongly agree","2009","Not Working","West Germany","","","",""
"7 Strongly agree","2009","Not Working","East Germany","","","",""
"1 Strongly disagree","2010","Full Time","West Germany","843","0.170565096520669","0.159892265869612","0.181237927171725"
"1 Strongly disagree","2010","Full Time","East Germany","262","0.168682014110512","0.150689601275968","0.186674426945057"
"1 Strongly disagree","2010","Part Time","West Germany","576","0.183543069320392","0.169918184397085","0.197167954243699"
"1 Strongly disagree","2010","Part Time","East Germany","133","0.171459353664891","0.145259309269607","0.197659398060175"
"1 Strongly disagree","2010","Not Working","West Germany","1104","0.250846215970719","0.238386421447265","0.263306010494173"
"1 Strongly disagree","2010","Not Working","East Germany","345","0.22322232340845","0.203268905404298","0.243175741412603"
"2 on scale 1-7 ","2010","Full Time","West Germany","1113","0.212314867537465","0.200710809014828","0.223918926060101"
"2 on scale 1-7 ","2010","Full Time","East Germany","409","0.24044228413353","0.219909055524453","0.260975512742607"
"2 on scale 1-7 ","2010","Part Time","West Germany","731","0.224600321446137","0.209912235572496","0.239288407319779"
"2 on scale 1-7 ","2010","Part Time","East Germany","169","0.202980905933942","0.175021593777861","0.230940218090022"
"2 on scale 1-7 ","2010","Not Working","West Germany","1028","0.203593245035123","0.192019583851371","0.215166906218875"
"2 on scale 1-7 ","2010","Not Working","East Germany","321","0.185986767623616","0.167342004239614","0.204631531007617"
"3 on scale 1-7 ","2010","Full Time","West Germany","937","0.203392421025818","0.191970662278611","0.214814179773026"
"3 on scale 1-7 ","2010","Full Time","East Germany","292","0.167760086654015","0.149806963044584","0.185713210263446"
"3 on scale 1-7 ","2010","Part Time","West Germany","637","0.197607687492253","0.183592706747502","0.211622668237004"
"3 on scale 1-7 ","2010","Part Time","East Germany","141","0.189041249831862","0.161824127911626","0.216258371752099"
"3 on scale 1-7 ","2010","Not Working","West Germany","793","0.170897060175615","0.160077910274292","0.181716210076937"
"3 on scale 1-7 ","2010","Not Working","East Germany","295","0.17117507390437","0.153126130449483","0.189224017359258"
"4 on scale 1-7","2010","Full Time","West Germany","867","0.174655689670194","0.163882300888553","0.185429078451835"
"4 on scale 1-7","2010","Full Time","East Germany","334","0.18840259232021","0.169614391536133","0.207190793104287"
"4 on scale 1-7","2010","Part Time","West Germany","532","0.168813713609552","0.155629620715097","0.181997806504007"
"4 on scale 1-7","2010","Part Time","East Germany","177","0.224849214786319","0.195828820414171","0.253869609158467"
"4 on scale 1-7","2010","Not Working","West Germany","807","0.169373963577639","0.158593244981097","0.180154682174182"
