"plh0206i05","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","Male","31","0.0921538712584758","0.0600075847183302","0.124300157798621"
"1 Strongly disagree","2005","(0) in school","Female","43","0.168160752902642","0.128405853615675","0.20791565218961"
"1 Strongly disagree","2005","(1a) inadequately completed","Male","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","Female","40","0.291881562674784","0.214906159137062","0.368856966212507"
"1 Strongly disagree","2005","(1b) general elementary school","Male","87","0.147947316914739","0.118901812985504","0.176992820843974"
"1 Strongly disagree","2005","(1b) general elementary school","Female","303","0.228810045308352","0.205815633550512","0.251804457066192"
"1 Strongly disagree","2005","(1c) basic vocational qualification","Male","519","0.172515234129837","0.159171835449618","0.185858632810056"
"1 Strongly disagree","2005","(1c) basic vocational qualification","Female","618","0.244505323132396","0.228066883398584","0.260943762866207"
"1 Strongly disagree","2005","(2b) intermediate general qualification","Male","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","Female","56","0.176315123473006","0.136504215003452","0.21612603194256"
"1 Strongly disagree","2005","(2a) intermediate vocational","Male","318","0.151693265232277","0.136194931335265","0.16719159912929"
"1 Strongly disagree","2005","(2a) intermediate vocational","Female","582","0.226662277899135","0.210962917280468","0.242361638517802"
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","Male","46","0.145727206189744","0.109430820118319","0.18202359226117"
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","Female","63","0.138877050638885","0.10626680713388","0.17148729414389"
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","Male","94","0.142411013146379","0.11588960618278","0.168932420109979"
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","Female","186","0.253593269772105","0.224258926378373","0.282927613165837"
"1 Strongly disagree","2005","(3a) lower tertiary education","Male","157","0.198705420756932","0.172356605243539","0.225054236270326"
"1 Strongly disagree","2005","(3a) lower tertiary education","Female","190","0.256710974517177","0.225777066901257","0.287644882133097"
"1 Strongly disagree","2005","(3b) higher tertiary education","Male","248","0.166415143621713","0.147083906035362","0.185746381208065"
"1 Strongly disagree","2005","(3b) higher tertiary education","Female","262","0.234459439730062","0.209285475683926","0.259633403776198"
"2 on scale 1-7 ","2005","(0) in school","Male","38","0.125029870433796","0.0882702176508423","0.161789523216749"
"2 on scale 1-7 ","2005","(0) in school","Female","67","0.212919303423651","0.169405626641369","0.256432980205933"
"2 on scale 1-7 ","2005","(1a) inadequately completed","Male","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","Female","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","Male","75","0.144802636184813","0.116014499517498","0.173590772852128"
"2 on scale 1-7 ","2005","(1b) general elementary school","Female","226","0.177584565382282","0.156665016598247","0.198504114166317"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","Male","560","0.180064403500086","0.166494506954281","0.193634300045891"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","Female","513","0.185042047535036","0.170189411326675","0.199894683743396"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","Male","36","0.177397329659622","0.127593531082858","0.227201128236386"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","Female","60","0.136379259867442","0.100527336815905","0.172231182918979"
"2 on scale 1-7 ","2005","(2a) intermediate vocational","Male","397","0.193897075174361","0.176816350854699","0.210977799494023"
"2 on scale 1-7 ","2005","(2a) intermediate vocational","Female","616","0.222909698913238","0.207303110738001","0.238516287088476"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Male","66","0.128456203461119","0.0940357230424883","0.162876683879749"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Female","101","0.224680299233766","0.185322652419882","0.264037946047651"
