"plh0206i05","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","in school","60","0.131732891358209","0.102177420316875","0.161288362399543"
"1 Strongly disagree","2005","no migration background","inadequately","15","","",""
"1 Strongly disagree","2005","no migration background","general elemantary","313","0.199745583993234","0.180448557361984","0.219042610624484"
"1 Strongly disagree","2005","no migration background","middle vocational","1690","0.19425707643791","0.186095706875952","0.202418445999868"
"1 Strongly disagree","2005","no migration background","vocational + Abi","146","0.195322255265518","0.16899377001815","0.221650740512885"
"1 Strongly disagree","2005","no migration background","higher vocational","274","0.210060525338912","0.188584040410797","0.231537010267027"
"1 Strongly disagree","2005","no migration background","higher education","775","0.208810399023093","0.195808185201157","0.221812612845029"
"1 Strongly disagree","2005","direct migration background","in school","6","","",""
"1 Strongly disagree","2005","direct migration background","inadequately","40","0.319148361730637","0.242478183657586","0.395818539803688"
"1 Strongly disagree","2005","direct migration background","general elemantary","125","0.193142565061962","0.16064925448725","0.225635875636673"
"1 Strongly disagree","2005","direct migration background","middle vocational","200","0.237981528055321","0.209733031213509","0.266230024897133"
"1 Strongly disagree","2005","direct migration background","vocational + Abi","47","0.19329465829541","0.140511392945019","0.246077923645801"
"1 Strongly disagree","2005","direct migration background","higher vocational","42","0.331227504490307","0.251239535668738","0.411215473311875"
"1 Strongly disagree","2005","direct migration background","higher education","75","0.215973264111662","0.17210452284963","0.259842005373695"
"1 Strongly disagree","2005","indirect migration background","in school","8","","",""
"1 Strongly disagree","2005","indirect migration background","inadequately","2","","",""
"1 Strongly disagree","2005","indirect migration background","general elemantary","21","","",""
"1 Strongly disagree","2005","indirect migration background","middle vocational","46","0.123372620283319","0.0881564117184662","0.158588828848172"
"1 Strongly disagree","2005","indirect migration background","vocational + Abi","5","","",""
"1 Strongly disagree","2005","indirect migration background","higher vocational","4","","",""
"1 Strongly disagree","2005","indirect migration background","higher education","7","","",""
"2 on scale 1-7 ","2005","no migration background","in school","80","0.152192355535971","0.120801064167183","0.18358364690476"
"2 on scale 1-7 ","2005","no migration background","inadequately","9","","",""
"2 on scale 1-7 ","2005","no migration background","general elemantary","261","0.156631664983997","0.139089378833902","0.174173951134093"
"2 on scale 1-7 ","2005","no migration background","middle vocational","1812","0.195666575059165","0.187482817601059","0.20385033251727"
"2 on scale 1-7 ","2005","no migration background","vocational + Abi","209","0.214412457814889","0.187156508370583","0.241668407259194"
"2 on scale 1-7 ","2005","no migration background","higher vocational","334","0.229155759256234","0.206997135990648","0.25131438252182"
"2 on scale 1-7 ","2005","no migration background","higher education","1058","0.261014253012932","0.246965069041902","0.275063436983962"
"2 on scale 1-7 ","2005","direct migration background","in school","11","","",""
"2 on scale 1-7 ","2005","direct migration background","inadequately","21","","",""
"2 on scale 1-7 ","2005","direct migration background","general elemantary","102","0.192929364137347","0.160449702126665","0.225409026148029"
"2 on scale 1-7 ","2005","direct migration background","middle vocational","135","0.137564219591802","0.114715751022403","0.160412688161201"
"2 on scale 1-7 ","2005","direct migration background","vocational + Abi","42","0.214755266538839","0.159863995310098","0.269646537767581"
"2 on scale 1-7 ","2005","direct migration background","higher vocational","24","","",""
"2 on scale 1-7 ","2005","direct migration background","higher education","60","0.181584400207764","0.140486847773176","0.222681952642351"
"2 on scale 1-7 ","2005","indirect migration background","in school","13","","",""
"2 on scale 1-7 ","2005","indirect migration background","inadequately","1","","",""
"2 on scale 1-7 ","2005","indirect migration background","general elemantary","29","","",""
"2 on scale 1-7 ","2005","indirect migration background","middle vocational","65","0.207086521750619","0.163694038503511","0.250479004997726"
"2 on scale 1-7 ","2005","indirect migration background","vocational + Abi","16","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher vocational","12","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher education","17","","",""
"3 on scale 1-7 ","2005","no migration background","in school","82","0.144237838265032","0.113534878685382","0.174940797844683"
"3 on scale 1-7 ","2005","no migration background","inadequately","10","","",""
"3 on scale 1-7 ","2005","no migration background","general elemantary","274","0.16053027948202","0.142812113653881","0.178248445310159"
"3 on scale 1-7 ","2005","no migration background","middle vocational","1522","0.161385537382953","0.153796444816331","0.168974629949575"
"3 on scale 1-7 ","2005","no migration background","vocational + Abi","171","0.183592483745418","0.157881425077235","0.209303542413602"
"3 on scale 1-7 ","2005","no migration background","higher vocational","243","0.168509618618392","0.148774713979188","0.188244523257597"
"3 on scale 1-7 ","2005","no migration background","higher education","746","0.204989255092226","0.192075486354884","0.217903023829569"
"3 on scale 1-7 ","2005","direct migration background","in school","10","","",""
"3 on scale 1-7 ","2005","direct migration background","inadequately","26","","",""
"3 on scale 1-7 ","2005","direct migration background","general elemantary","82","0.14379477343199","0.114913452712098","0.172676094151883"
"3 on scale 1-7 ","2005","direct migration background","middle vocational","144","0.138667041876129","0.115741842180172","0.161592241572086"
"3 on scale 1-7 ","2005","direct migration background","vocational + Abi","37","0.149533987628407","0.101865947130113","0.1972020281267"
"3 on scale 1-7 ","2005","direct migration background","higher vocational","26","","",""
"3 on scale 1-7 ","2005","direct migration background","higher education","57","0.169525054492274","0.129524136829462","0.209525972155085"
"3 on scale 1-7 ","2005","indirect migration background","in school","17","","",""
"3 on scale 1-7 ","2005","indirect migration background","inadequately","2","","",""
"3 on scale 1-7 ","2005","indirect migration background","general elemantary","29","","",""
"3 on scale 1-7 ","2005","indirect migration background","middle vocational","54","0.181846959260447","0.140542591047649","0.223151327473245"
"3 on scale 1-7 ","2005","indirect migration background","vocational + Abi","4","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher vocational","5","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher education","20","","",""
"4 on scale 1-7","2005","no migration background","in school","126","0.238276988412949","0.201046075310291","0.275507901515607"
"4 on scale 1-7","2005","no migration background","inadequately","13","","",""
"4 on scale 1-7","2005","no migration background","general elemantary","334","0.202322829217909","0.182933008686499","0.221712649749318"
"4 on scale 1-7","2005","no migration background","middle vocational","1791","0.197007067900933","0.188802170876735","0.205211964925131"
"4 on scale 1-7","2005","no migration background","vocational + Abi","169","0.21303515031915","0.185843077514638","0.240227223123662"
"4 on scale 1-7","2005","no migration background","higher vocational","258","0.202365539747366","0.181183669487727","0.223547410007004"
"4 on scale 1-7","2005","no migration background","higher education","609","0.168222102013008","0.156256179873603","0.180188024152413"
"4 on scale 1-7","2005","direct migration background","in school","9","","",""
"4 on scale 1-7","2005","direct migration background","inadequately","24","","",""
"4 on scale 1-7","2005","direct migration background","general elemantary","114","0.194199066033711","0.161638345016482","0.22675978705094"
"4 on scale 1-7","2005","direct migration background","middle vocational","147","0.206125869894888","0.17929201636832","0.232959723421456"
"4 on scale 1-7","2005","direct migration background","vocational + Abi","35","0.148165528299236","0.100677946628453","0.195653109970019"
"4 on scale 1-7","2005","direct migration background","higher vocational","24","","",""
"4 on scale 1-7","2005","direct migration background","higher education","75","0.217894181702261","0.17388479503538","0.261903568369142"
"4 on scale 1-7","2005","indirect migration background","in school","17","","",""
"4 on scale 1-7","2005","indirect migration background","inadequately","1","","",""
"4 on scale 1-7","2005","indirect migration background","general elemantary","44","0.211088227816078","0.151637793895114","0.270538661737041"
"4 on scale 1-7","2005","indirect migration background","middle vocational","68","0.18593477131844","0.144273204688332","0.227596337948547"
"4 on scale 1-7","2005","indirect migration background","vocational + Abi","11","","",""
"4 on scale 1-7","2005","indirect migration background","higher vocational","5","","",""
"4 on scale 1-7","2005","indirect migration background","higher education","17","","",""
"5 on scale 1-7","2005","no migration background","in school","54","0.0901860467656476","0.0651532098394768","0.115218883691818"
"5 on scale 1-7","2005","no migration background","inadequately","11","","",""
"5 on scale 1-7","2005","no migration background","general elemantary","188","0.110986842285006","0.0958258507507827","0.126147833819229"
"5 on scale 1-7","2005","no migration background","middle vocational","1079","0.11324669543368","0.106709513879341","0.119783876988019"
"5 on scale 1-7","2005","no migration background","vocational + Abi","94","0.0965593147403797","0.0769444226475088","0.116174206833251"
"5 on scale 1-7","2005","no migration background","higher vocational","153","0.0897231299512558","0.0746559133724122","0.104790346530099"
"5 on scale 1-7","2005","no migration background","higher education","333","0.0879925866394526","0.0789306048859356","0.0970545683929696"
"5 on scale 1-7","2005","direct migration background","in school","10","","",""
"5 on scale 1-7","2005","direct migration background","inadequately","11","","",""
