"plh0206i05","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Urban Area","459","0.132685270244405","0.121527626961897","0.143842913526913"
"1 Strongly disagree","2005","16-34 y.","Rural Area","175","0.0937363948384488","0.0801196546850602","0.107353134991837"
"1 Strongly disagree","2005","35-65 y.","Urban Area","1564","0.201721319811785","0.192801029501919","0.210641610121651"
"1 Strongly disagree","2005","35-65 y.","Rural Area","707","0.181151321208606","0.168918624719003","0.19338401769821"
"1 Strongly disagree","2005","66 and older","Urban Area","739","0.304891596533651","0.286863776142622","0.322919416924679"
"1 Strongly disagree","2005","66 and older","Rural Area","297","0.259228283128242","0.23504173250406","0.283414833752423"
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","684","0.185527269798252","0.172741852549411","0.198312687047092"
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","319","0.199699082535409","0.181022111326423","0.218376053744395"
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","1774","0.210159614814855","0.201102911884043","0.219216317745667"
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","846","0.208555984357452","0.195652082567678","0.221459886147227"
"2 on scale 1-7 ","2005","66 and older","Urban Area","500","0.18740740605352","0.172125622978045","0.202689189128996"
"2 on scale 1-7 ","2005","66 and older","Rural Area","234","0.177120130199998","0.156048762376141","0.198191498023856"
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","660","0.1722242330847","0.159805530143054","0.184642936026345"
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","283","0.153103267758288","0.136280431580025","0.169926103936551"
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","1415","0.177012555274749","0.168528090255079","0.185497020294419"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","633","0.160505218847211","0.148846436343988","0.172164001350433"
"3 on scale 1-7 ","2005","66 and older","Urban Area","398","0.157587657495324","0.143319506835533","0.171855808155115"
"3 on scale 1-7 ","2005","66 and older","Rural Area","218","0.162181421060046","0.141836027658651","0.18252681446144"
"4 on scale 1-7","2005","16-34 y.","Urban Area","739","0.212395200732716","0.198942815939807","0.225847585525625"
"4 on scale 1-7","2005","16-34 y.","Rural Area","427","0.243306418168284","0.223260379445318","0.263352456891249"
"4 on scale 1-7","2005","35-65 y.","Urban Area","1434","0.191356117687099","0.182611805563157","0.200100429811042"
"4 on scale 1-7","2005","35-65 y.","Rural Area","727","0.198895360366217","0.186217190366097","0.211573530366336"
"4 on scale 1-7","2005","66 and older","Urban Area","388","0.153019891748721","0.138921980359605","0.167117803137836"
"4 on scale 1-7","2005","66 and older","Rural Area","238","0.192686990882765","0.170918028924591","0.214455952840939"
"5 on scale 1-7","2005","16-34 y.","Urban Area","454","0.129396433125375","0.118357067221884","0.140435799028866"
"5 on scale 1-7","2005","16-34 y.","Rural Area","255","0.136475031882213","0.120436825084163","0.152513238680263"
"5 on scale 1-7","2005","35-65 y.","Urban Area","796","0.103086264300597","0.0963269668072645","0.10984556179393"
"5 on scale 1-7","2005","35-65 y.","Rural Area","483","0.118037888487261","0.107789978515566","0.128285798458956"
"5 on scale 1-7","2005","66 and older","Urban Area","229","0.0933781909240454","0.0819840907119976","0.104772291136093"
"5 on scale 1-7","2005","66 and older","Rural Area","124","0.0885305731061207","0.0728519385153526","0.104209207696889"
"6 on scale 1-7","2005","16-34 y.","Urban Area","309","0.0938118965347866","0.0842220669194982","0.103401726150075"
