"year","pgisced97","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1989","general elemantary","Female","6.18","6","1431","6.05","6.31","3","5","8","10"
"1989","general elemantary","Male","6.48","7","808","6.3","6.66","3","5","8","10"
"1989","higher education","Female","8.46","9","216","8.25","8.67","6","8","10","10"
"1989","higher education","Male","8.44","9","449","8.28","8.6","7","8","10","10"
"1989","higher vocational","Female","7.5","8","200","7.2","7.8","5","6","9","10"
"1989","higher vocational","Male","7.56","8","273","7.35","7.77","5","7","9","10"
"1989","in school","Female","7.89","8","84","7.44","8.34","5","7","10","10"
"1989","in school","Male","7.53","8","89","7.12","7.94","5","7","9","10"
"1989","inadequately","Female","4.5","5","328","4.21","4.79","1","2","6","9"
"1989","inadequately","Male","5.31","5","221","4.95","5.67","2","3","7","9"
"1989","middle vocational","Female","7.05","7","1889","6.96","7.14","5","5","8","10"
"1989","middle vocational","Male","6.99","7","2263","6.91","7.07","5","6","8","10"
"1989","vocational + Abi","Female","7.91","8","125","7.56","8.26","5","7","9","10"
"1989","vocational + Abi","Male","7.61","8","141","7.26","7.96","5","7","9","10"
"1990","general elemantary","Female","","","","","","","","",""
"1990","general elemantary","Male","","","","","","","","",""
"1990","higher education","Female","","","","","","","","",""
"1990","higher education","Male","","","","","","","","",""
"1990","higher vocational","Female","","","","","","","","",""
"1990","higher vocational","Male","","","","","","","","",""
"1990","in school","Female","","","","","","","","",""
"1990","in school","Male","","","","","","","","",""
"1990","inadequately","Female","","","","","","","","",""
"1990","inadequately","Male","","","","","","","","",""
"1990","middle vocational","Female","","","","","","","","",""
"1990","middle vocational","Male","","","","","","","","",""
"1990","vocational + Abi","Female","","","","","","","","",""
"1990","vocational + Abi","Male","","","","","","","","",""
"1991","general elemantary","Female","","","","","","","","",""
"1991","general elemantary","Male","","","","","","","","",""
"1991","higher education","Female","","","","","","","","",""
"1991","higher education","Male","","","","","","","","",""
"1991","higher vocational","Female","","","","","","","","",""
"1991","higher vocational","Male","","","","","","","","",""
"1991","in school","Female","","","","","","","","",""
"1991","in school","Male","","","","","","","","",""
"1991","inadequately","Female","","","","","","","","",""
"1991","inadequately","Male","","","","","","","","",""
"1991","middle vocational","Female","","","","","","","","",""
"1991","middle vocational","Male","","","","","","","","",""
"1991","vocational + Abi","Female","","","","","","","","",""
"1991","vocational + Abi","Male","","","","","","","","",""
"1992","general elemantary","Female","","","","","","","","",""
"1992","general elemantary","Male","","","","","","","","",""
"1992","higher education","Female","","","","","","","","",""
"1992","higher education","Male","","","","","","","","",""
"1992","higher vocational","Female","","","","","","","","",""
"1992","higher vocational","Male","","","","","","","","",""
"1992","in school","Female","","","","","","","","",""
"1992","in school","Male","","","","","","","","",""
"1992","inadequately","Female","","","","","","","","",""
"1992","inadequately","Male","","","","","","","","",""
"1992","middle vocational","Female","","","","","","","","",""
"1992","middle vocational","Male","","","","","","","","",""
"1992","vocational + Abi","Female","","","","","","","","",""
"1992","vocational + Abi","Male","","","","","","","","",""
"1993","general elemantary","Female","6.02","6","1375","5.88","6.16","3","5","8","10"
"1993","general elemantary","Male","6.31","7","836","6.15","6.47","3","5","8","9"
"1993","higher education","Female","7.98","8","651","7.84","8.12","5","7","9","10"
"1993","higher education","Male","8.2","8","810","8.08","8.32","6","8","9","10"
"1993","higher vocational","Female","7.49","8","246","7.25","7.73","5","6","9","10"
"1993","higher vocational","Male","7.37","8","410","7.19","7.55","5","6","8","10"
"1993","in school","Female","7.6","8","97","7.16","8.04","5","7","9","10"
"1993","in school","Male","7.52","7.38","85","7.1","7.94","5","6","9","10"
"1993","inadequately","Female","4.46","4","269","4.14","4.78","1","2","6","9"
"1993","inadequately","Male","4.91","5","187","4.53","5.29","0","4","7","9"
"1993","middle vocational","Female","6.86","7","2771","6.78","6.94","4","5","8","10"
"1993","middle vocational","Male","6.89","7","2872","6.81","6.97","4","5","8","10"
"1993","vocational + Abi","Female","7.57","8","154","7.25","7.89","5","6","9","10"
"1993","vocational + Abi","Male","7.59","8","202","7.31","7.87","5","7","9","10"
"1994","general elemantary","Female","","","","","","","","",""
"1994","general elemantary","Male","","","","","","","","",""
"1994","higher education","Female","","","","","","","","",""
"1994","higher education","Male","","","","","","","","",""
"1994","higher vocational","Female","","","","","","","","",""
"1994","higher vocational","Male","","","","","","","","",""
"1994","in school","Female","","","","","","","","",""
"1994","in school","Male","","","","","","","","",""
"1994","inadequately","Female","","","","","","","","",""
"1994","inadequately","Male","","","","","","","","",""
"1994","middle vocational","Female","","","","","","","","",""
"1994","middle vocational","Male","","","","","","","","",""
"1994","vocational + Abi","Female","","","","","","","","",""
"1994","vocational + Abi","Male","","","","","","","","",""
"1995","general elemantary","Female","","","","","","","","",""
"1995","general elemantary","Male","","","","","","","","",""
"1995","higher education","Female","","","","","","","","",""
"1995","higher education","Male","","","","","","","","",""
"1995","higher vocational","Female","","","","","","","","",""
"1995","higher vocational","Male","","","","","","","","",""
"1995","in school","Female","","","","","","","","",""
"1995","in school","Male","","","","","","","","",""
"1995","inadequately","Female","","","","","","","","",""
"1995","inadequately","Male","","","","","","","","",""
"1995","middle vocational","Female","","","","","","","","",""
"1995","middle vocational","Male","","","","","","","","",""
"1995","vocational + Abi","Female","","","","","","","","",""
"1995","vocational + Abi","Male","","","","","","","","",""
"1996","general elemantary","Female","","","","","","","","",""
"1996","general elemantary","Male","","","","","","","","",""
"1996","higher education","Female","","","","","","","","",""
"1996","higher education","Male","","","","","","","","",""
"1996","higher vocational","Female","","","","","","","","",""
"1996","higher vocational","Male","","","","","","","","",""
"1996","in school","Female","","","","","","","","",""
"1996","in school","Male","","","","","","","","",""
"1996","inadequately","Female","","","","","","","","",""
"1996","inadequately","Male","","","","","","","","",""
"1996","middle vocational","Female","","","","","","","","",""
"1996","middle vocational","Male","","","","","","","","",""
"1996","vocational + Abi","Female","","","","","","","","",""
"1996","vocational + Abi","Male","","","","","","","","",""
"1997","general elemantary","Female","","","","","","","","",""
"1997","general elemantary","Male","","","","","","","","",""
"1997","higher education","Female","","","","","","","","",""
"1997","higher education","Male","","","","","","","","",""
