"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1989","direct migration background","Female","5.87","6","1065","2","4","8","10","5.71","6.03","5","6"
"1989","direct migration background","Male","6.51","7","1179","3","5","8","10","6.36","6.66","6","7"
"1989","indirect migration background","Female","7.45","8","119","5","7","9","10","7.05","7.85","7","8"
"1989","indirect migration background","Male","7.64","8","116","5","6","10","10","7.21","8.07","7","8"
"1989","no migration background","Female","6.94","7","3158","4","5","9","10","6.86","7.02","7","7"
"1989","no migration background","Male","7.22","8","3010","5","6","9","10","7.15","7.29","7","8"
"1990","direct migration background","Female","","","","","","","","","","",""
"1990","direct migration background","Male","","","","","","","","","","",""
"1990","indirect migration background","Female","","","","","","","","","","",""
"1990","indirect migration background","Male","","","","","","","","","","",""
"1990","no migration background","Female","","","","","","","","","","",""
"1990","no migration background","Male","","","","","","","","","","",""
"1991","direct migration background","Female","","","","","","","","","","",""
"1991","direct migration background","Male","","","","","","","","","","",""
"1991","indirect migration background","Female","","","","","","","","","","",""
"1991","indirect migration background","Male","","","","","","","","","","",""
"1991","no migration background","Female","","","","","","","","","","",""
"1991","no migration background","Male","","","","","","","","","","",""
"1992","direct migration background","Female","","","","","","","","","","",""
"1992","direct migration background","Male","","","","","","","","","","",""
"1992","indirect migration background","Female","","","","","","","","","","",""
"1992","indirect migration background","Male","","","","","","","","","","",""
"1992","no migration background","Female","","","","","","","","","","",""
"1992","no migration background","Male","","","","","","","","","","",""
"1993","direct migration background","Female","5.86","6","962","2","4","8","10","5.69","6.03","5","5"
"1993","direct migration background","Male","6.29","7","1079","3","5","8","10","6.13","6.45","5","6"
"1993","indirect migration background","Female","7.11","7.43","213","4","6","9","10","6.79","7.43","7","8"
"1993","indirect migration background","Male","6.63","7","221","3","5","8","10","6.34","6.92","7","8"
"1993","no migration background","Female","6.86","7","4487","4","5","8","10","6.8","6.92","7","7"
"1993","no migration background","Male","7.19","8","4192","5","6","9","10","7.13","7.25","7","8"
"1994","direct migration background","Female","","","","","","","","","","",""
"1994","direct migration background","Male","","","","","","","","","","",""
"1994","indirect migration background","Female","","","","","","","","","","",""
"1994","indirect migration background","Male","","","","","","","","","","",""
"1994","no migration background","Female","","","","","","","","","","",""
"1994","no migration background","Male","","","","","","","","","","",""
"1995","direct migration background","Female","","","","","","","","","","",""
"1995","direct migration background","Male","","","","","","","","","","",""
"1995","indirect migration background","Female","","","","","","","","","","",""
"1995","indirect migration background","Male","","","","","","","","","","",""
"1995","no migration background","Female","","","","","","","","","","",""
"1995","no migration background","Male","","","","","","","","","","",""
"1996","direct migration background","Female","","","","","","","","","","",""
"1996","direct migration background","Male","","","","","","","","","","",""
"1996","indirect migration background","Female","","","","","","","","","","",""
"1996","indirect migration background","Male","","","","","","","","","","",""
"1996","no migration background","Female","","","","","","","","","","",""
"1996","no migration background","Male","","","","","","","","","","",""
"1997","direct migration background","Female","","","","","","","","","","",""
"1997","direct migration background","Male","","","","","","","","","","",""
"1997","indirect migration background","Female","","","","","","","","","","",""
"1997","indirect migration background","Male","","","","","","","","","","",""
"1997","no migration background","Female","","","","","","","","","","",""
"1997","no migration background","Male","","","","","","","","","","",""
"1998","direct migration background","Female","","","","","","","","","","",""
"1998","direct migration background","Male","","","","","","","","","","",""
"1998","indirect migration background","Female","","","","","","","","","","",""
"1998","indirect migration background","Male","","","","","","","","","","",""
"1998","no migration background","Female","","","","","","","","","","",""
"1998","no migration background","Male","","","","","","","","","","",""
"1999","direct migration background","Female","","","","","","","","","","",""
"1999","direct migration background","Male","","","","","","","","","","",""
"1999","indirect migration background","Female","","","","","","","","","","",""
"1999","indirect migration background","Male","","","","","","","","","","",""
"1999","no migration background","Female","","","","","","","","","","",""
"1999","no migration background","Male","","","","","","","","","","",""
"2000","direct migration background","Female","6.39","7","1530","3","5","8","10","6.26","6.52","6","7"
"2000","direct migration background","Male","6.53","7","1519","3","5","8","10","6.41","6.65","7","7"
"2000","indirect migration background","Female","7.13","7","402","5","6","9","10","6.92","7.34","7","8"
"2000","indirect migration background","Male","7.09","8","404","4","6","9","10","6.88","7.3","7","8"
"2000","no migration background","Female","7.03","7","9581","4","6","9","10","6.99","7.07","7","8"
"2000","no migration background","Male","7.25","8","8914","5","6","9","10","7.21","7.29","8","8"
"2001","direct migration background","Female","","","","","","","","","","",""
"2001","direct migration background","Male","","","","","","","","","","",""
"2001","indirect migration background","Female","","","","","","","","","","",""
"2001","indirect migration background","Male","","","","","","","","","","",""
"2001","no migration background","Female","","","","","","","","","","",""
"2001","no migration background","Male","","","","","","","","","","",""
"2002","direct migration background","Female","","","","","","","","","","",""
"2002","direct migration background","Male","","","","","","","","","","",""
"2002","indirect migration background","Female","","","","","","","","","","",""
"2002","indirect migration background","Male","","","","","","","","","","",""
"2002","no migration background","Female","","","","","","","","","","",""
"2002","no migration background","Male","","","","","","","","","","",""
"2003","direct migration background","Female","","","","","","","","","","",""
"2003","direct migration background","Male","","","","","","","","","","",""
"2003","indirect migration background","Female","","","","","","","","","","",""
"2003","indirect migration background","Male","","","","","","","","","","",""
"2003","no migration background","Female","","","","","","","","","","",""
"2003","no migration background","Male","","","","","","","","","","",""
"2004","direct migration background","Female","5.86","6","1218","2","4","8","9","5.72","6","6","6"
"2004","direct migration background","Male","6.09","6","1145","3","5","8","9","5.95","6.23","6","7"
"2004","indirect migration background","Female","6.58","7","404","4","5","8","9","6.36","6.8","7","7"
"2004","indirect migration background","Male","6.6","7","380","4","5","8","9","6.37","6.83","7","7"
"2004","no migration background","Female","6.91","7","8793","4","5","8","10","6.87","6.95","7","7"
"2004","no migration background","Male","7.09","7","8233","5","6","8","10","7.05","7.13","8","8"
"2005","direct migration background","Female","","","","","","","","","","",""
"2005","direct migration background","Male","","","","","","","","","","",""
"2005","indirect migration background","Female","","","","","","","","","","",""
