"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1989","direct migration background","(0) in school","","","","","","","","","","",""
"1989","direct migration background","(1a) inadequately completed","4.5","5","537","1","2","6","8","4.27","4.73","4","5"
"1989","direct migration background","(1b) general elementary school","5.59","5.73","689","2","4","7","9","5.4","5.78","5","6"
"1989","direct migration background","(1c) basic vocational qualification","6.48","6","522","4","5","8","10","6.28","6.68","6","7"
"1989","direct migration background","(2a) intermediate vocational","7.37","8","88","5","6","9","10","6.96","7.78","7","8"
"1989","direct migration background","(2b) intermediate general qualification","6.12","6","49","4","5","8","9","5.4","6.84","6","8"
"1989","direct migration background","(2c_gen) general maturity certificate","6.41","7","90","3","5","8","9","5.87","6.95","6","8"
"1989","direct migration background","(2c_voc) vocational maturity certificate","7.42","8","97","3","6","9","10","6.92","7.92","7","8"
"1989","direct migration background","(3a) lower tertiary education","","","","","","","","","","",""
"1989","direct migration background","(3b) higher tertiary education","7.87","8","62","4","7","9","10","7.34","8.4","8","9"
"1989","indirect migration background","(0) in school","","","","","","","","","","",""
"1989","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"1989","indirect migration background","(1b) general elementary school","6.3","6","69","4","5","8","10","5.7","6.9","5","8"
"1989","indirect migration background","(1c) basic vocational qualification","6.57","7","44","3","5","8","9","5.92","7.22","6","7"
"1989","indirect migration background","(2a) intermediate vocational","","","","","","","","","","",""
"1989","indirect migration background","(2b) intermediate general qualification","8.41","9","34","7","8","9","10","7.96","8.86","8","9"
"1989","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"1989","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"1989","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"1989","indirect migration background","(3b) higher tertiary education","","","","","","","","","","",""
"1989","no migration background","(0) in school","7.64","8","120","5","7","9","10","7.28","8","7","8"
"1989","no migration background","(1a) inadequately completed","5.77","5","53","2","5","8","9","5.03","6.51","5","7"
"1989","no migration background","(1b) general elementary school","6.12","6","1125","3","5","8","10","5.97","6.27","6","6"
"1989","no migration background","(1c) basic vocational qualification","6.87","7","2335","4","5","8","10","6.79","6.95","7","7"
"1989","no migration background","(2a) intermediate vocational","7.51","8","1071","5","7","9","10","7.4","7.62","8","8"
"1989","no migration background","(2b) intermediate general qualification","7.23","8","297","5","6","9","10","6.99","7.47","7","8"
"1989","no migration background","(2c_gen) general maturity certificate","7.51","8","232","5","7","9","10","7.27","7.75","8","8"
"1989","no migration background","(2c_voc) vocational maturity certificate","7.89","8","271","6","7","9","10","7.68","8.1","8","8"
"1989","no migration background","(3a) lower tertiary education","8.28","8","196","6","8","9","10","8.06","8.5","8","9"
"1989","no migration background","(3b) higher tertiary education","8.62","9","381","7","8","10","10","8.46","8.78","9","9"
"1990","direct migration background","(0) in school","","","","","","","","","","",""
"1990","direct migration background","(1a) inadequately completed","","","","","","","","","","",""
"1990","direct migration background","(1b) general elementary school","","","","","","","","","","",""
"1990","direct migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"1990","direct migration background","(2a) intermediate vocational","","","","","","","","","","",""
"1990","direct migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"1990","direct migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"1990","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"1990","direct migration background","(3a) lower tertiary education","","","","","","","","","","",""
"1990","direct migration background","(3b) higher tertiary education","","","","","","","","","","",""
"1990","indirect migration background","(0) in school","","","","","","","","","","",""
"1990","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"1990","indirect migration background","(1b) general elementary school","","","","","","","","","","",""
"1990","indirect migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"1990","indirect migration background","(2a) intermediate vocational","","","","","","","","","","",""
"1990","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"1990","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"1990","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"1990","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"1990","indirect migration background","(3b) higher tertiary education","","","","","","","","","","",""
"1990","no migration background","(0) in school","","","","","","","","","","",""
"1990","no migration background","(1a) inadequately completed","","","","","","","","","","",""
"1990","no migration background","(1b) general elementary school","","","","","","","","","","",""
"1990","no migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"1990","no migration background","(2a) intermediate vocational","","","","","","","","","","",""
"1990","no migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"1990","no migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"1990","no migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"1990","no migration background","(3a) lower tertiary education","","","","","","","","","","",""
"1990","no migration background","(3b) higher tertiary education","","","","","","","","","","",""
"1991","direct migration background","(0) in school","","","","","","","","","","",""
"1991","direct migration background","(1a) inadequately completed","","","","","","","","","","",""
"1991","direct migration background","(1b) general elementary school","","","","","","","","","","",""
"1991","direct migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"1991","direct migration background","(2a) intermediate vocational","","","","","","","","","","",""
"1991","direct migration background","(2b) intermediate general qualification","","","","","","","","","","",""
