"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1989","direct migration background","6.19","6","2244","3","5","8","10","6.08","6.3","6","6"
"1989","indirect migration background","7.54","8","235","5","6","9","10","7.25","7.83","7","8"
"1989","no migration background","7.08","7","6168","4","5","9","10","7.03","7.13","7","8"
"1990","direct migration background","","","","","","","","","","",""
"1990","indirect migration background","","","","","","","","","","",""
"1990","no migration background","","","","","","","","","","",""
"1991","direct migration background","","","","","","","","","","",""
"1991","indirect migration background","","","","","","","","","","",""
"1991","no migration background","","","","","","","","","","",""
"1992","direct migration background","","","","","","","","","","",""
"1992","indirect migration background","","","","","","","","","","",""
"1992","no migration background","","","","","","","","","","",""
"1993","direct migration background","6.09","6","2041","3","5","8","10","5.97","6.21","5","6"
"1993","indirect migration background","6.87","7","434","4","6","8","10","6.65","7.09","7","8"
"1993","no migration background","7.02","7","8679","4","6","8","10","6.98","7.06","7","7"
"1994","direct migration background","","","","","","","","","","",""
"1994","indirect migration background","","","","","","","","","","",""
"1994","no migration background","","","","","","","","","","",""
"1995","direct migration background","","","","","","","","","","",""
"1995","indirect migration background","","","","","","","","","","",""
"1995","no migration background","","","","","","","","","","",""
"1996","direct migration background","","","","","","","","","","",""
"1996","indirect migration background","","","","","","","","","","",""
"1996","no migration background","","","","","","","","","","",""
"1997","direct migration background","","","","","","","","","","",""
"1997","indirect migration background","","","","","","","","","","",""
"1997","no migration background","","","","","","","","","","",""
"1998","direct migration background","","","","","","","","","","",""
"1998","indirect migration background","","","","","","","","","","",""
"1998","no migration background","","","","","","","","","","",""
"1999","direct migration background","","","","","","","","","","",""
"1999","indirect migration background","","","","","","","","","","",""
"1999","no migration background","","","","","","","","","","",""
"2000","direct migration background","6.46","7","3049","3","5","8","10","6.37","6.55","6","7"
"2000","indirect migration background","7.11","7.87","806","4","6","9","10","6.96","7.26","7","8"
"2000","no migration background","7.14","8","18495","5","6","9","10","7.11","7.17","7","8"
"2001","direct migration background","","","","","","","","","","",""
"2001","indirect migration background","","","","","","","","","","",""
"2001","no migration background","","","","","","","","","","",""
"2002","direct migration background","","","","","","","","","","",""
"2002","indirect migration background","","","","","","","","","","",""
"2002","no migration background","","","","","","","","","","",""
"2003","direct migration background","","","","","","","","","","",""
"2003","indirect migration background","","","","","","","","","","",""
"2003","no migration background","","","","","","","","","","",""
"2004","direct migration background","5.97","6","2363","2","5","8","9","5.87","6.07","6","6"
"2004","indirect migration background","6.59","7","784","4","5","8","9","6.43","6.75","7","7"
"2004","no migration background","6.99","7","17026","4","6","8","10","6.96","7.02","7","8"
"2005","direct migration background","","","","","","","","","","",""
"2005","indirect migration background","","","","","","","","","","",""
"2005","no migration background","","","","","","","","","","",""
"2006","direct migration background","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","",""
"2008","direct migration background","6.16","7","1736","3","5","8","9","6.04","6.28","7","7"
"2008","indirect migration background","6.87","7","746","3","6","9","10","6.7","7.04","7","8"
"2008","no migration background","7.27","8","15438","5","6","9","10","7.24","7.3","8","8"
"2009","direct migration background","","","","","","","","","","",""
"2009","indirect migration background","","","","","","","","","","",""
"2009","no migration background","","","","","","","","","","",""
"2010","direct migration background","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","",""
"2012","direct migration background","","","","","","","","","","",""
"2012","indirect migration background","","","","","","","","","","",""
"2012","no migration background","","","","","","","","","","",""
"2013","direct migration background","","","","","","","","","","",""
"2013","indirect migration background","","","","","","","","","","",""
"2013","no migration background","","","","","","","","","","",""
"2014","direct migration background","6.9","8","4854","3","5","9","10","6.83","6.97","8","8"
"2014","indirect migration background","7.35","8","1742","5","6","9","10","7.24","7.46","8","8"
"2014","no migration background","7.57","8","18588","5","7","9","10","7.54","7.6","8","8"
"2015","direct migration background","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","",""
"2017","direct migration background","","","","","","","","","","",""
"2017","indirect migration background","","","","","","","","","","",""
"2017","no migration background","","","","","","","","","","",""
"2018","direct migration background","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","",""
"2019","direct migration background","7.08","8","3598","4","6","9","10","7","7.16","8","8"
"2019","indirect migration background","7.48","8","1657","4","7","9","10","7.37","7.59","8","8"
"2019","no migration background","7.78","8","18925","5","7","9","10","7.75","7.81","8","8"
