"plh0216","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Full Time","80","0.0381683356253676","0.0299558954102203","0.046380775840515","1"
"1 Strongly disagree","2005","16-34 y.","Part Time","46","0.0290681790012398","0.0208518352478895","0.0372845227545901","1"
"1 Strongly disagree","2005","16-34 y.","Not Working","100","0.0576493579417627","0.0462818483199478","0.0690168675635776","1"
"1 Strongly disagree","2005","35-65 y.","Full Time","187","0.0376905615044101","0.0328235849132154","0.0425575380956049","1"
"1 Strongly disagree","2005","35-65 y.","Part Time","65","0.0238658187156809","0.0184194960801885","0.0293121413511733","1"
"1 Strongly disagree","2005","35-65 y.","Not Working","64","0.0247380161120546","0.0188661446428602","0.0306098875812489","1"
"1 Strongly disagree","2005","66 and older","Full Time","1","","","","1"
"1 Strongly disagree","2005","66 and older","Part Time","12","","","","1"
"1 Strongly disagree","2005","66 and older","Not Working","139","0.0465708292677259","0.0396499175816898","0.0534917409537619","1"
"2 on scale 1-7 ","2005","35-65 y.","Not Working","132","0.0477615594629671","0.0396995080617158","0.0558236108642183","2"
"2 on scale 1-7 ","2005","16-34 y.","Full Time","259","0.125838091208557","0.111622233271094","0.14005394914602","2"
"2 on scale 1-7 ","2005","16-34 y.","Not Working","203","0.124547549152954","0.108443106394429","0.140651991911479","2"
"2 on scale 1-7 ","2005","35-65 y.","Full Time","594","0.0965606581598289","0.0890126008502912","0.104108715469367","2"
"2 on scale 1-7 ","2005","35-65 y.","Part Time","210","0.066409389616467","0.057524471743834","0.0752943074891001","2"
"2 on scale 1-7 ","2005","66 and older","Full Time","5","","","","2"
"2 on scale 1-7 ","2005","66 and older","Part Time","13","","","","2"
"2 on scale 1-7 ","2005","66 and older","Not Working","241","0.071441976767223","0.0629825027857642","0.0799014507486818","2"
"2 on scale 1-7 ","2005","16-34 y.","Part Time","140","0.0818719929647521","0.0684630476544312","0.0952809382750729","2"
"3 on scale 1-7 ","2005","16-34 y.","Part Time","233","0.13227293936058","0.115703706803424","0.148842171917737","3"
"3 on scale 1-7 ","2005","16-34 y.","Full Time","305","0.133983584213978","0.119383346307543","0.148583822120413","3"
"3 on scale 1-7 ","2005","35-65 y.","Not Working","237","0.0839229444097636","0.0734410490949703","0.0944048397245568","3"
"3 on scale 1-7 ","2005","66 and older","Full Time","7","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Not Working","234","0.122349890836982","0.106368141072636","0.138331640601327","3"
"3 on scale 1-7 ","2005","35-65 y.","Full Time","793","0.122249714298814","0.113878373989495","0.130621054608133","3"
"3 on scale 1-7 ","2005","35-65 y.","Part Time","320","0.103763366825892","0.092881740476284","0.1146449931755","3"
"3 on scale 1-7 ","2005","66 and older","Part Time","26","","","","3"
"3 on scale 1-7 ","2005","66 and older","Not Working","354","0.0985589418049066","0.0887690298113887","0.108348853798425","3"
"4 on scale 1-7","2005","16-34 y.","Part Time","311","0.197525001868942","0.178053380631746","0.216996623106139","4"
"4 on scale 1-7","2005","16-34 y.","Not Working","300","0.175122484195336","0.156585993594949","0.193658974795723","4"
"4 on scale 1-7","2005","35-65 y.","Not Working","442","0.168038313002191","0.153903525667245","0.182173100337137","4"
"4 on scale 1-7","2005","66 and older","Full Time","8","","","","4"
"4 on scale 1-7","2005","66 and older","Part Time","28","","","","4"
"4 on scale 1-7","2005","35-65 y.","Part Time","558","0.179155342910249","0.165471571643339","0.192839114177158","4"
"4 on scale 1-7","2005","35-65 y.","Full Time","1165","0.197212126153844","0.18704372220828","0.207380530099408","4"
"4 on scale 1-7","2005","66 and older","Not Working","623","0.172889897772596","0.160469698163724","0.185310097381467","4"
"4 on scale 1-7","2005","16-34 y.","Full Time","394","0.17429783494283","0.158037526385877","0.190558143499782","4"
"5 on scale 1-7","2005","35-65 y.","Full Time","1233","0.206355845249148","0.196013789380216","0.21669790111808","5"
"5 on scale 1-7","2005","35-65 y.","Not Working","513","0.191852869100979","0.176967389712611","0.206738348489347","5"
"5 on scale 1-7","2005","66 and older","Full Time","7","","","","5"
"5 on scale 1-7","2005","16-34 y.","Part Time","327","0.21062304884646","0.190680967257025","0.230565130435895","5"
"5 on scale 1-7","2005","16-34 y.","Not Working","303","0.190606424196387","0.171450175298377","0.209762673094398","5"
"5 on scale 1-7","2005","35-65 y.","Part Time","625","0.197167271288707","0.182970473929942","0.211364068647472","5"
"5 on scale 1-7","2005","66 and older","Part Time","39","0.264452311335207","0.20123931321832","0.327665309452093","5"
"5 on scale 1-7","2005","66 and older","Not Working","697","0.192067481631311","0.179129200922656","0.205005762339966","5"
"5 on scale 1-7","2005","16-34 y.","Full Time","401","0.199670880564178","0.18253672322696","0.216805037901397","5"
"6 on scale 1-7","2005","66 and older","Full Time","8","","","","6"
"6 on scale 1-7","2005","66 and older","Part Time","37","0.163004935479605","0.110064304472564","0.215945566486646","6"
"6 on scale 1-7","2005","16-34 y.","Full Time","383","0.185331767280195","0.168677083201538","0.201986451358852","6"
"6 on scale 1-7","2005","16-34 y.","Part Time","308","0.175381597945938","0.156782415995553","0.193980779896324","6"
"6 on scale 1-7","2005","35-65 y.","Full Time","1132","0.193461716657898","0.183366966081393","0.203556467234403","6"
"6 on scale 1-7","2005","35-65 y.","Not Working","686","0.245578655662814","0.229306849908188","0.26185046141744","6"
"6 on scale 1-7","2005","66 and older","Not Working","761","0.197235835830134","0.184166635797895","0.210305035862373","6"
"6 on scale 1-7","2005","16-34 y.","Not Working","267","0.170916115975557","0.152556965905025","0.189275266046089","6"
"6 on scale 1-7","2005","35-65 y.","Part Time","675","0.221109789206427","0.206301579910633","0.235917998502221","6"
"7 Strongly agree","2005","35-65 y.","Not Working","614","0.238107642249231","0.222006120061136","0.254209164437325","7"
"7 Strongly agree","2005","66 and older","Part Time","32","0.203050880532235","0.145394812183376","0.260706948881095","7"
"7 Strongly agree","2005","66 and older","Not Working","746","0.221235036926103","0.207602011023258","0.234868062828949","7"
"7 Strongly agree","2005","66 and older","Full Time","2","","","","7"
"7 Strongly agree","2005","16-34 y.","Full Time","269","0.142709506164895","0.127717438617658","0.157701573712131","7"
"7 Strongly agree","2005","16-34 y.","Part Time","241","0.173257240012087","0.154747248626492","0.191767231397683","7"
"7 Strongly agree","2005","16-34 y.","Not Working","208","0.158808177701021","0.140982511086354","0.176633844315689","7"
"7 Strongly agree","2005","35-65 y.","Full Time","778","0.146469377976057","0.137433537542843","0.155505218409272","7"
"7 Strongly agree","2005","35-65 y.","Part Time","564","0.208529021436577","0.194032587323545","0.22302545554961","7"
"1 Strongly disagree","2006","16-34 y.","Full Time","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Part Time","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Not Working","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Full Time","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Part Time","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Not Working","","","","","1"
"1 Strongly disagree","2006","66 and older","Full Time","","","","","1"
"1 Strongly disagree","2006","66 and older","Part Time","","","","","1"
"1 Strongly disagree","2006","66 and older","Not Working","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","Full Time","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Not Working","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Full Time","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Part Time","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Not Working","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Full Time","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Part Time","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Part Time","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Not Working","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","Full Time","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Part Time","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Full Time","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Not Working","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Not Working","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Full Time","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Part Time","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Not Working","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Part Time","","","","","3"
"4 on scale 1-7","2006","66 and older","Not Working","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Full Time","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Part Time","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Not Working","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Not Working","","","","","4"
"4 on scale 1-7","2006","66 and older","Full Time","","","","","4"
"4 on scale 1-7","2006","66 and older","Part Time","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Full Time","","","","","4"
