"plh0216","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","in school","54","0.079776452394393","0.0589149962595837","0.100637908529202"
"1 Strongly disagree","2005","(0) in school","inadequately","","","",""
"1 Strongly disagree","2005","(0) in school","general elemantary","","","",""
"1 Strongly disagree","2005","(0) in school","middle vocational","","","",""
"1 Strongly disagree","2005","(0) in school","vocational + Abi","","","",""
"1 Strongly disagree","2005","(0) in school","higher vocational","","","",""
"1 Strongly disagree","2005","(0) in school","higher education","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","in school","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","inadequately","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","general elemantary","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","middle vocational","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","vocational + Abi","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","higher vocational","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","higher education","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","in school","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","inadequately","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","general elemantary","62","0.0361242548468446","0.0275608663204551","0.0446876433732341"
"1 Strongly disagree","2005","(1b) general elementary school","middle vocational","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","vocational + Abi","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","higher vocational","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","higher education","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","in school","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","inadequately","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","general elemantary","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","middle vocational","156","0.0383433761686424","0.0331431703514571","0.0435435819858276"
"1 Strongly disagree","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","higher vocational","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","higher education","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","in school","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","inadequately","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","general elemantary","31","0.0488890202476315","0.0313247514913421","0.0664532890039208"
"1 Strongly disagree","2005","(2b) intermediate general qualification","middle vocational","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","higher vocational","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","higher education","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","in school","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","inadequately","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","general elemantary","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","middle vocational","101","0.0254679009579493","0.020645050652729","0.0302907512631695"
"1 Strongly disagree","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","higher vocational","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","higher education","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","in school","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","middle vocational","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","higher education","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","in school","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","inadequately","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","vocational + Abi","38","0.0405360550726503","0.0290577798463977","0.0520143302989029"
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","higher education","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","in school","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","inadequately","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","general elemantary","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","middle vocational","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","vocational + Abi","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","higher vocational","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","higher education","54","0.0290648480436524","0.0209592463359042","0.0371704497514006"
"1 Strongly disagree","2005","(3b) higher tertiary education","in school","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","inadequately","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","general elemantary","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","middle vocational","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","vocational + Abi","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","higher vocational","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","higher education","104","0.0512441729675888","0.0426198659820546","0.059868479953123"
"2 on scale 1-7 ","2005","(0) in school","in school","109","0.170945790934763","0.141960260101266","0.199931321768261"
"2 on scale 1-7 ","2005","(0) in school","inadequately","","","",""
"2 on scale 1-7 ","2005","(0) in school","general elemantary","","","",""
"2 on scale 1-7 ","2005","(0) in school","middle vocational","","","",""
"2 on scale 1-7 ","2005","(0) in school","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","(0) in school","higher vocational","","","",""
