"plh0216","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","(0) in school","54","0.0794045457345754","0.0586515217033443","0.100157569765807"
"1 Strongly disagree","2005","16-34 y.","(1a) inadequately completed","3","","",""
"1 Strongly disagree","2005","16-34 y.","(1b) general elementary school","24","","",""
"1 Strongly disagree","2005","16-34 y.","(1c) basic vocational qualification","25","","",""
"1 Strongly disagree","2005","16-34 y.","(2b) intermediate general qualification","25","","",""
"1 Strongly disagree","2005","16-34 y.","(2a) intermediate vocational","31","0.0214571302957174","0.0130713760713606","0.0298428845200741"
"1 Strongly disagree","2005","16-34 y.","(2c_gen) general maturity certificate","24","","",""
"1 Strongly disagree","2005","16-34 y.","(2c_voc) vocational maturity certificate","12","","",""
"1 Strongly disagree","2005","16-34 y.","(3a) lower tertiary education","5","","",""
"1 Strongly disagree","2005","16-34 y.","(3b) higher tertiary education","9","","",""
"1 Strongly disagree","2005","35-65 y.","(0) in school","","","",""
"1 Strongly disagree","2005","35-65 y.","(1a) inadequately completed","3","","",""
"1 Strongly disagree","2005","35-65 y.","(1b) general elementary school","19","","",""
"1 Strongly disagree","2005","35-65 y.","(1c) basic vocational qualification","87","0.0348959574047139","0.0287018471072804","0.0410900677021473"
"1 Strongly disagree","2005","35-65 y.","(2b) intermediate general qualification","6","","",""
"1 Strongly disagree","2005","35-65 y.","(2a) intermediate vocational","61","0.020005455629985","0.0151856709350771","0.0248252403248929"
"1 Strongly disagree","2005","35-65 y.","(2c_gen) general maturity certificate","4","","",""
"1 Strongly disagree","2005","35-65 y.","(2c_voc) vocational maturity certificate","30","0.0306944149590686","0.0191729805202457","0.0422158493978915"
"1 Strongly disagree","2005","35-65 y.","(3a) lower tertiary education","38","0.0298086536619347","0.0200054268037154","0.039611880520154"
"1 Strongly disagree","2005","35-65 y.","(3b) higher tertiary education","67","0.0458475641838201","0.0362332531746334","0.0554618751930067"
"1 Strongly disagree","2005","66 and older","(0) in school","","","",""
"1 Strongly disagree","2005","66 and older","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","66 and older","(1b) general elementary school","23","","",""
"1 Strongly disagree","2005","66 and older","(1c) basic vocational qualification","56","0.0422654147171301","0.0327847193477365","0.0517461100865236"
"1 Strongly disagree","2005","66 and older","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","66 and older","(2a) intermediate vocational","23","","",""
"1 Strongly disagree","2005","66 and older","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","66 and older","(2c_voc) vocational maturity certificate","9","","",""
"1 Strongly disagree","2005","66 and older","(3a) lower tertiary education","11","","",""
"1 Strongly disagree","2005","66 and older","(3b) higher tertiary education","28","","",""
"2 on scale 1-7 ","2005","16-34 y.","(0) in school","109","0.170148865573855","0.141305965981085","0.198991765166624"
"2 on scale 1-7 ","2005","16-34 y.","(1a) inadequately completed","7","","",""
"2 on scale 1-7 ","2005","16-34 y.","(1b) general elementary school","45","0.114407124993458","0.0837827216834377","0.145031528303479"
"2 on scale 1-7 ","2005","16-34 y.","(1c) basic vocational qualification","50","0.074284462754621","0.0534231557035678","0.0951457698056742"
