"plh0216","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","Male","361","0.0479230969823058","0.0430762643429658","0.0527699296216459"
"1 Strongly disagree","2005","West Germany","Female","226","0.030576597472369","0.0268460748215004","0.0343071201232376"
"1 Strongly disagree","2005","East Germany","Male","69","0.0356694020452044","0.0282755517374004","0.0430632523530084"
"1 Strongly disagree","2005","East Germany","Female","38","0.0190555710823172","0.0138253912217168","0.0242857509429175"
"2 on scale 1-7 ","2005","West Germany","Male","904","0.114939096359852","0.107701905289828","0.122176287429875"
"2 on scale 1-7 ","2005","West Germany","Female","583","0.0670105043834025","0.061592639450094","0.0724283693167111"
"2 on scale 1-7 ","2005","East Germany","Male","202","0.07931825434255","0.0685448959927752","0.0900916126923247"
"2 on scale 1-7 ","2005","East Germany","Female","108","0.0400246992793846","0.0325261455868474","0.0475232529719218"
"3 on scale 1-7 ","2005","West Germany","Male","1098","0.134842674646604","0.127092512391812","0.142592836901397"
"3 on scale 1-7 ","2005","West Germany","Female","849","0.0982484841899116","0.0917990038491592","0.104697964530664"
"3 on scale 1-7 ","2005","East Germany","Male","324","0.115157310227938","0.102431408780648","0.127883211675228"
"3 on scale 1-7 ","2005","East Germany","Female","238","0.0782115945921635","0.0679400766778654","0.0884831125064615"
"4 on scale 1-7","2005","West Germany","Male","1478","0.196556204759463","0.187539025559666","0.20557338395926"
"4 on scale 1-7","2005","West Germany","Female","1430","0.169898966605784","0.161761687744327","0.17803624546724"
"4 on scale 1-7","2005","East Germany","Male","489","0.195354750203304","0.179548677339111","0.211160823067497"
"4 on scale 1-7","2005","East Germany","Female","432","0.156763214152742","0.142854714342741","0.170671713962743"
"5 on scale 1-7","2005","West Germany","Male","1450","0.195257965998173","0.186263356882421","0.204252575113924"
"5 on scale 1-7","2005","West Germany","Female","1650","0.195447792133489","0.186855464013206","0.204040120253771"
"5 on scale 1-7","2005","East Germany","Male","521","0.233909768949586","0.217033598310654","0.250785939588517"
"5 on scale 1-7","2005","East Germany","Female","524","0.200124473249571","0.184819071189102","0.21542987531004"
"6 on scale 1-7","2005","West Germany","Male","1301","0.176770477740346","0.168114524392458","0.185426431088233"
"6 on scale 1-7","2005","West Germany","Female","1774","0.212191704820121","0.203332539029259","0.221050870610983"
"6 on scale 1-7","2005","East Germany","Male","504","0.199808906230834","0.183867961952682","0.215749850508986"
"6 on scale 1-7","2005","East Germany","Female","678","0.248676056019996","0.232140681445642","0.265211430594351"
"7 Strongly agree","2005","West Germany","Male","869","0.133710483513257","0.125987878368076","0.141433088658438"
"7 Strongly agree","2005","West Germany","Female","1670","0.226625950394923","0.217554682970479","0.235697217819367"
"7 Strongly agree","2005","East Germany","Male","308","0.140781608000584","0.126916140766346","0.154647075234821"
"7 Strongly agree","2005","East Germany","Female","607","0.257144391623825","0.240424857625126","0.273863925622524"
"1 Strongly disagree","2006","West Germany","Male","","","",""
"1 Strongly disagree","2006","West Germany","Female","","","",""
"1 Strongly disagree","2006","East Germany","Male","","","",""
"1 Strongly disagree","2006","East Germany","Female","","","",""
"2 on scale 1-7 ","2006","West Germany","Male","","","",""
"2 on scale 1-7 ","2006","West Germany","Female","","","",""
"2 on scale 1-7 ","2006","East Germany","Male","","","",""
"2 on scale 1-7 ","2006","East Germany","Female","","","",""
"3 on scale 1-7 ","2006","West Germany","Male","","","",""
"3 on scale 1-7 ","2006","West Germany","Female","","","",""
"3 on scale 1-7 ","2006","East Germany","Male","","","",""
"3 on scale 1-7 ","2006","East Germany","Female","","","",""
"4 on scale 1-7","2006","West Germany","Male","","","",""
"4 on scale 1-7","2006","West Germany","Female","","","",""
"4 on scale 1-7","2006","East Germany","Male","","","",""
"4 on scale 1-7","2006","East Germany","Female","","","",""
"5 on scale 1-7","2006","West Germany","Male","","","",""
"5 on scale 1-7","2006","West Germany","Female","","","",""
"5 on scale 1-7","2006","East Germany","Male","","","",""
"5 on scale 1-7","2006","East Germany","Female","","","",""
"6 on scale 1-7","2006","West Germany","Male","","","",""
"6 on scale 1-7","2006","West Germany","Female","","","",""
"6 on scale 1-7","2006","East Germany","Male","","","",""
"6 on scale 1-7","2006","East Germany","Female","","","",""
"7 Strongly agree","2006","West Germany","Male","","","",""
"7 Strongly agree","2006","West Germany","Female","","","",""
"7 Strongly agree","2006","East Germany","Male","","","",""
"7 Strongly agree","2006","East Germany","Female","","","",""
"1 Strongly disagree","2007","West Germany","Male","","","",""
"1 Strongly disagree","2007","West Germany","Female","","","",""
"1 Strongly disagree","2007","East Germany","Male","","","",""
"1 Strongly disagree","2007","East Germany","Female","","","",""
"2 on scale 1-7 ","2007","West Germany","Male","","","",""
"2 on scale 1-7 ","2007","West Germany","Female","","","",""
"2 on scale 1-7 ","2007","East Germany","Male","","","",""
"2 on scale 1-7 ","2007","East Germany","Female","","","",""
"3 on scale 1-7 ","2007","West Germany","Male","","","",""
"3 on scale 1-7 ","2007","West Germany","Female","","","",""
"3 on scale 1-7 ","2007","East Germany","Male","","","",""
"3 on scale 1-7 ","2007","East Germany","Female","","","",""
"4 on scale 1-7","2007","West Germany","Male","","","",""
"4 on scale 1-7","2007","West Germany","Female","","","",""
"4 on scale 1-7","2007","East Germany","Male","","","",""
"4 on scale 1-7","2007","East Germany","Female","","","",""
"5 on scale 1-7","2007","West Germany","Male","","","",""
"5 on scale 1-7","2007","West Germany","Female","","","",""
"5 on scale 1-7","2007","East Germany","Male","","","",""
"5 on scale 1-7","2007","East Germany","Female","","","",""
"6 on scale 1-7","2007","West Germany","Male","","","",""
"6 on scale 1-7","2007","West Germany","Female","","","",""
"6 on scale 1-7","2007","East Germany","Male","","","",""
"6 on scale 1-7","2007","East Germany","Female","","","",""
"7 Strongly agree","2007","West Germany","Male","","","",""
"7 Strongly agree","2007","West Germany","Female","","","",""
"7 Strongly agree","2007","East Germany","Male","","","",""
"7 Strongly agree","2007","East Germany","Female","","","",""
"1 Strongly disagree","2008","West Germany","Male","","","",""
"1 Strongly disagree","2008","West Germany","Female","","","",""
"1 Strongly disagree","2008","East Germany","Male","","","",""
"1 Strongly disagree","2008","East Germany","Female","","","",""
"2 on scale 1-7 ","2008","West Germany","Male","","","",""
"2 on scale 1-7 ","2008","West Germany","Female","","","",""
"2 on scale 1-7 ","2008","East Germany","Male","","","",""
"2 on scale 1-7 ","2008","East Germany","Female","","","",""
"3 on scale 1-7 ","2008","West Germany","Male","","","",""
