"plh0216","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","568","0.0361767551318894","0.0334096258751276","0.0389438843886512"
"1 Strongly disagree","2005","direct migration background","78","0.0359740658912266","0.0284639391545574","0.0434841926278958"
"1 Strongly disagree","2005","indirect migration background","48","0.0525523255232384","0.0373719459316965","0.0677327051147802"
"2 on scale 1-7 ","2005","no migration background","1541","0.0859402351418042","0.0817868566647564","0.0900936136188521"
"2 on scale 1-7 ","2005","direct migration background","164","0.069491656306846","0.0592366811699043","0.0797466314437877"
"2 on scale 1-7 ","2005","indirect migration background","92","0.10288856566456","0.0822197402278415","0.123557391101278"
"3 on scale 1-7 ","2005","no migration background","2173","0.115520460885055","0.110783614566674","0.120257307203436"
"3 on scale 1-7 ","2005","direct migration background","223","0.0900498586102897","0.0785058016647406","0.101593915555839"
"3 on scale 1-7 ","2005","indirect migration background","113","0.118281931581115","0.096311776668835","0.140252086493396"
"4 on scale 1-7","2005","no migration background","3253","0.182878769778612","0.177150270853759","0.188607268703464"
"4 on scale 1-7","2005","direct migration background","424","0.173876205152201","0.158591720977213","0.18916068932719"
"4 on scale 1-7","2005","indirect migration background","152","0.176591572386621","0.150649678086777","0.202533466686464"
"5 on scale 1-7","2005","no migration background","3493","0.199006105327956","0.193089620624149","0.204922590031763"
"5 on scale 1-7","2005","direct migration background","488","0.2033621265485","0.18713006590712","0.21959418718988"
"5 on scale 1-7","2005","indirect migration background","164","0.19223913394439","0.165430705854405","0.219047562034376"
"6 on scale 1-7","2005","no migration background","3604","0.199678424128153","0.193754441506538","0.205602406749767"
"6 on scale 1-7","2005","direct migration background","514","0.212661337521475","0.196159465907279","0.22916320913567"
"6 on scale 1-7","2005","indirect migration background","139","0.178627201687881","0.152568486438366","0.204685916937397"
"7 Strongly agree","2005","no migration background","2861","0.180799249606531","0.175096170108226","0.186502329104836"
"7 Strongly agree","2005","direct migration background","471","0.214584749969462","0.198028680640347","0.231140819298578"
"7 Strongly agree","2005","indirect migration background","122","0.178819269212194","0.152749596574505","0.204888941849884"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
"7 Strongly agree","2006","direct migration background","","","",""
"7 Strongly agree","2006","indirect migration background","","","",""
"1 Strongly disagree","2007","no migration background","","","",""
"1 Strongly disagree","2007","direct migration background","","","",""
"1 Strongly disagree","2007","indirect migration background","","","",""
"2 on scale 1-7 ","2007","no migration background","","","",""
"2 on scale 1-7 ","2007","direct migration background","","","",""
"2 on scale 1-7 ","2007","indirect migration background","","","",""
"3 on scale 1-7 ","2007","no migration background","","","",""
"3 on scale 1-7 ","2007","direct migration background","","","",""
"3 on scale 1-7 ","2007","indirect migration background","","","",""
"4 on scale 1-7","2007","no migration background","","","",""
"4 on scale 1-7","2007","direct migration background","","","",""
"4 on scale 1-7","2007","indirect migration background","","","",""
"5 on scale 1-7","2007","no migration background","","","",""
"5 on scale 1-7","2007","direct migration background","","","",""
"5 on scale 1-7","2007","indirect migration background","","","",""
"6 on scale 1-7","2007","no migration background","","","",""
"6 on scale 1-7","2007","direct migration background","","","",""
"6 on scale 1-7","2007","indirect migration background","","","",""
"7 Strongly agree","2007","no migration background","","","",""
"7 Strongly agree","2007","direct migration background","","","",""
"7 Strongly agree","2007","indirect migration background","","","",""
"1 Strongly disagree","2008","no migration background","","","",""
"1 Strongly disagree","2008","direct migration background","","","",""
"1 Strongly disagree","2008","indirect migration background","","","",""
"2 on scale 1-7 ","2008","no migration background","","","",""
"2 on scale 1-7 ","2008","direct migration background","","","",""
"2 on scale 1-7 ","2008","indirect migration background","","","",""
"3 on scale 1-7 ","2008","no migration background","","","",""
"3 on scale 1-7 ","2008","direct migration background","","","",""
"3 on scale 1-7 ","2008","indirect migration background","","","",""
"4 on scale 1-7","2008","no migration background","","","",""
"4 on scale 1-7","2008","direct migration background","","","",""
"4 on scale 1-7","2008","indirect migration background","","","",""
"5 on scale 1-7","2008","no migration background","","","",""
"5 on scale 1-7","2008","direct migration background","","","",""
"5 on scale 1-7","2008","indirect migration background","","","",""
"6 on scale 1-7","2008","no migration background","","","",""
"6 on scale 1-7","2008","direct migration background","","","",""
"6 on scale 1-7","2008","indirect migration background","","","",""
"7 Strongly agree","2008","no migration background","","","",""
"7 Strongly agree","2008","direct migration background","","","",""
"7 Strongly agree","2008","indirect migration background","","","",""
"1 Strongly disagree","2009","no migration background","610","0.0403481061937488","0.0372643199062782","0.0434318924812194"
"1 Strongly disagree","2009","direct migration background","65","0.0384381483526726","0.0291730468771947","0.0477032498281504"
"1 Strongly disagree","2009","indirect migration background","46","0.0651038115606496","0.0469950717644484","0.0832125513568508"
"2 on scale 1-7 ","2009","no migration background","1959","0.124542547907484","0.119367763890351","0.129717331924617"
"2 on scale 1-7 ","2009","direct migration background","157","0.100486581725872","0.0859975888791108","0.114975574572633"
"2 on scale 1-7 ","2009","indirect migration background","84","0.121939554356846","0.0979214993722437","0.145957609341449"
"3 on scale 1-7 ","2009","no migration background","2458","0.152979348815212","0.147338048286809","0.158620649343616"
"3 on scale 1-7 ","2009","direct migration background","181","0.105951509675378","0.0911190064953875","0.120784012855368"
"3 on scale 1-7 ","2009","indirect migration background","110","0.164911224512979","0.137671998857497","0.192150450168461"
"4 on scale 1-7","2009","no migration background","3287","0.205871025977823","0.199534386943969","0.212207665011677"
"4 on scale 1-7","2009","direct migration background","345","0.205957420670296","0.186468357815896","0.225446483524697"
