"plh0216","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","lower secondary degree","44","0.0585268922942275","0.0435526869071347","0.0735010976813203"
"1 Strongly disagree","2005","16-34 y.","secondary school degree","57","0.0272293347712904","0.0192819531203679","0.035176716422213"
"1 Strongly disagree","2005","16-34 y.","college entrance qualification","45","0.0259966608898519","0.018140524911145","0.0338527968685588"
"1 Strongly disagree","2005","16-34 y.","Other degree","","","",""
"1 Strongly disagree","2005","16-34 y.","no degree/no degree yet","57","0.0821645578813377","0.0617038941853179","0.102625221577358"
"1 Strongly disagree","2005","35-65 y.","lower secondary degree","93","0.0338029532805861","0.0279884477321702","0.0396174588290021"
"1 Strongly disagree","2005","35-65 y.","secondary school degree","79","0.0220406840594551","0.0174091232828801","0.0266722448360301"
"1 Strongly disagree","2005","35-65 y.","college entrance qualification","117","0.0414799697536614","0.0343976708087092","0.0485622686986137"
"1 Strongly disagree","2005","35-65 y.","Other degree","","","",""
"1 Strongly disagree","2005","35-65 y.","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","66 and older","lower secondary degree","76","0.0376355241035869","0.030064023197057","0.0452070250101168"
"1 Strongly disagree","2005","66 and older","secondary school degree","","","",""
"1 Strongly disagree","2005","66 and older","college entrance qualification","37","0.0817652148959037","0.0592115188446539","0.104318910947153"
"1 Strongly disagree","2005","66 and older","Other degree","","","",""
"1 Strongly disagree","2005","66 and older","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","16-34 y.","lower secondary degree","92","0.0978455767678748","0.0788927874881993","0.11679836604755"
"2 on scale 1-7 ","2005","16-34 y.","secondary school degree","161","0.097032567155456","0.0825783316974395","0.111486802613473"
"2 on scale 1-7 ","2005","16-34 y.","college entrance qualification","179","0.113407887605027","0.097752870494218","0.129062904715836"
"2 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","116","0.181222098792829","0.152521981080993","0.209922216504665"
"2 on scale 1-7 ","2005","35-65 y.","lower secondary degree","217","0.0627821173216225","0.0549776929542855","0.0705865416889595"
"2 on scale 1-7 ","2005","35-65 y.","secondary school degree","287","0.0773968588719024","0.0689669365890671","0.0858267811547378"
"2 on scale 1-7 ","2005","35-65 y.","college entrance qualification","385","0.111634146001809","0.100448813509059","0.122819478494558"
"2 on scale 1-7 ","2005","35-65 y.","Other degree","38","0.0549924331778099","0.0390554568015502","0.0709294095540696"
"2 on scale 1-7 ","2005","35-65 y.","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","66 and older","lower secondary degree","154","0.0649575869827724","0.0551526727301002","0.0747625012354446"
"2 on scale 1-7 ","2005","66 and older","secondary school degree","37","0.0902739490736189","0.0661479679291777","0.11439993021806"
"2 on scale 1-7 ","2005","66 and older","college entrance qualification","48","0.0750766018943065","0.0533864922034441","0.0967667115851689"
