"plh0216","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","587","0.0389483413500866","0.0359165038631897","0.0419801788369836"
"1 Strongly disagree","2005","East Germany","107","0.0272195387737303","0.0227280070565125","0.031711070490948"
"2 on scale 1-7 ","2005","West Germany","1487","0.0901417359161169","0.085653890398545","0.0946295814336888"
"2 on scale 1-7 ","2005","East Germany","310","0.0593333894143114","0.052812390711851","0.0658543881167719"
"3 on scale 1-7 ","2005","West Germany","1947","0.115909522357316","0.110893078190375","0.120925966524256"
"3 on scale 1-7 ","2005","East Germany","562","0.0963665661613565","0.088221286351997","0.104511845970716"
"4 on scale 1-7","2005","West Germany","2908","0.182764246438299","0.176707946608583","0.188820546268015"
"4 on scale 1-7","2005","East Germany","921","0.175726935053875","0.165221806006104","0.186232064101646"
"5 on scale 1-7","2005","West Germany","3100","0.195356178503589","0.189143148020807","0.20156920898637"
"5 on scale 1-7","2005","East Germany","1045","0.216726427558357","0.205353838580956","0.228099016535759"
"6 on scale 1-7","2005","West Germany","3075","0.195096760634034","0.188886855935854","0.201306665332214"
"6 on scale 1-7","2005","East Germany","1182","0.224662941107406","0.213142803636129","0.236183078578683"
"7 Strongly agree","2005","West Germany","2539","0.181783214800559","0.175739566959012","0.187826862642106"
"7 Strongly agree","2005","East Germany","915","0.199964201930963","0.188923987528398","0.211004416333529"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
"1 Strongly disagree","2007","East Germany","","","",""
"2 on scale 1-7 ","2007","West Germany","","","",""
"2 on scale 1-7 ","2007","East Germany","","","",""
"3 on scale 1-7 ","2007","West Germany","","","",""
"3 on scale 1-7 ","2007","East Germany","","","",""
"4 on scale 1-7","2007","West Germany","","","",""
"4 on scale 1-7","2007","East Germany","","","",""
"5 on scale 1-7","2007","West Germany","","","",""
"5 on scale 1-7","2007","East Germany","","","",""
"6 on scale 1-7","2007","West Germany","","","",""
"6 on scale 1-7","2007","East Germany","","","",""
"7 Strongly agree","2007","West Germany","","","",""
"7 Strongly agree","2007","East Germany","","","",""
"1 Strongly disagree","2008","West Germany","","","",""
"1 Strongly disagree","2008","East Germany","","","",""
"2 on scale 1-7 ","2008","West Germany","","","",""
"2 on scale 1-7 ","2008","East Germany","","","",""
"3 on scale 1-7 ","2008","West Germany","","","",""
"3 on scale 1-7 ","2008","East Germany","","","",""
"4 on scale 1-7","2008","West Germany","","","",""
"4 on scale 1-7","2008","East Germany","","","",""
"5 on scale 1-7","2008","West Germany","","","",""
"5 on scale 1-7","2008","East Germany","","","",""
"6 on scale 1-7","2008","West Germany","","","",""
"6 on scale 1-7","2008","East Germany","","","",""
"7 Strongly agree","2008","West Germany","","","",""
"7 Strongly agree","2008","East Germany","","","",""
"1 Strongly disagree","2009","West Germany","604","0.0441246710298291","0.0406556861560872","0.047593655903571"
"1 Strongly disagree","2009","East Germany","117","0.0293845539209591","0.024474208092803","0.0342948997491153"
"2 on scale 1-7 ","2009","West Germany","1726","0.125071888553814","0.119484265781165","0.130659511326463"
"2 on scale 1-7 ","2009","East Germany","474","0.105908242718207","0.0969610898782834","0.114855395558131"
"3 on scale 1-7 ","2009","West Germany","2075","0.149358650590647","0.143337916107542","0.155379385073751"
"3 on scale 1-7 ","2009","East Germany","674","0.141300276473534","0.131172337005802","0.151428215941265"
"4 on scale 1-7","2009","West Germany","2811","0.20592228409042","0.199091914290583","0.212752653890256"
"4 on scale 1-7","2009","East Germany","974","0.202067210377295","0.190392126519905","0.213742294234685"
"5 on scale 1-7","2009","West Germany","2508","0.186640149867767","0.180058952095021","0.193221347640513"
"5 on scale 1-7","2009","East Germany","932","0.203570830932925","0.19186343561699","0.215278226248859"
"6 on scale 1-7","2009","West Germany","2196","0.171036010489295","0.164675782979069","0.177396237999521"
"6 on scale 1-7","2009","East Germany","852","0.195252146274775","0.183726726516359","0.206777566033191"
"7 Strongly agree","2009","West Germany","1544","0.117846345378229","0.112400175074144","0.123292515682314"
"7 Strongly agree","2009","East Germany","521","0.122516739302305","0.112983377731165","0.132050100873445"
"1 Strongly disagree","2010","West Germany","","","",""
"1 Strongly disagree","2010","East Germany","","","",""
"2 on scale 1-7 ","2010","West Germany","","","",""
"2 on scale 1-7 ","2010","East Germany","","","",""
"3 on scale 1-7 ","2010","West Germany","","","",""
"3 on scale 1-7 ","2010","East Germany","","","",""
"4 on scale 1-7","2010","West Germany","","","",""
"4 on scale 1-7","2010","East Germany","","","",""
"5 on scale 1-7","2010","West Germany","","","",""
"5 on scale 1-7","2010","East Germany","","","",""
