"plh0216","year","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","303","0.041550292496189","0.0371396887105629","0.0459608962818151"
"1 Strongly disagree","2005","Employed","391","0.0335473278500649","0.0304305460228159","0.036664109677314"
"2 on scale 1-7 ","2005","Not Employed","576","0.072995641799172","0.0672463322488355","0.0787449513495086"
"2 on scale 1-7 ","2005","Employed","1221","0.0921443832849658","0.0871379323166127","0.097150834253319"
"3 on scale 1-7 ","2005","Not Employed","825","0.09798077988011","0.0914101851604668","0.104551374599753"
"3 on scale 1-7 ","2005","Employed","1684","0.121940959832821","0.116276952527829","0.127604967137813"
"4 on scale 1-7","2005","Not Employed","1365","0.171735211086885","0.163399539182676","0.180070882991093"
"4 on scale 1-7","2005","Employed","2464","0.188023410238398","0.181260013593842","0.194786806882953"
"5 on scale 1-7","2005","Not Employed","1513","0.191750708883012","0.18304974243669","0.200451675329334"
"5 on scale 1-7","2005","Employed","2632","0.204430497153186","0.19744979599077","0.211411198315601"
"6 on scale 1-7","2005","Not Employed","1714","0.208047657582067","0.199076318375716","0.217018996788418"
"6 on scale 1-7","2005","Employed","2543","0.195540365655046","0.188675097883674","0.202405633426418"
"7 Strongly agree","2005","Not Employed","1568","0.215939708272565","0.206845449164876","0.225033967380255"
"7 Strongly agree","2005","Employed","1886","0.164373055985519","0.157957878546021","0.170788233425016"
"1 Strongly disagree","2006","Not Employed","","","",""
"1 Strongly disagree","2006","Employed","","","",""
"2 on scale 1-7 ","2006","Not Employed","","","",""
"2 on scale 1-7 ","2006","Employed","","","",""
"3 on scale 1-7 ","2006","Not Employed","","","",""
"3 on scale 1-7 ","2006","Employed","","","",""
"4 on scale 1-7","2006","Not Employed","","","",""
"4 on scale 1-7","2006","Employed","","","",""
"5 on scale 1-7","2006","Not Employed","","","",""
"5 on scale 1-7","2006","Employed","","","",""
"6 on scale 1-7","2006","Not Employed","","","",""
"6 on scale 1-7","2006","Employed","","","",""
"7 Strongly agree","2006","Not Employed","","","",""
"7 Strongly agree","2006","Employed","","","",""
"1 Strongly disagree","2007","Not Employed","","","",""
"1 Strongly disagree","2007","Employed","","","",""
"2 on scale 1-7 ","2007","Not Employed","","","",""
"2 on scale 1-7 ","2007","Employed","","","",""
"3 on scale 1-7 ","2007","Not Employed","","","",""
"3 on scale 1-7 ","2007","Employed","","","",""
"4 on scale 1-7","2007","Not Employed","","","",""
"4 on scale 1-7","2007","Employed","","","",""
"5 on scale 1-7","2007","Not Employed","","","",""
"5 on scale 1-7","2007","Employed","","","",""
"6 on scale 1-7","2007","Not Employed","","","",""
"6 on scale 1-7","2007","Employed","","","",""
"7 Strongly agree","2007","Not Employed","","","",""
"7 Strongly agree","2007","Employed","","","",""
"1 Strongly disagree","2008","Not Employed","","","",""
"1 Strongly disagree","2008","Employed","","","",""
"2 on scale 1-7 ","2008","Not Employed","","","",""
"2 on scale 1-7 ","2008","Employed","","","",""
"3 on scale 1-7 ","2008","Not Employed","","","",""
"3 on scale 1-7 ","2008","Employed","","","",""
"4 on scale 1-7","2008","Not Employed","","","",""
"4 on scale 1-7","2008","Employed","","","",""
"5 on scale 1-7","2008","Not Employed","","","",""
"5 on scale 1-7","2008","Employed","","","",""
"6 on scale 1-7","2008","Not Employed","","","",""
"6 on scale 1-7","2008","Employed","","","",""
"7 Strongly agree","2008","Not Employed","","","",""
"7 Strongly agree","2008","Employed","","","",""
"1 Strongly disagree","2009","Not Employed","295","0.0463678980006139","0.0413695705323322","0.0513662254688955"
"1 Strongly disagree","2009","Employed","426","0.0383031350743952","0.0347500883593732","0.0418561817894173"
"2 on scale 1-7 ","2009","Not Employed","686","0.101155439848039","0.0939880258745669","0.10832285382151"
"2 on scale 1-7 ","2009","Employed","1514","0.133895157177567","0.12759092318141","0.140199391173723"
"3 on scale 1-7 ","2009","Not Employed","934","0.130168451612747","0.122170182407727","0.138166720817768"
"3 on scale 1-7 ","2009","Employed","1815","0.158648251650295","0.15188475775431","0.16541174554628"
"4 on scale 1-7","2009","Not Employed","1336","0.191230841397855","0.181882881746183","0.200578801049527"
"4 on scale 1-7","2009","Employed","2449","0.213732953267284","0.206143937817991","0.221321968716577"
"5 on scale 1-7","2009","Not Employed","1341","0.197991974081655","0.188520038832046","0.207463909331265"
"5 on scale 1-7","2009","Employed","2099","0.18481814430072","0.177632524881737","0.192003763719703"
"6 on scale 1-7","2009","Not Employed","1265","0.186414515698383","0.177157584633275","0.19567144676349"
"6 on scale 1-7","2009","Employed","1783","0.168954197707807","0.162017358471003","0.17589103694461"
"7 Strongly agree","2009","Not Employed","942","0.146670879360707","0.138261657674522","0.155080101046892"
"7 Strongly agree","2009","Employed","1123","0.101648160821932","0.0960539651923407","0.107242356451523"
"1 Strongly disagree","2010","Not Employed","","","",""
"1 Strongly disagree","2010","Employed","","","",""
"2 on scale 1-7 ","2010","Not Employed","","","",""
"2 on scale 1-7 ","2010","Employed","","","",""
"3 on scale 1-7 ","2010","Not Employed","","","",""
"3 on scale 1-7 ","2010","Employed","","","",""
"4 on scale 1-7","2010","Not Employed","","","",""
"4 on scale 1-7","2010","Employed","","","",""
"5 on scale 1-7","2010","Not Employed","","","",""
"5 on scale 1-7","2010","Employed","","","",""
"6 on scale 1-7","2010","Not Employed","","","",""
"6 on scale 1-7","2010","Employed","","","",""
"7 Strongly agree","2010","Not Employed","","","",""
"7 Strongly agree","2010","Employed","","","",""
"1 Strongly disagree","2011","Not Employed","","","",""
"1 Strongly disagree","2011","Employed","","","",""
"2 on scale 1-7 ","2011","Not Employed","","","",""
"2 on scale 1-7 ","2011","Employed","","","",""
"3 on scale 1-7 ","2011","Not Employed","","","",""
"3 on scale 1-7 ","2011","Employed","","","",""
"4 on scale 1-7","2011","Not Employed","","","",""
"4 on scale 1-7","2011","Employed","","","",""
"5 on scale 1-7","2011","Not Employed","","","",""
"5 on scale 1-7","2011","Employed","","","",""
"6 on scale 1-7","2011","Not Employed","","","",""
"6 on scale 1-7","2011","Employed","","","",""
"7 Strongly agree","2011","Not Employed","","","",""
"7 Strongly agree","2011","Employed","","","",""
"1 Strongly disagree","2012","Not Employed","59","0.0443464638052985","0.0346930400336441","0.0539998875769529"
"1 Strongly disagree","2012","Employed","218","0.0455358451574525","0.0399666503004037","0.0511050400145013"
"2 on scale 1-7 ","2012","Not Employed","124","0.0712987731389601","0.059232290938272","0.0833652553396483"
"2 on scale 1-7 ","2012","Employed","535","0.090731381647922","0.0830584599804912","0.0984043033153529"
"3 on scale 1-7 ","2012","Not Employed","158","0.0900934984865453","0.0766674952219988","0.103519501751092"
"3 on scale 1-7 ","2012","Employed","683","0.122662402889644","0.113898955060387","0.131425850718901"
"4 on scale 1-7","2012","Not Employed","228","0.134870128431783","0.118852427599291","0.150887829264276"
"4 on scale 1-7","2012","Employed","1002","0.175226133685762","0.165070599180391","0.185381668191134"
"5 on scale 1-7","2012","Not Employed","342","0.186523576863764","0.168257680414981","0.204789473312547"
"5 on scale 1-7","2012","Employed","1085","0.204513540610076","0.193738638566208","0.215288442653944"
"6 on scale 1-7","2012","Not Employed","403","0.22441844588011","0.204855031698552","0.243981860061668"
"6 on scale 1-7","2012","Employed","1063","0.205184307825468","0.194396301577148","0.215972314073787"
"7 Strongly agree","2012","Not Employed","433","0.248449113393538","0.228186308631152","0.268711918155925"
"7 Strongly agree","2012","Employed","797","0.156146388183675","0.146449432085081","0.16584334428227"
"1 Strongly disagree","2013","Not Employed","359","0.0525592346603224","0.0474402101284439","0.057678259192201"
"1 Strongly disagree","2013","Employed","570","0.0539099670725018","0.0497936047435284","0.0580263294014753"
"2 on scale 1-7 ","2013","Not Employed","778","0.109050334866656","0.101899993975649","0.116200675757663"
"2 on scale 1-7 ","2013","Employed","1776","0.153581950571691","0.147010286190151","0.16015361495323"
"3 on scale 1-7 ","2013","Not Employed","960","0.125712913590709","0.118107836183853","0.133317990997566"
"3 on scale 1-7 ","2013","Employed","2011","0.172859347866571","0.165967289506183","0.179751406226958"
"4 on scale 1-7","2013","Not Employed","1402","0.188698322866896","0.179722756387785","0.197673889346007"
"4 on scale 1-7","2013","Employed","2451","0.212326445729857","0.204872469467407","0.219780421992306"
"5 on scale 1-7","2013","Not Employed","1571","0.216724064443358","0.207272632284153","0.226175496602564"
"5 on scale 1-7","2013","Employed","2136","0.181667619581827","0.174639867070645","0.188695372093009"
"6 on scale 1-7","2013","Not Employed","1309","0.17358589892194","0.164897440206902","0.182274357636979"
"6 on scale 1-7","2013","Employed","1632","0.13985105799629","0.133529377592395","0.146172738400185"
"7 Strongly agree","2013","Not Employed","921","0.133669230650117","0.125862948310623","0.141475512989611"
"7 Strongly agree","2013","Employed","987","0.085803611181263","0.0806987332452708","0.0909084891172552"
"1 Strongly disagree","2014","Not Employed","","","",""
"1 Strongly disagree","2014","Employed","","","",""
"2 on scale 1-7 ","2014","Not Employed","","","",""
"2 on scale 1-7 ","2014","Employed","","","",""
"3 on scale 1-7 ","2014","Not Employed","","","",""
"3 on scale 1-7 ","2014","Employed","","","",""
"4 on scale 1-7","2014","Not Employed","","","",""
"4 on scale 1-7","2014","Employed","","","",""
"5 on scale 1-7","2014","Not Employed","","","",""
"5 on scale 1-7","2014","Employed","","","",""
"6 on scale 1-7","2014","Not Employed","","","",""
"6 on scale 1-7","2014","Employed","","","",""
"7 Strongly agree","2014","Not Employed","","","",""
"7 Strongly agree","2014","Employed","","","",""
"1 Strongly disagree","2015","Not Employed","","","",""
"1 Strongly disagree","2015","Employed","","","",""
"2 on scale 1-7 ","2015","Not Employed","","","",""
"2 on scale 1-7 ","2015","Employed","","","",""
"3 on scale 1-7 ","2015","Not Employed","","","",""
"3 on scale 1-7 ","2015","Employed","","","",""
"4 on scale 1-7","2015","Not Employed","","","",""
"4 on scale 1-7","2015","Employed","","","",""
"5 on scale 1-7","2015","Not Employed","","","",""
"5 on scale 1-7","2015","Employed","","","",""
"6 on scale 1-7","2015","Not Employed","","","",""
"6 on scale 1-7","2015","Employed","","","",""
"7 Strongly agree","2015","Not Employed","","","",""
"7 Strongly agree","2015","Employed","","","",""
"1 Strongly disagree","2016","Not Employed","","","",""
"1 Strongly disagree","2016","Employed","","","",""
"2 on scale 1-7 ","2016","Not Employed","","","",""
"2 on scale 1-7 ","2016","Employed","","","",""
"3 on scale 1-7 ","2016","Not Employed","","","",""
"3 on scale 1-7 ","2016","Employed","","","",""
"4 on scale 1-7","2016","Not Employed","","","",""
"4 on scale 1-7","2016","Employed","","","",""
"5 on scale 1-7","2016","Not Employed","","","",""
"5 on scale 1-7","2016","Employed","","","",""
"6 on scale 1-7","2016","Not Employed","","","",""
"6 on scale 1-7","2016","Employed","","","",""
"7 Strongly agree","2016","Not Employed","","","",""
"7 Strongly agree","2016","Employed","","","",""
"1 Strongly disagree","2017","Not Employed","711","0.0501806349968347","0.0460982225457151","0.0542630474479544"
"1 Strongly disagree","2017","Employed","838","0.0473385476604061","0.0442619154912557","0.0504151798295564"
"2 on scale 1-7 ","2017","Not Employed","1023","0.105777817212229","0.100026751715224","0.111528882709235"
"2 on scale 1-7 ","2017","Employed","2611","0.144825405839136","0.139726833474091","0.149923978204181"
"3 on scale 1-7 ","2017","Not Employed","1215","0.119185650724856","0.113126908572627","0.125244392877085"
"3 on scale 1-7 ","2017","Employed","2828","0.15437521141404","0.149140696387264","0.159609726440816"
"4 on scale 1-7","2017","Not Employed","1917","0.177422676858466","0.170279009498874","0.184566344218059"
"4 on scale 1-7","2017","Employed","3331","0.184968486988091","0.179343326882138","0.190593647094044"
"5 on scale 1-7","2017","Not Employed","2170","0.207104338227059","0.199526751553306","0.214681924900811"
"5 on scale 1-7","2017","Employed","3375","0.18706006887463","0.181410457317278","0.192709680431983"
"6 on scale 1-7","2017","Not Employed","2010","0.198273370048562","0.190817923816302","0.205728816280821"
"6 on scale 1-7","2017","Employed","3152","0.170275588328809","0.164830035893975","0.175721140763642"
"7 Strongly agree","2017","Not Employed","1940","0.142055511931993","0.135527409915098","0.148583613948889"
"7 Strongly agree","2017","Employed","2167","0.111156690894888","0.106602835622677","0.1157105461671"
"1 Strongly disagree","2018","Not Employed","","","",""
"1 Strongly disagree","2018","Employed","","","",""
"2 on scale 1-7 ","2018","Not Employed","","","",""
"2 on scale 1-7 ","2018","Employed","","","",""
"3 on scale 1-7 ","2018","Not Employed","","","",""
"3 on scale 1-7 ","2018","Employed","","","",""
"4 on scale 1-7","2018","Not Employed","","","",""
"4 on scale 1-7","2018","Employed","","","",""
"5 on scale 1-7","2018","Not Employed","","","",""
"5 on scale 1-7","2018","Employed","","","",""
"6 on scale 1-7","2018","Not Employed","","","",""
"6 on scale 1-7","2018","Employed","","","",""
"7 Strongly agree","2018","Not Employed","","","",""
"7 Strongly agree","2018","Employed","","","",""
"1 Strongly disagree","2019","Not Employed","635","0.0779754946757242","0.0721246920525411","0.0838262972989074"
"1 Strongly disagree","2019","Employed","1458","0.0796184131643451","0.0756310036107453","0.0836058227179449"
"2 on scale 1-7 ","2019","Not Employed","1173","0.143959872176776","0.136299798725671","0.151619945627882"
"2 on scale 1-7 ","2019","Employed","3424","0.193121393240743","0.18730679893182","0.198935987549666"
"3 on scale 1-7 ","2019","Not Employed","1126","0.135206923248255","0.12774551653781","0.142668329958699"
"3 on scale 1-7 ","2019","Employed","2854","0.160389450806388","0.154984061614558","0.165794839998219"
"4 on scale 1-7","2019","Not Employed","1377","0.179794353260862","0.171414921904118","0.188173784617606"
"4 on scale 1-7","2019","Employed","3313","0.197247118972056","0.191385785964894","0.203108451979219"
"5 on scale 1-7","2019","Not Employed","1501","0.193715581671874","0.185091923027454","0.202339240316295"
"5 on scale 1-7","2019","Employed","3000","0.165882179311058","0.160403022983703","0.171361335638414"
"6 on scale 1-7","2019","Not Employed","1291","0.156663438541044","0.148732046121195","0.164594830960893"
"6 on scale 1-7","2019","Employed","2348","0.135376658465954","0.130337181107266","0.140416135824642"
"7 Strongly agree","2019","Not Employed","965","0.112684336425464","0.105784544468176","0.119584128382753"
"7 Strongly agree","2019","Employed","1308","0.0683647860394551","0.0646473859696379","0.0720821861092723"
