"plh0216","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","468","0.0390149383145395","0.0356319907856368","0.0423978858434422"
"1 Strongly disagree","2005","no migration background","East Germany","100","0.0258559948758816","0.021415943231642","0.0302960465201212"
"1 Strongly disagree","2005","direct migration background","West Germany","74","0.0352675405236197","0.0276678335614483","0.0428672474857912"
"1 Strongly disagree","2005","direct migration background","East Germany","4","","",""
"1 Strongly disagree","2005","indirect migration background","West Germany","45","0.0503391155784659","0.0351405853245184","0.0655376458324134"
"1 Strongly disagree","2005","indirect migration background","East Germany","3","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","1242","0.0934796623081765","0.0883937505071253","0.0985655741092278"
"2 on scale 1-7 ","2005","no migration background","East Germany","299","0.0585238862861586","0.051956885838842","0.0650908867334752"
"2 on scale 1-7 ","2005","direct migration background","West Germany","155","0.0688915743847845","0.0584566574267807","0.0793264913427883"
"2 on scale 1-7 ","2005","direct migration background","East Germany","9","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","90","0.103750505194799","0.0825535198923043","0.124947490497295"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","2","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","1618","0.120246964226553","0.114564470975404","0.125929457477701"
"3 on scale 1-7 ","2005","no migration background","East Germany","555","0.0983330192375185","0.0900025668982234","0.106663471576814"
"3 on scale 1-7 ","2005","direct migration background","West Germany","219","0.0922737871224178","0.080349774551267","0.104197799693569"
"3 on scale 1-7 ","2005","direct migration background","East Germany","4","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","110","0.120013188239032","0.0974231432902679","0.142603233187795"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","3","","",""
"4 on scale 1-7","2005","no migration background","West Germany","2349","0.184026415367859","0.177256244741356","0.190796585994362"
"4 on scale 1-7","2005","no migration background","East Germany","904","0.178705475025161","0.1679874638146","0.189423486235722"
"4 on scale 1-7","2005","direct migration background","West Germany","415","0.178149641556651","0.162384616515005","0.193914666598297"
"4 on scale 1-7","2005","direct migration background","East Germany","9","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","144","0.176231341663756","0.149745807717296","0.202716875610216"
"4 on scale 1-7","2005","indirect migration background","East Germany","8","","",""
"5 on scale 1-7","2005","no migration background","West Germany","2476","0.194894121431138","0.187973464041865","0.201814778820411"
"5 on scale 1-7","2005","no migration background","East Germany","1017","0.213958910430549","0.202485735182956","0.225432085678142"
"5 on scale 1-7","2005","direct migration background","West Germany","467","0.199057007371006","0.182605891835593","0.215508122906419"
"5 on scale 1-7","2005","direct migration background","East Germany","21","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","157","0.190880194699295","0.163562038919038","0.218198350479553"
"5 on scale 1-7","2005","indirect migration background","East Germany","7","","",""
"6 on scale 1-7","2005","no migration background","West Germany","2462","0.193124800730303","0.186228063350614","0.200021538109993"
"6 on scale 1-7","2005","no migration background","East Germany","1142","0.223509999310065","0.211855000693158","0.235164997926973"
"6 on scale 1-7","2005","direct migration background","West Germany","480","0.210312637054467","0.193522041809856","0.227103232299078"
"6 on scale 1-7","2005","direct migration background","East Germany","34","0.269729319068611","0.18230414531018","0.357154492827042"
"6 on scale 1-7","2005","indirect migration background","West Germany","133","0.177969179815915","0.151381467159411","0.204556892472419"
"6 on scale 1-7","2005","indirect migration background","East Germany","6","","",""
"7 Strongly agree","2005","no migration background","West Germany","1970","0.175213097621431","0.168571452863144","0.181854742379718"
"7 Strongly agree","2005","no migration background","East Germany","891","0.201112714834666","0.189898772129165","0.212326657540166"
"7 Strongly agree","2005","direct migration background","West Germany","453","0.216047811987054","0.199091728801914","0.233003895172193"
"7 Strongly agree","2005","direct migration background","East Germany","18","","",""
"7 Strongly agree","2005","indirect migration background","West Germany","116","0.180816474808737","0.154063373727423","0.20756957589005"
"7 Strongly agree","2005","indirect migration background","East Germany","6","","",""
"1 Strongly disagree","2006","no migration background","West Germany","","","",""
"1 Strongly disagree","2006","no migration background","East Germany","","","",""
"1 Strongly disagree","2006","direct migration background","West Germany","","","",""
"1 Strongly disagree","2006","direct migration background","East Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2006","no migration background","West Germany","","","",""
"4 on scale 1-7","2006","no migration background","East Germany","","","",""
"4 on scale 1-7","2006","direct migration background","West Germany","","","",""
"4 on scale 1-7","2006","direct migration background","East Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2006","no migration background","West Germany","","","",""
"5 on scale 1-7","2006","no migration background","East Germany","","","",""
"5 on scale 1-7","2006","direct migration background","West Germany","","","",""
"5 on scale 1-7","2006","direct migration background","East Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2006","no migration background","West Germany","","","",""
"6 on scale 1-7","2006","no migration background","East Germany","","","",""
"6 on scale 1-7","2006","direct migration background","West Germany","","","",""
"6 on scale 1-7","2006","direct migration background","East Germany","","","",""
"6 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"6 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"7 Strongly agree","2006","no migration background","West Germany","","","",""
"7 Strongly agree","2006","no migration background","East Germany","","","",""
"7 Strongly agree","2006","direct migration background","West Germany","","","",""
"7 Strongly agree","2006","direct migration background","East Germany","","","",""
"7 Strongly agree","2006","indirect migration background","West Germany","","","",""
"7 Strongly agree","2006","indirect migration background","East Germany","","","",""
"1 Strongly disagree","2007","no migration background","West Germany","","","",""
"1 Strongly disagree","2007","no migration background","East Germany","","","",""
"1 Strongly disagree","2007","direct migration background","West Germany","","","",""
"1 Strongly disagree","2007","direct migration background","East Germany","","","",""
"1 Strongly disagree","2007","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2007","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2007","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2007","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2007","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2007","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2007","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2007","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2007","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2007","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2007","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2007","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2007","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2007","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2007","no migration background","West Germany","","","",""
"4 on scale 1-7","2007","no migration background","East Germany","","","",""
"4 on scale 1-7","2007","direct migration background","West Germany","","","",""
"4 on scale 1-7","2007","direct migration background","East Germany","","","",""
"4 on scale 1-7","2007","indirect migration background","West Germany","","","",""
"4 on scale 1-7","2007","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2007","no migration background","West Germany","","","",""
"5 on scale 1-7","2007","no migration background","East Germany","","","",""
"5 on scale 1-7","2007","direct migration background","West Germany","","","",""
"5 on scale 1-7","2007","direct migration background","East Germany","","","",""
"5 on scale 1-7","2007","indirect migration background","West Germany","","","",""
"5 on scale 1-7","2007","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2007","no migration background","West Germany","","","",""
"6 on scale 1-7","2007","no migration background","East Germany","","","",""
"6 on scale 1-7","2007","direct migration background","West Germany","","","",""
"6 on scale 1-7","2007","direct migration background","East Germany","","","",""
"6 on scale 1-7","2007","indirect migration background","West Germany","","","",""
"6 on scale 1-7","2007","indirect migration background","East Germany","","","",""
"7 Strongly agree","2007","no migration background","West Germany","","","",""
"7 Strongly agree","2007","no migration background","East Germany","","","",""
"7 Strongly agree","2007","direct migration background","West Germany","","","",""
"7 Strongly agree","2007","direct migration background","East Germany","","","",""
"7 Strongly agree","2007","indirect migration background","West Germany","","","",""
"7 Strongly agree","2007","indirect migration background","East Germany","","","",""
"1 Strongly disagree","2008","no migration background","West Germany","","","",""
"1 Strongly disagree","2008","no migration background","East Germany","","","",""
