"pld0045","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","1-pers.-HH","55","0.043226167089676","0.0321413932402727","0.0543109409390792"
"Very often","2003","lower secondary degree","(Married) couple without C. ","106","0.0309035809721853","0.0249657551809324","0.0368414067634381"
"Very often","2003","lower secondary degree","Single parent ","12","","",""
"Very often","2003","lower secondary degree","Couple + C. LE 16 ","55","0.0535962254898451","0.0404994537012999","0.0666929972783903"
"Very often","2003","lower secondary degree","Couple + C. GT 16 ","48","0.0551359843904194","0.0417207607024134","0.0685512080784253"
"Very often","2003","lower secondary degree","Couple + C. LE and GT 16","19","","",""
"Very often","2003","secondary school degree","1-pers.-HH","42","0.0653751096829971","0.0478930592970588","0.0828571600689354"
"Very often","2003","secondary school degree","(Married) couple without C. ","66","0.0450762610605509","0.0355314339998776","0.0546210881212241"
"Very often","2003","secondary school degree","Single parent ","19","","",""
"Very often","2003","secondary school degree","Couple + C. LE 16 ","85","0.053796263565942","0.0426397529202962","0.0649527742115878"
"Very often","2003","secondary school degree","Couple + C. GT 16 ","60","0.0556501798533008","0.0427173312656052","0.0685830284409964"
"Very often","2003","secondary school degree","Couple + C. LE and GT 16","28","","",""
"Very often","2003","college entrance qualification","1-pers.-HH","50","0.0485292324061331","0.0333220118405971","0.063736452971669"
"Very often","2003","college entrance qualification","(Married) couple without C. ","75","0.0459438981519865","0.0360120011410635","0.0558757951629095"
"Very often","2003","college entrance qualification","Single parent ","17","","",""
"Very often","2003","college entrance qualification","Couple + C. LE 16 ","96","0.0678323186372491","0.0541945959685424","0.0814700413059559"
"Very often","2003","college entrance qualification","Couple + C. GT 16 ","45","0.0394541670057093","0.0272597166343758","0.0516486173770427"
"Very often","2003","college entrance qualification","Couple + C. LE and GT 16","26","","",""
"Very often","2003","Other degree","1-pers.-HH","3","","",""
"Very often","2003","Other degree","(Married) couple without C. ","15","","",""
"Very often","2003","Other degree","Single parent ","3","","",""
"Very often","2003","Other degree","Couple + C. LE 16 ","13","","",""
"Very often","2003","Other degree","Couple + C. GT 16 ","5","","",""
"Very often","2003","Other degree","Couple + C. LE and GT 16","7","","",""
"Very often","2003","no degree/no degree yet","1-pers.-HH","","","",""
"Very often","2003","no degree/no degree yet","(Married) couple without C. ","5","","",""
"Very often","2003","no degree/no degree yet","Single parent ","5","","",""
"Very often","2003","no degree/no degree yet","Couple + C. LE 16 ","3","","",""
"Very often","2003","no degree/no degree yet","Couple + C. GT 16 ","20","","",""
"Very often","2003","no degree/no degree yet","Couple + C. LE and GT 16","18","","",""
"Often","2003","lower secondary degree","1-pers.-HH","67","0.0531723432777185","0.0409423224657543","0.0654023640896828"
"Often","2003","lower secondary degree","(Married) couple without C. ","184","0.0508127902267191","0.0432774647692312","0.0583481156842071"
"Often","2003","lower secondary degree","Single parent ","37","0.107036766064302","0.0754498329881199","0.138623699140483"
"Often","2003","lower secondary degree","Couple + C. LE 16 ","99","0.0723596525584342","0.057293686776548","0.0874256183403203"
"Often","2003","lower secondary degree","Couple + C. GT 16 ","98","0.0968190134142672","0.0794384673503942","0.11419955947814"
"Often","2003","lower secondary degree","Couple + C. LE and GT 16","43","0.0966922031033927","0.0691714803547031","0.124212925852082"
"Often","2003","secondary school degree","1-pers.-HH","54","0.0582016315733541","0.0416433971207065","0.0747598660260017"
