"pld0045","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","higher vocational","Male","518","0.55352666297641","0.52229042608961","0.58476289986321","5"
"Never","2003","higher vocational","Female","383","0.535202558101046","0.498541563292284","0.571863552909807","5"
"Never","2003","higher education","Male","1295","0.53113712768095","0.511376929267803","0.550897326094097","5"
"Never","2003","higher education","Female","984","0.550896694250828","0.52848983464025","0.573303553861407","5"
"Never","2003","inadequately","Male","76","0.746154530622143","0.664452294966067","0.827856766278218","5"
"Never","2003","inadequately","Female","113","0.717083247650457","0.645713116302795","0.788453378998119","5"
"Never","2003","general elemantary","Male","566","0.641842634464209","0.610759399061043","0.672925869867375","5"
"Never","2003","general elemantary","Female","1231","0.693659063193407","0.672527309213463","0.714790817173351","5"
"Never","2003","middle vocational","Male","3220","0.61122941750946","0.598119234266134","0.624339600752786","5"
"Never","2003","middle vocational","Female","3581","0.628684732400344","0.616247197825823","0.641122266974866","5"
"Never","2003","vocational + Abi","Male","263","0.526520275846125","0.482129963649281","0.570910588042968","5"
"Never","2003","vocational + Abi","Female","361","0.532241421485902","0.494656039157324","0.56982680381448","5"
"Never","2003","in school","Male","169","0.538456650934976","0.481855979859116","0.595057322010835","5"
"Never","2003","in school","Female","155","0.504697693214964","0.449219586808337","0.560175799621591","5"
"Often","2003","in school","Male","28","","","","2"
"Often","2003","in school","Female","23","","","","2"
"Often","2003","inadequately","Male","5","","","","2"
"Often","2003","inadequately","Female","8","","","","2"
"Often","2003","general elemantary","Male","66","0.0609415172194207","0.0454327261823606","0.0764503082564809","2"
"Often","2003","general elemantary","Female","116","0.0601136930916836","0.0492172598757915","0.0710101263075756","2"
"Often","2003","middle vocational","Male","398","0.0725280317355289","0.0655527254470303","0.0795033380240276","2"
"Often","2003","middle vocational","Female","435","0.0728329721357436","0.0661435370051355","0.0795224072663517","2"
"Often","2003","vocational + Abi","Male","43","0.0916228739488668","0.0659741947092525","0.117271553188481","2"
"Often","2003","vocational + Abi","Female","68","0.0970528364166888","0.0747536487799519","0.119352024053426","2"
"Often","2003","higher vocational","Male","92","0.0833419579632236","0.0659748622827688","0.100709053643679","2"
"Often","2003","higher vocational","Female","81","0.108509214318758","0.0856476981405287","0.131370730496988","2"
"Often","2003","higher education","Male","231","0.0915922493057429","0.0801704420638964","0.103014056547589","2"
"Often","2003","higher education","Female","182","0.0797763877930775","0.0675708574597293","0.0919819181264256","2"
"Rarely","2003","middle vocational","Male","967","0.185542922037023","0.175088109808871","0.195997734265176","4"
"Rarely","2003","higher vocational","Female","132","0.183895770268466","0.155420229840533","0.212371310696398","4"
"Rarely","2003","higher education","Male","519","0.212547658016473","0.196348018505777","0.228747297527169","4"
"Rarely","2003","higher education","Female","362","0.176928136817749","0.15973757328108","0.194118700354417","4"
"Rarely","2003","general elemantary","Female","258","0.137428739345819","0.121645495411104","0.153211983280534","4"
"Rarely","2003","middle vocational","Female","944","0.151487383195164","0.142258188137648","0.160716578252679","4"
"Rarely","2003","vocational + Abi","Male","104","0.186010745194443","0.15141614557366","0.220605344815227","4"
"Rarely","2003","vocational + Abi","Female","114","0.160822787466361","0.133149905515005","0.188495669417718","4"
"Rarely","2003","higher vocational","Male","194","0.180491830264806","0.156326257725617","0.204657402803994","4"
"Rarely","2003","in school","Male","56","0.191468057137252","0.146795921486644","0.23614019278786","4"
"Rarely","2003","in school","Female","72","0.220981675290433","0.174943006058027","0.267020344522838","4"
"Rarely","2003","inadequately","Male","14","","","","4"
"Rarely","2003","inadequately","Female","18","","","","4"
"Rarely","2003","general elemantary","Male","142","0.141222655169103","0.118645590920496","0.16379971941771","4"
"Sometimes","2003","higher vocational","Female","63","0.0804664427503576","0.0604722219700036","0.100460663530712","3"
"Sometimes","2003","higher education","Male","294","0.123271272668715","0.110253742068394","0.136288803269036","3"
"Sometimes","2003","middle vocational","Male","517","0.0915620481813841","0.0838055566166375","0.0993185397461306","3"
"Sometimes","2003","middle vocational","Female","575","0.101686939273659","0.0939067012167156","0.109467177330602","3"
"Sometimes","2003","higher vocational","Male","130","0.139881926451779","0.11808719560711","0.161676657296449","3"
"Sometimes","2003","vocational + Abi","Female","87","0.143686027584179","0.117263306464161","0.170108748704197","3"
"Sometimes","2003","vocational + Abi","Male","50","0.126494048836978","0.0969412962898968","0.156046801384059","3"
"Sometimes","2003","higher education","Female","240","0.128736976677842","0.113650109103512","0.143823844252172","3"
"Sometimes","2003","in school","Male","30","0.112768908918624","0.0768557982042934","0.148682019632955","3"
"Sometimes","2003","in school","Female","39","0.0944967933786828","0.0620386012901622","0.126954985467204","3"
"Sometimes","2003","inadequately","Male","9","","","","3"
"Sometimes","2003","inadequately","Female","6","","","","3"
"Sometimes","2003","general elemantary","Male","103","0.112343953651126","0.0918713912839257","0.132816516018326","3"
"Sometimes","2003","general elemantary","Female","140","0.064685749563443","0.0534100608336384","0.0759614382932475","3"
"Very often","2003","in school","Male","15","","","","1"
"Very often","2003","in school","Female","23","","","","1"
"Very often","2003","inadequately","Male","5","","","","1"
"Very often","2003","inadequately","Female","8","","","","1"
"Very often","2003","general elemantary","Male","37","0.0436492394961414","0.0304036302903308","0.056894848701952","1"
"Very often","2003","general elemantary","Female","83","0.0441127548056472","0.0346993785345139","0.0535261310767806","1"
"Very often","2003","middle vocational","Male","209","0.0391375805366033","0.0339221816323131","0.0443529794408936","1"
"Very often","2003","middle vocational","Female","262","0.0453079729950895","0.0399541327852171","0.050661813204962","1"
"Very often","2003","vocational + Abi","Male","26","","","","1"
"Very often","2003","vocational + Abi","Female","47","0.0661969270468683","0.0474685423851724","0.0849253117085642","1"
"Very often","2003","higher vocational","Male","39","0.042757622343782","0.0300457535148912","0.0554694911726728","1"
"Very often","2003","higher vocational","Female","52","0.0919260145613732","0.0706890166854808","0.113163012437266","1"
"Very often","2003","higher education","Male","111","0.041451692328119","0.0335586726742409","0.0493447119819971","1"
"Very often","2003","higher education","Female","125","0.0636618044605038","0.052663426858218","0.0746601820627895","1"
"Never","2004","higher education","Female","","","","","5"
"Never","2004","higher vocational","Male","","","","","5"
"Never","2004","higher vocational","Female","","","","","5"
"Never","2004","higher education","Male","","","","","5"
"Never","2004","in school","Male","","","","","5"
"Never","2004","in school","Female","","","","","5"
"Never","2004","inadequately","Male","","","","","5"
"Never","2004","inadequately","Female","","","","","5"
"Never","2004","general elemantary","Male","","","","","5"
"Never","2004","general elemantary","Female","","","","","5"
"Never","2004","middle vocational","Male","","","","","5"
"Never","2004","middle vocational","Female","","","","","5"
"Never","2004","vocational + Abi","Male","","","","","5"
"Never","2004","vocational + Abi","Female","","","","","5"
"Often","2004","vocational + Abi","Female","","","","","2"
"Often","2004","higher vocational","Male","","","","","2"
"Often","2004","higher vocational","Female","","","","","2"
"Often","2004","higher education","Male","","","","","2"
"Often","2004","in school","Male","","","","","2"
"Often","2004","in school","Female","","","","","2"
"Often","2004","inadequately","Male","","","","","2"
"Often","2004","inadequately","Female","","","","","2"
"Often","2004","general elemantary","Male","","","","","2"
"Often","2004","general elemantary","Female","","","","","2"
"Often","2004","middle vocational","Male","","","","","2"
"Often","2004","middle vocational","Female","","","","","2"
"Often","2004","vocational + Abi","Male","","","","","2"
"Often","2004","higher education","Female","","","","","2"
"Rarely","2004","higher vocational","Female","","","","","4"
"Rarely","2004","higher education","Male","","","","","4"
"Rarely","2004","higher education","Female","","","","","4"
"Rarely","2004","general elemantary","Female","","","","","4"
"Rarely","2004","middle vocational","Male","","","","","4"
"Rarely","2004","middle vocational","Female","","","","","4"
"Rarely","2004","vocational + Abi","Male","","","","","4"
"Rarely","2004","vocational + Abi","Female","","","","","4"
"Rarely","2004","higher vocational","Male","","","","","4"
"Rarely","2004","in school","Male","","","","","4"
"Rarely","2004","in school","Female","","","","","4"
"Rarely","2004","inadequately","Male","","","","","4"
"Rarely","2004","inadequately","Female","","","","","4"
"Rarely","2004","general elemantary","Male","","","","","4"
"Sometimes","2004","middle vocational","Male","","","","","3"
"Sometimes","2004","middle vocational","Female","","","","","3"
"Sometimes","2004","higher vocational","Female","","","","","3"
"Sometimes","2004","higher education","Male","","","","","3"
"Sometimes","2004","higher education","Female","","","","","3"
"Sometimes","2004","vocational + Abi","Male","","","","","3"
"Sometimes","2004","vocational + Abi","Female","","","","","3"
"Sometimes","2004","higher vocational","Male","","","","","3"
"Sometimes","2004","in school","Male","","","","","3"
"Sometimes","2004","in school","Female","","","","","3"
"Sometimes","2004","inadequately","Male","","","","","3"
"Sometimes","2004","inadequately","Female","","","","","3"
"Sometimes","2004","general elemantary","Male","","","","","3"
"Sometimes","2004","general elemantary","Female","","","","","3"
"Very often","2004","in school","Male","","","","","1"
"Very often","2004","in school","Female","","","","","1"
"Very often","2004","inadequately","Male","","","","","1"
"Very often","2004","inadequately","Female","","","","","1"
"Very often","2004","general elemantary","Male","","","","","1"
"Very often","2004","general elemantary","Female","","","","","1"
"Very often","2004","middle vocational","Male","","","","","1"
"Very often","2004","middle vocational","Female","","","","","1"
"Very often","2004","vocational + Abi","Male","","","","","1"
"Very often","2004","vocational + Abi","Female","","","","","1"
"Very often","2004","higher vocational","Male","","","","","1"
"Very often","2004","higher vocational","Female","","","","","1"
"Very often","2004","higher education","Male","","","","","1"
"Very often","2004","higher education","Female","","","","","1"
"Never","2005","inadequately","Male","","","","","5"
"Never","2005","inadequately","Female","","","","","5"
"Never","2005","general elemantary","Male","","","","","5"
"Never","2005","general elemantary","Female","","","","","5"
"Never","2005","middle vocational","Male","","","","","5"
"Never","2005","middle vocational","Female","","","","","5"
"Never","2005","vocational + Abi","Male","","","","","5"
"Never","2005","vocational + Abi","Female","","","","","5"
"Never","2005","higher vocational","Male","","","","","5"
"Never","2005","higher vocational","Female","","","","","5"
"Never","2005","higher education","Male","","","","","5"
"Never","2005","higher education","Female","","","","","5"
"Never","2005","in school","Male","","","","","5"
"Never","2005","in school","Female","","","","","5"
"Often","2005","in school","Male","","","","","2"
"Often","2005","in school","Female","","","","","2"
"Often","2005","inadequately","Male","","","","","2"
"Often","2005","inadequately","Female","","","","","2"
"Often","2005","general elemantary","Male","","","","","2"
"Often","2005","middle vocational","Male","","","","","2"
"Often","2005","middle vocational","Female","","","","","2"
"Often","2005","general elemantary","Female","","","","","2"
"Often","2005","vocational + Abi","Male","","","","","2"
"Often","2005","higher vocational","Female","","","","","2"
"Often","2005","higher education","Male","","","","","2"
"Often","2005","higher education","Female","","","","","2"
"Often","2005","vocational + Abi","Female","","","","","2"
"Often","2005","higher vocational","Male","","","","","2"
"Rarely","2005","general elemantary","Female","","","","","4"
"Rarely","2005","vocational + Abi","Female","","","","","4"
"Rarely","2005","inadequately","Female","","","","","4"
"Rarely","2005","middle vocational","Male","","","","","4"
"Rarely","2005","middle vocational","Female","","","","","4"
"Rarely","2005","vocational + Abi","Male","","","","","4"
"Rarely","2005","in school","Male","","","","","4"
"Rarely","2005","in school","Female","","","","","4"
"Rarely","2005","inadequately","Male","","","","","4"
"Rarely","2005","general elemantary","Male","","","","","4"
"Rarely","2005","higher vocational","Male","","","","","4"
"Rarely","2005","higher vocational","Female","","","","","4"
"Rarely","2005","higher education","Male","","","","","4"
"Rarely","2005","higher education","Female","","","","","4"
"Sometimes","2005","in school","Male","","","","","3"
"Sometimes","2005","middle vocational","Male","","","","","3"
"Sometimes","2005","middle vocational","Female","","","","","3"
"Sometimes","2005","vocational + Abi","Female","","","","","3"
"Sometimes","2005","vocational + Abi","Male","","","","","3"
"Sometimes","2005","higher education","Male","","","","","3"
"Sometimes","2005","higher education","Female","","","","","3"
"Sometimes","2005","in school","Female","","","","","3"
"Sometimes","2005","inadequately","Male","","","","","3"
"Sometimes","2005","inadequately","Female","","","","","3"
"Sometimes","2005","general elemantary","Male","","","","","3"
"Sometimes","2005","general elemantary","Female","","","","","3"
"Sometimes","2005","higher vocational","Male","","","","","3"
"Sometimes","2005","higher vocational","Female","","","","","3"
"Very often","2005","in school","Male","","","","","1"
"Very often","2005","in school","Female","","","","","1"
"Very often","2005","inadequately","Male","","","","","1"
"Very often","2005","inadequately","Female","","","","","1"
"Very often","2005","general elemantary","Male","","","","","1"
"Very often","2005","general elemantary","Female","","","","","1"
"Very often","2005","middle vocational","Male","","","","","1"
"Very often","2005","middle vocational","Female","","","","","1"
"Very often","2005","vocational + Abi","Male","","","","","1"
"Very often","2005","vocational + Abi","Female","","","","","1"
"Very often","2005","higher vocational","Male","","","","","1"
"Very often","2005","higher vocational","Female","","","","","1"
"Very often","2005","higher education","Male","","","","","1"
"Very often","2005","higher education","Female","","","","","1"
"Never","2006","in school","Male","","","","","5"
"Never","2006","in school","Female","","","","","5"
"Never","2006","inadequately","Male","","","","","5"
"Never","2006","inadequately","Female","","","","","5"
"Never","2006","general elemantary","Male","","","","","5"
"Never","2006","general elemantary","Female","","","","","5"
"Never","2006","middle vocational","Male","","","","","5"
"Never","2006","middle vocational","Female","","","","","5"
"Never","2006","vocational + Abi","Male","","","","","5"
"Never","2006","vocational + Abi","Female","","","","","5"
"Never","2006","higher vocational","Male","","","","","5"
"Never","2006","higher vocational","Female","","","","","5"
"Never","2006","higher education","Male","","","","","5"
"Never","2006","higher education","Female","","","","","5"
"Often","2006","in school","Male","","","","","2"
"Often","2006","in school","Female","","","","","2"
"Often","2006","inadequately","Female","","","","","2"
"Often","2006","general elemantary","Male","","","","","2"
"Often","2006","inadequately","Male","","","","","2"
"Often","2006","general elemantary","Female","","","","","2"
"Often","2006","middle vocational","Male","","","","","2"
"Often","2006","middle vocational","Female","","","","","2"
"Often","2006","vocational + Abi","Male","","","","","2"
"Often","2006","vocational + Abi","Female","","","","","2"
"Often","2006","higher vocational","Male","","","","","2"
"Often","2006","higher vocational","Female","","","","","2"
"Often","2006","higher education","Male","","","","","2"
"Often","2006","higher education","Female","","","","","2"
"Rarely","2006","vocational + Abi","Female","","","","","4"
"Rarely","2006","general elemantary","Female","","","","","4"
"Rarely","2006","middle vocational","Male","","","","","4"
"Rarely","2006","middle vocational","Female","","","","","4"
"Rarely","2006","vocational + Abi","Male","","","","","4"
"Rarely","2006","in school","Male","","","","","4"
"Rarely","2006","in school","Female","","","","","4"
"Rarely","2006","inadequately","Male","","","","","4"
"Rarely","2006","inadequately","Female","","","","","4"
"Rarely","2006","higher vocational","Male","","","","","4"
"Rarely","2006","higher vocational","Female","","","","","4"
"Rarely","2006","higher education","Male","","","","","4"
"Rarely","2006","higher education","Female","","","","","4"
"Rarely","2006","general elemantary","Male","","","","","4"
"Sometimes","2006","in school","Male","","","","","3"
"Sometimes","2006","in school","Female","","","","","3"
"Sometimes","2006","inadequately","Male","","","","","3"
"Sometimes","2006","inadequately","Female","","","","","3"
"Sometimes","2006","middle vocational","Male","","","","","3"
"Sometimes","2006","middle vocational","Female","","","","","3"
"Sometimes","2006","vocational + Abi","Male","","","","","3"
"Sometimes","2006","vocational + Abi","Female","","","","","3"
"Sometimes","2006","higher vocational","Male","","","","","3"
"Sometimes","2006","higher vocational","Female","","","","","3"
"Sometimes","2006","higher education","Male","","","","","3"
"Sometimes","2006","higher education","Female","","","","","3"
"Sometimes","2006","general elemantary","Male","","","","","3"
"Sometimes","2006","general elemantary","Female","","","","","3"
"Very often","2006","in school","Male","","","","","1"
"Very often","2006","in school","Female","","","","","1"
"Very often","2006","inadequately","Male","","","","","1"
"Very often","2006","inadequately","Female","","","","","1"
"Very often","2006","general elemantary","Male","","","","","1"
"Very often","2006","general elemantary","Female","","","","","1"
"Very often","2006","middle vocational","Male","","","","","1"
"Very often","2006","middle vocational","Female","","","","","1"
"Very often","2006","vocational + Abi","Male","","","","","1"
"Very often","2006","vocational + Abi","Female","","","","","1"
"Very often","2006","higher vocational","Male","","","","","1"
"Very often","2006","higher vocational","Female","","","","","1"
"Very often","2006","higher education","Male","","","","","1"
"Very often","2006","higher education","Female","","","","","1"
"Never","2007","in school","Male","","","","","5"
"Never","2007","in school","Female","","","","","5"
"Never","2007","inadequately","Male","","","","","5"
"Never","2007","inadequately","Female","","","","","5"
"Never","2007","general elemantary","Male","","","","","5"
"Never","2007","general elemantary","Female","","","","","5"
"Never","2007","middle vocational","Male","","","","","5"
"Never","2007","middle vocational","Female","","","","","5"
"Never","2007","vocational + Abi","Male","","","","","5"
"Never","2007","vocational + Abi","Female","","","","","5"
"Never","2007","higher vocational","Male","","","","","5"
"Never","2007","higher vocational","Female","","","","","5"
"Never","2007","higher education","Male","","","","","5"
"Never","2007","higher education","Female","","","","","5"
"Often","2007","vocational + Abi","Male","","","","","2"
"Often","2007","inadequately","Female","","","","","2"
"Often","2007","general elemantary","Male","","","","","2"
"Often","2007","general elemantary","Female","","","","","2"
"Often","2007","middle vocational","Male","","","","","2"
"Often","2007","middle vocational","Female","","","","","2"
"Often","2007","in school","Male","","","","","2"
"Often","2007","in school","Female","","","","","2"
"Often","2007","inadequately","Male","","","","","2"
"Often","2007","vocational + Abi","Female","","","","","2"
"Often","2007","higher vocational","Male","","","","","2"
"Often","2007","higher vocational","Female","","","","","2"
"Often","2007","higher education","Male","","","","","2"
"Often","2007","higher education","Female","","","","","2"
"Rarely","2007","general elemantary","Female","","","","","4"
"Rarely","2007","middle vocational","Male","","","","","4"
"Rarely","2007","middle vocational","Female","","","","","4"
"Rarely","2007","vocational + Abi","Male","","","","","4"
"Rarely","2007","vocational + Abi","Female","","","","","4"
"Rarely","2007","in school","Male","","","","","4"
"Rarely","2007","in school","Female","","","","","4"
"Rarely","2007","inadequately","Male","","","","","4"
"Rarely","2007","inadequately","Female","","","","","4"
"Rarely","2007","general elemantary","Male","","","","","4"
"Rarely","2007","higher vocational","Male","","","","","4"
"Rarely","2007","higher vocational","Female","","","","","4"
"Rarely","2007","higher education","Male","","","","","4"
"Rarely","2007","higher education","Female","","","","","4"
"Sometimes","2007","inadequately","Female","","","","","3"
"Sometimes","2007","general elemantary","Male","","","","","3"
"Sometimes","2007","general elemantary","Female","","","","","3"
"Sometimes","2007","in school","Male","","","","","3"
"Sometimes","2007","in school","Female","","","","","3"
"Sometimes","2007","inadequately","Male","","","","","3"
"Sometimes","2007","middle vocational","Male","","","","","3"
"Sometimes","2007","middle vocational","Female","","","","","3"
"Sometimes","2007","vocational + Abi","Male","","","","","3"
"Sometimes","2007","vocational + Abi","Female","","","","","3"
"Sometimes","2007","higher vocational","Male","","","","","3"
"Sometimes","2007","higher vocational","Female","","","","","3"
"Sometimes","2007","higher education","Male","","","","","3"
"Sometimes","2007","higher education","Female","","","","","3"
"Very often","2007","in school","Male","","","","","1"
"Very often","2007","in school","Female","","","","","1"
"Very often","2007","inadequately","Male","","","","","1"
"Very often","2007","inadequately","Female","","","","","1"
"Very often","2007","general elemantary","Male","","","","","1"
"Very often","2007","general elemantary","Female","","","","","1"
"Very often","2007","middle vocational","Male","","","","","1"
"Very often","2007","middle vocational","Female","","","","","1"
"Very often","2007","vocational + Abi","Male","","","","","1"
"Very often","2007","vocational + Abi","Female","","","","","1"
"Very often","2007","higher vocational","Male","","","","","1"
"Very often","2007","higher vocational","Female","","","","","1"
"Very often","2007","higher education","Male","","","","","1"
"Very often","2007","higher education","Female","","","","","1"
"Never","2008","general elemantary","Female","913","0.658960443757055","0.63400309052179","0.68391779699232","5"
"Never","2008","middle vocational","Male","2718","0.587950482218016","0.573718990849811","0.602181973586222","5"
"Never","2008","middle vocational","Female","3091","0.607283209596508","0.593911747357912","0.620654671835104","5"
"Never","2008","vocational + Abi","Male","246","0.533582870875669","0.487022440961273","0.580143300790065","5"
"Never","2008","vocational + Abi","Female","363","0.558199346115668","0.520139497571306","0.59625919466003","5"
"Never","2008","higher vocational","Male","442","0.543972020430557","0.510088145452347","0.577855895408768","5"
"Never","2008","higher vocational","Female","321","0.570886313758747","0.530709562846284","0.611063064671211","5"
"Never","2008","higher education","Male","1228","0.532443251921561","0.512007803210356","0.552878700632765","5"
"Never","2008","higher education","Female","981","0.520276120830071","0.497806371690904","0.542745869969238","5"
"Never","2008","in school","Male","87","0.482996371106299","0.407878657617817","0.558114084594781","5"
"Never","2008","in school","Female","100","0.464776824246517","0.39251444884894","0.537039199644094","5"
"Never","2008","inadequately","Male","44","0.679983598042146","0.571477473010251","0.788489723074041","5"
"Never","2008","inadequately","Female","75","0.655309844008966","0.566494186616651","0.744125501401281","5"
"Never","2008","general elemantary","Male","377","0.581838048212941","0.543473106358651","0.620202990067232","5"
"Often","2008","inadequately","Female","8","","","","2"
"Often","2008","general elemantary","Male","55","0.12165092644766","0.0962264210798964","0.147075431815424","2"
"Often","2008","general elemantary","Female","92","0.0600227754585675","0.0475177903757736","0.0725277605413614","2"
"Often","2008","middle vocational","Male","404","0.0892841265315803","0.0810392546128359","0.0975289984503247","2"
"Often","2008","middle vocational","Female","431","0.084569606264835","0.0769512136803206","0.0921879988493494","2"
"Often","2008","vocational + Abi","Male","35","0.0665142947064116","0.043258021143163","0.0897705682696602","2"
"Often","2008","in school","Male","18","","","","2"
"Often","2008","in school","Female","15","","","","2"
"Often","2008","inadequately","Male","4","","","","2"
"Often","2008","higher vocational","Female","56","0.0948892131207223","0.0711003818143512","0.118678044427093","2"
"Often","2008","higher education","Male","212","0.0951687909786491","0.0831499825820929","0.107187599375205","2"
"Often","2008","higher education","Female","221","0.116795577585429","0.102350182463476","0.131240972707382","2"
"Often","2008","vocational + Abi","Female","81","0.123930728925668","0.0986774402907863","0.149184017560549","2"
"Often","2008","higher vocational","Male","72","0.0819440008809689","0.0632844058740265","0.100603595887911","2"
"Rarely","2008","middle vocational","Male","805","0.179686042429654","0.16858528646294","0.190786798396367","4"
"Rarely","2008","vocational + Abi","Female","107","0.151986906203253","0.124472282146329","0.179501530260177","4"
"Rarely","2008","higher vocational","Male","184","0.209202981603765","0.181531941016325","0.236874022191206","4"
"Rarely","2008","middle vocational","Female","814","0.158437691829435","0.148439627610662","0.168435756048207","4"
"Rarely","2008","vocational + Abi","Male","89","0.202966334965752","0.165427643152153","0.24050502677935","4"
"Rarely","2008","in school","Male","38","0.285106251850504","0.217240955446284","0.352971548254724","4"
"Rarely","2008","in school","Female","42","0.219067720023869","0.15914128705712","0.278994152990617","4"
"Rarely","2008","inadequately","Male","12","","","","4"
"Rarely","2008","inadequately","Female","12","","","","4"
"Rarely","2008","general elemantary","Male","100","0.130525113536728","0.10432297192621","0.156727255147245","4"
"Rarely","2008","general elemantary","Female","219","0.150709116050433","0.131874166189672","0.169544065911194","4"
"Rarely","2008","higher vocational","Female","98","0.145092556439194","0.116503756255668","0.17368135662272","4"
"Rarely","2008","higher education","Male","471","0.222053528390567","0.205030608837656","0.239076447943479","4"
"Rarely","2008","higher education","Female","337","0.186129798043867","0.168624434447533","0.203635161640202","4"
"Sometimes","2008","inadequately","Female","11","","","","3"
"Sometimes","2008","general elemantary","Male","75","0.10215684281274","0.0786011870970003","0.12571249852848","3"
"Sometimes","2008","general elemantary","Female","103","0.0777952849885561","0.0636940619100206","0.0918965080670916","3"
"Sometimes","2008","middle vocational","Male","446","0.0983516572390828","0.0897414269216484","0.106961887556517","3"
"Sometimes","2008","middle vocational","Female","504","0.100898970152619","0.092652062246097","0.109145878059142","3"
"Sometimes","2008","vocational + Abi","Male","51","0.120804050383365","0.0903873301312053","0.151220770635526","3"
"Sometimes","2008","vocational + Abi","Female","68","0.114024921458401","0.0896653378345122","0.13838450508229","3"
"Sometimes","2008","in school","Male","18","","","","3"
"Sometimes","2008","in school","Female","17","","","","3"
"Sometimes","2008","inadequately","Male","9","","","","3"
"Sometimes","2008","higher vocational","Female","65","0.110243243873924","0.084820322594154","0.135666165153694","3"
"Sometimes","2008","higher education","Male","272","0.101732445224342","0.0893512392628826","0.114113651185801","3"
"Sometimes","2008","higher education","Female","233","0.112797677232749","0.0985695735262067","0.127025780939291","3"
"Sometimes","2008","higher vocational","Male","90","0.120348572432141","0.0982133025069944","0.142483842357287","3"
"Very often","2008","in school","Male","9","","","","1"
"Very often","2008","in school","Female","9","","","","1"
"Very often","2008","inadequately","Male","2","","","","1"
"Very often","2008","inadequately","Female","4","","","","1"
"Very often","2008","general elemantary","Female","59","0.0525123797453879","0.0407692435445099","0.0642555159462658","1"
"Very often","2008","middle vocational","Male","222","0.0447276915816667","0.038751050582301","0.0507043325810325","1"
"Very often","2008","middle vocational","Female","284","0.0488105221566031","0.0429107698872335","0.0547102744259727","1"
"Very often","2008","vocational + Abi","Male","20","","","","1"
"Very often","2008","vocational + Abi","Female","35","0.0518580972970101","0.0348637622508512","0.0688524323431689","1"
"Very often","2008","higher vocational","Male","42","0.0445324246525681","0.0304992738431558","0.0585655754619804","1"
"Very often","2008","higher vocational","Female","43","0.0788886728074119","0.0570071672668241","0.100770178348","1"
"Very often","2008","higher education","Male","107","0.0486019834848814","0.0397947711403016","0.0574091958294613","1"
"Very often","2008","higher education","Female","127","0.0640008263078844","0.0529926308564109","0.0750090217593579","1"
"Very often","2008","general elemantary","Male","28","","","","1"
"Never","2009","general elemantary","Female","","","","","5"
"Never","2009","middle vocational","Male","","","","","5"
"Never","2009","middle vocational","Female","","","","","5"
"Never","2009","vocational + Abi","Male","","","","","5"
"Never","2009","vocational + Abi","Female","","","","","5"
"Never","2009","higher vocational","Male","","","","","5"
"Never","2009","higher vocational","Female","","","","","5"
"Never","2009","higher education","Male","","","","","5"
"Never","2009","higher education","Female","","","","","5"
"Never","2009","in school","Male","","","","","5"
"Never","2009","in school","Female","","","","","5"
"Never","2009","inadequately","Male","","","","","5"
"Never","2009","inadequately","Female","","","","","5"
"Never","2009","general elemantary","Male","","","","","5"
"Often","2009","in school","Male","","","","","2"
"Often","2009","in school","Female","","","","","2"
"Often","2009","inadequately","Male","","","","","2"
"Often","2009","inadequately","Female","","","","","2"
"Often","2009","general elemantary","Male","","","","","2"
"Often","2009","general elemantary","Female","","","","","2"
"Often","2009","middle vocational","Male","","","","","2"
"Often","2009","middle vocational","Female","","","","","2"
"Often","2009","vocational + Abi","Male","","","","","2"
"Often","2009","vocational + Abi","Female","","","","","2"
"Often","2009","higher vocational","Male","","","","","2"
"Often","2009","higher vocational","Female","","","","","2"
"Often","2009","higher education","Male","","","","","2"
"Often","2009","higher education","Female","","","","","2"
"Rarely","2009","middle vocational","Male","","","","","4"
"Rarely","2009","middle vocational","Female","","","","","4"
"Rarely","2009","vocational + Abi","Male","","","","","4"
"Rarely","2009","vocational + Abi","Female","","","","","4"
"Rarely","2009","higher vocational","Male","","","","","4"
"Rarely","2009","higher vocational","Female","","","","","4"
"Rarely","2009","higher education","Male","","","","","4"
"Rarely","2009","in school","Male","","","","","4"
"Rarely","2009","in school","Female","","","","","4"
"Rarely","2009","inadequately","Male","","","","","4"
"Rarely","2009","inadequately","Female","","","","","4"
"Rarely","2009","general elemantary","Male","","","","","4"
"Rarely","2009","general elemantary","Female","","","","","4"
"Rarely","2009","higher education","Female","","","","","4"
"Sometimes","2009","vocational + Abi","Female","","","","","3"
"Sometimes","2009","in school","Male","","","","","3"
"Sometimes","2009","in school","Female","","","","","3"
"Sometimes","2009","inadequately","Male","","","","","3"
"Sometimes","2009","inadequately","Female","","","","","3"
"Sometimes","2009","general elemantary","Male","","","","","3"
"Sometimes","2009","general elemantary","Female","","","","","3"
"Sometimes","2009","middle vocational","Male","","","","","3"
"Sometimes","2009","middle vocational","Female","","","","","3"
"Sometimes","2009","vocational + Abi","Male","","","","","3"
"Sometimes","2009","higher vocational","Male","","","","","3"
"Sometimes","2009","higher vocational","Female","","","","","3"
"Sometimes","2009","higher education","Male","","","","","3"
