"pld0045","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","Male","150","0.039332737428986","0.0331813600136117","0.0454841148443602"
"Very often","2003","lower secondary degree","Female","161","0.0400155794410503","0.0339778383383062","0.0460533205437944"
"Very often","2003","secondary school degree","Male","108","0.0406051204171747","0.0332509682635912","0.0479592725707582"
"Very often","2003","secondary school degree","Female","202","0.0649740347877624","0.0570007430917822","0.0729473264837427"
"Very often","2003","college entrance qualification","Male","140","0.0477747306680438","0.040015948697998","0.0555335126380896"
"Very often","2003","college entrance qualification","Female","177","0.0653363256073153","0.055691806330539","0.0749808448840917"
"Very often","2003","Other degree","Male","22","","",""
"Very often","2003","Other degree","Female","28","","",""
"Very often","2003","no degree/no degree yet","Male","21","","",""
"Very often","2003","no degree/no degree yet","Female","30","0.0778529654953215","0.0535777646715442","0.102128166319099"
"Often","2003","lower secondary degree","Male","273","0.0657095472707952","0.0578686821216322","0.0735504124199582"
"Often","2003","lower secondary degree","Female","276","0.06468028929045","0.0571033490970589","0.0722572294838411"
"Often","2003","secondary school degree","Male","227","0.0772342480244725","0.067287200189642","0.087181295859303"
"Often","2003","secondary school degree","Female","295","0.077632567505792","0.0689763162511551","0.0862888187604289"
"Often","2003","college entrance qualification","Male","282","0.098431201413284","0.0875946672939501","0.109267735532618"
"Often","2003","college entrance qualification","Female","267","0.0978963360736207","0.086298232247312","0.109494439899929"
"Often","2003","Other degree","Male","43","0.0692518838231734","0.0489543752340753","0.0895493924122714"
"Often","2003","Other degree","Female","43","0.0678925369181499","0.0484181816984184","0.0873668921378814"
"Often","2003","no degree/no degree yet","Male","35","0.0857922366181246","0.0589124070297996","0.11267206620645"
"Often","2003","no degree/no degree yet","Female","29","","",""
"Sometimes","2003","lower secondary degree","Male","363","0.0894634469458659","0.0804315224606612","0.0984953714310707"
"Sometimes","2003","lower secondary degree","Female","338","0.0811713659456682","0.0727584504480914","0.0895842814432451"
"Sometimes","2003","secondary school degree","Male","322","0.115942924746536","0.104013876657152","0.127871972835921"
"Sometimes","2003","secondary school degree","Female","390","0.105284492552047","0.0953560623901352","0.115212922713959"
"Sometimes","2003","college entrance qualification","Male","357","0.134556340050786","0.122142788378903","0.146969891722668"
"Sometimes","2003","college entrance qualification","Female","315","0.135718119063817","0.12235148156708","0.149084756560553"
"Sometimes","2003","Other degree","Male","51","0.0767491824286487","0.0554674203133946","0.0980309445439027"
"Sometimes","2003","Other degree","Female","57","0.0756889788178256","0.0552130097450398","0.0961649478906114"
"Sometimes","2003","no degree/no degree yet","Male","39","0.0902274913211986","0.0627285541097613","0.117726428532636"
"Sometimes","2003","no degree/no degree yet","Female","48","0.105946400754464","0.0780627235758663","0.133830077933061"
"Rarely","2003","lower secondary degree","Male","690","0.176220361911628","0.164163275798846","0.18827744802441"
"Rarely","2003","lower secondary degree","Female","578","0.135028338715818","0.124500451084557","0.14555622634708"
"Rarely","2003","secondary school degree","Male","530","0.185018702823064","0.170550148190704","0.199487257455425"
"Rarely","2003","secondary school degree","Female","669","0.171741221341158","0.159540761601964","0.183941681080352"
"Rarely","2003","college entrance qualification","Male","626","0.210017489554844","0.195200463561483","0.224834515548205"
"Rarely","2003","college entrance qualification","Female","472","0.178492779309272","0.16354792903415","0.193437629584393"
"Rarely","2003","Other degree","Male","76","0.164291851226128","0.134667681648833","0.193916020803424"
"Rarely","2003","Other degree","Female","90","0.140867944895","0.113936780726516","0.167799109063484"
"Rarely","2003","no degree/no degree yet","Male","73","0.177125778749181","0.140483060907752","0.213768496590611"
"Rarely","2003","no degree/no degree yet","Female","90","0.172597750673899","0.13836032685738","0.206835174490417"
