"pld0045","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Hamburg","vocational + Abi","12","","","","5"
"Never","2003","Schleswig-Holstein","in school","11","","","","5"
"Never","2003","Schleswig-Holstein","inadequately","5","","","","5"
"Never","2003","Hamburg","middle vocational","86","0.688040803381687","0.611570197974311","0.764511408789064","5"
"Never","2003","Schleswig-Holstein","general elemantary","56","0.600826886534812","0.498506522865343","0.703147250204281","5"
"Never","2003","Schleswig-Holstein","higher vocational","26","","","","5"
"Never","2003","Schleswig-Holstein","middle vocational","245","0.613945155138178","0.563584640616958","0.664305669659398","5"
"Never","2003","Hamburg","general elemantary","12","","","","5"
"Never","2003","Schleswig-Holstein","vocational + Abi","16","","","","5"
"Never","2003","Schleswig-Holstein","higher education","61","0.484833103791665","0.390138265031789","0.579527942551541","5"
"Never","2003","Hamburg","in school","4","","","","5"
"Never","2003","Hamburg","inadequately","1","","","","5"
"Never","2003","Hamburg","higher vocational","9","","","","5"
"Never","2003","Hamburg","higher education","35","0.510775036094831","0.397642741476805","0.623907330712856","5"
"Never","2003","Lower Saxony","in school","29","","","","5"
"Never","2003","Lower Saxony","middle vocational","516","0.534103440863605","0.503077075229117","0.565129806498093","5"
"Never","2003","Lower Saxony","general elemantary","156","0.607731022262178","0.549492024343502","0.665970020180855","5"
"Never","2003","Lower Saxony","inadequately","16","","","","5"
"Never","2003","Lower Saxony","vocational + Abi","53","0.504976405451099","0.415521129244711","0.594431681657487","5"
"Never","2003","Lower Saxony","higher vocational","62","0.622230723582988","0.536549713425505","0.707911733740471","5"
"Never","2003","Lower Saxony","higher education","139","0.516909614163402","0.460173255265688","0.573645973061116","5"
"Never","2003","Bremen","in school","2","","","","5"
"Never","2003","Bremen","inadequately","","","","","5"
"Never","2003","Bremen","general elemantary","17","","","","5"
"Never","2003","Bremen","middle vocational","63","0.665633072288476","0.565340739860516","0.765925404716437","5"
"Never","2003","Bremen","vocational + Abi","7","","","","5"
"Never","2003","Bremen","higher vocational","8","","","","5"
"Never","2003","Bremen","higher education","27","","","","5"
"Never","2003","North Rhine-Westphalia","in school","69","0.472717468360546","0.389420141340668","0.556014795380423","5"
"Never","2003","North Rhine-Westphalia","inadequately","71","0.68033371968592","0.589831877964379","0.770835561407461","5"
"Never","2003","North Rhine-Westphalia","general elemantary","424","0.744011120038031","0.708974256268979","0.779047983807084","5"
"Never","2003","North Rhine-Westphalia","middle vocational","1514","0.679011532828225","0.659772418274675","0.698250647381774","5"
"Never","2003","North Rhine-Westphalia","vocational + Abi","191","0.530367921386316","0.477551553469333","0.583184289303299","5"
"Never","2003","North Rhine-Westphalia","higher vocational","196","0.561958156181261","0.508907807716707","0.615008504645815","5"
"Never","2003","North Rhine-Westphalia","higher education","481","0.542308953156639","0.508697563905666","0.575920342407612","5"
"Never","2003","Hesse","in school","18","","","","5"
"Never","2003","Hesse","inadequately","12","","","","5"
"Never","2003","Hesse","general elemantary","137","0.685007179670812","0.621264414910854","0.74874994443077","5"
"Never","2003","Hesse","middle vocational","433","0.655129969542121","0.61979154775937","0.690468391324873","5"
"Never","2003","Hesse","vocational + Abi","64","0.625753719757284","0.536920351059419","0.714587088455148","5"
"Never","2003","Hesse","higher vocational","48","0.495941942122763","0.396443123569534","0.595440760675991","5"
"Never","2003","Hesse","higher education","161","0.542566685725532","0.488236988203499","0.596896383247565","5"
"Never","2003","Rhineland-Palatinate,Saarland","in school","19","","","","5"
"Never","2003","Rhineland-Palatinate,Saarland","inadequately","9","","","","5"
