"pld0045","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","in school","","","",""
"Very often","2003","lower secondary degree","inadequately","","","",""
"Very often","2003","lower secondary degree","general elemantary","69","0.0371694634580453","0.0282755831844147","0.046063343731676"
"Very often","2003","lower secondary degree","middle vocational","210","0.0389232172437873","0.0337788545009003","0.0440675799866742"
"Very often","2003","lower secondary degree","vocational + Abi","1","","",""
"Very often","2003","lower secondary degree","higher vocational","22","","",""
"Very often","2003","lower secondary degree","higher education","9","","",""
"Very often","2003","secondary school degree","in school","","","",""
"Very often","2003","secondary school degree","inadequately","","","",""
"Very often","2003","secondary school degree","general elemantary","44","0.0903891393960171","0.0679808495896744","0.11279742920236"
"Very often","2003","secondary school degree","middle vocational","186","0.0453890877854353","0.0392259648746773","0.0515522106961933"
"Very often","2003","secondary school degree","vocational + Abi","2","","",""
"Very often","2003","secondary school degree","higher vocational","50","0.0839670849586582","0.0640920743213185","0.103842095595998"
"Very often","2003","secondary school degree","higher education","28","","",""
"Very often","2003","college entrance qualification","in school","","","",""
"Very often","2003","college entrance qualification","inadequately","","","",""
"Very often","2003","college entrance qualification","general elemantary","","","",""
"Very often","2003","college entrance qualification","middle vocational","50","0.048561691172087","0.0335441807101811","0.0635792016339929"
"Very often","2003","college entrance qualification","vocational + Abi","62","0.0711786028431036","0.0549558231790868","0.0874013825071205"
"Very often","2003","college entrance qualification","higher vocational","16","","",""
"Very often","2003","college entrance qualification","higher education","189","0.0550327942375063","0.0472534233112615","0.0628121651637511"
"Very often","2003","Other degree","in school","","","",""
"Very often","2003","Other degree","inadequately","2","","",""
"Very often","2003","Other degree","general elemantary","7","","",""
"Very often","2003","Other degree","middle vocational","21","","",""
"Very often","2003","Other degree","vocational + Abi","8","","",""
"Very often","2003","Other degree","higher vocational","2","","",""
"Very often","2003","Other degree","higher education","10","","",""
"Very often","2003","no degree/no degree yet","in school","38","0.0663045138678527","0.0465595041980386","0.0860495235376668"
"Very often","2003","no degree/no degree yet","inadequately","11","","",""
"Very often","2003","no degree/no degree yet","general elemantary","","","",""
"Very often","2003","no degree/no degree yet","middle vocational","1","","",""
"Very often","2003","no degree/no degree yet","vocational + Abi","","","",""
"Very often","2003","no degree/no degree yet","higher vocational","1","","",""
"Very often","2003","no degree/no degree yet","higher education","","","",""
"Often","2003","lower secondary degree","in school","","","",""
"Often","2003","lower secondary degree","inadequately","","","",""
"Often","2003","lower secondary degree","general elemantary","119","0.0621704929941462","0.0508183642708521","0.0735226217174402"
"Often","2003","lower secondary degree","middle vocational","371","0.0660440473940868","0.0594382049117444","0.0726498898764291"
"Often","2003","lower secondary degree","vocational + Abi","3","","",""
"Often","2003","lower secondary degree","higher vocational","44","0.0741071978497728","0.0509846769143105","0.0972297187852351"
"Often","2003","lower secondary degree","higher education","12","","",""
"Often","2003","secondary school degree","in school","","","",""
"Often","2003","secondary school degree","inadequately","","","",""
"Often","2003","secondary school degree","general elemantary","49","0.0699579125877818","0.0500240027014872","0.0898918224740763"
"Often","2003","secondary school degree","middle vocational","345","0.0759098847749101","0.0680680401544504","0.0837517293953698"
"Often","2003","secondary school degree","vocational + Abi","","","",""
"Often","2003","secondary school degree","higher vocational","80","0.106284943308845","0.0841981482181271","0.128371738399563"
"Often","2003","secondary school degree","higher education","48","0.0656905218362683","0.0465418199573811","0.0848392237151555"
"Often","2003","college entrance qualification","in school","","","",""
"Often","2003","college entrance qualification","inadequately","","","",""
"Often","2003","college entrance qualification","general elemantary","","","",""
"Often","2003","college entrance qualification","middle vocational","71","0.0938388711901227","0.073465878631953","0.114211863748292"
"Often","2003","college entrance qualification","vocational + Abi","99","0.100881943194036","0.0818799344468255","0.119883951941247"
"Often","2003","college entrance qualification","higher vocational","44","0.110974453602769","0.0790557496154579","0.14289315759008"
"Often","2003","college entrance qualification","higher education","335","0.0963666954612363","0.0863000464460373","0.106433344476435"
"Often","2003","Other degree","in school","","","",""
"Often","2003","Other degree","inadequately","3","","",""
"Often","2003","Other degree","general elemantary","14","","",""
"Often","2003","Other degree","middle vocational","40","0.101894984288546","0.0736291559551228","0.130160812621969"
"Often","2003","Other degree","vocational + Abi","9","","",""
"Often","2003","Other degree","higher vocational","4","","",""
"Often","2003","Other degree","higher education","16","","",""
"Often","2003","no degree/no degree yet","in school","51","0.101795841008485","0.0778000140348293","0.125791667982141"
"Often","2003","no degree/no degree yet","inadequately","10","","",""
"Often","2003","no degree/no degree yet","general elemantary","","","",""
"Often","2003","no degree/no degree yet","middle vocational","3","","",""
"Often","2003","no degree/no degree yet","vocational + Abi","","","",""
"Often","2003","no degree/no degree yet","higher vocational","","","",""
"Often","2003","no degree/no degree yet","higher education","","","",""
"Sometimes","2003","lower secondary degree","in school","","","",""
"Sometimes","2003","lower secondary degree","inadequately","","","",""
"Sometimes","2003","lower secondary degree","general elemantary","142","0.0774615300244726","0.0648937525314074","0.0900293075175378"
"Sometimes","2003","lower secondary degree","middle vocational","481","0.0852131093375462","0.0777869998386155","0.092639218836477"
"Sometimes","2003","lower secondary degree","vocational + Abi","3","","",""
"Sometimes","2003","lower secondary degree","higher vocational","52","0.104865570067652","0.0778206798180896","0.131910460317214"
"Sometimes","2003","lower secondary degree","higher education","23","","",""
"Sometimes","2003","secondary school degree","in school","","","",""
"Sometimes","2003","secondary school degree","inadequately","","","",""
"Sometimes","2003","secondary school degree","general elemantary","73","0.098870046923972","0.0755435860885365","0.122196507759408"
"Sometimes","2003","secondary school degree","middle vocational","473","0.106957094039616","0.0978064246586957","0.116107763420536"
"Sometimes","2003","secondary school degree","vocational + Abi","4","","",""
"Sometimes","2003","secondary school degree","higher vocational","92","0.134845513654748","0.110368277655314","0.159322749654181"
"Sometimes","2003","secondary school degree","higher education","70","0.108174856893753","0.0841674294319163","0.132182284355589"
"Sometimes","2003","college entrance qualification","in school","","","",""
"Sometimes","2003","college entrance qualification","inadequately","","","",""
"Sometimes","2003","college entrance qualification","general elemantary","","","",""
"Sometimes","2003","college entrance qualification","middle vocational","94","0.142805851806501","0.118361792673684","0.167249910939319"
"Sometimes","2003","college entrance qualification","vocational + Abi","112","0.138916234112059","0.117094782581229","0.160737685642889"
"Sometimes","2003","college entrance qualification","higher vocational","43","0.11088666869704","0.0789790164368095","0.14279432095727"
"Sometimes","2003","college entrance qualification","higher education","423","0.135205682402907","0.123540830893078","0.146870533912736"
"Sometimes","2003","Other degree","in school","","","",""
"Sometimes","2003","Other degree","inadequately","3","","",""
"Sometimes","2003","Other degree","general elemantary","28","","",""
"Sometimes","2003","Other degree","middle vocational","35","0.0832529150285459","0.0574394535191119","0.10906637653798"
"Sometimes","2003","Other degree","vocational + Abi","18","","",""
"Sometimes","2003","Other degree","higher vocational","6","","",""
"Sometimes","2003","Other degree","higher education","18","","",""
"Sometimes","2003","no degree/no degree yet","in school","69","0.104009983891042","0.079784510449728","0.128235457332356"
"Sometimes","2003","no degree/no degree yet","inadequately","12","","",""
"Sometimes","2003","no degree/no degree yet","general elemantary","","","",""
"Sometimes","2003","no degree/no degree yet","middle vocational","6","","",""
"Sometimes","2003","no degree/no degree yet","vocational + Abi","","","",""
"Sometimes","2003","no degree/no degree yet","higher vocational","","","",""
"Sometimes","2003","no degree/no degree yet","higher education","","","",""
"Rarely","2003","lower secondary degree","in school","","","",""
"Rarely","2003","lower secondary degree","inadequately","","","",""
"Rarely","2003","lower secondary degree","general elemantary","247","0.133003750390196","0.117038940254207","0.148968560526184"
"Rarely","2003","lower secondary degree","middle vocational","880","0.158975612629701","0.149249983051118","0.168701242208285"
"Rarely","2003","lower secondary degree","vocational + Abi","7","","",""
"Rarely","2003","lower secondary degree","higher vocational","99","0.181227679450603","0.147224582606351","0.215230776294854"
"Rarely","2003","lower secondary degree","higher education","35","0.162369372385038","0.110474367588859","0.214264377181217"
"Rarely","2003","secondary school degree","in school","","","",""
"Rarely","2003","secondary school degree","inadequately","","","",""
"Rarely","2003","secondary school degree","general elemantary","103","0.163702656426915","0.134787137522488","0.192618175331342"
"Rarely","2003","secondary school degree","middle vocational","811","0.178581224492594","0.167241249015239","0.18992119996995"
"Rarely","2003","secondary school degree","vocational + Abi","4","","",""
"Rarely","2003","secondary school degree","higher vocational","151","0.189834803865513","0.161730553723047","0.217939054007979"
"Rarely","2003","secondary school degree","higher education","130","0.174340910419749","0.145015598343316","0.203666222496182"
"Rarely","2003","college entrance qualification","in school","","","",""
"Rarely","2003","college entrance qualification","inadequately","","","",""
"Rarely","2003","college entrance qualification","general elemantary","","","",""
"Rarely","2003","college entrance qualification","middle vocational","158","0.216911580083004","0.188117215798319","0.24570594436769"
"Rarely","2003","college entrance qualification","vocational + Abi","184","0.164148324593932","0.140777864081699","0.187518785106165"
"Rarely","2003","college entrance qualification","higher vocational","67","0.170023249978128","0.131849595244328","0.208196904711927"
"Rarely","2003","college entrance qualification","higher education","689","0.206115722762217","0.192316345434431","0.219915100090002"
"Rarely","2003","Other degree","in school","","","",""
"Rarely","2003","Other degree","inadequately","5","","",""
"Rarely","2003","Other degree","general elemantary","50","0.13215923910607","0.0978823622613121","0.166436115950829"
"Rarely","2003","Other degree","middle vocational","53","0.143003969799278","0.110293618774017","0.175714320824539"
"Rarely","2003","Other degree","vocational + Abi","23","","",""
"Rarely","2003","Other degree","higher vocational","8","","",""
"Rarely","2003","Other degree","higher education","27","","",""
"Rarely","2003","no degree/no degree yet","in school","128","0.205615711147611","0.173543666732056","0.237687755563167"
"Rarely","2003","no degree/no degree yet","inadequately","27","","",""
"Rarely","2003","no degree/no degree yet","general elemantary","","","",""
"Rarely","2003","no degree/no degree yet","middle vocational","7","","",""
"Rarely","2003","no degree/no degree yet","vocational + Abi","","","",""
"Rarely","2003","no degree/no degree yet","higher vocational","1","","",""
"Rarely","2003","no degree/no degree yet","higher education","","","",""
"Never","2003","lower secondary degree","in school","","","",""
"Never","2003","lower secondary degree","inadequately","","","",""
"Never","2003","lower secondary degree","general elemantary","1161","0.69019476313314","0.668455069866035","0.711934456400245"
"Never","2003","lower secondary degree","middle vocational","3488","0.650844013394878","0.638164681214883","0.663523345574873"
"Never","2003","lower secondary degree","vocational + Abi","15","","",""
"Never","2003","lower secondary degree","higher vocational","276","0.582049156653282","0.538511297859709","0.625587015446855"
"Never","2003","lower secondary degree","higher education","115","0.636636262691785","0.56895573999593","0.70431678538764"
"Never","2003","secondary school degree","in school","","","",""
"Never","2003","secondary school degree","inadequately","","","",""
"Never","2003","secondary school degree","general elemantary","360","0.577080244665314","0.538472906639926","0.615687582690703"
"Never","2003","secondary school degree","middle vocational","2567","0.593162708907445","0.578617860429495","0.607707557385394"
"Never","2003","secondary school degree","vocational + Abi","26","","",""
"Never","2003","secondary school degree","higher vocational","375","0.485067654212236","0.449251946561144","0.520883361863328"
"Never","2003","secondary school degree","higher education","367","0.609117475505979","0.571402288836293","0.646832662175666"
"Never","2003","college entrance qualification","in school","","","",""
"Never","2003","college entrance qualification","inadequately","","","",""
"Never","2003","college entrance qualification","general elemantary","","","",""
"Never","2003","college entrance qualification","middle vocational","414","0.497882005748285","0.462949733779908","0.532814277716661"
"Never","2003","college entrance qualification","vocational + Abi","508","0.52487489525687","0.493367222656907","0.556382567856832"
"Never","2003","college entrance qualification","higher vocational","202","0.575216576179285","0.524985081864403","0.625448070494166"
"Never","2003","college entrance qualification","higher education","1665","0.507279105136134","0.490224200089763","0.524334010182504"
"Never","2003","Other degree","in school","","","",""
"Never","2003","Other degree","inadequately","23","","",""
"Never","2003","Other degree","general elemantary","276","0.76388866635249","0.720904757408377","0.806872575296602"
"Never","2003","Other degree","middle vocational","291","0.625137081009226","0.579905098379485","0.670369063638966"
"Never","2003","Other degree","vocational + Abi","75","0.542619300540664","0.457953346538896","0.627285254542432"
"Never","2003","Other degree","higher vocational","43","0.740445667872348","0.632193013150878","0.848698322593818"
