"pld0045","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","no migration background","265","0.0379478464412287","0.0334560783871517","0.0424396144953056"
"Very often","2003","lower secondary degree","direct migration background","26","","",""
"Very often","2003","lower secondary degree","indirect migration background","20","","",""
"Very often","2003","secondary school degree","no migration background","280","0.0526656851022647","0.0470015841486988","0.0583297860558306"
"Very often","2003","secondary school degree","direct migration background","22","","",""
"Very often","2003","secondary school degree","indirect migration background","8","","",""
"Very often","2003","college entrance qualification","no migration background","293","0.0568904479051628","0.0504350683373912","0.0633458274729344"
"Very often","2003","college entrance qualification","direct migration background","17","","",""
"Very often","2003","college entrance qualification","indirect migration background","7","","",""
"Very often","2003","Other degree","no migration background","6","","",""
"Very often","2003","Other degree","direct migration background","43","0.0303890026629246","0.0203315027457717","0.0404465025800774"
"Very often","2003","Other degree","indirect migration background","1","","",""
"Very often","2003","no degree/no degree yet","no migration background","33","0.0558745023116181","0.0371825014895774","0.0745665031336589"
"Very often","2003","no degree/no degree yet","direct migration background","12","","",""
"Very often","2003","no degree/no degree yet","indirect migration background","6","","",""
"Often","2003","lower secondary degree","no migration background","479","0.0629001608791843","0.0571926958843542","0.0686076258740145"
"Often","2003","lower secondary degree","direct migration background","51","0.0760519255028258","0.0561719141257738","0.0959319368798777"
"Often","2003","lower secondary degree","indirect migration background","19","","",""
"Often","2003","secondary school degree","no migration background","488","0.0796148706667992","0.0727505529707325","0.0864791883628659"
"Often","2003","secondary school degree","direct migration background","16","","",""
"Often","2003","secondary school degree","indirect migration background","18","","",""
"Often","2003","college entrance qualification","no migration background","504","0.0948100999693018","0.0866458143997365","0.102974385538867"
"Often","2003","college entrance qualification","direct migration background","28","","",""
"Often","2003","college entrance qualification","indirect migration background","17","","",""
"Often","2003","Other degree","no migration background","12","","",""
"Often","2003","Other degree","direct migration background","73","0.0676931484208152","0.0529739268605064","0.082412369981124"
"Often","2003","Other degree","indirect migration background","1","","",""
"Often","2003","no degree/no degree yet","no migration background","52","0.105505600848109","0.0805044117696323","0.130506789926586"
"Often","2003","no degree/no degree yet","direct migration background","7","","",""
"Often","2003","no degree/no degree yet","indirect migration background","5","","",""
"Sometimes","2003","lower secondary degree","no migration background","622","0.0875880089178766","0.0809422854539699","0.0942337323817832"
"Sometimes","2003","lower secondary degree","direct migration background","65","0.0718424974924379","0.0524765259344626","0.0912084690504132"
"Sometimes","2003","lower secondary degree","indirect migration background","14","","",""
"Sometimes","2003","secondary school degree","no migration background","660","0.109387056028896","0.101472201259263","0.117301910798529"
"Sometimes","2003","secondary school degree","direct migration background","34","0.13676987650969","0.0946791299018141","0.178860623117565"
"Sometimes","2003","secondary school degree","indirect migration background","18","","",""
"Sometimes","2003","college entrance qualification","no migration background","618","0.13608479347555","0.126529117968145","0.145640468982954"
"Sometimes","2003","college entrance qualification","direct migration background","39","0.145297596075514","0.104668622859662","0.185926569291365"
"Sometimes","2003","college entrance qualification","indirect migration background","15","","",""
"Sometimes","2003","Other degree","no migration background","9","","",""
"Sometimes","2003","Other degree","direct migration background","99","0.0798673920241266","0.0639840089528589","0.0957507750953942"
"Sometimes","2003","Other degree","indirect migration background","","","",""
"Sometimes","2003","no degree/no degree yet","no migration background","63","0.108025042643297","0.0827627566066272","0.133287328679967"
"Sometimes","2003","no degree/no degree yet","direct migration background","16","","",""
"Sometimes","2003","no degree/no degree yet","indirect migration background","8","","",""
"Rarely","2003","lower secondary degree","no migration background","1122","0.153413872896675","0.144941748237616","0.161885997555733"
"Rarely","2003","lower secondary degree","direct migration background","101","0.167239773019669","0.139252053603763","0.195227492435575"
"Rarely","2003","lower secondary degree","indirect migration background","45","0.165500765162166","0.119433645270562","0.211567885053771"
"Rarely","2003","secondary school degree","no migration background","1127","0.178927856511194","0.169208329734393","0.188647383287994"
"Rarely","2003","secondary school degree","direct migration background","27","","",""
"Rarely","2003","secondary school degree","indirect migration background","45","0.205780603043042","0.150840573821203","0.260720632264881"
"Rarely","2003","college entrance qualification","no migration background","1008","0.19643639644509","0.185363986847048","0.207508806043132"
"Rarely","2003","college entrance qualification","direct migration background","51","0.180936162631386","0.136552745788222","0.22531957947455"
"Rarely","2003","college entrance qualification","indirect migration background","39","0.209994585797634","0.152079677474802","0.267909494120467"
"Rarely","2003","Other degree","no migration background","11","","",""
"Rarely","2003","Other degree","direct migration background","153","0.159029924124535","0.137602856269152","0.180456991979918"
"Rarely","2003","Other degree","indirect migration background","2","","",""
"Rarely","2003","no degree/no degree yet","no migration background","119","0.198786060524636","0.166307160975224","0.231264960074048"
"Rarely","2003","no degree/no degree yet","direct migration background","30","0.147239085305986","0.101041521897196","0.193436648714776"
"Rarely","2003","no degree/no degree yet","indirect migration background","14","","",""
"Never","2003","lower secondary degree","no migration background","4463","0.658150110865036","0.646999346260258","0.669300875469813"
"Never","2003","lower secondary degree","direct migration background","440","0.637701671760035","0.601653795635456","0.673749547884613"
"Never","2003","lower secondary degree","indirect migration background","152","0.604155258258474","0.543535415336107","0.66477510118084"
"Never","2003","secondary school degree","no migration background","3419","0.579404531690847","0.566886422937652","0.591922640444041"
"Never","2003","secondary school degree","direct migration background","157","0.606868209724261","0.547034712967681","0.666701706480841"
"Never","2003","secondary school degree","indirect migration background","119","0.5797811676892","0.512702221433091","0.646860113945308"
"Never","2003","college entrance qualification","no migration background","2523","0.515778262204895","0.501850713261973","0.529705811147818"
"Never","2003","college entrance qualification","direct migration background","154","0.503821795277513","0.446177479725489","0.561466110829536"
"Never","2003","college entrance qualification","indirect migration background","112","0.533902669723514","0.462970924661878","0.60483441478515"
"Never","2003","Other degree","no migration background","68","0.7268703702621","0.642048459922668","0.811692280601532"
"Never","2003","Other degree","direct migration background","751","0.663020532767599","0.635325731284812","0.690715334250385"
"Never","2003","Other degree","indirect migration background","13","","",""
"Never","2003","no degree/no degree yet","no migration background","313","0.53180879367234","0.491199683100838","0.572417904243842"
"Never","2003","no degree/no degree yet","direct migration background","161","0.674200081592335","0.613096909393436","0.735303253791234"
"Never","2003","no degree/no degree yet","indirect migration background","46","0.659796298375939","0.555322111411225","0.764270485340652"
"Very often","2004","lower secondary degree","no migration background","","","",""
"Very often","2004","lower secondary degree","direct migration background","","","",""
"Very often","2004","lower secondary degree","indirect migration background","","","",""
"Very often","2004","secondary school degree","no migration background","","","",""
"Very often","2004","secondary school degree","direct migration background","","","",""
"Very often","2004","secondary school degree","indirect migration background","","","",""
"Very often","2004","college entrance qualification","no migration background","","","",""
"Very often","2004","college entrance qualification","direct migration background","","","",""
