"pld0045","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","(0) in school","Male","15","","",""
"Very often","2003","(0) in school","Female","23","","",""
"Very often","2003","(1a) inadequately completed","Male","6","","",""
"Very often","2003","(1a) inadequately completed","Female","7","","",""
"Very often","2003","(1b) general elementary school","Male","22","","",""
"Very often","2003","(1b) general elementary school","Female","56","0.0351089459620933","0.0257350830618527","0.0444828088623339"
"Very often","2003","(1c) basic vocational qualification","Male","134","0.0412932537168962","0.0346102457796027","0.0479762616541898"
"Very often","2003","(1c) basic vocational qualification","Female","116","0.0410145020362037","0.033785159768498","0.0482438443039093"
"Very often","2003","(2b) intermediate general qualification","Male","16","","",""
"Very often","2003","(2b) intermediate general qualification","Female","28","","",""
"Very often","2003","(2a) intermediate vocational","Male","79","0.0340021367611658","0.0264324027121813","0.0415718708101502"
"Very often","2003","(2a) intermediate vocational","Female","156","0.0637652776035357","0.0549332803541881","0.0725972748528832"
"Very often","2003","(2c_gen) general maturity certificate","Male","23","","",""
"Very often","2003","(2c_gen) general maturity certificate","Female","31","0.0432073318224764","0.0244631487610603","0.0619515148838925"
"Very often","2003","(2c_voc) vocational maturity certificate","Male","35","0.0580192309086863","0.0408111683782565","0.0752272934391161"
"Very often","2003","(2c_voc) vocational maturity certificate","Female","56","0.0588530907669125","0.0431692153024803","0.0745369662313447"
"Very often","2003","(3a) lower tertiary education","Male","42","0.0412321462525781","0.0285149902790799","0.0539493022260763"
"Very often","2003","(3a) lower tertiary education","Female","43","0.0572069034222863","0.0408984874897823","0.0735153193547904"
"Very often","2003","(3b) higher tertiary education","Male","69","0.0416212839491086","0.0315509893515566","0.0516915785466605"
"Very often","2003","(3b) higher tertiary education","Female","82","0.0684262914092657","0.0536002363553515","0.0832523464631798"
"Often","2003","(0) in school","Male","28","","",""
"Often","2003","(0) in school","Female","23","","",""
"Often","2003","(1a) inadequately completed","Male","7","","",""
"Often","2003","(1a) inadequately completed","Female","6","","",""
"Often","2003","(1b) general elementary school","Male","38","0.0532874596872028","0.0362292852997369","0.0703456340746687"
"Often","2003","(1b) general elementary school","Female","98","0.0604035134308475","0.0482703973089967","0.0725366295526982"
"Often","2003","(1c) basic vocational qualification","Male","250","0.0695791637895909","0.0610330464941661","0.0781252810850156"
"Often","2003","(1c) basic vocational qualification","Female","201","0.0691653806236309","0.0599161694673273","0.0784145917799345"
"Often","2003","(2b) intermediate general qualification","Male","28","","",""
"Often","2003","(2b) intermediate general qualification","Female","21","","",""
"Often","2003","(2a) intermediate vocational","Male","176","0.0773981541719238","0.0662369283532898","0.0885593799905578"
"Often","2003","(2a) intermediate vocational","Female","250","0.0819851232642868","0.0720684315481853","0.0919018149803882"
"Often","2003","(2c_gen) general maturity certificate","Male","38","0.101030287746686","0.0720003405846561","0.130060234908716"
"Often","2003","(2c_gen) general maturity certificate","Female","39","0.0807951455294114","0.0556717889717675","0.105918502087055"
"Often","2003","(2c_voc) vocational maturity certificate","Male","65","0.0872753548206088","0.0665003719823288","0.108050337658889"
"Often","2003","(2c_voc) vocational maturity certificate","Female","91","0.103608336396189","0.0832994415011002","0.123917231291277"
"Often","2003","(3a) lower tertiary education","Male","91","0.0932289842674382","0.074632125790879","0.111825842743997"
"Often","2003","(3a) lower tertiary education","Female","67","0.0706494355388878","0.0526556104775009","0.0886432606002746"
"Often","2003","(3b) higher tertiary education","Male","140","0.090327929118737","0.0758745526093099","0.104781305628164"
"Often","2003","(3b) higher tertiary education","Female","115","0.0865131672788662","0.0700050423272287","0.103021292230504"
"Sometimes","2003","(0) in school","Male","30","0.112768908918624","0.0768557982042934","0.148682019632955"
"Sometimes","2003","(0) in school","Female","39","0.0944967933786828","0.0620386012901622","0.126954985467204"
"Sometimes","2003","(1a) inadequately completed","Male","9","","",""
"Sometimes","2003","(1a) inadequately completed","Female","9","","",""
