"pld0045","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","no migration background","Male","375","0.0412735826278597","0.037169122476868","0.0453780427788513"
"Very often","2003","no migration background","Female","514","0.0530221955936491","0.0485686896143799","0.0574757015729183"
"Very often","2003","direct migration background","Male","51","0.0426621966900442","0.0315166692124486","0.0538077241676397"
"Very often","2003","direct migration background","Female","70","0.0462057641839423","0.0350239007396751","0.0573876276282094"
"Very often","2003","indirect migration background","Male","21","","",""
"Very often","2003","indirect migration background","Female","23","","",""
"Often","2003","no migration background","Male","751","0.0773795085774767","0.0718663924053663","0.0828926247495872"
"Often","2003","no migration background","Female","799","0.0753352268728264","0.0700896350627179","0.0805808186829348"
"Often","2003","direct migration background","Male","89","0.0725448903288916","0.0582396130841685","0.0868501675736146"
"Often","2003","direct migration background","Female","91","0.0694286364109177","0.0558897508086588","0.0829675220131767"
"Often","2003","indirect migration background","Male","30","0.109840396958109","0.0780649543517922","0.141615839564426"
"Often","2003","indirect migration background","Female","32","0.0849578461038209","0.0579032965872283","0.112012395620413"
"Sometimes","2003","no migration background","Male","994","0.110873014872545","0.104394619688928","0.117351410056162"
"Sometimes","2003","no migration background","Female","998","0.09925152700955","0.0933089659619796","0.10519408805712"
"Sometimes","2003","direct migration background","Male","127","0.0840461744626476","0.068744386438949","0.0993479624863463"
"Sometimes","2003","direct migration background","Female","130","0.100649614555875","0.0846241997603991","0.116675029351351"
"Sometimes","2003","indirect migration background","Male","29","","",""
"Sometimes","2003","indirect migration background","Female","29","","",""
"Rarely","2003","no migration background","Male","1772","0.187426966559906","0.179374668294396","0.195479264825416"
"Rarely","2003","no migration background","Female","1654","0.156542535134988","0.149320641953738","0.163764428316238"
"Rarely","2003","direct migration background","Male","177","0.175903154145057","0.154905423751638","0.196900884538476"
"Rarely","2003","direct migration background","Female","193","0.147042242060259","0.128178685495105","0.165905798625413"
"Rarely","2003","indirect migration background","Male","71","0.185095224324354","0.145628811046217","0.22456163760249"
"Rarely","2003","indirect migration background","Female","81","0.181945259475066","0.14451011059671","0.219380408353421"
"Never","2003","no migration background","Male","5131","0.583046927362213","0.572873484339275","0.59322037038515"
"Never","2003","no migration background","Female","5760","0.615848515388987","0.60618152040175","0.625515510376223"
"Never","2003","direct migration background","Male","819","0.62484358437336","0.598141924339105","0.651545244407615"
"Never","2003","direct migration background","Female","870","0.636673742789006","0.611055719209852","0.66229176636816"
"Never","2003","indirect migration background","Male","221","0.577002605437935","0.526799063964131","0.627206146911739"
"Never","2003","indirect migration background","Female","243","0.596622419471969","0.549020586917603","0.644224252026336"
"Very often","2004","no migration background","Male","","","",""
"Very often","2004","no migration background","Female","","","",""
"Very often","2004","direct migration background","Male","","","",""
"Very often","2004","direct migration background","Female","","","",""
"Very often","2004","indirect migration background","Male","","","",""
"Very often","2004","indirect migration background","Female","","","",""
"Often","2004","no migration background","Male","","","",""
"Often","2004","no migration background","Female","","","",""
"Often","2004","direct migration background","Male","","","",""
"Often","2004","direct migration background","Female","","","",""
"Often","2004","indirect migration background","Male","","","",""
"Often","2004","indirect migration background","Female","","","",""
"Sometimes","2004","no migration background","Male","","","",""
"Sometimes","2004","no migration background","Female","","","",""
"Sometimes","2004","direct migration background","Male","","","",""
"Sometimes","2004","direct migration background","Female","","","",""
"Sometimes","2004","indirect migration background","Male","","","",""
"Sometimes","2004","indirect migration background","Female","","","",""
"Rarely","2004","no migration background","Male","","","",""
"Rarely","2004","no migration background","Female","","","",""
"Rarely","2004","direct migration background","Male","","","",""
"Rarely","2004","direct migration background","Female","","","",""
"Rarely","2004","indirect migration background","Male","","","",""
"Rarely","2004","indirect migration background","Female","","","",""
"Never","2004","no migration background","Male","","","",""
"Never","2004","no migration background","Female","","","",""
"Never","2004","direct migration background","Male","","","",""
"Never","2004","direct migration background","Female","","","",""
"Never","2004","indirect migration background","Male","","","",""
"Never","2004","indirect migration background","Female","","","",""
"Very often","2005","no migration background","Male","","","",""
"Very often","2005","no migration background","Female","","","",""
"Very often","2005","direct migration background","Male","","","",""
"Very often","2005","direct migration background","Female","","","",""
"Very often","2005","indirect migration background","Male","","","",""
"Very often","2005","indirect migration background","Female","","","",""
"Often","2005","no migration background","Male","","","",""
"Often","2005","no migration background","Female","","","",""
"Often","2005","direct migration background","Male","","","",""
"Often","2005","direct migration background","Female","","","",""
"Often","2005","indirect migration background","Male","","","",""
"Often","2005","indirect migration background","Female","","","",""
"Sometimes","2005","no migration background","Male","","","",""
"Sometimes","2005","no migration background","Female","","","",""
"Sometimes","2005","direct migration background","Male","","","",""
"Sometimes","2005","direct migration background","Female","","","",""
"Sometimes","2005","indirect migration background","Male","","","",""
"Sometimes","2005","indirect migration background","Female","","","",""
"Rarely","2005","no migration background","Male","","","",""
"Rarely","2005","no migration background","Female","","","",""
"Rarely","2005","direct migration background","Male","","","",""
"Rarely","2005","direct migration background","Female","","","",""
"Rarely","2005","indirect migration background","Male","","","",""
"Rarely","2005","indirect migration background","Female","","","",""
"Never","2005","no migration background","Male","","","",""
"Never","2005","no migration background","Female","","","",""
"Never","2005","direct migration background","Male","","","",""
"Never","2005","direct migration background","Female","","","",""
"Never","2005","indirect migration background","Male","","","",""
"Never","2005","indirect migration background","Female","","","",""
"Very often","2006","no migration background","Male","","","",""
"Very often","2006","no migration background","Female","","","",""
"Very often","2006","direct migration background","Male","","","",""
"Very often","2006","direct migration background","Female","","","",""
"Very often","2006","indirect migration background","Male","","","",""
"Very often","2006","indirect migration background","Female","","","",""
"Often","2006","no migration background","Male","","","",""
"Often","2006","no migration background","Female","","","",""
"Often","2006","direct migration background","Male","","","",""
"Often","2006","direct migration background","Female","","","",""
"Often","2006","indirect migration background","Male","","","",""
"Often","2006","indirect migration background","Female","","","",""
"Sometimes","2006","no migration background","Male","","","",""
"Sometimes","2006","no migration background","Female","","","",""
"Sometimes","2006","direct migration background","Male","","","",""
"Sometimes","2006","direct migration background","Female","","","",""
"Sometimes","2006","indirect migration background","Male","","","",""
"Sometimes","2006","indirect migration background","Female","","","",""
"Rarely","2006","no migration background","Male","","","",""
"Rarely","2006","no migration background","Female","","","",""
"Rarely","2006","direct migration background","Male","","","",""
"Rarely","2006","direct migration background","Female","","","",""
"Rarely","2006","indirect migration background","Male","","","",""
"Rarely","2006","indirect migration background","Female","","","",""
"Never","2006","no migration background","Male","","","",""
"Never","2006","no migration background","Female","","","",""
"Never","2006","direct migration background","Male","","","",""
"Never","2006","direct migration background","Female","","","",""
"Never","2006","indirect migration background","Male","","","",""
"Never","2006","indirect migration background","Female","","","",""
"Very often","2007","no migration background","Male","","","",""
"Very often","2007","no migration background","Female","","","",""
"Very often","2007","direct migration background","Male","","","",""
"Very often","2007","direct migration background","Female","","","",""
"Very often","2007","indirect migration background","Male","","","",""
"Very often","2007","indirect migration background","Female","","","",""
"Often","2007","no migration background","Male","","","",""
"Often","2007","no migration background","Female","","","",""
"Often","2007","direct migration background","Male","","","",""
"Often","2007","direct migration background","Female","","","",""
"Often","2007","indirect migration background","Male","","","",""
"Often","2007","indirect migration background","Female","","","",""
"Sometimes","2007","no migration background","Male","","","",""
"Sometimes","2007","no migration background","Female","","","",""
"Sometimes","2007","direct migration background","Male","","","",""
"Sometimes","2007","direct migration background","Female","","","",""
"Sometimes","2007","indirect migration background","Male","","","",""
"Sometimes","2007","indirect migration background","Female","","","",""
"Rarely","2007","no migration background","Male","","","",""
"Rarely","2007","no migration background","Female","","","",""
"Rarely","2007","direct migration background","Male","","","",""
"Rarely","2007","direct migration background","Female","","","",""
"Rarely","2007","indirect migration background","Male","","","",""
"Rarely","2007","indirect migration background","Female","","","",""
"Never","2007","no migration background","Male","","","",""
"Never","2007","no migration background","Female","","","",""
"Never","2007","direct migration background","Male","","","",""
"Never","2007","direct migration background","Female","","","",""
"Never","2007","indirect migration background","Male","","","",""
"Never","2007","indirect migration background","Female","","","",""
"Very often","2008","no migration background","Male","390","0.0482997740887247","0.0435854028760025","0.0530141453014469"
"Very often","2008","no migration background","Female","489","0.0516542623939304","0.047001352281604","0.0563071725062568"
"Very often","2008","direct migration background","Male","33","0.0410505581833635","0.0279342672194957","0.0541668491472313"
"Very often","2008","direct migration background","Female","55","0.0643831626904533","0.0492915238062014","0.0794748015747052"
"Very often","2008","indirect migration background","Male","21","","",""
"Very often","2008","indirect migration background","Female","27","","",""
"Often","2008","no migration background","Male","719","0.0918970333079614","0.0855449024950218","0.0982491641209009"
"Often","2008","no migration background","Female","798","0.0901062067987892","0.0840866996127722","0.0961257139848062"
"Often","2008","direct migration background","Male","65","0.0766491968585839","0.0590622349307415","0.0942361587864263"
"Often","2008","direct migration background","Female","75","0.074760599051577","0.0585885636720851","0.0909326344310689"
"Often","2008","indirect migration background","Male","30","0.0962727058780741","0.0662985535705004","0.126246858185648"
"Often","2008","indirect migration background","Female","42","0.106761782602408","0.0764230026957752","0.137100562509041"
"Sometimes","2008","no migration background","Male","832","0.104254098697376","0.0975345497150527","0.110973647679699"
"Sometimes","2008","no migration background","Female","889","0.102551509128884","0.0961738100214941","0.108929208236275"
"Sometimes","2008","direct migration background","Male","95","0.0922840397060901","0.0731506490851318","0.111417430327048"
"Sometimes","2008","direct migration background","Female","96","0.0944544655961642","0.0764712383926528","0.112437692799676"
"Sometimes","2008","indirect migration background","Male","44","0.0883841176254146","0.0595391751081969","0.117229060142632"
"Sometimes","2008","indirect migration background","Female","38","0.096319268557387","0.0673344454625968","0.125304091652177"
"Rarely","2008","no migration background","Male","1519","0.195056548815305","0.186343621443814","0.203769476186796"
"Rarely","2008","no migration background","Female","1452","0.164860047298226","0.157059491054437","0.172660603542014"
"Rarely","2008","direct migration background","Male","149","0.167726173259944","0.143026728452384","0.192425618067504"
"Rarely","2008","direct migration background","Female","152","0.137334928397367","0.116170192823709","0.158499663971024"
"Rarely","2008","indirect migration background","Male","47","0.115420845517467","0.0829504860035544","0.14789120503138"
"Rarely","2008","indirect migration background","Female","53","0.144349575925858","0.109822285638712","0.178876866213004"
"Never","2008","no migration background","Male","4485","0.560492545090633","0.549578916158292","0.571406174022974"
"Never","2008","no migration background","Female","5064","0.59082797438017","0.580491516857804","0.601164431902536"
