"pld0045","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","lower secondary degree","141","0.0331997760652631","0.0276936398240461","0.0387059123064802"
"Very often","2003","Not Employed","secondary school degree","73","0.0548659253389196","0.0435766343718174","0.0661552163060218"
"Very often","2003","Not Employed","college entrance qualification","60","0.0466062979596195","0.0348925373599931","0.0583200585592459"
"Very often","2003","Not Employed","Other degree","16","","",""
"Very often","2003","Not Employed","no degree/no degree yet","38","0.0662533409455786","0.0472489670465753","0.085257714844582"
"Very often","2003","Employed","lower secondary degree","170","0.0472895021025881","0.0405558626743587","0.0540231415308174"
"Very often","2003","Employed","secondary school degree","237","0.0538072254313086","0.0474733299326868","0.0601411209299305"
"Very often","2003","Employed","college entrance qualification","257","0.0592286337790643","0.0520735304491112","0.0663837371090174"
"Very often","2003","Employed","Other degree","34","0.041075937752895","0.0267279739206748","0.0554239015851152"
"Very often","2003","Employed","no degree/no degree yet","13","","",""
"Often","2003","Not Employed","lower secondary degree","210","0.0478899520624442","0.0413273392784163","0.0544525648464721"
"Often","2003","Not Employed","secondary school degree","104","0.0608205069207306","0.0489718828541999","0.0726691309872613"
"Often","2003","Not Employed","college entrance qualification","111","0.0880775820779131","0.0723287069749575","0.103826457180869"
"Often","2003","Not Employed","Other degree","29","","",""
"Often","2003","Not Employed","no degree/no degree yet","49","0.0746921219913328","0.0546050945435821","0.0947791494390835"
"Often","2003","Employed","lower secondary degree","339","0.0854229166608808","0.076555760306211","0.0942900730155507"
"Often","2003","Employed","secondary school degree","418","0.0838550121241022","0.0760745140594443","0.0916355101887601"
"Often","2003","Employed","college entrance qualification","438","0.10192093975278","0.0927503555645887","0.111091523940972"
"Often","2003","Employed","Other degree","57","0.083889687491222","0.0638480779982779","0.103931296984166"
"Often","2003","Employed","no degree/no degree yet","15","","",""
"Sometimes","2003","Not Employed","lower secondary degree","301","0.0699429478690792","0.0621043611722402","0.0777815345659181"
"Sometimes","2003","Not Employed","secondary school degree","152","0.106509441841102","0.0912159153336633","0.12180296834854"
"Sometimes","2003","Not Employed","college entrance qualification","128","0.114476054340826","0.096783302680978","0.132168806000673"
"Sometimes","2003","Not Employed","Other degree","43","0.0562027284548044","0.0361551385436605","0.0762503183659483"
"Sometimes","2003","Not Employed","no degree/no degree yet","60","0.0907675299262315","0.068817360788008","0.112717699064455"
"Sometimes","2003","Employed","lower secondary degree","400","0.102961665058682","0.0933204828391447","0.11260284727822"
"Sometimes","2003","Employed","secondary school degree","560","0.111398336892348","0.102566445995536","0.12023022778916"
"Sometimes","2003","Employed","college entrance qualification","544","0.142704734869845","0.132102622295212","0.153306847444478"
"Sometimes","2003","Employed","Other degree","65","0.0893543787089132","0.0687320814320515","0.109976675985775"
"Sometimes","2003","Employed","no degree/no degree yet","27","","",""
"Rarely","2003","Not Employed","lower secondary degree","547","0.128141676301788","0.117869104999962","0.138414247603613"
"Rarely","2003","Not Employed","secondary school degree","209","0.135734840525053","0.118754837100846","0.152714843949261"
"Rarely","2003","Not Employed","college entrance qualification","206","0.16662179759497","0.145914430763417","0.187329164426523"
"Rarely","2003","Not Employed","Other degree","67","0.130239454486501","0.100942987670572","0.159535921302431"
"Rarely","2003","Not Employed","no degree/no degree yet","126","0.179815505111082","0.150472506684452","0.209158503537711"
"Rarely","2003","Employed","lower secondary degree","721","0.185995121162858","0.173651252530001","0.198338989795714"
"Rarely","2003","Employed","secondary school degree","990","0.193798181244289","0.182702409444661","0.204893953043917"
"Rarely","2003","Employed","college entrance qualification","892","0.20626537974409","0.19400062581582","0.218530133672361"
"Rarely","2003","Employed","Other degree","99","0.167233459038876","0.140254347619458","0.194212570458295"
"Rarely","2003","Employed","no degree/no degree yet","37","0.160087824433787","0.112386410507681","0.207789238359894"
