"pld0045","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","no migration background","(0) in school","29","","",""
"Very often","2003","no migration background","(1a) inadequately completed","4","","",""
"Very often","2003","no migration background","(1b) general elementary school","55","0.0328379915608876","0.0235753213745309","0.0421006617472443"
"Very often","2003","no migration background","(1c) basic vocational qualification","209","0.040325570876769","0.0350815755741946","0.0455695661793435"
"Very often","2003","no migration background","(2b) intermediate general qualification","36","0.0907984373923467","0.0657637538128511","0.115833120971842"
"Very often","2003","no migration background","(2a) intermediate vocational","219","0.0500553791035124","0.0439209701309119","0.056189788076113"
"Very often","2003","no migration background","(2c_gen) general maturity certificate","44","0.0518558526762662","0.0348877905527163","0.0688239147998162"
"Very often","2003","no migration background","(2c_voc) vocational maturity certificate","71","0.0583037515710815","0.045187596994169","0.0714199061479939"
"Very often","2003","no migration background","(3a) lower tertiary education","81","0.0492884415875684","0.0387375293300165","0.0598393538451202"
"Very often","2003","no migration background","(3b) higher tertiary education","129","0.0550533898877061","0.0457259327519525","0.0643808470234598"
"Very often","2003","direct migration background","(0) in school","4","","",""
"Very often","2003","direct migration background","(1a) inadequately completed","8","","",""
"Very often","2003","direct migration background","(1b) general elementary school","15","","",""
"Very often","2003","direct migration background","(1c) basic vocational qualification","29","","",""
"Very often","2003","direct migration background","(2b) intermediate general qualification","5","","",""
"Very often","2003","direct migration background","(2a) intermediate vocational","11","","",""
"Very often","2003","direct migration background","(2c_gen) general maturity certificate","6","","",""
"Very often","2003","direct migration background","(2c_voc) vocational maturity certificate","18","","",""
"Very often","2003","direct migration background","(3a) lower tertiary education","4","","",""
"Very often","2003","direct migration background","(3b) higher tertiary education","20","","",""
"Very often","2003","indirect migration background","(0) in school","5","","",""
"Very often","2003","indirect migration background","(1a) inadequately completed","1","","",""
"Very often","2003","indirect migration background","(1b) general elementary school","8","","",""
"Very often","2003","indirect migration background","(1c) basic vocational qualification","12","","",""
"Very often","2003","indirect migration background","(2b) intermediate general qualification","3","","",""
"Very often","2003","indirect migration background","(2a) intermediate vocational","5","","",""
"Very often","2003","indirect migration background","(2c_gen) general maturity certificate","4","","",""
"Very often","2003","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"Very often","2003","indirect migration background","(3a) lower tertiary education","","","",""
"Very often","2003","indirect migration background","(3b) higher tertiary education","2","","",""
"Often","2003","no migration background","(0) in school","47","0.123047898225943","0.0940216719671386","0.152074124484747"
"Often","2003","no migration background","(1a) inadequately completed","5","","",""
"Often","2003","no migration background","(1b) general elementary school","100","0.0614253985308137","0.0489456256093063","0.0739051714523211"
"Often","2003","no migration background","(1c) basic vocational qualification","375","0.0641964896435519","0.0576628068522644","0.0707301724348394"
"Often","2003","no migration background","(2b) intermediate general qualification","40","0.0767336766719549","0.0535421502585775","0.0999252030853324"
"Often","2003","no migration background","(2a) intermediate vocational","402","0.0811255010168419","0.0734447267709042","0.0888062752627796"
"Often","2003","no migration background","(2c_gen) general maturity certificate","60","0.0947507215143662","0.0723391903931462","0.117162252635586"
"Often","2003","no migration background","(2c_voc) vocational maturity certificate","129","0.0955129349731719","0.0790603125365866","0.111965557409757"
"Often","2003","no migration background","(3a) lower tertiary education","150","0.0832232903492118","0.0697601210204878","0.0966864596779357"
