"pld0045","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","no migration background","19","","",""
"Very often","2003","Schleswig-Holstein","direct migration background","3","","",""
"Very often","2003","Schleswig-Holstein","indirect migration background","","","",""
"Very often","2003","Hamburg","no migration background","13","","",""
"Very often","2003","Hamburg","direct migration background","2","","",""
"Very often","2003","Hamburg","indirect migration background","","","",""
"Very often","2003","Lower Saxony","no migration background","108","0.0572715314972017","0.0460802290135012","0.0684628339809021"
"Very often","2003","Lower Saxony","direct migration background","10","","",""
"Very often","2003","Lower Saxony","indirect migration background","1","","",""
"Very often","2003","Bremen","no migration background","3","","",""
"Very often","2003","Bremen","direct migration background","1","","",""
"Very often","2003","Bremen","indirect migration background","","","",""
"Very often","2003","North Rhine-Westphalia","no migration background","127","0.0348375814420863","0.0289561216247143","0.0407190412594582"
"Very often","2003","North Rhine-Westphalia","direct migration background","35","0.0455034812579428","0.0301414773807632","0.0608654851351224"
"Very often","2003","North Rhine-Westphalia","indirect migration background","17","","",""
"Very often","2003","Hesse","no migration background","79","0.0631472749313664","0.0492753697617518","0.077019180100981"
"Very often","2003","Hesse","direct migration background","7","","",""
"Very often","2003","Hesse","indirect migration background","6","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","no migration background","62","0.0509736391559312","0.0379701109850783","0.063977167326784"
"Very often","2003","Rhineland-Palatinate,Saarland","direct migration background","13","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"Very often","2003","Baden-Württemberg","no migration background","105","0.0559784175710911","0.0456392189351976","0.0663176162069847"
"Very often","2003","Baden-Württemberg","direct migration background","13","","",""
"Very often","2003","Baden-Württemberg","indirect migration background","1","","",""
"Very often","2003","Bavaria","no migration background","190","0.0747534399345733","0.0646638813097008","0.0848429985594457"
"Very often","2003","Bavaria","direct migration background","29","","",""
"Very often","2003","Bavaria","indirect migration background","10","","",""
"Very often","2003","Berlin","no migration background","19","","",""
"Very often","2003","Berlin","direct migration background","2","","",""
"Very often","2003","Berlin","indirect migration background","","","",""
"Very often","2003","Brandenburg","no migration background","28","","",""
"Very often","2003","Brandenburg","direct migration background","2","","",""
