"pld0045","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","16-34 y.","Urban Area","2202","0.545767604146987","0.53015321853292","0.561381989761053","5"
"Never","2003","16-34 y.","Rural Area","973","0.507169586290172","0.484939710175602","0.529399462404742","5"
"Never","2003","35-65 y.","Urban Area","5146","0.618058697248834","0.607739558824752","0.628377835672917","5"
"Never","2003","35-65 y.","Rural Area","2103","0.52394756770603","0.508697534423208","0.539197600988852","5"
"Never","2003","66 and older","Urban Area","1818","0.748152974680395","0.730855059105042","0.765450890255748","5"
"Never","2003","66 and older","Rural Area","802","0.65673464255725","0.630318332625335","0.683150952489164","5"
"Often","2003","35-65 y.","Urban Area","669","0.0721719223016926","0.0666759041735991","0.0776679404297861","2"
"Often","2003","16-34 y.","Urban Area","337","0.0946797344804189","0.0854982774029627","0.103861191557875","2"
"Often","2003","16-34 y.","Rural Area","198","0.0948282143553941","0.0818011673166898","0.107855261394098","2"
"Often","2003","66 and older","Urban Area","118","0.0393994674775959","0.0316468787687454","0.0471520561864464","2"
"Often","2003","35-65 y.","Rural Area","400","0.0993392372027598","0.0902056681820347","0.108472806223485","2"
"Often","2003","66 and older","Rural Area","70","0.0556701877866275","0.0429135743993015","0.0684268011739534","2"
"Rarely","2003","35-65 y.","Urban Area","1476","0.168383304563823","0.160435606154108","0.176331002973537","4"
"Rarely","2003","16-34 y.","Urban Area","734","0.193770792820955","0.181375539887492","0.206166045754417","4"
"Rarely","2003","16-34 y.","Rural Area","423","0.208220009346645","0.190165936822425","0.226274081870865","4"
"Rarely","2003","66 and older","Urban Area","252","0.109979656849815","0.0975119579972834","0.122447355702347","4"
"Rarely","2003","35-65 y.","Rural Area","866","0.19744777540509","0.185292571265579","0.209602979544602","4"
"Rarely","2003","66 and older","Rural Area","197","0.14776529891338","0.128021622005983","0.167508975820777","4"
"Sometimes","2003","16-34 y.","Urban Area","404","0.10807949692189","0.0983426867637647","0.117816307080016","3"
"Sometimes","2003","16-34 y.","Rural Area","248","0.134272007843992","0.119112148831105","0.149431866856879","3"
"Sometimes","2003","35-65 y.","Urban Area","855","0.100766328169773","0.094373040270963","0.107159616068583","3"
"Sometimes","2003","66 and older","Urban Area","144","0.0606822095367908","0.0511681224226475","0.0701962966509342","3"
"Sometimes","2003","35-65 y.","Rural Area","528","0.120257312930877","0.110325396343286","0.130189229518468","3"
"Sometimes","2003","66 and older","Rural Area","128","0.104195508712838","0.0871976851203635","0.121193332305312","3"
"Very often","2003","16-34 y.","Urban Area","229","0.0577023716297496","0.0503897542159406","0.0650149890435585","1"
"Very often","2003","16-34 y.","Rural Area","101","0.0555101821637975","0.0453290363566345","0.0656913279709604","1"
"Very often","2003","35-65 y.","Urban Area","370","0.0406197477158774","0.0364270431357818","0.044812452295973","1"
"Very often","2003","35-65 y.","Rural Area","223","0.059008106755242","0.0518128173871758","0.0662033961233082","1"
"Very often","2003","66 and older","Urban Area","87","0.0417856914554032","0.0338117089365055","0.0497596739743008","1"
"Very often","2003","66 and older","Rural Area","44","0.0356343620299043","0.0253205892845317","0.045948134775277","1"
"Never","2004","16-34 y.","Urban Area","","","","","5"
"Never","2004","16-34 y.","Rural Area","","","","","5"
"Never","2004","35-65 y.","Urban Area","","","","","5"
"Never","2004","35-65 y.","Rural Area","","","","","5"
"Never","2004","66 and older","Urban Area","","","","","5"
"Never","2004","66 and older","Rural Area","","","","","5"
"Often","2004","16-34 y.","Rural Area","","","","","2"
"Often","2004","16-34 y.","Urban Area","","","","","2"
"Often","2004","35-65 y.","Urban Area","","","","","2"
"Often","2004","35-65 y.","Rural Area","","","","","2"
"Often","2004","66 and older","Urban Area","","","","","2"
"Often","2004","66 and older","Rural Area","","","","","2"
"Rarely","2004","16-34 y.","Urban Area","","","","","4"
"Rarely","2004","35-65 y.","Urban Area","","","","","4"
"Rarely","2004","16-34 y.","Rural Area","","","","","4"
"Rarely","2004","66 and older","Urban Area","","","","","4"
"Rarely","2004","35-65 y.","Rural Area","","","","","4"
"Rarely","2004","66 and older","Rural Area","","","","","4"
"Sometimes","2004","16-34 y.","Rural Area","","","","","3"
"Sometimes","2004","66 and older","Urban Area","","","","","3"
"Sometimes","2004","16-34 y.","Urban Area","","","","","3"
"Sometimes","2004","35-65 y.","Urban Area","","","","","3"
"Sometimes","2004","35-65 y.","Rural Area","","","","","3"
"Sometimes","2004","66 and older","Rural Area","","","","","3"
"Very often","2004","35-65 y.","Urban Area","","","","","1"
"Very often","2004","16-34 y.","Urban Area","","","","","1"
"Very often","2004","16-34 y.","Rural Area","","","","","1"
"Very often","2004","35-65 y.","Rural Area","","","","","1"
"Very often","2004","66 and older","Urban Area","","","","","1"
"Very often","2004","66 and older","Rural Area","","","","","1"
"Never","2005","35-65 y.","Urban Area","","","","","5"
"Never","2005","16-34 y.","Urban Area","","","","","5"
"Never","2005","16-34 y.","Rural Area","","","","","5"
"Never","2005","35-65 y.","Rural Area","","","","","5"
"Never","2005","66 and older","Urban Area","","","","","5"
"Never","2005","66 and older","Rural Area","","","","","5"
"Often","2005","16-34 y.","Urban Area","","","","","2"
"Often","2005","16-34 y.","Rural Area","","","","","2"
"Often","2005","35-65 y.","Urban Area","","","","","2"
"Often","2005","66 and older","Urban Area","","","","","2"
"Often","2005","35-65 y.","Rural Area","","","","","2"
"Often","2005","66 and older","Rural Area","","","","","2"
"Rarely","2005","16-34 y.","Rural Area","","","","","4"
"Rarely","2005","16-34 y.","Urban Area","","","","","4"
"Rarely","2005","35-65 y.","Urban Area","","","","","4"
"Rarely","2005","35-65 y.","Rural Area","","","","","4"
"Rarely","2005","66 and older","Urban Area","","","","","4"
"Rarely","2005","66 and older","Rural Area","","","","","4"
"Sometimes","2005","16-34 y.","Urban Area","","","","","3"
"Sometimes","2005","35-65 y.","Urban Area","","","","","3"
"Sometimes","2005","35-65 y.","Rural Area","","","","","3"
