"pld0045","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","lower secondary degree","52","0.0383397130197917","0.0272516133479774","0.0494278126916059"
"Very often","2003","16-34 y.","secondary school degree","112","0.0726877511055589","0.0610748402819379","0.0843006619291799"
"Very often","2003","16-34 y.","college entrance qualification","101","0.0495503193135958","0.0391823470584072","0.0599182915687844"
"Very often","2003","16-34 y.","Other degree","12","","",""
"Very often","2003","16-34 y.","no degree/no degree yet","41","0.0689645337229405","0.0496473693231206","0.0882816981227603"
"Very often","2003","35-65 y.","lower secondary degree","178","0.0429947553718507","0.0369536153880968","0.0490358953556047"
"Very often","2003","35-65 y.","secondary school degree","172","0.0424863840515934","0.0362405565876578","0.048732211515529"
"Very often","2003","35-65 y.","college entrance qualification","198","0.0626383831526424","0.0542961479931447","0.0709806183121402"
"Very often","2003","35-65 y.","Other degree","35","0.0343208364952745","0.0221464559821517","0.0464952170083973"
"Very often","2003","35-65 y.","no degree/no degree yet","7","","",""
"Very often","2003","66 and older","lower secondary degree","81","0.0351492140292083","0.0277830752363072","0.0425153528221095"
"Very often","2003","66 and older","secondary school degree","26","","",""
"Very often","2003","66 and older","college entrance qualification","18","","",""
"Very often","2003","66 and older","Other degree","3","","",""
"Very often","2003","66 and older","no degree/no degree yet","3","","",""
"Often","2003","16-34 y.","lower secondary degree","105","0.0971794244107083","0.0800749498755193","0.114283898945897"
"Often","2003","16-34 y.","secondary school degree","189","0.0936410016787862","0.0806099151854506","0.106672088172122"
"Often","2003","16-34 y.","college entrance qualification","159","0.0953447952850843","0.081313554695633","0.109376035874536"
"Often","2003","16-34 y.","Other degree","10","","",""
"Often","2003","16-34 y.","no degree/no degree yet","54","0.0930847530438909","0.0709349439037683","0.115234562184013"
"Often","2003","35-65 y.","lower secondary degree","333","0.0734858562906706","0.0657147668861951","0.0812569456951461"
"Often","2003","35-65 y.","secondary school degree","303","0.0738436633778283","0.0657454095176909","0.0819419172379657"
"Often","2003","35-65 y.","college entrance qualification","357","0.109356490679202","0.0986120747601028","0.1201009065983"
"Often","2003","35-65 y.","Other degree","67","0.0745845092380185","0.0570156238448529","0.0921533946311841"
"Often","2003","35-65 y.","no degree/no degree yet","6","","",""
