"pld0045","year","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","13044","0.603549560995813","0.597106960978237","0.609992161013388","5"
"Often","2003","1792","0.0762689289829575","0.0727730463103048","0.0797648116556102","2"
"Rarely","2003","3948","0.170536043646745","0.165582487387153","0.175489599906337","4"
"Sometimes","2003","2307","0.102113331569683","0.0981252665222102","0.106101396617157","3"
"Very often","2003","1054","0.0475321348048018","0.0447297415766095","0.0503345280329941","1"
"Never","2004","","","","","5"
"Often","2004","","","","","2"
"Rarely","2004","","","","","4"
"Sometimes","2004","","","","","3"
"Very often","2004","","","","","1"
"Never","2005","","","","","5"
"Often","2005","","","","","2"
"Rarely","2005","","","","","4"
"Sometimes","2005","","","","","3"
"Very often","2005","","","","","1"
"Never","2006","","","","","5"
"Often","2006","","","","","2"
"Rarely","2006","","","","","4"
"Sometimes","2006","","","","","3"
"Very often","2006","","","","","1"
"Never","2007","","","","","5"
"Often","2007","","","","","2"
"Rarely","2007","","","","","4"
"Sometimes","2007","","","","","3"
"Very often","2007","","","","","1"
"Never","2008","11192","0.583567820007345","0.576613338697846","0.590522301316844","5"
"Often","2008","1729","0.0895221021117538","0.0854944980055515","0.093549706217956","2"
"Rarely","2008","3372","0.173659420579731","0.168315307373533","0.179003533785928","4"
"Sometimes","2008","1994","0.101594325618547","0.097332281858807","0.105856369378287","3"
"Very often","2008","1015","0.0516563316826238","0.0485339097357934","0.0547787536294541","1"
"Never","2009","","","","","5"
"Often","2009","","","","","2"
"Rarely","2009","","","","","4"
"Sometimes","2009","","","","","3"
"Very often","2009","","","","","1"
"Never","2010","","","","","5"
"Often","2010","","","","","2"
"Rarely","2010","","","","","4"
"Sometimes","2010","","","","","3"
"Very often","2010","","","","","1"
"Never","2011","","","","","5"
"Often","2011","","","","","2"
"Rarely","2011","","","","","4"
"Sometimes","2011","","","","","3"
"Very often","2011","","","","","1"
"Never","2012","","","","","5"
"Often","2012","","","","","2"
"Rarely","2012","","","","","4"
"Sometimes","2012","","","","","3"
"Very often","2012","","","","","1"
"Never","2013","13479","0.563307128144859","0.557216048286194","0.569398208003525","5"
"Often","2013","2848","0.0965163812752917","0.0928898262189679","0.100142936331615","2"
"Rarely","2013","4576","0.181227473153906","0.176496752902331","0.185958193405482","4"
"Sometimes","2013","2861","0.103780883834732","0.100035473516675","0.107526294152789","3"
"Very often","2013","1706","0.0551681335912107","0.0523642819490953","0.057971985233326","1"
"Never","2014","","","","","5"
"Often","2014","","","","","2"
"Rarely","2014","","","","","4"
"Sometimes","2014","","","","","3"
"Very often","2014","","","","","1"
"Never","2015","","","","","5"
"Often","2015","","","","","2"
"Rarely","2015","","","","","4"
"Sometimes","2015","","","","","3"
"Very often","2015","","","","","1"
"Never","2016","","","","","5"
"Often","2016","","","","","2"
"Rarely","2016","","","","","4"
"Sometimes","2016","","","","","3"
"Very often","2016","","","","","1"
"Never","2017","","","","","5"
"Often","2017","","","","","2"
"Rarely","2017","","","","","4"
"Sometimes","2017","","","","","3"
"Very often","2017","","","","","1"
"Never","2018","14098","0.554790953457213","0.548709836359379","0.560872070555047","5"
"Often","2018","2640","0.0966881622669342","0.0930720475931957","0.100304276940673","2"
"Rarely","2018","4308","0.17323752760811","0.168606812566932","0.177868242649288","4"
"Sometimes","2018","2813","0.110524877014635","0.106688391048771","0.114361362980498","3"
"Very often","2018","1799","0.0647584796531084","0.0617472290337889","0.0677697302724279","1"
