"pld0045","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","no migration background","West Germany","7755","0.593013586372632","0.584739330178007","0.601287842567256","5"
"Never","2003","no migration background","East Germany","3136","0.625103938261317","0.611953883367454","0.638253993155179","5"
"Never","2003","direct migration background","West Germany","1622","0.629896165362166","0.611010990547332","0.648781340177001","5"
"Never","2003","direct migration background","East Germany","67","0.656952609347931","0.566579496928087","0.747325721767774","5"
"Never","2003","indirect migration background","West Germany","445","0.588127953913877","0.552880784024035","0.623375123803719","5"
"Never","2003","indirect migration background","East Germany","19","","","","5"
"Often","2003","direct migration background","West Germany","174","0.072323039189577","0.0621918260038429","0.0824542523753111","2"
"Often","2003","no migration background","West Germany","1183","0.0790112622097111","0.0744678897003758","0.0835546347190463","2"
"Often","2003","no migration background","East Germany","367","0.0665897187421814","0.0598174234011275","0.0733620140832354","2"
"Often","2003","indirect migration background","West Germany","61","0.10016302002212","0.078662804867013","0.121663235177228","2"
"Often","2003","direct migration background","East Germany","6","","","","2"
"Often","2003","indirect migration background","East Germany","1","","","","2"
"Rarely","2003","direct migration background","West Germany","350","0.160372600611967","0.146019916659189","0.174725284564745","4"
"Rarely","2003","no migration background","West Germany","2462","0.171471852366331","0.165123562631298","0.177820142101364","4"
"Rarely","2003","no migration background","East Germany","964","0.171653443143119","0.161410416451074","0.181896469835165","4"
"Rarely","2003","indirect migration background","West Germany","144","0.178700317726845","0.151264325451064","0.206136310002625","4"
"Rarely","2003","direct migration background","East Germany","20","","","","4"
"Rarely","2003","indirect migration background","East Germany","8","","","","4"
"Sometimes","2003","no migration background","West Germany","1429","0.105373096574935","0.100201882286072","0.110544310863797","3"
"Sometimes","2003","no migration background","East Germany","563","0.103110813153","0.09485010062403","0.11137152568197","3"
"Sometimes","2003","direct migration background","West Germany","251","0.0942590138053122","0.0828305412209015","0.105687486389723","3"
"Sometimes","2003","indirect migration background","West Germany","57","0.0665593864021686","0.0487086891899306","0.0844100836144066","3"
"Sometimes","2003","direct migration background","East Germany","6","","","","3"
