"pld0045","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","Full Time","","","",""
"Very often","2003","Not Employed","Part Time","","","",""
"Very often","2003","Not Employed","Not Working","333","0.0404494147669428","0.0361706415654225","0.0447281879684631"
"Very often","2003","Employed","Full Time","391","0.0442639934824697","0.0399862826193835","0.0485417043455559"
"Very often","2003","Employed","Part Time","330","0.0664867263213084","0.0596626977868529","0.073310754855764"
"Very often","2003","Employed","Not Working","","","",""
"Often","2003","Not Employed","Full Time","","","",""
"Often","2003","Not Employed","Part Time","","","",""
"Often","2003","Not Employed","Not Working","509","0.0576680729747521","0.05260517843608","0.0627309675134241"
"Often","2003","Employed","Full Time","812","0.0899039692153355","0.0839548838726344","0.0958530545580366"
"Often","2003","Employed","Part Time","471","0.0879965842056667","0.0802368963741382","0.0957562720371952"
"Often","2003","Employed","Not Working","","","",""
"Sometimes","2003","Not Employed","Full Time","","","",""
"Sometimes","2003","Not Employed","Part Time","","","",""
"Sometimes","2003","Not Employed","Not Working","695","0.0834017268501631","0.0773968203811795","0.0894066333191467"
"Sometimes","2003","Employed","Full Time","1006","0.107591529254195","0.101147046910399","0.11403601159799"
"Sometimes","2003","Employed","Part Time","606","0.128019640302389","0.118867877332672","0.137171403272107"
"Sometimes","2003","Employed","Not Working","","","",""
"Rarely","2003","Not Employed","Full Time","","","",""
"Rarely","2003","Not Employed","Part Time","","","",""
"Rarely","2003","Not Employed","Not Working","1177","0.139162771836237","0.131645655631064","0.14667988804141"
"Rarely","2003","Employed","Full Time","1819","0.200848069308335","0.19251575462975","0.209180383986919"
"Rarely","2003","Employed","Part Time","952","0.177789623864708","0.167316944850315","0.1882623028791"
"Rarely","2003","Employed","Not Working","","","",""
"Never","2003","Not Employed","Full Time","","","",""
"Never","2003","Not Employed","Part Time","","","",""
"Never","2003","Not Employed","Not Working","5430","0.679318013571905","0.669181162719745","0.689454864424065"
"Never","2003","Employed","Full Time","4853","0.557392438739665","0.547062277342049","0.567722600137282"
"Never","2003","Employed","Part Time","2761","0.539707425305928","0.526055016268546","0.55335983434331"
"Never","2003","Employed","Not Working","","","",""
"Very often","2004","Not Employed","Full Time","","","",""
"Very often","2004","Not Employed","Part Time","","","",""
"Very often","2004","Not Employed","Not Working","","","",""
"Very often","2004","Employed","Full Time","","","",""
"Very often","2004","Employed","Part Time","","","",""
"Very often","2004","Employed","Not Working","","","",""
"Often","2004","Not Employed","Full Time","","","",""
"Often","2004","Not Employed","Part Time","","","",""
"Often","2004","Not Employed","Not Working","","","",""
"Often","2004","Employed","Full Time","","","",""
"Often","2004","Employed","Part Time","","","",""
"Often","2004","Employed","Not Working","","","",""
"Sometimes","2004","Not Employed","Full Time","","","",""
"Sometimes","2004","Not Employed","Part Time","","","",""
"Sometimes","2004","Not Employed","Not Working","","","",""
