"pld0045","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","higher vocational","Urban Area","624","0.582604811308354","0.5532354423335","0.611974180283208","5"
"Never","2003","higher vocational","Rural Area","277","0.468404274608452","0.428509867063445","0.508298682153458","5"
"Never","2003","higher education","Urban Area","1716","0.561626328625956","0.544142606433407","0.579110050818504","5"
"Never","2003","higher education","Rural Area","563","0.477195930126452","0.449495614522196","0.504896245730709","5"
"Never","2003","inadequately","Urban Area","147","0.705616846025816","0.643227259448125","0.768006432603508","5"
"Never","2003","inadequately","Rural Area","42","0.830578396538586","0.733194898045548","0.927961895031624","5"
"Never","2003","general elemantary","Urban Area","1282","0.714915654513736","0.694371407766481","0.73545990126099","5"
"Never","2003","general elemantary","Rural Area","515","0.595147227340145","0.562843915685967","0.627450538994323","5"
"Never","2003","middle vocational","Urban Area","4578","0.647369144546353","0.63627738620891","0.658460902883796","5"
"Never","2003","middle vocational","Rural Area","2223","0.566126391324166","0.550729080656983","0.581523701991348","5"
"Never","2003","vocational + Abi","Urban Area","496","0.533585267502967","0.500902063983136","0.566268471022797","5"
"Never","2003","vocational + Abi","Rural Area","128","0.514763105104338","0.454927276783701","0.574598933424976","5"
"Never","2003","in school","Urban Area","226","0.510706093314088","0.462898831574988","0.558513355053187","5"
"Never","2003","in school","Rural Area","98","0.550948487530778","0.480223175875628","0.621673799185928","5"
"Often","2003","in school","Urban Area","30","0.0960147393732842","0.0678391457900435","0.124190332956525","2"
"Often","2003","in school","Rural Area","21","","","","2"
"Often","2003","inadequately","Urban Area","8","","","","2"
"Often","2003","inadequately","Rural Area","5","","","","2"
"Often","2003","general elemantary","Urban Area","106","0.0486550696265426","0.0388644723378213","0.0584456669152638","2"
"Often","2003","general elemantary","Rural Area","76","0.0857198863131097","0.0672966165587858","0.104143156067434","2"
"Often","2003","middle vocational","Urban Area","497","0.0661888709568216","0.0604174034524712","0.0719603384611719","2"
"Often","2003","middle vocational","Rural Area","336","0.0855604609753357","0.0768704442786277","0.0942504776720437","2"
"Often","2003","vocational + Abi","Urban Area","81","0.100695378033633","0.0809804700486192","0.120410286018648","2"
"Often","2003","vocational + Abi","Rural Area","30","0.0712821762497695","0.0404777545977408","0.102086597901798","2"
"Often","2003","higher vocational","Urban Area","93","0.0768537430323362","0.0609901473931341","0.0927173386715382","2"
"Often","2003","higher vocational","Rural Area","80","0.129176637069173","0.102362249759376","0.155991024378971","2"
"Often","2003","higher education","Urban Area","299","0.0875872231379601","0.0776261989584935","0.0975482473174266","2"
"Often","2003","higher education","Rural Area","114","0.0838068907179108","0.0684394959953153","0.0991742854405062","2"
"Rarely","2003","middle vocational","Urban Area","1131","0.158594337046905","0.150114045197905","0.167074628895905","4"
"Rarely","2003","higher vocational","Rural Area","131","0.195358810750069","0.163661057048919","0.227056564451218","4"
"Rarely","2003","higher education","Urban Area","578","0.185984471662209","0.172274308482487","0.199694634841932","4"
"Rarely","2003","higher education","Rural Area","303","0.229859339444713","0.206525673524918","0.253193005364508","4"
"Rarely","2003","general elemantary","Rural Area","158","0.161967211183226","0.137721756172074","0.186212666194378","4"
"Rarely","2003","middle vocational","Rural Area","780","0.18717256365248","0.175054678654336","0.199290448650624","4"
"Rarely","2003","vocational + Abi","Urban Area","166","0.173554271020967","0.148742292528402","0.198366249513532","4"
"Rarely","2003","vocational + Abi","Rural Area","52","0.165437946698944","0.120951514524489","0.209924378873399","4"
"Rarely","2003","higher vocational","Urban Area","195","0.175535196121952","0.152878215804989","0.198192176438915","4"
"Rarely","2003","in school","Urban Area","93","0.223870878636441","0.184006110982207","0.263735646290675","4"
"Rarely","2003","in school","Rural Area","35","0.160364590382261","0.108188575780365","0.212540604984158","4"
"Rarely","2003","inadequately","Urban Area","27","","","","4"
"Rarely","2003","inadequately","Rural Area","5","","","","4"
"Rarely","2003","general elemantary","Urban Area","242","0.127856351870612","0.112660281382782","0.143052422358442","4"
"Sometimes","2003","higher vocational","Rural Area","77","0.132710645700983","0.10558714482513","0.159834146576836","3"
"Sometimes","2003","higher education","Urban Area","342","0.113713213373057","0.102527065920908","0.124899360825207","3"
"Sometimes","2003","middle vocational","Urban Area","629","0.0902344824919205","0.0835830490838607","0.0968859158999803","3"
"Sometimes","2003","middle vocational","Rural Area","463","0.109594925595157","0.0998899244439137","0.1192999267464","3"
"Sometimes","2003","higher vocational","Urban Area","116","0.107651067584174","0.0891919733259087","0.12611016184244","3"
"Sometimes","2003","vocational + Abi","Rural Area","35","0.142247717292526","0.100427692286257","0.184067742298796","3"
"Sometimes","2003","vocational + Abi","Urban Area","102","0.134554895485177","0.112198278434167","0.156911512536188","3"
"Sometimes","2003","higher education","Rural Area","192","0.158987469777552","0.138708328821709","0.179266610733395","3"
"Sometimes","2003","in school","Urban Area","43","0.0963763282329761","0.0681533764544213","0.124599280011531","3"
"Sometimes","2003","in school","Rural Area","26","","","","3"
