"pld0045","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","in school","38","0.0663045138678527","0.0465595041980386","0.0860495235376668"
"Very often","2003","inadequately","13","","",""
"Very often","2003","general elemantary","120","0.0439640086162486","0.0362903914421059","0.0516376257903912"
"Very often","2003","middle vocational","471","0.0422842815242634","0.0385419871997167","0.04602657584881"
"Very often","2003","vocational + Abi","73","0.0675833369423304","0.0531561033881629","0.0820105704964979"
"Very often","2003","higher vocational","91","0.0627935515051502","0.0512070531348311","0.0743800498754694"
"Very often","2003","higher education","236","0.050842753732822","0.0443093906752427","0.0573761167904014"
"Often","2003","in school","51","0.101795841008485","0.0778000140348293","0.125791667982141"
"Often","2003","inadequately","13","","",""
"Often","2003","general elemantary","182","0.0603793492242166","0.0514640719190529","0.0692946265293803"
"Often","2003","middle vocational","833","0.0726835414968592","0.0678555979916875","0.0775114850020309"
"Often","2003","vocational + Abi","111","0.0946668314720336","0.077841587503869","0.111492075440198"
"Often","2003","higher vocational","173","0.0935975173334378","0.0796861520230831","0.107508882643793"
"Often","2003","higher education","413","0.0865961700264712","0.0782317866018188","0.0949605534511236"
"Sometimes","2003","in school","69","0.104009983891042","0.079784510449728","0.128235457332356"
"Sometimes","2003","inadequately","15","","",""
"Sometimes","2003","general elemantary","243","0.0799796915460361","0.0698264916827925","0.0901328914092798"
"Sometimes","2003","middle vocational","1092","0.0967254158300972","0.0912286105406014","0.102222221119593"
"Sometimes","2003","vocational + Abi","137","0.136131620616854","0.116422759469865","0.155840481763842"
"Sometimes","2003","higher vocational","193","0.115670347247361","0.100394856869276","0.130945837625446"
"Sometimes","2003","higher education","534","0.125582326375409","0.11572686632617","0.135437786424648"
"Rarely","2003","in school","128","0.205615711147611","0.173543666732056","0.237687755563167"
"Rarely","2003","inadequately","32","0.113410243499403","0.0750143355850441","0.151806151413762"
"Rarely","2003","general elemantary","400","0.138646240709937","0.125711456381482","0.151581025038391"
"Rarely","2003","middle vocational","1911","0.168175696462645","0.161220208946698","0.175131183978592"
"Rarely","2003","vocational + Abi","218","0.171890744573085","0.150207298743379","0.19357419040279"
"Rarely","2003","higher vocational","326","0.181878922616353","0.163455215341974","0.200302629890731"
"Rarely","2003","higher education","881","0.197486720512443","0.185646814930646","0.20932662609424"
"Never","2003","in school","324","0.522273950085009","0.482635029680335","0.561912870489683"
"Never","2003","inadequately","189","0.730116644921509","0.676366254849181","0.783867034993836"
"Never","2003","general elemantary","1797","0.677030709903562","0.659528247052136","0.694533172754988"
"Never","2003","middle vocational","6801","0.620131064686135","0.611105200612373","0.629156928759898"
"Never","2003","vocational + Abi","624","0.529727466395697","0.501042173629644","0.558412759161751"
"Never","2003","higher vocational","901","0.546059661297698","0.522280502681544","0.569838819913853"
"Never","2003","higher education","2279","0.539492029352854","0.524668068192765","0.554315990512944"
"Very often","2004","in school","","","",""
"Very often","2004","inadequately","","","",""
"Very often","2004","general elemantary","","","",""
"Very often","2004","middle vocational","","","",""
"Very often","2004","vocational + Abi","","","",""
"Very often","2004","higher vocational","","","",""
"Very often","2004","higher education","","","",""
"Often","2004","in school","","","",""
"Often","2004","inadequately","","","",""
"Often","2004","general elemantary","","","",""
"Often","2004","middle vocational","","","",""
"Often","2004","vocational + Abi","","","",""
"Often","2004","higher vocational","","","",""
"Often","2004","higher education","","","",""
"Sometimes","2004","in school","","","",""
"Sometimes","2004","inadequately","","","",""
"Sometimes","2004","general elemantary","","","",""
"Sometimes","2004","middle vocational","","","",""
"Sometimes","2004","vocational + Abi","","","",""
"Sometimes","2004","higher vocational","","","",""
"Sometimes","2004","higher education","","","",""
"Rarely","2004","in school","","","",""
"Rarely","2004","inadequately","","","",""
"Rarely","2004","general elemantary","","","",""
"Rarely","2004","middle vocational","","","",""
"Rarely","2004","vocational + Abi","","","",""
"Rarely","2004","higher vocational","","","",""
"Rarely","2004","higher education","","","",""
"Never","2004","in school","","","",""
"Never","2004","inadequately","","","",""
"Never","2004","general elemantary","","","",""
"Never","2004","middle vocational","","","",""
"Never","2004","vocational + Abi","","","",""
"Never","2004","higher vocational","","","",""
"Never","2004","higher education","","","",""
"Very often","2005","in school","","","",""
"Very often","2005","inadequately","","","",""
"Very often","2005","general elemantary","","","",""
"Very often","2005","middle vocational","","","",""
"Very often","2005","vocational + Abi","","","",""
"Very often","2005","higher vocational","","","",""
"Very often","2005","higher education","","","",""
"Often","2005","in school","","","",""
"Often","2005","inadequately","","","",""
"Often","2005","general elemantary","","","",""
"Often","2005","middle vocational","","","",""
"Often","2005","vocational + Abi","","","",""
"Often","2005","higher vocational","","","",""
"Often","2005","higher education","","","",""
"Sometimes","2005","in school","","","",""
"Sometimes","2005","inadequately","","","",""
"Sometimes","2005","general elemantary","","","",""
"Sometimes","2005","middle vocational","","","",""
"Sometimes","2005","vocational + Abi","","","",""
"Sometimes","2005","higher vocational","","","",""
"Sometimes","2005","higher education","","","",""
"Rarely","2005","in school","","","",""
"Rarely","2005","inadequately","","","",""
"Rarely","2005","general elemantary","","","",""
"Rarely","2005","middle vocational","","","",""
"Rarely","2005","vocational + Abi","","","",""
"Rarely","2005","higher vocational","","","",""
"Rarely","2005","higher education","","","",""
"Never","2005","in school","","","",""
"Never","2005","inadequately","","","",""
"Never","2005","general elemantary","","","",""
"Never","2005","middle vocational","","","",""
"Never","2005","vocational + Abi","","","",""
"Never","2005","higher vocational","","","",""
"Never","2005","higher education","","","",""
"Very often","2006","in school","","","",""
"Very often","2006","inadequately","","","",""
"Very often","2006","general elemantary","","","",""
"Very often","2006","middle vocational","","","",""
"Very often","2006","vocational + Abi","","","",""
"Very often","2006","higher vocational","","","",""
"Very often","2006","higher education","","","",""
"Often","2006","in school","","","",""
"Often","2006","inadequately","","","",""
"Often","2006","general elemantary","","","",""
"Often","2006","middle vocational","","","",""
"Often","2006","vocational + Abi","","","",""
"Often","2006","higher vocational","","","",""
"Often","2006","higher education","","","",""
"Sometimes","2006","in school","","","",""
"Sometimes","2006","inadequately","","","",""
"Sometimes","2006","general elemantary","","","",""
"Sometimes","2006","middle vocational","","","",""
"Sometimes","2006","vocational + Abi","","","",""
"Sometimes","2006","higher vocational","","","",""
"Sometimes","2006","higher education","","","",""
"Rarely","2006","in school","","","",""
"Rarely","2006","inadequately","","","",""
"Rarely","2006","general elemantary","","","",""
"Rarely","2006","middle vocational","","","",""
"Rarely","2006","vocational + Abi","","","",""
"Rarely","2006","higher vocational","","","",""
"Rarely","2006","higher education","","","",""
"Never","2006","in school","","","",""
"Never","2006","inadequately","","","",""
"Never","2006","general elemantary","","","",""
"Never","2006","middle vocational","","","",""
"Never","2006","vocational + Abi","","","",""
"Never","2006","higher vocational","","","",""
"Never","2006","higher education","","","",""
"Very often","2007","in school","","","",""
"Very often","2007","inadequately","","","",""
"Very often","2007","general elemantary","","","",""
"Very often","2007","middle vocational","","","",""
"Very often","2007","vocational + Abi","","","",""
"Very often","2007","higher vocational","","","",""
"Very often","2007","higher education","","","",""
"Often","2007","in school","","","",""
"Often","2007","inadequately","","","",""
"Often","2007","general elemantary","","","",""
"Often","2007","middle vocational","","","",""
"Often","2007","vocational + Abi","","","",""
"Often","2007","higher vocational","","","",""
"Often","2007","higher education","","","",""
"Sometimes","2007","in school","","","",""
"Sometimes","2007","inadequately","","","",""
"Sometimes","2007","general elemantary","","","",""
"Sometimes","2007","middle vocational","","","",""
"Sometimes","2007","vocational + Abi","","","",""
"Sometimes","2007","higher vocational","","","",""
"Sometimes","2007","higher education","","","",""
"Rarely","2007","in school","","","",""
"Rarely","2007","inadequately","","","",""
"Rarely","2007","general elemantary","","","",""
"Rarely","2007","middle vocational","","","",""
"Rarely","2007","vocational + Abi","","","",""
"Rarely","2007","higher vocational","","","",""
"Rarely","2007","higher education","","","",""
"Never","2007","in school","","","",""
"Never","2007","inadequately","","","",""
"Never","2007","general elemantary","","","",""
"Never","2007","middle vocational","","","",""
"Never","2007","vocational + Abi","","","",""
"Never","2007","higher vocational","","","",""
"Never","2007","higher education","","","",""
"Very often","2008","in school","18","","",""
"Very often","2008","inadequately","6","","",""
"Very often","2008","general elemantary","87","0.0560911383251716","0.0460593792654618","0.0661228973848815"
"Very often","2008","middle vocational","506","0.0468190393375468","0.0426191656545545","0.0510189130205391"
"Very often","2008","vocational + Abi","55","0.0626043223237036","0.0482558830456297","0.0769527616017775"
"Very often","2008","higher vocational","85","0.058493066373381","0.0462570241798222","0.0707291085669398"
"Very often","2008","higher education","234","0.0553030782590194","0.0483813616595491","0.0622247948584897"
"Often","2008","in school","33","0.0892204855045425","0.0594833140873251","0.11895765692176"
"Often","2008","inadequately","12","","",""
"Often","2008","general elemantary","147","0.0795118918726096","0.0677171057848229","0.0913066779603964"
"Often","2008","middle vocational","835","0.0868692084498858","0.0812698699106083","0.0924685469891633"
"Often","2008","vocational + Abi","116","0.0985125456451789","0.0808616541226892","0.116163437167669"
"Often","2008","higher vocational","128","0.0872042804453893","0.0724936017814363","0.101914959109342"
"Often","2008","higher education","433","0.10458009209899","0.0953132706815112","0.11384691351647"
"Sometimes","2008","in school","35","0.13004502238937","0.0949572341026911","0.16513281067605"
"Sometimes","2008","inadequately","20","","",""
"Sometimes","2008","general elemantary","178","0.0854993168123727","0.0733083465010029","0.0976902871237425"
"Sometimes","2008","middle vocational","950","0.0996564669899337","0.0937012969305986","0.105611637049269"
"Sometimes","2008","vocational + Abi","119","0.117026033314961","0.0979865033203233","0.136065563309599"
"Sometimes","2008","higher vocational","155","0.116242277971915","0.0995303837947425","0.132954172149088"
"Sometimes","2008","higher education","505","0.106547688112294","0.0972043812053214","0.115890995019267"
"Rarely","2008","in school","80","0.251943987355457","0.206656336206046","0.297231638504868"
"Rarely","2008","inadequately","24","","",""
"Rarely","2008","general elemantary","319","0.14432618279059","0.129005023828969","0.15964734175221"
"Rarely","2008","middle vocational","1619","0.168802002661578","0.161355054316256","0.176248951006901"
"Rarely","2008","vocational + Abi","196","0.174555435256651","0.152072569068661","0.197038301444641"
"Rarely","2008","higher vocational","282","0.183151747130848","0.162984192815007","0.203319301446689"
"Rarely","2008","higher education","808","0.206420644513461","0.194164195683856","0.218677093343066"
"Never","2008","in school","187","0.473847145415908","0.421759366603779","0.525934924228036"
"Never","2008","inadequately","119","0.66666311329778","0.597987316950923","0.735338909644638"
"Never","2008","general elemantary","1290","0.634571470199256","0.613576926938736","0.655566013459776"
