"pld0045","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","35-65 y.","indirect migration background","78","0.512700837287237","0.429002341430858","0.596399333143616","5"
"Never","2003","16-34 y.","no migration background","2379","0.512272868282922","0.49774902587678","0.526796710689064","5"
"Never","2003","16-34 y.","direct migration background","419","0.595855990371277","0.558698239592463","0.633013741150091","5"
"Never","2003","35-65 y.","no migration background","6161","0.586723442501401","0.577483000911014","0.595963884091789","5"
"Never","2003","35-65 y.","direct migration background","1010","0.610198149985143","0.586226003649344","0.634170296320942","5"
"Never","2003","16-34 y.","indirect migration background","377","0.613731649139036","0.575681480066207","0.651781818211866","5"
"Never","2003","66 and older","no migration background","2351","0.715850347952116","0.70043686314214","0.731263832762092","5"
"Never","2003","66 and older","direct migration background","260","0.770147021859557","0.726502888844027","0.813791154875086","5"
"Never","2003","66 and older","indirect migration background","9","","","","5"
"Often","2003","16-34 y.","direct migration background","44","0.0739047135295956","0.0540951641936616","0.0937142628655295","2"
"Often","2003","16-34 y.","no migration background","445","0.101391457462801","0.0926208768005999","0.110162038125002","2"
"Often","2003","35-65 y.","no migration background","939","0.0794196893047964","0.0743456882518056","0.0844936903577872","2"
"Often","2003","35-65 y.","direct migration background","114","0.0767320826943266","0.0636492467887682","0.0898149185998851","2"
"Often","2003","16-34 y.","indirect migration background","46","0.072389270305317","0.0521384439613906","0.0926400966492433","2"
"Often","2003","35-65 y.","indirect migration background","16","","","","2"
"Often","2003","66 and older","direct migration background","22","","","","2"
"Often","2003","66 and older","indirect migration background","","","","","2"
"Often","2003","66 and older","no migration background","166","0.044816785545811","0.0377458016657999","0.0518877694258222","2"
"Rarely","2003","16-34 y.","no migration background","924","0.196714606499662","0.185164243534736","0.208264969464587","4"
"Rarely","2003","16-34 y.","direct migration background","110","0.2138720781295","0.182824026972344","0.244920129286657","4"
"Rarely","2003","16-34 y.","indirect migration background","123","0.187283401381092","0.156794485836275","0.217772316925909","4"
"Rarely","2003","35-65 y.","no migration background","2091","0.180795149071655","0.173573352269072","0.188016945874238","4"
"Rarely","2003","35-65 y.","direct migration background","224","0.157096529755797","0.139210178898244","0.174982880613349","4"
"Rarely","2003","35-65 y.","indirect migration background","27","","","","4"
"Rarely","2003","66 and older","no migration background","411","0.125249205671254","0.113937038430637","0.136561372911871","4"
"Rarely","2003","66 and older","direct migration background","36","0.0834992495291299","0.0548032285279059","0.112195270530354","4"
"Rarely","2003","66 and older","indirect migration background","2","","","","4"
"Sometimes","2003","16-34 y.","direct migration background","66","0.0755800033589177","0.0555653160812904","0.095594690636545","3"
"Sometimes","2003","35-65 y.","indirect migration background","6","","","","3"
"Sometimes","2003","66 and older","no migration background","247","0.0760735454088496","0.067013055438201","0.0851340353794982","3"
"Sometimes","2003","16-34 y.","no migration background","535","0.128660129295068","0.118931353882187","0.138388904707948","3"
"Sometimes","2003","16-34 y.","indirect migration background","51","0.0769191782552692","0.0560953798722189","0.0977429766383195","3"
"Sometimes","2003","35-65 y.","no migration background","1210","0.107362152937602","0.101552918886122","0.113171386989082","3"
"Sometimes","2003","35-65 y.","direct migration background","167","0.109302014949141","0.0939654235259878","0.124638606372294","3"
"Sometimes","2003","66 and older","direct migration background","24","","","","3"
"Sometimes","2003","66 and older","indirect migration background","1","","","","3"
"Very often","2003","16-34 y.","no migration background","267","0.060960938459548","0.0540089339714332","0.0679129429476629","1"
"Very often","2003","16-34 y.","direct migration background","31","0.0407872146107095","0.0258100296508509","0.0557643995705682","1"
"Very often","2003","16-34 y.","indirect migration background","32","0.0496765009192852","0.0326966449774073","0.0666563568611632","1"
"Very often","2003","35-65 y.","no migration background","508","0.0456995661845453","0.0417807560773743","0.0496183762917162","1"
"Very often","2003","35-65 y.","direct migration background","75","0.0466712226155929","0.0363032111378806","0.0570392340933052","1"
"Very often","2003","35-65 y.","indirect migration background","10","","","","1"
"Very often","2003","66 and older","no migration background","114","0.0380101154219692","0.0314750340261654","0.044545196817773","1"
"Very often","2003","66 and older","direct migration background","15","","","","1"
"Very often","2003","66 and older","indirect migration background","2","","","","1"
"Never","2004","16-34 y.","indirect migration background","","","","","5"
"Never","2004","35-65 y.","direct migration background","","","","","5"
"Never","2004","35-65 y.","no migration background","","","","","5"
"Never","2004","16-34 y.","no migration background","","","","","5"
"Never","2004","16-34 y.","direct migration background","","","","","5"
"Never","2004","35-65 y.","indirect migration background","","","","","5"
"Never","2004","66 and older","no migration background","","","","","5"
"Never","2004","66 and older","direct migration background","","","","","5"
"Never","2004","66 and older","indirect migration background","","","","","5"
"Often","2004","16-34 y.","no migration background","","","","","2"
"Often","2004","16-34 y.","direct migration background","","","","","2"
"Often","2004","35-65 y.","no migration background","","","","","2"
"Often","2004","35-65 y.","direct migration background","","","","","2"
"Often","2004","16-34 y.","indirect migration background","","","","","2"
"Often","2004","35-65 y.","indirect migration background","","","","","2"
"Often","2004","66 and older","direct migration background","","","","","2"
"Often","2004","66 and older","indirect migration background","","","","","2"
"Often","2004","66 and older","no migration background","","","","","2"
"Rarely","2004","16-34 y.","no migration background","","","","","4"
"Rarely","2004","35-65 y.","direct migration background","","","","","4"
"Rarely","2004","35-65 y.","indirect migration background","","","","","4"
"Rarely","2004","66 and older","no migration background","","","","","4"
"Rarely","2004","66 and older","direct migration background","","","","","4"
