"pld0045","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2003","no migration background","Urban Area","561","0.0459739318678588","0.0422268480076072","0.0497210157281105"
"Very often","2003","no migration background","Rural Area","328","0.0499902970920877","0.0447907270430586","0.0551898671411168"
"Very often","2003","direct migration background","Urban Area","85","0.0343880126825028","0.026705105774559","0.0420709195904465"
"Very often","2003","direct migration background","Rural Area","36","0.092239763971131","0.0656808483865717","0.11879867955569"
"Very often","2003","indirect migration background","Urban Area","40","0.0686679339285392","0.0496605256685917","0.0876753421884867"
"Very often","2003","indirect migration background","Rural Area","4","","",""
"Often","2003","no migration background","Urban Area","925","0.0706596615750416","0.0660747534371868","0.0752445697128964"
"Often","2003","no migration background","Rural Area","625","0.0874660908182377","0.0807253920717509","0.0942067895647245"
"Often","2003","direct migration background","Urban Area","145","0.0643089269408303","0.053966497132077","0.0746513567495837"
"Often","2003","direct migration background","Rural Area","35","0.102386087598546","0.0745613593622651","0.130210815834827"
"Often","2003","indirect migration background","Urban Area","54","0.0971774335516183","0.0749147481000107","0.119440119003226"
"Often","2003","indirect migration background","Rural Area","8","","",""
"Sometimes","2003","no migration background","Urban Area","1148","0.0959719693648033","0.0907018479634193","0.101242090766187"
"Sometimes","2003","no migration background","Rural Area","844","0.122405214540834","0.114585200536571","0.130225228545098"
"Sometimes","2003","direct migration background","Urban Area","207","0.0910675088517207","0.0789373007931046","0.103197716910337"
"Sometimes","2003","direct migration background","Rural Area","50","0.0995582046237025","0.0720772370040582","0.127039172243347"
"Sometimes","2003","indirect migration background","Urban Area","48","0.0649051830438954","0.0463885871306493","0.0834217789571414"
"Sometimes","2003","indirect migration background","Rural Area","10","","",""
"Rarely","2003","no migration background","Urban Area","2035","0.161756441648877","0.155168141557769","0.168344741739984"
"Rarely","2003","no migration background","Rural Area","1391","0.190688816568885","0.181315766506074","0.200061866631697"
"Rarely","2003","direct migration background","Urban Area","299","0.16231778823131","0.146770902291388","0.177864674171233"
"Rarely","2003","direct migration background","Rural Area","71","0.155475272839622","0.122216783531777","0.188733762147467"
"Rarely","2003","indirect migration background","Urban Area","128","0.169864492130877","0.141640435656047","0.198088548605707"
"Rarely","2003","indirect migration background","Rural Area","24","","",""
"Never","2003","no migration background","Urban Area","7331","0.625637995543419","0.61697905200183","0.634296939085009"
"Never","2003","no migration background","Rural Area","3560","0.549449580979955","0.537578338489486","0.561320823470424"
"Never","2003","direct migration background","Urban Area","1425","0.647917763293636","0.627780395221173","0.6680551313661"
"Never","2003","direct migration background","Rural Area","264","0.550340670966998","0.504681998702565","0.595999343231432"
"Never","2003","indirect migration background","Urban Area","410","0.59938495734507","0.562554239745816","0.636215674944323"
"Never","2003","indirect migration background","Rural Area","54","0.496827577228962","0.398831350581747","0.594823803876176"
"Very often","2004","no migration background","Urban Area","","","",""
"Very often","2004","no migration background","Rural Area","","","",""
"Very often","2004","direct migration background","Urban Area","","","",""
"Very often","2004","direct migration background","Rural Area","","","",""
"Very often","2004","indirect migration background","Urban Area","","","",""
"Very often","2004","indirect migration background","Rural Area","","","",""
"Often","2004","no migration background","Urban Area","","","",""
"Often","2004","no migration background","Rural Area","","","",""
"Often","2004","direct migration background","Urban Area","","","",""
"Often","2004","direct migration background","Rural Area","","","",""
"Often","2004","indirect migration background","Urban Area","","","",""
"Often","2004","indirect migration background","Rural Area","","","",""
"Sometimes","2004","no migration background","Urban Area","","","",""
"Sometimes","2004","no migration background","Rural Area","","","",""
"Sometimes","2004","direct migration background","Urban Area","","","",""
"Sometimes","2004","direct migration background","Rural Area","","","",""
"Sometimes","2004","indirect migration background","Urban Area","","","",""
"Sometimes","2004","indirect migration background","Rural Area","","","",""
"Rarely","2004","no migration background","Urban Area","","","",""
"Rarely","2004","no migration background","Rural Area","","","",""
"Rarely","2004","direct migration background","Urban Area","","","",""
"Rarely","2004","direct migration background","Rural Area","","","",""
"Rarely","2004","indirect migration background","Urban Area","","","",""
"Rarely","2004","indirect migration background","Rural Area","","","",""
"Never","2004","no migration background","Urban Area","","","",""
"Never","2004","no migration background","Rural Area","","","",""
"Never","2004","direct migration background","Urban Area","","","",""
"Never","2004","direct migration background","Rural Area","","","",""
"Never","2004","indirect migration background","Urban Area","","","",""
"Never","2004","indirect migration background","Rural Area","","","",""
"Very often","2005","no migration background","Urban Area","","","",""
"Very often","2005","no migration background","Rural Area","","","",""
"Very often","2005","direct migration background","Urban Area","","","",""
"Very often","2005","direct migration background","Rural Area","","","",""
"Very often","2005","indirect migration background","Urban Area","","","",""
"Very often","2005","indirect migration background","Rural Area","","","",""
"Often","2005","no migration background","Urban Area","","","",""
