"pld0043","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","no migration background","15","","",""
"Very often","2003","Schleswig-Holstein","direct migration background","3","","",""
"Very often","2003","Schleswig-Holstein","indirect migration background","1","","",""
"Very often","2003","Hamburg","no migration background","11","","",""
"Very often","2003","Hamburg","direct migration background","","","",""
"Very often","2003","Hamburg","indirect migration background","2","","",""
"Very often","2003","Lower Saxony","no migration background","96","0.0471753711869071","0.0369671284829306","0.0573836138908837"
"Very often","2003","Lower Saxony","direct migration background","14","","",""
"Very often","2003","Lower Saxony","indirect migration background","5","","",""
"Very often","2003","Bremen","no migration background","5","","",""
"Very often","2003","Bremen","direct migration background","2","","",""
"Very often","2003","Bremen","indirect migration background","2","","",""
"Very often","2003","North Rhine-Westphalia","no migration background","157","0.0410522984481782","0.0346874906124419","0.0474171062839146"
"Very often","2003","North Rhine-Westphalia","direct migration background","25","","",""
"Very often","2003","North Rhine-Westphalia","indirect migration background","12","","",""
"Very often","2003","Hesse","no migration background","53","0.0530287254360242","0.0402536536322971","0.0658037972397513"
"Very often","2003","Hesse","direct migration background","13","","",""
"Very often","2003","Hesse","indirect migration background","7","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","no migration background","37","0.031848047751869","0.021457033323194","0.0422390621805441"
"Very often","2003","Rhineland-Palatinate,Saarland","direct migration background","4","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"Very often","2003","Baden-Württemberg","no migration background","74","0.036311027362765","0.0279086471043174","0.0447134076212125"
"Very often","2003","Baden-Württemberg","direct migration background","12","","",""
"Very often","2003","Baden-Württemberg","indirect migration background","13","","",""
"Very often","2003","Bavaria","no migration background","103","0.0342166065887281","0.0272425386738897","0.0411906745035665"
"Very often","2003","Bavaria","direct migration background","18","","",""
"Very often","2003","Bavaria","indirect migration background","10","","",""
"Very often","2003","Berlin","no migration background","45","0.0527067424372066","0.0363740058987152","0.069039478975698"
"Very often","2003","Berlin","direct migration background","2","","",""
"Very often","2003","Berlin","indirect migration background","5","","",""
"Very often","2003","Brandenburg","no migration background","39","0.0518696833763062","0.0375785050025502","0.0661608617500621"
"Very often","2003","Brandenburg","direct migration background","","","",""
"Very often","2003","Brandenburg","indirect migration background","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","no migration background","16","","",""
"Very often","2003","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Very often","2003","Saxony","no migration background","44","0.0234294370796681","0.0159661983593192","0.030892675800017"
"Very often","2003","Saxony","direct migration background","","","",""
"Very often","2003","Saxony","indirect migration background","","","",""
"Very often","2003","Saxony-Anhalt","no migration background","38","0.0295614358965704","0.0185081447855653","0.0406147270075754"
"Very often","2003","Saxony-Anhalt","direct migration background","1","","",""
"Very often","2003","Saxony-Anhalt","indirect migration background","1","","",""
"Very often","2003","Thuringia","no migration background","29","","",""
"Very often","2003","Thuringia","direct migration background","","","",""
"Very often","2003","Thuringia","indirect migration background","","","",""
"Often","2003","Schleswig-Holstein","no migration background","79","0.135520992271738","0.107995481868141","0.163046502675335"
"Often","2003","Schleswig-Holstein","direct migration background","10","","",""
"Often","2003","Schleswig-Holstein","indirect migration background","5","","",""
"Often","2003","Hamburg","no migration background","54","0.176704652431353","0.130695106178393","0.222714198684313"
"Often","2003","Hamburg","direct migration background","3","","",""
"Often","2003","Hamburg","indirect migration background","2","","",""
"Often","2003","Lower Saxony","no migration background","311","0.170123254142254","0.152031716707799","0.188214791576709"
"Often","2003","Lower Saxony","direct migration background","32","0.185551500938083","0.132465680915078","0.238637320961088"
"Often","2003","Lower Saxony","indirect migration background","13","","",""
"Often","2003","Bremen","no migration background","34","0.184131817428958","0.121261437997437","0.24700219686048"
"Often","2003","Bremen","direct migration background","2","","",""
"Often","2003","Bremen","indirect migration background","1","","",""
"Often","2003","North Rhine-Westphalia","no migration background","653","0.163312737474185","0.151454757731774","0.175170717216595"
"Often","2003","North Rhine-Westphalia","direct migration background","105","0.144064571231502","0.118198494642002","0.169930647821002"
"Often","2003","North Rhine-Westphalia","indirect migration background","80","0.340207243647819","0.278574611975586","0.401839875320052"
"Often","2003","Hesse","no migration background","212","0.175085849327092","0.153420322539726","0.196751376114459"
"Often","2003","Hesse","direct migration background","38","0.137993856906893","0.094807148347877","0.181180565465909"
"Often","2003","Hesse","indirect migration background","25","","",""
"Often","2003","Rhineland-Palatinate,Saarland","no migration background","190","0.159214970251825","0.13756390781292","0.180866032690729"
"Often","2003","Rhineland-Palatinate,Saarland","direct migration background","48","0.365518412890685","0.296123702427676","0.434913123353693"
"Often","2003","Rhineland-Palatinate,Saarland","indirect migration background","13","","",""
"Often","2003","Baden-Württemberg","no migration background","299","0.140206339452093","0.124610973730596","0.15580170517359"
"Often","2003","Baden-Württemberg","direct migration background","62","0.125644914612323","0.0989903712668333","0.152299457957812"
"Often","2003","Baden-Württemberg","indirect migration background","35","0.203619227022629","0.147529248815888","0.25970920522937"
"Often","2003","Bavaria","no migration background","421","0.143787463809982","0.130326407523818","0.157248520096146"
"Often","2003","Bavaria","direct migration background","56","0.162446050932924","0.126116379304381","0.198775722561467"
"Often","2003","Bavaria","indirect migration background","25","","",""
"Often","2003","Berlin","no migration background","137","0.170564358731864","0.143071548437953","0.198057169025775"
"Often","2003","Berlin","direct migration background","16","","",""
"Often","2003","Berlin","indirect migration background","13","","",""
"Often","2003","Brandenburg","no migration background","116","0.1252497955234","0.103918965070429","0.14658062597637"
"Often","2003","Brandenburg","direct migration background","1","","",""
"Often","2003","Brandenburg","indirect migration background","1","","",""
"Often","2003","Mecklenburg-Western Pomerania","no migration background","87","0.154622873708034","0.1232140757071","0.186031671708968"
"Often","2003","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"Often","2003","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Often","2003","Saxony","no migration background","262","0.158853807789257","0.140818267874293","0.176889347704222"
