"pld0043","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Not Employed","no migration background","1920","0.316076354946092","0.305053892062377","0.327098817829807","5"
"Never","2003","Not Employed","direct migration background","365","0.314978687976005","0.28686919750752","0.343088178444489","5"
"Never","2003","Not Employed","indirect migration background","37","0.156337417626698","0.111228305561022","0.201446529692375","5"
"Never","2003","Employed","no migration background","1093","0.105693162835645","0.100173955795032","0.111212369876259","5"
"Never","2003","Employed","direct migration background","275","0.172731034348498","0.15400268623918","0.191459382457816","5"
"Never","2003","Employed","indirect migration background","44","0.0964445192259381","0.0715232649173591","0.121365773534517","5"
"Often","2003","Not Employed","indirect migration background","75","0.310898918387666","0.253407967897842","0.368389868877491","2"
"Often","2003","Not Employed","no migration background","856","0.108340769991349","0.100972352153324","0.115709187829374","2"
"Often","2003","Not Employed","direct migration background","110","0.132718378008073","0.112187574269247","0.153249181746899","2"
"Often","2003","Employed","direct migration background","272","0.187746988816155","0.168399568117653","0.207094409514658","2"
"Often","2003","Employed","no migration background","2283","0.189462263039073","0.182427362797573","0.196497163280574","2"
"Often","2003","Employed","indirect migration background","145","0.250062614582283","0.213503927184018","0.286621301980547","2"
"Rarely","2003","Not Employed","indirect migration background","40","0.136594150806607","0.0939389528325466","0.179249348780667","4"
"Rarely","2003","Not Employed","no migration background","1963","0.290485532455621","0.279722820607601","0.30124824430364","4"
"Rarely","2003","Not Employed","direct migration background","256","0.243572852852513","0.217597686254554","0.269548019450472","4"
"Rarely","2003","Employed","direct migration background","406","0.252123541476416","0.230609968159872","0.27363711479296","4"
"Rarely","2003","Employed","no migration background","3293","0.266594364129126","0.258656428608267","0.274532299649985","4"
"Rarely","2003","Employed","indirect migration background","90","0.172891140091374","0.140966837836552","0.204815442346196","4"
"Sometimes","2003","Not Employed","no migration background","1920","0.264994405246343","0.254531735755255","0.275457074737431","3"
"Sometimes","2003","Not Employed","direct migration background","282","0.265286907038478","0.238570555784317","0.292003258292639","3"
"Sometimes","2003","Not Employed","indirect migration background","77","0.326234185697169","0.268001390414527","0.384466980979811","3"
"Sometimes","2003","Employed","direct migration background","554","0.347800305056496","0.32420388085482","0.371396729258171","3"
"Sometimes","2003","Employed","no migration background","4665","0.386882174601613","0.378138956847944","0.395625392355282","3"
"Sometimes","2003","Employed","indirect migration background","218","0.364909058158103","0.324268095198707","0.405550021117499","3"
"Very often","2003","Not Employed","no migration background","176","0.020102937360596","0.0167755848093335","0.0234302899118586","1"
"Very often","2003","Not Employed","direct migration background","36","0.0434431741249313","0.0311071131041064","0.0557792351457562","1"
"Very often","2003","Not Employed","indirect migration background","20","","","","1"
"Very often","2003","Employed","no migration background","586","0.0513680353945421","0.0474052065217885","0.0553308642672957","1"
"Very often","2003","Employed","direct migration background","58","0.0395981303024346","0.0299364033750263","0.0492598572298429","1"
"Very often","2003","Employed","indirect migration background","42","0.115692667942302","0.0886899027768458","0.142695433107758","1"
"Never","2004","Not Employed","no migration background","","","","","5"
"Never","2004","Not Employed","direct migration background","","","","","5"
"Never","2004","Not Employed","indirect migration background","","","","","5"
"Never","2004","Employed","no migration background","","","","","5"
"Never","2004","Employed","direct migration background","","","","","5"
"Never","2004","Employed","indirect migration background","","","","","5"
"Often","2004","Not Employed","direct migration background","","","","","2"
"Often","2004","Not Employed","no migration background","","","","","2"
"Often","2004","Not Employed","indirect migration background","","","","","2"
"Often","2004","Employed","no migration background","","","","","2"
"Often","2004","Employed","direct migration background","","","","","2"
"Often","2004","Employed","indirect migration background","","","","","2"
"Rarely","2004","Not Employed","no migration background","","","","","4"
"Rarely","2004","Not Employed","indirect migration background","","","","","4"
"Rarely","2004","Not Employed","direct migration background","","","","","4"
"Rarely","2004","Employed","direct migration background","","","","","4"
"Rarely","2004","Employed","no migration background","","","","","4"
"Rarely","2004","Employed","indirect migration background","","","","","4"
"Sometimes","2004","Not Employed","direct migration background","","","","","3"
"Sometimes","2004","Employed","direct migration background","","","","","3"
"Sometimes","2004","Not Employed","no migration background","","","","","3"
"Sometimes","2004","Not Employed","indirect migration background","","","","","3"
"Sometimes","2004","Employed","no migration background","","","","","3"
"Sometimes","2004","Employed","indirect migration background","","","","","3"
"Very often","2004","Not Employed","indirect migration background","","","","","1"
"Very often","2004","Not Employed","no migration background","","","","","1"
"Very often","2004","Not Employed","direct migration background","","","","","1"
"Very often","2004","Employed","no migration background","","","","","1"
"Very often","2004","Employed","direct migration background","","","","","1"
"Very often","2004","Employed","indirect migration background","","","","","1"
"Never","2005","Not Employed","indirect migration background","","","","","5"
"Never","2005","Not Employed","no migration background","","","","","5"
"Never","2005","Not Employed","direct migration background","","","","","5"
"Never","2005","Employed","no migration background","","","","","5"
"Never","2005","Employed","direct migration background","","","","","5"
"Never","2005","Employed","indirect migration background","","","","","5"
"Often","2005","Not Employed","no migration background","","","","","2"
"Often","2005","Not Employed","direct migration background","","","","","2"
"Often","2005","Not Employed","indirect migration background","","","","","2"
"Often","2005","Employed","direct migration background","","","","","2"
"Often","2005","Employed","no migration background","","","","","2"
"Often","2005","Employed","indirect migration background","","","","","2"
"Rarely","2005","Not Employed","direct migration background","","","","","4"
"Rarely","2005","Not Employed","no migration background","","","","","4"
"Rarely","2005","Not Employed","indirect migration background","","","","","4"
"Rarely","2005","Employed","no migration background","","","","","4"
"Rarely","2005","Employed","direct migration background","","","","","4"
"Rarely","2005","Employed","indirect migration background","","","","","4"
"Sometimes","2005","Not Employed","no migration background","","","","","3"
"Sometimes","2005","Not Employed","indirect migration background","","","","","3"
"Sometimes","2005","Employed","no migration background","","","","","3"
"Sometimes","2005","Employed","indirect migration background","","","","","3"
"Sometimes","2005","Not Employed","direct migration background","","","","","3"
"Sometimes","2005","Employed","direct migration background","","","","","3"
"Very often","2005","Not Employed","no migration background","","","","","1"
"Very often","2005","Not Employed","direct migration background","","","","","1"
"Very often","2005","Not Employed","indirect migration background","","","","","1"
"Very often","2005","Employed","no migration background","","","","","1"
"Very often","2005","Employed","direct migration background","","","","","1"
"Very often","2005","Employed","indirect migration background","","","","","1"
"Never","2006","Not Employed","direct migration background","","","","","5"
"Never","2006","Not Employed","no migration background","","","","","5"
"Never","2006","Employed","no migration background","","","","","5"
"Never","2006","Not Employed","indirect migration background","","","","","5"
"Never","2006","Employed","direct migration background","","","","","5"
"Never","2006","Employed","indirect migration background","","","","","5"
"Often","2006","Not Employed","no migration background","","","","","2"
"Often","2006","Not Employed","indirect migration background","","","","","2"
"Often","2006","Not Employed","direct migration background","","","","","2"
"Often","2006","Employed","direct migration background","","","","","2"
"Often","2006","Employed","no migration background","","","","","2"
"Often","2006","Employed","indirect migration background","","","","","2"
"Rarely","2006","Not Employed","no migration background","","","","","4"
"Rarely","2006","Not Employed","indirect migration background","","","","","4"
