"pld0043","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","(0) in school","75","0.109479932266717","0.0848425464595932","0.134117318073841"
"Very often","2003","16-34 y.","(1a) inadequately completed","4","","",""
"Very often","2003","16-34 y.","(1b) general elementary school","35","0.0801168828517636","0.0562498603492389","0.103983905354288"
"Very often","2003","16-34 y.","(1c) basic vocational qualification","56","0.0789779867523812","0.0598158560888933","0.0981401174158692"
"Very often","2003","16-34 y.","(2b) intermediate general qualification","52","0.0976990557584306","0.0717263544208814","0.12367175709598"
"Very often","2003","16-34 y.","(2a) intermediate vocational","100","0.0875258149545056","0.072663880450815","0.102387749458196"
"Very often","2003","16-34 y.","(2c_gen) general maturity certificate","79","0.125723040510615","0.101656355091551","0.149789725929679"
"Very often","2003","16-34 y.","(2c_voc) vocational maturity certificate","37","0.0834446212756128","0.0601191868921775","0.106770055659048"
"Very often","2003","16-34 y.","(3a) lower tertiary education","18","","",""
"Very often","2003","16-34 y.","(3b) higher tertiary education","24","","",""
"Very often","2003","35-65 y.","(0) in school","","","",""
"Very often","2003","35-65 y.","(1a) inadequately completed","","","",""
"Very often","2003","35-65 y.","(1b) general elementary school","16","","",""
"Very often","2003","35-65 y.","(1c) basic vocational qualification","94","0.0236704386847975","0.0188753177673672","0.0284655596022279"
"Very often","2003","35-65 y.","(2b) intermediate general qualification","4","","",""
"Very often","2003","35-65 y.","(2a) intermediate vocational","106","0.0358553662289837","0.0295760807920582","0.0421346516659092"
"Very often","2003","35-65 y.","(2c_gen) general maturity certificate","9","","",""
"Very often","2003","35-65 y.","(2c_voc) vocational maturity certificate","30","0.0560932274381929","0.0409929325243142","0.0711935223520717"
"Very often","2003","35-65 y.","(3a) lower tertiary education","50","0.0461907008919279","0.0344937869830852","0.0578876148007707"
"Very often","2003","35-65 y.","(3b) higher tertiary education","86","0.0423006834888321","0.0334262037547167","0.0511751632229475"
"Very often","2003","66 and older","(0) in school","","","",""
"Very often","2003","66 and older","(1a) inadequately completed","1","","",""
"Very often","2003","66 and older","(1b) general elementary school","2","","",""
"Very often","2003","66 and older","(1c) basic vocational qualification","11","","",""
"Very often","2003","66 and older","(2b) intermediate general qualification","","","",""
"Very often","2003","66 and older","(2a) intermediate vocational","4","","",""
"Very often","2003","66 and older","(2c_gen) general maturity certificate","","","",""
"Very often","2003","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","66 and older","(3a) lower tertiary education","","","",""
"Very often","2003","66 and older","(3b) higher tertiary education","2","","",""
"Often","2003","16-34 y.","(0) in school","250","0.414576469862757","0.375703929721853","0.453449010003661"
"Often","2003","16-34 y.","(1a) inadequately completed","8","","",""
"Often","2003","16-34 y.","(1b) general elementary school","106","0.220273247964589","0.183837977987387","0.25670851794179"
"Often","2003","16-34 y.","(1c) basic vocational qualification","153","0.210503878822582","0.181539727063881","0.239468030581283"
"Often","2003","16-34 y.","(2b) intermediate general qualification","159","0.321155690253999","0.28031066827676","0.362000712231239"
"Often","2003","16-34 y.","(2a) intermediate vocational","298","0.199946169167738","0.178912593095001","0.220979745240475"
"Often","2003","16-34 y.","(2c_gen) general maturity certificate","276","0.373177381643407","0.338068716865512","0.408286046421302"
"Often","2003","16-34 y.","(2c_voc) vocational maturity certificate","132","0.273528949555771","0.235931185668544","0.311126713442997"
"Often","2003","16-34 y.","(3a) lower tertiary education","81","0.343161056596328","0.281937219302647","0.40438489389001"
"Often","2003","16-34 y.","(3b) higher tertiary education","105","0.310095918607892","0.260491856817204","0.35969998039858"
"Often","2003","35-65 y.","(0) in school","","","",""
"Often","2003","35-65 y.","(1a) inadequately completed","10","","",""
"Often","2003","35-65 y.","(1b) general elementary school","78","0.0837004313883071","0.0655671385379853","0.101833724238629"
"Often","2003","35-65 y.","(1c) basic vocational qualification","442","0.122066347065958","0.11174046851725","0.132392225614666"
"Often","2003","35-65 y.","(2b) intermediate general qualification","11","","",""
"Often","2003","35-65 y.","(2a) intermediate vocational","528","0.166276420699547","0.15370198728807","0.178850854111024"
"Often","2003","35-65 y.","(2c_gen) general maturity certificate","29","","",""
"Often","2003","35-65 y.","(2c_voc) vocational maturity certificate","173","0.173850260806257","0.148979863560693","0.198720658051821"
"Often","2003","35-65 y.","(3a) lower tertiary education","229","0.209172243798613","0.186507217851359","0.231837269745866"
"Often","2003","35-65 y.","(3b) higher tertiary education","390","0.204561012374191","0.186775372684954","0.222346652063429"
"Often","2003","66 and older","(0) in school","","","",""
"Often","2003","66 and older","(1a) inadequately completed","5","","",""
"Often","2003","66 and older","(1b) general elementary school","36","0.0538056621446165","0.0376467788345986","0.0699645454546345"
"Often","2003","66 and older","(1c) basic vocational qualification","73","0.042664097882709","0.0329770061779823","0.0523511895874357"
"Often","2003","66 and older","(2b) intermediate general qualification","2","","",""
"Often","2003","66 and older","(2a) intermediate vocational","26","","",""
"Often","2003","66 and older","(2c_gen) general maturity certificate","1","","",""
"Often","2003","66 and older","(2c_voc) vocational maturity certificate","7","","",""
"Often","2003","66 and older","(3a) lower tertiary education","22","","",""
"Often","2003","66 and older","(3b) higher tertiary education","36","0.109508518026187","0.0752402949689522","0.143776741083422"
"Sometimes","2003","16-34 y.","(0) in school","210","0.339607802266751","0.302240193658274","0.376975410875228"
"Sometimes","2003","16-34 y.","(1a) inadequately completed","11","","",""
"Sometimes","2003","16-34 y.","(1b) general elementary school","202","0.391400434730767","0.348491634898258","0.434309234563276"
"Sometimes","2003","16-34 y.","(1c) basic vocational qualification","306","0.386055544382388","0.351465971405652","0.420645117359124"
"Sometimes","2003","16-34 y.","(2b) intermediate general qualification","193","0.375104287705076","0.332752083390982","0.41745649201917"
"Sometimes","2003","16-34 y.","(2a) intermediate vocational","570","0.436169445666193","0.41008996785709","0.462248923475295"
"Sometimes","2003","16-34 y.","(2c_gen) general maturity certificate","250","0.349013834432071","0.314412605208903","0.383615063655238"
"Sometimes","2003","16-34 y.","(2c_voc) vocational maturity certificate","248","0.423427163652459","0.381752926599239","0.46510140070568"
"Sometimes","2003","16-34 y.","(3a) lower tertiary education","84","0.410362794355759","0.346929315484398","0.473796273227121"
"Sometimes","2003","16-34 y.","(3b) higher tertiary education","134","0.400685574479647","0.348131780179056","0.453239368780237"
"Sometimes","2003","35-65 y.","(0) in school","","","",""
"Sometimes","2003","35-65 y.","(1a) inadequately completed","46","0.315599665541611","0.243360469743024","0.387838861340198"
"Sometimes","2003","35-65 y.","(1b) general elementary school","261","0.290087713705077","0.260373715004367","0.319801712405787"
"Sometimes","2003","35-65 y.","(1c) basic vocational qualification","1290","0.335225808357119","0.320335489803574","0.350116126910664"
