"pld0043","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","(0) in school","Male","36","0.088077711542402","0.0560609965825304","0.120094426502274"
"Very often","2003","(0) in school","Female","39","0.132992212245922","0.0955527886304137","0.170431635861429"
"Very often","2003","(1a) inadequately completed","Male","2","","",""
"Very often","2003","(1a) inadequately completed","Female","3","","",""
"Very often","2003","(1b) general elementary school","Male","31","0.0475229355216232","0.0313405350571164","0.06370533598613"
"Very often","2003","(1b) general elementary school","Female","22","","",""
"Very often","2003","(1c) basic vocational qualification","Male","83","0.0234059853602131","0.0183285282582388","0.0284834424621874"
"Very often","2003","(1c) basic vocational qualification","Female","78","0.0262906857914982","0.0204553598919342","0.0321260116910621"
"Very often","2003","(2b) intermediate general qualification","Male","33","0.115396311540138","0.0769286761722494","0.153863946908027"
"Very often","2003","(2b) intermediate general qualification","Female","23","","",""
"Very often","2003","(2a) intermediate vocational","Male","96","0.0490665194867473","0.0400362243946064","0.0580968145788883"
"Very often","2003","(2a) intermediate vocational","Female","114","0.0453406597779017","0.0378291687327613","0.0528521508230421"
"Very often","2003","(2c_gen) general maturity certificate","Male","43","0.129258264478599","0.0969809135930773","0.161535615364122"
"Very often","2003","(2c_gen) general maturity certificate","Female","45","0.0907371748911624","0.0642572823696702","0.117217067412654"
"Very often","2003","(2c_voc) vocational maturity certificate","Male","31","0.0700683825126835","0.0512657778328027","0.0888709871925644"
"Very often","2003","(2c_voc) vocational maturity certificate","Female","37","0.0473437198514499","0.033191018456969","0.0614964212459308"
"Very often","2003","(3a) lower tertiary education","Male","25","","",""
"Very often","2003","(3a) lower tertiary education","Female","43","0.0414688259288018","0.027477309701905","0.0554603421556986"
"Very often","2003","(3b) higher tertiary education","Male","51","0.0321039348729067","0.0232187659193179","0.0409891038264956"
"Very often","2003","(3b) higher tertiary education","Female","61","0.0481543849479492","0.0355992125254472","0.0607095573704511"
"Often","2003","(0) in school","Male","144","0.54041203796948","0.484111613019198","0.596712462919761"
"Often","2003","(0) in school","Female","106","0.276334688938305","0.227029669940385","0.325639707936226"
"Often","2003","(1a) inadequately completed","Male","10","","",""
"Often","2003","(1a) inadequately completed","Female","13","","",""
"Often","2003","(1b) general elementary school","Male","88","0.132131618291229","0.106374672640948","0.15788856394151"
"Often","2003","(1b) general elementary school","Female","132","0.085198934775133","0.0709661039497488","0.0994317656005173"
"Often","2003","(1c) basic vocational qualification","Male","376","0.114008412419137","0.103334859259799","0.124681965578474"
"Often","2003","(1c) basic vocational qualification","Female","292","0.100257091514246","0.0893032547812922","0.1112109282472"
"Often","2003","(2b) intermediate general qualification","Male","87","0.329021069447161","0.272450382768683","0.38559175612564"
"Often","2003","(2b) intermediate general qualification","Female","85","0.198346723695013","0.15755041583801","0.239143031552017"
"Often","2003","(2a) intermediate vocational","Male","331","0.157665207575356","0.142430134201428","0.172900280949284"
"Often","2003","(2a) intermediate vocational","Female","521","0.168539861701601","0.155024425827477","0.182055297575725"
"Often","2003","(2c_gen) general maturity certificate","Male","153","0.36960898463691","0.323168118603985","0.416049850669834"
"Often","2003","(2c_gen) general maturity certificate","Female","153","0.316022076830485","0.273161439254898","0.358882714406072"
"Often","2003","(2c_voc) vocational maturity certificate","Male","145","0.19116435998688","0.162199924705889","0.220128795267871"
"Often","2003","(2c_voc) vocational maturity certificate","Female","167","0.187559431737113","0.161545542183361","0.213573321290865"
