"pld0043","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","in school","","","",""
"Very often","2003","lower secondary degree","inadequately","","","",""
"Very often","2003","lower secondary degree","general elemantary","44","0.023897285450734","0.0167128065038188","0.0310817643976493"
"Very often","2003","lower secondary degree","middle vocational","142","0.025527045810644","0.0213316460980838","0.0297224455232043"
"Very often","2003","lower secondary degree","vocational + Abi","","","",""
"Very often","2003","lower secondary degree","higher vocational","7","","",""
"Very often","2003","lower secondary degree","higher education","4","","",""
"Very often","2003","secondary school degree","in school","","","",""
"Very often","2003","secondary school degree","inadequately","","","",""
"Very often","2003","secondary school degree","general elemantary","56","0.0818217088567773","0.0604186621490003","0.103224755564554"
"Very often","2003","secondary school degree","middle vocational","181","0.0468944769310521","0.0406377800024829","0.0531511738596213"
"Very often","2003","secondary school degree","vocational + Abi","1","","",""
"Very often","2003","secondary school degree","higher vocational","26","","",""
"Very often","2003","secondary school degree","higher education","17","","",""
"Very often","2003","college entrance qualification","in school","","","",""
"Very often","2003","college entrance qualification","inadequately","","","",""
"Very often","2003","college entrance qualification","general elemantary","","","",""
"Very often","2003","college entrance qualification","middle vocational","84","0.114051927902376","0.0918576800630581","0.136246175741693"
"Very often","2003","college entrance qualification","vocational + Abi","43","0.0531896774159065","0.0390307744762181","0.0673485803555949"
"Very often","2003","college entrance qualification","higher vocational","19","","",""
"Very often","2003","college entrance qualification","higher education","154","0.0431122238236094","0.0361897438255596","0.0500347038216592"
"Very often","2003","Other degree","in school","","","",""
"Very often","2003","Other degree","inadequately","1","","",""
"Very often","2003","Other degree","general elemantary","8","","",""
"Very often","2003","Other degree","middle vocational","19","","",""
"Very often","2003","Other degree","vocational + Abi","3","","",""
"Very often","2003","Other degree","higher vocational","2","","",""
"Very often","2003","Other degree","higher education","5","","",""
"Very often","2003","no degree/no degree yet","in school","75","0.109479932266717","0.0848425464595932","0.134117318073841"
"Very often","2003","no degree/no degree yet","inadequately","5","","",""
"Very often","2003","no degree/no degree yet","general elemantary","","","",""
"Very often","2003","no degree/no degree yet","middle vocational","","","",""
"Very often","2003","no degree/no degree yet","vocational + Abi","","","",""
"Very often","2003","no degree/no degree yet","higher vocational","","","",""
"Very often","2003","no degree/no degree yet","higher education","","","",""
"Often","2003","lower secondary degree","in school","","","",""
"Often","2003","lower secondary degree","inadequately","","","",""
"Often","2003","lower secondary degree","general elemantary","188","0.103933572191691","0.08957797509842","0.118289169284962"
"Often","2003","lower secondary degree","middle vocational","569","0.1048102259717","0.0966622909841116","0.112958160959288"
"Often","2003","lower secondary degree","vocational + Abi","4","","",""
"Often","2003","lower secondary degree","higher vocational","70","0.144840106640194","0.113836403367826","0.175843809912561"
"Often","2003","lower secondary degree","higher education","22","","",""
"Often","2003","secondary school degree","in school","","","",""
"Often","2003","secondary school degree","inadequately","","","",""
"Often","2003","secondary school degree","general elemantary","171","0.253067785726049","0.219118015125991","0.287017556326107"
"Often","2003","secondary school degree","middle vocational","720","0.161413206972714","0.150524976134563","0.172301437810864"
"Often","2003","secondary school degree","vocational + Abi","4","","",""
"Often","2003","secondary school degree","higher vocational","133","0.181745558834333","0.154091181822591","0.209399935846075"
"Often","2003","secondary school degree","higher education","102","0.169425544298189","0.140453183344841","0.198397905251537"
"Often","2003","college entrance qualification","in school","","","",""
"Often","2003","college entrance qualification","inadequately","","","",""
"Often","2003","college entrance qualification","general elemantary","","","",""
"Often","2003","college entrance qualification","middle vocational","291","0.350712531839032","0.317394515647645","0.384030548030419"
"Often","2003","college entrance qualification","vocational + Abi","205","0.203944710884424","0.178522561062629","0.22936686070622"
"Often","2003","college entrance qualification","higher vocational","74","0.196581673827925","0.15619677471166","0.236966572944191"
"Often","2003","college entrance qualification","higher education","697","0.222774483467409","0.208592491294996","0.236956475639822"
"Often","2003","Other degree","in school","","","",""
"Often","2003","Other degree","inadequately","6","","",""
"Often","2003","Other degree","general elemantary","27","","",""
"Often","2003","Other degree","middle vocational","38","0.131431649064202","0.0997535325938593","0.163109765534545"
"Often","2003","Other degree","vocational + Abi","19","","",""
"Often","2003","Other degree","higher vocational","11","","",""
"Often","2003","Other degree","higher education","40","0.18826822538727","0.133399411374895","0.243137039399646"
"Often","2003","no degree/no degree yet","in school","250","0.414576469862757","0.375703929721853","0.453449010003661"
"Often","2003","no degree/no degree yet","inadequately","17","","",""
"Often","2003","no degree/no degree yet","general elemantary","","","",""
"Often","2003","no degree/no degree yet","middle vocational","6","","",""
"Often","2003","no degree/no degree yet","vocational + Abi","","","",""
"Often","2003","no degree/no degree yet","higher vocational","","","",""
"Often","2003","no degree/no degree yet","higher education","","","",""
"Sometimes","2003","lower secondary degree","in school","","","",""
"Sometimes","2003","lower secondary degree","inadequately","","","",""
"Sometimes","2003","lower secondary degree","general elemantary","462","0.249425954213184","0.229072373526606","0.269779534899762"
"Sometimes","2003","lower secondary degree","middle vocational","1650","0.292618844801675","0.28051659650586","0.304721093097489"
"Sometimes","2003","lower secondary degree","vocational + Abi","10","","",""
"Sometimes","2003","lower secondary degree","higher vocational","152","0.314273120069903","0.273377697786866","0.35516854235294"
"Sometimes","2003","lower secondary degree","higher education","59","0.293672659344104","0.229418062476589","0.35792725621162"
"Sometimes","2003","secondary school degree","in school","","","",""
"Sometimes","2003","secondary school degree","inadequately","","","",""
"Sometimes","2003","secondary school degree","general elemantary","238","0.375714183762462","0.337896202219912","0.413532165305011"
"Sometimes","2003","secondary school degree","middle vocational","1656","0.371637326863543","0.357335924337464","0.385938729389623"
"Sometimes","2003","secondary school degree","vocational + Abi","10","","",""
"Sometimes","2003","secondary school degree","higher vocational","278","0.385514993669021","0.350611888000066","0.420418099337975"
"Sometimes","2003","secondary school degree","higher education","236","0.365480126575393","0.328287259744144","0.402672993406642"
"Sometimes","2003","college entrance qualification","in school","","","",""
"Sometimes","2003","college entrance qualification","inadequately","","","",""
"Sometimes","2003","college entrance qualification","general elemantary","","","",""
"Sometimes","2003","college entrance qualification","middle vocational","278","0.369468141105308","0.335768366391794","0.403167915818823"
"Sometimes","2003","college entrance qualification","vocational + Abi","398","0.395149129312728","0.364303821815175","0.425994436810281"
"Sometimes","2003","college entrance qualification","higher vocational","165","0.420119755209985","0.369962665444757","0.470276844975213"
"Sometimes","2003","college entrance qualification","higher education","1365","0.403532620779661","0.386811566136968","0.420253675422353"
"Sometimes","2003","Other degree","in school","","","",""
"Sometimes","2003","Other degree","inadequately","13","","",""
"Sometimes","2003","Other degree","general elemantary","105","0.280331439862655","0.234749180902712","0.325913698822598"
"Sometimes","2003","Other degree","middle vocational","132","0.286009064767609","0.243640512883352","0.328377616651866"
"Sometimes","2003","Other degree","vocational + Abi","46","0.418872862418248","0.334706643759167","0.503039081077329"
"Sometimes","2003","Other degree","higher vocational","18","","",""
"Sometimes","2003","Other degree","higher education","68","0.327044255809987","0.261198573788025","0.392889937831949"
"Sometimes","2003","no degree/no degree yet","in school","210","0.339607802266751","0.302240193658274","0.376975410875228"
"Sometimes","2003","no degree/no degree yet","inadequately","59","0.269246445290313","0.211416293943298","0.327076596637329"
"Sometimes","2003","no degree/no degree yet","general elemantary","","","",""
"Sometimes","2003","no degree/no degree yet","middle vocational","10","","",""
"Sometimes","2003","no degree/no degree yet","vocational + Abi","","","",""
"Sometimes","2003","no degree/no degree yet","higher vocational","","","",""
"Sometimes","2003","no degree/no degree yet","higher education","1","","",""
"Rarely","2003","lower secondary degree","in school","","","",""
"Rarely","2003","lower secondary degree","inadequately","","","",""
"Rarely","2003","lower secondary degree","general elemantary","447","0.258696961644204","0.238096982309884","0.279296940978523"
"Rarely","2003","lower secondary degree","middle vocational","1664","0.301023891435761","0.28882220616001","0.313225576711512"
"Rarely","2003","lower secondary degree","vocational + Abi","11","","",""
"Rarely","2003","lower secondary degree","higher vocational","154","0.25186991172669","0.213629531899976","0.290110291553403"
"Rarely","2003","lower secondary degree","higher education","69","0.339367167013419","0.27256594225847","0.406168391768369"
"Rarely","2003","secondary school degree","in school","","","",""
"Rarely","2003","secondary school degree","inadequately","","","",""
"Rarely","2003","secondary school degree","general elemantary","109","0.179367466938525","0.149408694177702","0.209326239699347"
"Rarely","2003","secondary school degree","middle vocational","1322","0.295262331540919","0.281762400738071","0.308762262343766"
"Rarely","2003","secondary school degree","vocational + Abi","12","","",""
"Rarely","2003","secondary school degree","higher vocational","234","0.285358617883575","0.252974850817027","0.317742384950123"
"Rarely","2003","secondary school degree","higher education","229","0.320295243893668","0.284258913779374","0.356331574007963"
"Rarely","2003","college entrance qualification","in school","","","",""
"Rarely","2003","college entrance qualification","inadequately","","","",""
"Rarely","2003","college entrance qualification","general elemantary","","","",""
"Rarely","2003","college entrance qualification","middle vocational","104","0.131814770728308","0.108195133776702","0.155434407679914"
"Rarely","2003","college entrance qualification","vocational + Abi","233","0.25942641781142","0.231771291799054","0.287081543823785"
"Rarely","2003","college entrance qualification","higher vocational","85","0.20629474549522","0.165175008148546","0.247414482841895"
"Rarely","2003","college entrance qualification","higher education","864","0.251220129559298","0.236438058300072","0.266002200818524"
"Rarely","2003","Other degree","in school","","","",""
"Rarely","2003","Other degree","inadequately","5","","",""
"Rarely","2003","Other degree","general elemantary","95","0.23860629852757","0.195351004661759","0.28186159239338"
"Rarely","2003","Other degree","middle vocational","114","0.248673056873341","0.208146825397819","0.289199288348862"
"Rarely","2003","Other degree","vocational + Abi","31","0.16687377427779","0.103265945318352","0.230481603237227"
"Rarely","2003","Other degree","higher vocational","17","","",""
"Rarely","2003","Other degree","higher education","47","0.308861146017524","0.244013371117006","0.373708920918042"
"Rarely","2003","no degree/no degree yet","in school","70","0.115286486623403","0.0900867476919326","0.140486225554873"
"Rarely","2003","no degree/no degree yet","inadequately","60","0.225582890494308","0.171090680728499","0.280075100260116"
"Rarely","2003","no degree/no degree yet","general elemantary","","","",""
"Rarely","2003","no degree/no degree yet","middle vocational","13","","",""
"Rarely","2003","no degree/no degree yet","vocational + Abi","","","",""
"Rarely","2003","no degree/no degree yet","higher vocational","1","","",""
"Rarely","2003","no degree/no degree yet","higher education","","","",""
"Never","2003","lower secondary degree","in school","","","",""
"Never","2003","lower secondary degree","inadequately","","","",""
"Never","2003","lower secondary degree","general elemantary","595","0.364046226500187","0.341412072222409","0.386680380777965"
"Never","2003","lower secondary degree","middle vocational","1404","0.27601999198022","0.264128900327378","0.287911083633063"
"Never","2003","lower secondary degree","vocational + Abi","4","","",""
"Never","2003","lower secondary degree","higher vocational","112","0.278439953286493","0.23895355637486","0.317926350198126"
"Never","2003","lower secondary degree","higher education","39","0.22369664385169","0.16490509488838","0.282488192815"
"Never","2003","secondary school degree","in school","","","",""
"Never","2003","secondary school degree","inadequately","","","",""
"Never","2003","secondary school degree","general elemantary","56","0.110028854716188","0.0855934759339206","0.134464233498455"
"Never","2003","secondary school degree","middle vocational","507","0.124792657691772","0.115012096591514","0.13457321879203"
"Never","2003","secondary school degree","vocational + Abi","9","","",""
"Never","2003","secondary school degree","higher vocational","76","0.108120193839962","0.0858515195416286","0.130388868138294"
"Never","2003","secondary school degree","higher education","60","0.112294335433606","0.0879095702652342","0.136679100601977"
"Never","2003","college entrance qualification","in school","","","",""
"Never","2003","college entrance qualification","inadequately","","","",""
"Never","2003","college entrance qualification","general elemantary","","","",""
"Never","2003","college entrance qualification","middle vocational","31","0.0339526284249758","0.0213075684308694","0.0465976884190821"
"Never","2003","college entrance qualification","vocational + Abi","86","0.0882900645755217","0.0703894189360888","0.106190710214955"
"Never","2003","college entrance qualification","higher vocational","29","","",""
"Never","2003","college entrance qualification","higher education","227","0.0793605423700231","0.0701480296744602","0.0885730550655861"
"Never","2003","Other degree","in school","","","",""
"Never","2003","Other degree","inadequately","10","","",""
"Never","2003","Other degree","general elemantary","138","0.390351195927754","0.340844801760191","0.439857590095316"
