"pld0043","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","lower secondary degree","50","0.0125682459219553","0.00914028022978145","0.0159962116141291"
"Very often","2003","Not Employed","secondary school degree","41","0.0211829920788622","0.0140421080223235","0.0283238761354008"
"Very often","2003","Not Employed","college entrance qualification","57","0.0386853654945945","0.0279690860522058","0.0494016449369833"
"Very often","2003","Not Employed","Other degree","13","","",""
"Very often","2003","Not Employed","no degree/no degree yet","66","0.0870301911368593","0.0655739074070534","0.108486474866665"
"Very often","2003","Employed","lower secondary degree","147","0.0374744339850856","0.0314556875233104","0.0434931804468609"
"Very often","2003","Employed","secondary school degree","240","0.0581978463239509","0.0516299394924301","0.0647657531554717"
"Very often","2003","Employed","college entrance qualification","243","0.0652953776165935","0.0578132834691765","0.0727774717640105"
"Very often","2003","Employed","Other degree","25","","",""
"Very often","2003","Employed","no degree/no degree yet","14","","",""
"Often","2003","Not Employed","lower secondary degree","276","0.064959682265898","0.0573759550722194","0.0725434094595767"
"Often","2003","Not Employed","secondary school degree","230","0.145716431080843","0.12821946032916","0.163213401832526"
"Often","2003","Not Employed","college entrance qualification","242","0.187265997977162","0.16558688142271","0.208945114531614"
"Often","2003","Not Employed","Other degree","44","0.105701365188614","0.0787522400544629","0.132650490322765"
"Often","2003","Not Employed","no degree/no degree yet","224","0.310886533915225","0.275654505253467","0.346118562576983"
"Often","2003","Employed","lower secondary degree","577","0.157408062001305","0.145866767929782","0.168949356072827"
"Often","2003","Employed","secondary school degree","900","0.182629627363315","0.171790639012251","0.193468615714379"
"Often","2003","Employed","college entrance qualification","1025","0.251886101399486","0.238738978630504","0.265033224168468"
"Often","2003","Employed","Other degree","97","0.137885216884178","0.112959605429318","0.162810828339038"
"Often","2003","Employed","no degree/no degree yet","49","0.188758906506648","0.137965263206324","0.239552549806972"
"Sometimes","2003","Not Employed","lower secondary degree","922","0.224097024207185","0.211265822247744","0.236928226166626"
"Sometimes","2003","Not Employed","secondary school degree","524","0.314364392368647","0.291340914251295","0.337387870485998"
"Sometimes","2003","Not Employed","college entrance qualification","456","0.352768932863584","0.326215984913869","0.379321880813299"
"Sometimes","2003","Not Employed","Other degree","128","0.268916236261617","0.23005154961521","0.307780922908025"
"Sometimes","2003","Not Employed","no degree/no degree yet","205","0.288369151764332","0.253887099184667","0.322851204343996"
"Sometimes","2003","Employed","lower secondary degree","1411","0.352511471470683","0.337371152049949","0.367651790891416"
"Sometimes","2003","Employed","secondary school degree","1894","0.394946239604136","0.381232381202662","0.40866009800561"
"Sometimes","2003","Employed","college entrance qualification","1750","0.41509070355724","0.40016755301832","0.43001385409616"
"Sometimes","2003","Employed","Other degree","254","0.331623252916757","0.297587326572673","0.365659179260841"
"Sometimes","2003","Employed","no degree/no degree yet","75","0.352022925455976","0.290029453210632","0.414016397701321"
"Rarely","2003","Not Employed","lower secondary degree","1216","0.291429727618547","0.277446611108977","0.305412844128116"
"Rarely","2003","Not Employed","secondary school degree","482","0.315932695559776","0.292878271383328","0.338987119736224"
"Rarely","2003","Not Employed","college entrance qualification","334","0.273996640563209","0.249212159219029","0.298781121907389"
"Rarely","2003","Not Employed","Other degree","115","0.224966901118075","0.188366779635913","0.261567022600238"
"Rarely","2003","Not Employed","no degree/no degree yet","91","0.150250211288426","0.123051745617867","0.177448676958985"
"Rarely","2003","Employed","lower secondary degree","1129","0.286885502974934","0.272551539107279","0.301219466842589"
"Rarely","2003","Employed","secondary school degree","1424","0.273513340125577","0.261007963794071","0.286018716457082"
"Rarely","2003","Employed","college entrance qualification","952","0.217360600679249","0.204869059588627","0.229852141769871"
"Rarely","2003","Employed","Other degree","194","0.262576344571578","0.230764360743557","0.294388328399599"
"Rarely","2003","Employed","no degree/no degree yet","53","0.229846592534299","0.175234562171026","0.284458622897572"
"Never","2003","Not Employed","lower secondary degree","1593","0.406945319986415","0.391828481079086","0.422062158893744"
"Never","2003","Not Employed","secondary school degree","285","0.202803488911873","0.182863359068561","0.222743618755185"
"Never","2003","Not Employed","college entrance qualification","155","0.14728306310145","0.127589842343478","0.166976283859422"
"Never","2003","Not Employed","Other degree","200","0.356822200981593","0.314831362644277","0.398813039318909"
"Never","2003","Not Employed","no degree/no degree yet","77","0.163463911895157","0.13531610186273","0.191611721927585"
"Never","2003","Employed","lower secondary degree","561","0.165720529567993","0.153936975309825","0.177504083826161"
"Never","2003","Employed","secondary school degree","423","0.0907129465830212","0.0826558452071307","0.0987700479589117"
"Never","2003","Employed","college entrance qualification","218","0.0503672167474313","0.0437435788798287","0.0569908546150338"
"Never","2003","Employed","Other degree","165","0.227495919501662","0.19718901236939","0.257802826633934"
"Never","2003","Employed","no degree/no degree yet","37","0.185945079198174","0.135444092288664","0.236446066107684"
"Very often","2004","Not Employed","lower secondary degree","","","",""
"Very often","2004","Not Employed","secondary school degree","","","",""
"Very often","2004","Not Employed","college entrance qualification","","","",""
"Very often","2004","Not Employed","Other degree","","","",""
"Very often","2004","Not Employed","no degree/no degree yet","","","",""
"Very often","2004","Employed","lower secondary degree","","","",""
"Very often","2004","Employed","secondary school degree","","","",""
"Very often","2004","Employed","college entrance qualification","","","",""
"Very often","2004","Employed","Other degree","","","",""
"Very often","2004","Employed","no degree/no degree yet","","","",""
"Often","2004","Not Employed","lower secondary degree","","","",""
"Often","2004","Not Employed","secondary school degree","","","",""
"Often","2004","Not Employed","college entrance qualification","","","",""
"Often","2004","Not Employed","Other degree","","","",""
"Often","2004","Not Employed","no degree/no degree yet","","","",""
"Often","2004","Employed","lower secondary degree","","","",""
"Often","2004","Employed","secondary school degree","","","",""
"Often","2004","Employed","college entrance qualification","","","",""
"Often","2004","Employed","Other degree","","","",""
"Often","2004","Employed","no degree/no degree yet","","","",""
"Sometimes","2004","Not Employed","lower secondary degree","","","",""
"Sometimes","2004","Not Employed","secondary school degree","","","",""
"Sometimes","2004","Not Employed","college entrance qualification","","","",""
"Sometimes","2004","Not Employed","Other degree","","","",""
"Sometimes","2004","Not Employed","no degree/no degree yet","","","",""
"Sometimes","2004","Employed","lower secondary degree","","","",""
"Sometimes","2004","Employed","secondary school degree","","","",""
